Rank	Belarusian (BGN/PCGN)	Russian (BGN/PCGN)	Status	Obtaining	Foundation	Population (2010)
Vitsyebsk (Vitebsk) Region	Vitsyebsk (Vitebsk) Region	Vitsyebsk (Vitebsk) Region	Vitsyebsk (Vitebsk) Region	Vitsyebsk (Vitebsk) Region	Vitsyebsk (Vitebsk) Region	Vitsyebsk (Vitebsk) Region
1	Vitsyebsk (Віцебск, Viciebsk)	Vitebsk (Витебск)	Oblast	September, 27 1938	974	348800
2	Orsha (Орша, Orša)	Orsha (Орша)	Oblast	September, 27 1938	1067	117200
3	Navapolatsk (Наваполацк, Navapołack)	Novopolotsk (Новополоцк)	Oblast	December, 14 1963	1958	98200
4	Polatsk (Полацк, Połack)	Polotsk (Полоцк)	Oblast	September, 27 1938	862	82800
5	Pastavy (Паставы, Pastavy)	Postavy (Поставы)	Raion	January, 15 1940	1409	19800
6	Hlybokaye (Глыбокае, Hłybokaje)	Glubokoye (Глубокое)	Raion	January, 15 1940	1514	18200
7	Lyepyel’ (Лепель, Lepiel)	Lepel’ (Лепель)	Raion	September, 27 1938	1439	17400
8	Novalukoml’ (Новалукомль, Novałukoml)	Novolukoml’ (Новолукомль)	Raion	July, 31 1970	1964	13800
9	Haradok (Гарадок, Haradok)	Gorodok (Городок)	Raion	September, 27 1938	13th century	12900
10	Baran’ (Барань, Barań)	Baran’ (Барань)	Raion	May, 17 1972	1598	11600
11	Talachyn (Талачын, Tałačyn)	Tolochin (Толочин)	Raion	July, 22 1955	1433	10200
12	Braslaw (Браслаў, Brasłaŭ)	Braslav (Браслав)	Raion	1940	1065	9500
13	Chashniki (Чашнікі, Čašniki)	Chashniki (Чашники)	Raion	August, 31 1962	1504	9200
14	Miyory (Міёры, Mijory)	Miory (Миоры)	Raion	January, 7 1972	1514	8100
15	Dubrowna (Дуброўна, Dubroŭna)	Dubrovno (Дубровно)	Raion	September, 27 1938	1773	8000
16	Syanno (Сянно, Sianno)	Senno (Сенно)	Raion	September, 27 1938	1442	8000
17	Vyerhnyadzvinsk (Верхнядзвінск, Vierchniadzvinsk)	Verkhnedvinsk (Верхнедвинск)	Raion	September, 27 1938	1386	7300
18	Dokshytsy (Докшыцы, Dokšycy)	Dokshitsy (Докшицы)	Raion	January, 15 1940	1407	6600
19	Dzisna (Дзісна, Dzisna)	Disna (Дисна)	Raion	January, 15 1940	1461	2000
Mahilyow (Mogilev) Region	Mahilyow (Mogilev) Region	Mahilyow (Mogilev) Region	Mahilyow (Mogilev) Region	Mahilyow (Mogilev) Region	Mahilyow (Mogilev) Region	Mahilyow (Mogilev) Region
1	Mahilyow (Магілёў, Mahiloŭ)	Mogilëv (Могилёв)	Oblast	September, 27 1938	1267	354000
2	Babruysk (Бабруйск, Babrujsk)	Bobruysk (Бобруйск)	Oblast	September, 27 1938	1387	215100
3	Horki (Горкі, Horki)	Gorki (Горки)	Raion	September, 27 1938	1544	32600
4	Asipovichy (Асіповічы, Asipovičy)	Osipovichi (Осиповичи)	Raion	September, 27 1938	1872	32400
5	Krychaw (Крычаў, Kryčaŭ)	Krichev (Кричев)	Raion	September, 27 1938	1136	27100
6	Bykhaw (Быхаў, Bychaŭ)	Bykhov (Быхов)	Raion	September, 27 1938	1430	17000
7	Klimavichy (Клімавічы, Klimavičy)	Klimovichi (Климовичи)	Raion	September, 27 1938	1581	17000
8	Shklow (Шклоў, Škłoŭ)	Shklov (Шклов)	Raion	September, 27 1938	1535	16400
9	Kastsyukovichy (Касцюковічы, Kasciukovičy)	Kostyukovichi (Костюковичи)	Raion	September, 27 1938	16th century	15900
10	Mstsislaw (Мсціслаў, Mscisłaŭ)	Mstislavl’ (Мстиславль)	Raion	September, 27 1938	1135	10700
11	Chavusy (Чавусы, Čavusy)	Chausy (Чаусы)	Raion	September, 27 1938	16th century	10600
12	Kirawsk (Кіраўск, Kiraŭsk)	Kirovsk (Кировск)	Raion	June, 4 2001	19th century	8800
13	Cherykaw (Чэрыкаў, Čerykaŭ)	Cherikov (Чериков)	Raion	September, 27 1938	1604	8200
14	Slawharad (Слаўгарад, Słaŭharad)	Slavgorod (Славгород)	Raion	May, 23 1945	1136	7900
15	Klichaw (Клічаў, Kličaŭ)	Klichev (Кличев)	Raion	September, 11 2000	1592	7500
Homyel’ (Gomel) Region	Homyel’ (Gomel) Region	Homyel’ (Gomel) Region	Homyel’ (Gomel) Region	Homyel’ (Gomel) Region	Homyel’ (Gomel) Region	Homyel’ (Gomel) Region
1	Homyel’ (Гомель, Homiel)	Gomel’ (Гомель)	Oblast	September, 27 1938	1142	484300
2	Mazyr (Мазыр, Mazyr)	Mozyr’ (Мозырь)	Raion	September, 27 1938	1155	108800
3	Zhlobin (Жлобін, Žłobin)	Zhlobin (Жлобин)	Raion	September, 27 1938	1492	75700
4	Svyetlahorsk (Светлагорск, Svietłahorsk)	Svetlogorsk (Светлогорск)	Raion	June, 29 1961	1560	69900
5	Rechytsa (Рэчыца, Rečyca)	Rechitsa (Речица)	Raion	September, 27 1938	1213	64600
6	Kalinkavichy (Калінкавічы, Kalinkavičy)	Kalinkovichi (Калинковичи)	Raion	September, 27 1938	1560	38400
7	Rahachow (Рагачоў, Rahačoŭ)	Rogachëv (Рогачёв)	Raion	September, 27 1938	1560	38400
8	Dobrush (Добруш, Dobruš)	Dobrush (Добруш)	Raion	September, 27 1938	1335	18300
9	Zhytkavichy (Жыткавічы, Žytkavičy)	Zhinkovichi (Житковичи)	Raion	November, 19 1971	1500	15900
10	Khoyniki (Хойнікі, Chojniki)	Khoyniki (Хойники)	Raion	November, 10 1967	1512	13800
11	Pyetrykaw (Петрыкаў, Pietrykaŭ)	Petrikov (Петриков)	Raion	September, 27 1938	1523	10500
12	Yel’sk (Ельск, Jelsk)	Yel’sk (Ельск)	Raion	July, 5 1971	16th century	9700
13	Buda-Kashalyova (Буда-Кашалёва, Buda-Kašalova)	Buda-Koshelëvo (Буда-Кошелёво)	Raion	December, 31 1971	1824	9000
14	Narowlya (Нароўля, Naroŭla)	Narovlya (Наровля)	Raion	November, 3 1971	1406	8100
15	Vyetka (Ветка, Vietka)	Vetka (Ветка)	Raion	September, 27 1938	1685	8000
16	Chachersk (Чачэрск, Čačersk)	Chechersk (Чечерск)	Raion	November, 3 1971	1159	8000
17	Vasilyevichy (Васілевічы, Vasilevičy)	Vasilevichi (Василевичи)	Raion	November, 19 1971	16th century	3900
18	Turaw (Тураў, Turaŭ)	Turov (Туров)	Raion	August, 3 2004	980	2900
Brest Region	Brest Region	Brest Region	Brest Region	Brest Region	Brest Region	Brest Region
1	Brest (Брэст, Brest)	Brest (Брест)	Oblast	January, 15 1940	1019	310800
2	Baranavichy (Баранавічы, Baranavičy)	Baranovichi (Барановичи)	Oblast	January, 15 1940	1871	168200
3	Pinsk (Пінск, Pinsk)	Pinsk (Пинск)	Oblast	January, 15 1940	1097	130600
4	Kobryn (Кобрын, Kobryń)	Kobrin (Кобрин)	Raion	January, 15 1940	1287	51200
5	Byaroza (Бяроза, Biaroza)	Berëza (Берёза)	Raion	January, 15 1940	1477	29400
6	Luninyets (Лунінец, Łuniniec)	Luninets (Лунинец)	Raion	January, 15 1940	1449	23600
7	Ivatsevichy (Івацэвічы, Ivacevičy)	Ivatsevichi (Ивацевичи)	Raion	May, 28 1966	1654	23000
8	Pruzhany (Пружаны, Pružany)	Pruzhany (Пружаны)	Raion	January, 15 1940	1487	19000
9	Ivanava (Іванава, Ivanava)	Ivanovo (Иваново)	Raion	March, 11 1971	1423	16100
10	Drahichyn (Драгічын, Drahičyn)	Drogichin (Дрогичин)	Raion	November, 10 1967	1452	14600
11	Hantsavichy (Ганцавічы, Hancavičy)	Gantsevichi (Ганцевичи)	Raion	December, 6 1973	1898	13900
12	Zhabinka (Жабінка, Žabinka)	Zhabinka (Жабинка)	Raion	December, 23 1970	1871	13100
13	Mikashevichy (Мікашэвічы, Mikaševičy)	Mikashevichi (Микашевичи)	Raion	May, 5 1998	1785	13000
14	Byelaazyorsk (Белаазёрск, Biełaaziorsk)	Beloozërsk (Белоозёрск)	Raion	September, 16 1970	1958	12500
15	Stolin (Столін, Stolin)	Stolin (Столин)	Raion	January, 15 1940	1555	12400
16	Malaryta (Маларыта, Małaryta)	Malorita (Малорита)	Raion	December, 23 1970	1566	11700
17	Lyakhavichy (Ляхавічы, Lachavičy)	Lyakhovichi (Ляховичи)	Raion	January, 15 1940	1572	11000
18	Kamyanyets (Камянец, Kamianiec)	Kamenets (Каменец)	Raion	June, 24 1983	1276	8400
19	Davyd-Haradok (Давыд-Гарадок, Davyd-Haradok)	David-Gorodok (Давид-Городок)	Raion	January, 15 1940	1127	6500
20	Vysokaye (Высокае, Vysokaje)	Vysokoye (Высокое)	Raion	January, 15 1940	14th century	5400
21	Kosava (Косава, Kosava)	Kossovo (Коссово)	Raion	January, 15 1940	1494	2000
Hrodna (Grodno) Region	Hrodna (Grodno) Region	Hrodna (Grodno) Region	Hrodna (Grodno) Region	Hrodna (Grodno) Region	Hrodna (Grodno) Region	Hrodna (Grodno) Region
1	Hrodna (Гродна, Hrodna)	Grodno (Гродно)	Oblast	January, 15 1940	1127	328000
2	Lida (Ліда, Lida)	Lida (Лида)	Raion	January, 15 1940	1323	97600
3	Slonim (Слонім, Słonim)	Slonim (Слоним)	Raion	January, 15 1940	1252	48800
4	Vawkavysk (Ваўкавыск, Vaŭkavysk)	Volkovysk (Волковыск)	Raion	January, 15 1940	1005	44000
5	Smarhon’ (Смаргонь, Smarhoń)	Smorgon (Сморгонь)	Raion	January, 15 1940	1503	36200
6	Navahrudak (Навагрудак, Navahrudak)	Novogrudok (Новогрудок)	Raion	January, 15 1940	1212	29200
7	Masty (Масты, Masty)	Mosty (Мосты)	Raion	July, 22 1955	1486	16600
8	Shchuchyn (Шчучын, Ščučyn)	Shchuchin (Щучин)	Raion	August, 31 1962	1487	15000
9	Ashmyany (Ашмяны, Ašmiany)	Oshmyany (Ошмяны)	Raion	January, 15 1940	1341	14800
10	Skidzyel’ (Скідзель, Skidziel)	Skidel’ (Скидель)	Raion	January, 30 1974	1508	10800
11	Byarozawka (Бярозаўка, Biarozaŭka)	Berëzovka (Берёзовка)	Raion	September, 21 1990	19th century	10800
12	Iwye (Іўе, Iŭje)	Iv’ye (Ивье)	Raion	January, 12 2000	1444	8100
13	Dzyatlava (Дзятлава, Dziatłava)	Dyatlovo (Дятлово)	Raion	September, 21 1990	1498	7800
14	Svislach (Свіслач, Svisłač)	Svisloch (Свислочь)	Raion	January, 11 2000	1256	6900
