Manufacturer	Model	Transmission	Engine Capacity	Fuel Type	L/100km Urban (Cold)	L/100km Extra-Urban	L/100km Combined	mpg-UK Urban (Cold)	mpg-UK Extra-Urban	mpg-UK Combined	mpg-US Urban	mpg-US Extra-Urban	mpg-US Combined	CO 2 g/km	Green Rating
Audi	A3	M6	1984	Petrol	10.3	5.8	7.4	27.4	48.7	38.2	22.8	40.6	31.8	177	E
Audi	A3	A6	1984	Petrol	11.5	6.0	8.0	24.6	47.1	35.3	20.5	39.2	29.4	192	F
Audi	A3	M6	1984	Petrol	10.9	6.0	7.8	25.9	47.1	36.2	21.6	39.2	30.1	186	F
Audi	A3	D6	1984	Petrol	10.6	6.0	7.7	26.6	47.1	36.7	22.1	39.2	30.6	182	E
Audi	A3	QM6	1984	Petrol	12.3	6.8	8.8	23.0	41.5	32.1	19.2	34.6	26.7	209	F
Audi	A3	QM6	3189	Petrol	14.7	8.1	10.5	19.2	34.9	26.9	16.0	29.1	22.4	250	G
Audi	A3	QD6	3189	Petrol	13.0	7.3	9.4	21.7	38.7	30.1	18.1	32.2	25.1	224	F
Audi	A3	M5	1896	Diesel	5.8	3.8	4.5	48.7	74.3	62.8	40.6	61.9	52.3	119	B
Audi	A3	M5	1896	Diesel	6.6	4.2	5.1	42.8	67.3	55.4	35.6	56.0	46.1	135	C
Audi	A3	M6	1968	Diesel	7.1	4.5	5.4	40.4	62.8	52.3	33.6	52.3	43.5	143	C
Audi	A3	D6	1968	Diesel	7.6	4.9	5.8	37.2	57.6	48.7	31.0	48.0	40.6	154	D
Audi	A3	M6	1968	Diesel	7.7	4.5	5.7	36.7	62.8	49.6	30.6	52.3	41.3	151	D
Audi	A3	D6	1968	Diesel	7.6	4.9	5.9	37.2	57.6	47.9	31.0	48.0	39.9	156	D
Audi	A3	QM6	1968	Diesel	8.5	5.1	6.4	33.2	55.4	44.1	27.6	46.1	36.7	173	E
Audi	A3 Sportback	M6	1390	Petrol	8.6	5.3	6.5	32.8	53.3	43.5	27.3	44.4	36.2	154	D
Audi	A3 Sportback	M5	1595	Petrol	9.7	5.7	7.2	29.1	49.6	39.2	24.2	41.3	32.6	171	E
Audi	A3 Sportback	A6	1595	Petrol	10.9	5.9	7.7	25.9	47.9	36.7	21.6	39.9	30.6	183	E
Audi	A3 Sportback	M6	1598	Petrol	8.8	5.3	6.6	32.1	53.3	42.8	26.7	44.4	35.6	158	D
Audi	A3 Sportback	M6	1781	Petrol	10.1	5.8	7.4	28.0	48.7	38.2	23.3	40.6	31.8	176	E
Audi	A3 Sportback	D6	1781	Petrol	10.4	5.8	7.5	27.2	48.7	37.7	22.6	40.6	31.4	179	E
Audi	A3 Sportback	M6	1984	Petrol	10.3	5.8	7.4	27.4	48.7	38.2	22.8	40.6	31.8	177	E
Audi	A3 Sportback	A6	1984	Petrol	11.6	6.1	8.1	24.4	46.3	34.9	20.3	38.6	29.1	194	F
Audi	A3 Sportback	M6	1984	Petrol	11.0	6.1	7.9	25.7	46.3	35.8	21.4	38.6	29.8	189	F
Audi	A3 Sportback	D6	1984	Petrol	10.6	6.0	7.7	26.6	47.1	36.7	22.1	39.2	30.6	182	E
Audi	A3 Sportback	QM6	1984	Petrol	12.4	6.9	8.9	22.8	40.9	31.7	19.0	34.1	26.4	212	F
Audi	A3 Sportback	QM6	3189	Petrol	14.7	8.1	10.5	19.2	34.9	26.9	16.0	29.1	22.4	250	G
Audi	A3 Sportback	QD6	3189	Petrol	13.1	7.6	9.6	21.6	37.2	29.4	18.0	31.0	24.5	228	G
Audi	A3 Sportback	M5	1896	Diesel	5.8	3.8	4.5	48.7	74.3	62.8	40.6	61.9	52.3	119	B
Audi	A3 Sportback	M5	1896	Diesel	6.7	4.3	5.2	42.2	65.7	54.3	35.1	54.7	45.2	138	C
Audi	A3 Sportback	M6	1986	Diesel	7.2	4.6	5.5	39.2	61.4	51.4	32.6	51.1	42.8	146	C
Audi	A3 Sportback	D6	1968	Diesel	7.6	4.9	5.8	37.2	57.6	48.7	31.0	48.0	40.6	154	D
Audi	A3 Sportback	M6	1968	Diesel	7.8	4.6	5.8	36.2	61.4	48.7	30.1	51.1	40.6	154	D
Audi	A3 Sportback	D6	1968	Diesel	7.6	4.9	5.9	37.2	57.6	47.9	31.0	48.0	39.9	156	D
Audi	A3 Sportback	QM6	1968	Diesel	8.5	5.1	6.4	33.2	55.4	44.1	27.6	46.1	36.7	173	E
Audi	A3 Cabriolet	M6	1781	Petrol	10.0	5.7	7.3	28.2	49.6	38.7	23.5	41.3	32.2	174	E
Audi	A3 Cabriolet	D6	1781	Petrol	10.6	5.8	7.6	26.6	48.7	37.2	22.1	40.6	31.0	180	E
Audi	A3 Cabriolet	M6	1984	Petrol	10.6	5.9	7.6	26.6	47.9	37.2	22.1	39.9	31.0	182	E
Audi	A3 Cabriolet	D6	1984	Petrol	10.3	6.1	7.6	27.4	46.3	37.2	22.8	38.6	31.0	181	E
Audi	A3 Cabriolet	M5	1896	Diesel	6.4	4.3	5.1	44.1	65.7	55.4	36.7	54.7	46.1	134	C
Audi	A3 Cabriolet	M6	1968	Diesel	6.8	4.4	5.3	41.5	64.2	53.3	34.6	53.5	44.4	139	C
Audi	A3 Cabriolet	D6	1968	Diesel	7.3	4.6	5.6	38.7	61.4	50.4	32.2	51.1	42.0	148	C
Audi	A4 Saloon	M5	1781	Petrol	11.1	6.4	8.1	25.4	44.1	34.9	21.1	36.7	29.1	192	F
Audi	A4 Saloon	AV	1781	Petrol	11.4	6.5	8.3	24.8	43.5	34.0	20.7	36.2	28.3	199	F
Audi	A4 Saloon	QM6	1781	Petrol	12.6	6.9	9.0	22.4	40.9	31.4	18.7	34.1	26.1	216	F
Audi	A4 Saloon	M5	1984	Petrol	11.6	6.1	8.2	24.4	46.3	34.4	20.3	38.6	28.6	193	F
Audi	A4 Saloon	AV	1984	Petrol	11.0	6.3	8.0	25.7	44.8	35.3	21.4	37.3	29.4	191	F
Audi	A4 Saloon	M6	1984	Petrol	10.9	5.8	7.7	25.9	48.7	36.7	21.6	40.6	30.6	184	E
Audi	A4 Saloon	AV	1984	Petrol	11.2	6.3	8.1	25.2	44.8	34.9	21.0	37.3	29.1	194	F
Audi	A4 Saloon	QM6	1984	Petrol	12.6	6.6	8.8	22.4	42.8	32.1	18.7	35.6	26.7	209	F
Audi	A4 Saloon	QA6	1984	Petrol	13.1	7.2	9.4	21.6	39.2	30.1	18.0	32.6	25.1	224	F
Audi	A4 Saloon	M6	1984	Petrol	11.2	6.2	8.0	25.2	45.6	35.3	21.0	38.0	29.4	192	F
Audi	A4 Saloon	QM6	1984	Petrol	12.7	6.9	9.0	22.2	40.9	31.4	18.5	34.1	26.1	214	F
Audi	A4 Saloon	AV	3123	Petrol	13.8	6.9	9.5	20.5	40.9	29.7	17.1	34.1	24.7	225	F
Audi	A4 Saloon	QM6	3123	Petrol	15.7	7.5	10.5	18.0	37.7	26.9	15.0	31.4	22.4	250	G
Audi	A4 Saloon	QA6	3123	Petrol	15.5	7.8	10.6	18.2	36.2	26.6	15.2	30.1	22.1	252	G
Audi	A4 Saloon	M5	1896	Diesel	7.8	4.5	5.7	36.2	62.8	49.6	30.1	52.3	41.3	152	D
Audi	A4 Saloon	M6	1968	Diesel	7.8	4.5	5.7	36.2	62.8	49.6	30.1	52.3	41.3	151	D
Audi	A4 Saloon	AV	1968	Diesel	8.2	5.1	6.2	34.4	55.4	45.6	28.6	46.1	38.0	164	D
Audi	A4 Saloon	M6	1984	Diesel	7.9	4.6	5.8	35.8	61.4	48.7	29.8	51.1	40.6	154	D
Audi	A4 Saloon	QM6	1984	Diesel	9.2	5.3	6.7	30.7	53.3	42.2	25.6	44.4	35.1	177	E
Audi	A4 Saloon	M6	2698	Diesel	9.5	5.1	6.7	29.7	55.4	42.2	24.7	46.1	35.1	179	E
Audi	A4 Saloon	AV	2698	Diesel	9.2	5.4	6.8	30.7	52.3	41.5	25.6	43.5	34.6	179	E
Audi	A4 Saloon	QM6	2967	Diesel	10.7	5.7	7.5	26.4	49.6	37.7	22.0	41.3	31.4	198	F
Audi	A4 Saloon	QA6	2967	Diesel	11.6	6.2	8.2	24.4	45.6	34.4	20.3	38.0	28.6	219	F
Audi	A4 Avant	M5	1781	Petrol	11.4	6.5	8.3	24.8	43.5	34.0	20.7	36.2	28.3	199	F
Audi	A4 Avant	AV	1781	Petrol	11.5	6.6	8.4	24.6	42.8	33.6	20.5	35.6	28.0	202	F
Audi	A4 Avant	QM6	1781	Petrol	12.6	6.9	9.0	22.4	40.9	31.4	18.7	34.1	26.1	216	F
Audi	A4 Avant	M5	1984	Petrol	11.6	6.1	8.2	24.4	46.3	34.4	20.3	38.6	28.6	193	F
Audi	A4 Avant	AV	1984	Petrol	11.1	6.4	8.1	25.4	44.1	34.9	21.1	36.7	29.1	194	F
Audi	A4 Avant	M6	1984	Petrol	11.0	5.9	7.8	25.7	47.9	36.2	21.4	39.9	30.1	186	F
Audi	A4 Avant	AV	1984	Petrol	11.2	6.3	8.1	25.2	44.8	34.9	21.0	37.3	29.1	194	F
Audi	A4 Avant	QM6	1984	Petrol	12.6	6.6	8.8	22.4	42.8	32.1	18.7	35.6	26.7	209	F
Audi	A4 Avant	QA6	1984	Petrol	13.4	7.3	9.5	21.1	38.7	29.7	17.6	32.2	24.7	226	G
Audi	A4 Avant	M6	1984	Petrol	11.3	6.3	8.1	25.0	44.8	34.9	20.8	37.3	29.1	194	F
Audi	A4 Avant	QM6	1984	Petrol	12.7	6.9	9.0	22.2	40.9	31.4	18.5	34.1	26.1	214	F
Audi	A4 Avant	AV	3123	Petrol	13.9	7.0	9.6	20.3	40.4	29.4	16.9	33.6	24.5	228	G
Audi	A4 Avant	QM6	3123	Petrol	15.8	7.6	10.6	17.9	37.2	26.6	14.9	31.0	22.1	252	G
Audi	A4 Avant	QA6	3123	Petrol	15.5	7.8	10.6	18.2	36.2	26.6	15.2	30.1	22.1	252	G
Audi	A4 Avant	M5	1896	Diesel	7.9	4.6	5.8	35.8	61.4	48.7	29.8	51.1	40.6	154	D
Audi	A4 Avant	M6	1968	Diesel	7.9	4.6	5.8	35.8	61.4	48.7	29.8	51.1	40.6	154	D
Audi	A4 Avant	AV	1968	Diesel	8.2	5.1	6.2	34.4	55.4	45.6	28.6	46.1	38.0	164	D
Audi	A4 Avant	M6	1984	Diesel	7.9	4.6	5.8	35.8	61.4	48.7	29.8	51.1	40.6	154	D
Audi	A4 Avant	QM6	1984	Diesel	9.3	5.4	6.8	30.4	52.3	41.5	25.3	43.5	34.6	179	E
Audi	A4 Avant	M6	2698	Diesel	9.6	5.2	6.8	29.4	54.3	41.5	24.5	45.2	34.6	182	E
Audi	A4 Avant	AV	2698	Diesel	9.2	5.4	6.8	20.7	52.3	41.5	17.2	43.5	34.6	179	E
Audi	A4 Avant	QM6	2967	Diesel	10.7	5.7	7.5	26.4	49.6	37.7	22.0	41.3	31.4	198	F
Audi	A4 Avant	QA6	2967	Diesel	11.8	6.3	8.3	23.9	44.8	34.0	19.9	37.3	28.3	222	F
Audi	New A4 Saloon	M6	1798	Petrol	9.9	5.5	7.1	28.5	51.4	39.8	23.7	42.8	33.1	169	E
Audi	New A4 Saloon	M6	1798	Petrol	9.7	5.8	7.2	29.1	48.7	39.2	24.2	40.6	32.6	172	E
Audi	New A4 Saloon	AV	1798	Petrol	10.5	5.9	7.6	26.9	47.9	37.2	22.4	39.9	31.0	179	E
Audi	New A4 Saloon	M6	3197	Petrol	13.5	6.7	9.2	20.9	42.2	30.7	17.4	35.1	25.6	219	F
Audi	New A4 Saloon	A6	3197	Petrol	13.6	6.8	9.3	20.8	41.5	30.4	17.3	34.6	25.3	220	F
Audi	New A4 Saloon	M6	1968	Diesel	7.5	4.3	5.5	37.7	65.7	51.4	31.4	54.7	42.8	144	C
Audi	New A4 Saloon	AV	1968	Diesel	7.8	4.7	5.8	36.2	60.1	48.7	30.1	50.0	40.6	154	D
Audi	New A4 Saloon	AV	2698	Diesel	8.1	5.7	6.6	34.9	49.6	42.8	29.1	41.3	35.6	176	E
Audi	New A4 Saloon	QM6	2967	Diesel	9.2	5.5	6.9	30.7	51.4	40.9	25.6	42.8	34.1	183	E
Audi	A5 Coupé	M6	1798	Petrol	9.9	5.5	7.1	28.5	51.4	39.8	23.7	42.8	33.1	169	E
Audi	A5 Coupé	QM6	3197	Petrol	13.5	6.7	9.2	20.9	42.2	30.7	17.4	35.1	25.6	219	F
Audi	A5 Coupé	AV	3197	Petrol	12.5	6.5	8.7	22.6	43.5	32.5	18.8	36.2	27.1	207	F
Audi	A5 Coupé	QM6	4163	Petrol	18.1	8.7	12.1	12.4	32.5	23.3	10.3	27.1	19.4	288	G
Audi	A5 Coupé	AV	2698	Diesel	8.2	5.8	6.7	34.4	48.7	42.2	28.6	40.6	35.1	179	E
Audi	A5 Coupé	QM6	2967	Diesel	9.9	5.7	7.2	28.5	49.6	39.2	23.7	41.3	32.6	191	F
Audi	A6 Saloon	M6	1984	Petrol	10.8	6.2	7.9	26.2	45.6	35.8	21.8	38.0	29.8	187	F
Audi	A6 Saloon	AV	1984	Petrol	11.2	6.5	8.2	25.2	43.5	34.4	21.0	36.2	28.6	194	F
Audi	A6 Saloon	M6	2393	Petrol	14.1	7.1	9.7	19.8	39.8	29.1	16.5	33.1	24.2	231	G
Audi	A6 Saloon	AV	2393	Petrol	13.7	7.1	9.6	20.6	39.8	29.4	17.2	33.1	24.5	229	G
Audi	A6 Saloon	QM6	2393	Petrol	16.0	7.8	10.8	17.7	36.2	25.9	14.7	30.1	21.6	257	G
Audi	A6 Saloon	M6	2773	Petrol	12.9	6.3	8.7	21.9	44.8	32.5	18.2	37.3	27.1	207	F
Audi	A6 Saloon	AV	2773	Petrol	12.8	6.5	8.8	22.1	43.5	32.1	18.4	36.2	26.7	209	F
Audi	A6 Saloon	QA6	2773	Petrol	13.8	7.3	9.7	20.5	38.7	29.1	17.1	32.2	24.2	231	G
Audi	A6 Saloon	M6	3123	Petrol	14.1	7.1	9.7	19.8	39.8	29.1	16.5	33.1	24.2	231	G
Audi	A6 Saloon	AV	3123	Petrol	13.9	7.1	9.6	20.3	39.8	29.4	16.9	33.1	24.5	229	G
Audi	A6 Saloon	QM6	3123	Petrol	15.5	7.9	10.7	18.2	35.8	26.4	15.2	29.8	22.0	255	G
Audi	A6 Saloon	QA6	3123	Petrol	15.7	8.1	10.9	18.0	34.9	25.9	15.0	29.1	21.6	259	G
Audi	A6 Saloon	QA6	4163	Petrol	15.6	8.1	10.8	18.1	34.9	26.2	15.1	29.1	21.8	257	G
Audi	A6 Saloon	M6	1968	Diesel	8.5	4.7	6.1	33.2	60.1	46.3	27.6	50.0	38.6	159	D
Audi	A6 Saloon	AV	1968	Diesel	8.8	5.5	6.7	32.1	51.4	42.2	26.7	42.8	35.1	178	E
Audi	A6 Saloon	M6	2698	Diesel	9.7	5.3	6.9	29.1	53.3	40.9	24.2	44.4	34.1	184	E
Audi	A6 Saloon	AV	2698	Diesel	9.9	5.7	7.2	28.5	49.6	39.2	23.7	41.3	32.6	192	F
Audi	A6 Saloon	AV	2698	Diesel	10.0	5.8	7.3	28.2	48.7	38.7	23.5	40.6	32.2	194	F
Audi	A6 Saloon	QA6	2698	Diesel	11.5	6.6	8.4	24.6	42.8	33.6	20.5	35.6	28.0	222	F
Audi	A6 Saloon	QM6	2967	Diesel	11.3	6.1	8.0	25.0	46.3	35.3	20.8	38.6	29.4	213	F
Audi	A6 Saloon	QA6	2967	Diesel	12.0	6.1	8.3	23.5	46.3	34.0	19.6	38.6	28.3	222	F
Audi	A6 Avant	M6	1984	Petrol	11.0	6.4	8.1	25.7	44.1	34.9	21.4	36.7	29.1	192	F
Audi	A6 Avant	AV	1984	Petrol	11.2	6.5	8.2	25.2	43.5	34.4	21.0	36.2	28.6	194	F
Audi	A6 Avant	M6	2393	Petrol	14.3	7.2	9.8	19.5	39.2	28.5	16.2	32.6	23.7	233	G
Audi	A6 Avant	AV	2393	Petrol	13.7	7.1	9.6	20.6	39.8	29.4	17.2	33.1	24.5	229	G
Audi	A6 Avant	QM6	2393	Petrol	16.1	7.9	10.9	17.5	35.8	25.9	14.6	29.8	21.6	259	G
Audi	A6 Avant	M6	2773	Petrol	13.0	6.4	8.8	21.7	44.1	32.1	18.1	36.7	26.7	209	F
Audi	A6 Avant	AV	2773	Petrol	12.8	6.5	8.8	22.1	43.5	32.1	18.4	36.2	26.7	209	F
Audi	A6 Avant	QA6	2773	Petrol	13.8	7.3	9.7	20.5	38.7	29.1	17.1	32.2	24.2	231	G
Audi	A6 Avant	M6	3123	Petrol	14.3	7.2	9.8	19.8	39.2	28.8	16.5	32.6	24.0	233	G
Audi	A6 Avant	AV	3123	Petrol	13.9	7.1	9.6	20.3	39.8	29.4	16.9	33.1	24.5	229	G
Audi	A6 Avant	QM6	3123	Petrol	15.6	8.0	10.8	18.1	35.3	26.2	15.1	29.4	21.8	257	G
Audi	A6 Avant	QA6	3123	Petrol	15.7	8.1	10.9	18.0	34.9	25.9	15.0	29.1	21.6	259	G
Audi	A6 Avant	QA6	4163	Petrol	15.7	8.2	10.9	18.0	34.4	25.9	15.0	28.6	21.6	259	G
Audi	A6 Avant	M6	1968	Diesel	8.6	4.8	6.2	32.8	58.9	45.6	27.3	49.0	38.0	162	D
Audi	A6 Avant	AV	1968	Diesel	8.8	5.5	6.7	32.1	51.4	42.2	26.7	42.8	35.1	178	E
Audi	A6 Avant	M6	2698	Diesel	9.9	5.5	7.1	28.5	51.4	39.8	23.7	42.8	33.1	189	F
Audi	A6 Avant	AV	2698	Diesel	10.1	5.8	7.4	28.0	48.7	38.2	23.3	40.6	31.8	197	F
Audi	A6 Avant	AV	2698	Diesel	10.2	5.9	7.5	27.7	47.9	37.7	23.1	39.9	31.4	199	F
Audi	A6 Avant	QA6	2698	Diesel	11.6	6.7	8.5	24.4	42.2	33.2	20.3	35.1	27.6	225	F
Audi	A6 Avant	QM6	2967	Diesel	11.4	6.2	8.1	24.8	45.6	34.9	20.7	38.0	29.1	215	F
Audi	A6 Avant	QA6	2967	Diesel	12.1	6.2	8.4	23.3	45.6	33.6	19.4	38.0	28.0	225	F
Audi	A8	AV	2773	Petrol	11.8	6.3	8.3	23.9	44.8	34.0	19.9	37.3	28.3	199	F
Audi	A8	AV	3123	Petrol	14.7	7.1	9.9	19.2	39.8	28.5	16.0	33.1	23.7	237	G
Audi	A8	QA6	3123	Petrol	16.0	7.8	10.9	17.7	36.2	25.9	14.7	30.1	21.6	262	G
Audi	A8	QA6	3123	Petrol	15.7	8.2	10.9	18.0	34.4	25.9	15.0	28.6	21.6	259	G
Audi	A8	QA6	4163	Petrol	15.7	8.2	10.9	18.0	34.4	25.9	15.0	28.6	21.6	259	G
Audi	A8	QA6	5998	Petrol	21.4	10.8	14.7	13.2	26.2	19.2	11.0	21.8	16.0	353	G
Audi	A8	QA6	5998	Petrol	20.7	10.0	13.9	13.6	28.2	20.3	11.3	23.5	16.9	334	G
