Country	Freedom in the World 2013	2013 Index of Economic Freedom	2013 Press Freedom Index	2012 Democracy Index
Croatia	1 free	3 moderately free	3 noticeable problems	2 flawed democracy
Cuba	5 not free	5 repressed	5 very serious situation	5 authoritarian regime
Cyprus	1 free	3 moderately free	2 satisfactory situation	2 flawed democracy
Czech Republic	1 free	2 mostly free	2 satisfactory situation	1 full democracy
Denmark	1 free	2 mostly free	1 good situation	1 full democracy
Djibouti	5 not free	4 mostly unfree	5 very serious situation	5 authoritarian regime
Dominica	1 free	3 moderately free	2 satisfactory situation	n/a
Dominican Republic	1 free	4 mostly unfree	3 noticeable problems	2 flawed democracy
East Timor	3 partly free	5 repressed	3 noticeable problems	2 flawed democracy
Ecuador	3 partly free	5 repressed	3 noticeable problems	4 hybrid regime
Egypt	3 partly free	4 mostly unfree	4 difficult situation	4 hybrid regime
El Salvador	1 free	3 moderately free	2 satisfactory situation	2 flawed democracy
Equatorial Guinea	5 not free	5 repressed	5 very serious situation	5 authoritarian regime
Eritrea	5 not free	5 repressed	5 very serious situation	5 authoritarian regime
Estonia	1 free	2 mostly free	1 good situation	2 flawed democracy
Ethiopia	5 not free	5 repressed	4 difficult situation	5 authoritarian regime
Fiji	5 not free	4 mostly unfree	4 difficult situation	5 authoritarian regime
Finland	1 free	2 mostly free	1 good situation	1 full democracy
France	1 free	3 moderately free	2 satisfactory situation	2 flawed democracy
Gabon	5 not free	4 mostly unfree	3 noticeable problems	5 authoritarian regime
Gambia	5 not free	4 mostly unfree	4 difficult situation	5 authoritarian regime
Georgia	3 partly free	2 mostly free	3 noticeable problems	4 hybrid regime
Germany	1 free	2 mostly free	1 good situation	1 full democracy
Ghana	1 free	3 moderately free	2 satisfactory situation	2 flawed democracy
Greece	1 free	4 mostly unfree	3 noticeable problems	2 flawed democracy
Grenada	1 free	n/a	2 satisfactory situation	n/a
Guatemala	3 partly free	3 moderately free	3 noticeable problems	4 hybrid regime
Guinea	3 partly free	4 mostly unfree	3 noticeable problems	5 authoritarian regime
Guinea-Bissau	5 not free	4 mostly unfree	3 noticeable problems	5 authoritarian regime
Guyana	1 free	4 mostly unfree	3 noticeable problems	2 flawed democracy
Haiti	3 partly free	5 repressed	2 satisfactory situation	4 hybrid regime
Honduras	3 partly free	4 mostly unfree	4 difficult situation	4 hybrid regime
Hong Kong	3 partly free	1 free	2 satisfactory situation	2 flawed democracy
Hungary	1 free	3 moderately free	3 noticeable problems	2 flawed democracy
Iceland	1 free	2 mostly free	1 good situation	1 full democracy
India	1 free	4 mostly unfree	3 noticeable problems	2 flawed democracy
Indonesia	1 free	4 mostly unfree	4 difficult situation	2 flawed democracy
Iran	5 not free	5 repressed	5 very serious situation	5 authoritarian regime
Iraq	5 not free	n/a	4 difficult situation	4 hybrid regime
Ireland	1 free	2 mostly free	1 good situation	1 full democracy
Israel	1 free	3 moderately free	3 noticeable problems	2 flawed democracy
Italy	1 free	3 moderately free	3 noticeable problems	2 flawed democracy
Ivory Coast	5 not free	4 mostly unfree	3 noticeable problems	5 authoritarian regime
Jamaica	1 free	3 moderately free	1 good situation	2 flawed democracy
Japan	1 free	2 mostly free	2 satisfactory situation	1 full democracy
Jordan	5 not free	2 mostly free	4 difficult situation	5 authoritarian regime
Kazakhstan	5 not free	3 moderately free	4 difficult situation	5 authoritarian regime
Kenya	3 partly free	4 mostly unfree	3 noticeable problems	4 hybrid regime
Kiribati	1 free	5 repressed	n/a	n/a
Korea, North	5 not free	5 repressed	5 very serious situation	5 authoritarian regime
Korea, South	1 free	2 mostly free	2 satisfactory situation	1 full democracy
Kosovo	3 partly free	n/a	3 noticeable problems	n/a
Kuwait	3 partly free	3 moderately free	3 noticeable problems	5 authoritarian regime
Kyrgyzstan	3 partly free	4 mostly unfree	3 noticeable problems	4 hybrid regime
Laos	5 not free	4 mostly unfree	5 very serious situation	5 authoritarian regime
Latvia	1 free	3 moderately free	2 satisfactory situation	2 flawed democracy
Lebanon	3 partly free	4 mostly unfree	3 noticeable problems	4 hybrid regime
Lesotho	1 free	5 repressed	3 noticeable problems	2 flawed democracy
Liberia	3 partly free	5 repressed	3 noticeable problems	4 hybrid regime
Libya	3 partly free	n/a	4 difficult situation	4 hybrid regime
Liechtenstein	1 free	n/a	n/a	n/a
Lithuania	1 free	2 mostly free	2 satisfactory situation	2 flawed democracy
Luxembourg	1 free	2 mostly free	1 good situation	1 full democracy
Macedonia	1 free	3 moderately free	3 noticeable problems	2 flawed democracy
Madagascar	3 partly free	3 moderately free	3 noticeable problems	5 authoritarian regime
Malawi	3 partly free	4 mostly unfree	4 difficult situation	2 flawed democracy
Malaysia	3 partly free	3 moderately free	4 difficult situation	2 flawed democracy
Maldives	3 partly free	5 repressed	3 noticeable problems	n/a
Mali	5 not free	4 mostly unfree	3 noticeable problems	4 hybrid regime
Malta	1 free	3 moderately free	3 noticeable problems	1 full democracy
Mauritania	3 partly free	4 mostly unfree	3 noticeable problems	4 hybrid regime
Mauritius	1 free	2 mostly free	3 noticeable problems	1 full democracy
Mexico	3 partly free	3 moderately free	4 difficult situation	2 flawed democracy
Micronesia, Federated States of	1 free	4 mostly unfree	n/a	n/a
Moldova	3 partly free	4 mostly unfree	3 noticeable problems	2 flawed democracy
Monaco	1 free	n/a	n/a	n/a
Mongolia	1 free	3 moderately free	3 noticeable problems	2 flawed democracy
Montenegro	1 free	3 moderately free	3 noticeable problems	2 flawed democracy
Morocco	3 partly free	4 mostly unfree	4 difficult situation	4 hybrid regime
Mozambique	3 partly free	4 mostly unfree	3 noticeable problems	4 hybrid regime
Namibia	1 free	3 moderately free	1 good situation	2 flawed democracy
Nauru	1 free	n/a	n/a	n/a
Nepal	3 partly free	4 mostly unfree	3 noticeable problems	4 hybrid regime
Netherlands	1 free	2 mostly free	1 good situation	1 full democracy
New Zealand	1 free	1 free	1 good situation	1 full democracy
Nicaragua	3 partly free	4 mostly unfree	3 noticeable problems	4 hybrid regime
Niger	3 partly free	4 mostly unfree	2 satisfactory situation	4 hybrid regime
Nigeria	3 partly free	4 mostly unfree	4 difficult situation	5 authoritarian regime
Northern Cyprus	1 free	n/a	3 noticeable problems	n/a
Norway	1 free	2 mostly free	1 good situation	1 full democracy
Oman	5 not free	3 moderately free	4 difficult situation	5 authoritarian regime
Pakistan	3 partly free	4 mostly unfree	4 difficult situation	4 hybrid regime
Palestinian National Authority	5 not free	n/a	4 difficult situation	4 hybrid regime
Panama	1 free	3 moderately free	3 noticeable problems	2 flawed democracy
Papua New Guinea	1 free	4 mostly unfree	2 satisfactory situation	2 flawed democracy
Paraguay	1 free	3 moderately free	3 noticeable problems	2 flawed democracy
Peru	1 free	3 moderately free	3 noticeable problems	2 flawed democracy
Philippines	3 partly free	4 mostly unfree	4 difficult situation	2 flawed democracy
Poland	1 free	3 moderately free	2 satisfactory situation	2 flawed democracy
Portugal	1 free	3 moderately free	2 satisfactory situation	2 flawed democracy
Puerto Rico	1 free	n/a	2 satisfactory situation	n/a
Qatar	5 not free	2 mostly free	3 noticeable problems	5 authoritarian regime
Romania	1 free	3 moderately free	3 noticeable problems	2 flawed democracy
Russia	5 not free	5 mostly unfree	4 difficult situation	5 authoritarian regime
Rwanda	5 not free	3 moderately free	5 very serious situation	5 authoritarian regime
Saint Lucia	1 free	2 mostly free	2 satisfactory situation	n/a
Saint Vincent and the Grenadines	1 free	3 moderately free	2 satisfactory situation	n/a
Samoa	1 free	4 mostly unfree	3 noticeable problems	n/a
São Tomé and Príncipe	1 free	5 repressed	2 satisfactory situation	n/a
Saudi Arabia	5 not free	3 moderately free	5 very serious situation	5 authoritarian regime
Senegal	1 free	4 mostly unfree	3 noticeable problems	2 flawed democracy
Serbia	1 free	4 mostly unfree	3 noticeable problems	2 flawed democracy
Seychelles	3 partly free	4 mostly unfree	3 noticeable problems	n/a
Sierra Leone	3 partly free	5 repressed	3 noticeable problems	4 hybrid regime
Singapore	3 partly free	1 free	4 difficult situation	4 hybrid regime
Slovakia	1 free	3 moderately free	2 satisfactory situation	2 flawed democracy
Slovenia	1 free	3 moderately free	2 satisfactory situation	2 flawed democracy
Solomon Islands	3 partly free	5 repressed	3 noticeable problems	n/a
Somalia	5 not free	n/a	5 very serious situation	n/a
Somaliland	3 partly free	n/a	n/a	n/a
South Africa	1 free	3 moderately free	2 satisfactory situation	2 flawed democracy
South Sudan	5 not free	n/a	3 noticeable problems	n/a
Spain	1 free	3 moderately free	2 satisfactory situation	1 full democracy
Sri Lanka	3 partly free	3 moderately free	5 very serious situation	4 hybrid regime
Sudan	5 not free	n/a	5 very serious situation	5 authoritarian regime
Suriname	1 free	4 mostly unfree	2 satisfactory situation	2 flawed democracy
Swaziland	5 not free	4 mostly unfree	4 difficult situation	5 authoritarian regime
Sweden	1 free	2 mostly free	1 good situation	1 full democracy
Switzerland	1 free	1 free	1 good situation	1 full democracy
Syria	5 not free	n/a	5 very serious situation	5 authoritarian regime
Taiwan	1 free	2 mostly free	2 satisfactory situation	2 flawed democracy
Tajikistan	5 not free	4 mostly unfree	4 difficult situation	5 authoritarian regime
Tanzania	3 partly free	4 mostly unfree	2 satisfactory situation	4 hybrid regime
Thailand	3 partly free	3 moderately free	4 difficult situation	2 flawed democracy
Togo	3 partly free	5 repressed	3 noticeable problems	5 authoritarian regime
Tonga	3 partly free	4 mostly unfree	3 noticeable problems	n/a
Trinidad and Tobago	1 free	3 moderately free	2 satisfactory situation	2 flawed democracy
Tunisia	3 partly free	4 mostly unfree	4 difficult situation	4 hybrid regime
Turkey	3 partly free	3 moderately free	4 difficult situation	4 hybrid regime
Turkmenistan	5 not free	5 repressed	5 very serious situation	5 authoritarian regime
Uganda	3 partly free	3 moderately free	4 difficult situation	4 hybrid regime
Ukraine	3 partly free	5 repressed	4 difficult situation	4 hybrid regime
United Arab Emirates	5 not free	2 mostly free	3 noticeable problems	5 authoritarian regime
United Kingdom	1 free	1 mostly free	1 good situation	1 full democracy
United States	1 free	1 mostly free	1 good situation	1 full democracy
Uruguay	1 free	3 moderately free	2 satisfactory situation	1 full democracy
Uzbekistan	5 not free	5 repressed	5 very serious situation	5 authoritarian regime
Vanuatu	1 free	4 mostly unfree	3 noticeable problems	n/a
Venezuela	3 partly free	5 repressed	3 noticeable problems	4 hybrid regime
Vietnam	5 not free	4 mostly unfree	5 very serious situation	5 authoritarian regime
Yemen	5 not free	4 mostly unfree	5 very serious situation	5 authoritarian regime
Zambia	1 free	4 mostly unfree	3 noticeable problems	2 flawed democracy
