Date	Time (ET)	Event #	Event	Winner	Prize	Entries	Prize Pool	Elapsed Time
Sep 9	11:00	21	$215 No Limit Hold’em	mrw8419	$164,619.33*	8,226	$1,645,200.00	[2-Day] event
Sep 9	12:30	22	$10,300 No Limit Hold’em [High Roller]	darrenelias (Darren Elias)	$574,695.00	297	$2,970,000.00	[2-Day] event
Sep 9	14:30	23	$700 No Limit Hold’em	hronik81	$220,664.51*	3,215	$2,154,050.00	[2-Day] event
Sep 10	11:00	24	$215 No Limit Hold’em [4-Max]	majus26	$81,015.74	2,784	$556,800.00	15 h 14 min
Sep 10	14:00	25	$320 Seven Card Stud	osten ( Thor Hansen )	$22,002.91	381	$114,300.00	10 h 1 min
Sep 10	17:00	26	$215 Pot Limit Omaha Turbo [1 Rebuy/1 Add-on]	mikal12345	$83,158.68	1,223 (858 R, 328 A)	$481,800.00	4 h 6 min
Sep 11	11:00	27	$320 Mixed Hold’em	putuonfbt	$40,296.60	732	$219,600.00	12 h 8 min
Sep 11	14:00	28	$320 Fixed Limit Badugi	woodbine ave	$17,784.00	304	$91,200.00	12 h 25 min
Sep 11	17:00	29	$1,050 No-Limit Hold’em	Illini213 (Steve Barshak)	$225,490.00*	1,422	$1,422,000.00	[2-Day] event
Sep 12	6:00	30	$215 No Limit Hold’em [Ante Up]	GermanBraine	38,141.36	1,091	$218,200.00	18 h 17 min
Sep 12	11:00	31	$530 No-Limit Hold'em Triple Shootout [10-Max]	da69kid	$64,879.20	711	$355,500.00	[2-Day] event
Sep 12	14:00	32	$320 8-Game	shakentoucan	$36,600.38*	738	$221,400.00	11 h 50 min
Sep 13	6:00	33	$320 No Limit Hold’em [6-Max]	Bumbulbee_G	$80,291.61	1,647	$494,100.00	[2-Day] event
Sep 13	11:00	34	$320 Pot-Limit Omaha [1 Rebuy/1 Add-on, 6-max]	ZISIMO7	$97,952.28	860 (551 R, 441 A)	$555,600.00	13 h 09 min
Sep 13	14:00	35	$320 Fixed-Limit Triple Draw 2-7	erras	$22,683.20*	428	$128,400.00	12 h 6 min
Sep 14	11:00	36	$215 No-Limit Hold'em w/Rebuys	djk123 ( Dan Kelly )	$138,355.00	1,483(1,587 R) (1,060 A)	$826,000.00	15 h 36 min
Sep 14	14:00	37	$530 Fixed-Limit Omaha Hi/Lo	inspecta	$41,162.55	429	$214,500.00	12 h 07 min
Sep 14	17:00	38	$215 PL Pre-Flop, NL Post-Flop Hold'em	1UP_18	$43,282.00	1,273	$254,600.00	14 h 13 min
Sep 15	11:00	39	$700 Heads-Up No Limit Hold'em	Ti0373	$120,600.00	720	$482,400.00	[2-Day] event
Sep 15	13:00	40	$320 No Limit Hold’em [6-Max]	ottoman09	$86,771.85*	2,327	$698,100.00	16 h 15 min
Sep 15	15:00	41	$320 HORSE	NoraFlum ( Marco Johnson )	$33,727.20	598	$179,400.00	11 h 12 min
Sep 16	11:00	42	$215 No-Limit Hold’em	OMG_POKISH	$250,264.40	8,342	$1,668,400.00	[2-Day] event
Sep 16	12:30	43	$10,300 Heads-Up No Limit Hold'em [High-Roller]	Adonis112 ( Olivier Busquet )	$224,000.00	64	$640,000.00	12 h 1 min
Sep 16	14:00	44	$2,100 No-Limit Hold’em	Aln_The_Kid	$370,207.88*	1,387	$2,774,000.00	[2-Day] event
Sep 17	11:00	45	$320 Pot Limit Omaha w/Rebuys [6-max]	LuckyGump (Alexey Makarov)	$110,112.00	671 (815 R, 498 A)	$595,200.00	13 h 26 min
Sep 17	14:00	46	$320 No-Limit Hold’em [2X Chance]	Puropoker123	$129,840.80	2,218 (680 Rebuys)	$869,400.00	[2-Day] event
Sep 17	17:00	47	$265 No-Limit Hold’em [Turbo, Knockout]	busttard	$84,661.01*	3,339	$667,800.00	04 h 29 min
Sep 20	11:00	48	$320 Mixed [NL Hold'em / PL Omaha]	mookstar	$59,362.08	1,132	$339,600.00	11 h 52 min
Sep 20	14:00	49	$530 Razz	ZeeJustin ( Justin Bonomo )	$36,765.16	387	$193,500.00	10 h 1 min
Sep 20	17:00	50	$1,050 No Limit Hold'em	moukari6	$193,000.00*	1,308	$1,308,000.00	[2-Day] event
Sep 19	6:00	51	$215 No Limit Hold'em [1 Rebuy/1 Add-on]	Alexx Porter	$76,227.04*	1,112 (765R,624A)	$500,200.00	15 h 10 min
Sep 19	11:00	52	$215 No-Limit Hold’em [Big Antes]	jobetzu	$69,248.00	2,164	$432,800.00	[2-Day] event
Sep 19	14:00	53	$320 Pot Limit Omaha H/L	Vlad_Radimov	$50,328.00	932	$279,600.00	12 h 17 min
Sep 20	6:00	54	$320 No-Limit Hold’em	Ned_bg	$66,453.88*	1,594	$478,200.00	15 h 18 min
Sep 20	11:00	55	$530 No-Limit Hold'em w/Rebuys	youaremelon	$199,739.75	744 (818 R) (615 A)	$1,088,500.00	14 h 07 min
Sep 20	14:00	56	$2,100 Pot Limit Omaha [6-max]	Darreta	$154,181.52*	519	$1,038,000.00	13 h 15 min
Sep 21	11:00	57	$530 No Limit Hold'em [1 Rebuy/1 Add-on]	Ti0373	$155,817.40*	846 (610 R, 562 A)	$1,009,000.00	14 h 51 min
Sep 21	14:00	58	$1,050 Fixed Limit Hold'em [6-max]	SlickDickey	$57,420.00	261	$261,000.00	9 h 7 min
Sep 21	17:00	59	$215 No-Limit Omaha H/L	Beckersen81	$33,372.00	927	$185,400.00	13 h 11 min
Sep 22	11:00	60	$700 Pot-Limit Omaha [Heads-Up]	Danya Kop	$54,211.40*	418	$280,060.00	[2-Day] event
Sep 22	13:00	61	$320 No Limit Hold’em [SuperKnockout]	zackmorris99 (Zackary Morris)	$81,119.32	3,355	$516.670.00	16 h 31 min
Sep 22	15:00	62	$2,100 HORSE	babyjess28 ( Greg Mueller )	$71,775.00	165	$330,000.00	13 h 48 min
Sep 23	11:00	63	$215 No Limit Hold'em	jakz101 (Eric Crain)	$281,524.39	9,569	$1,913.800.00	[2-Day] event
Sep 23	12:30	64	$10,300 8-game [High-Roller]	JasonMercier ( Jason Mercier )	$253,425.00	93	$930,000.00	14 h 52 min
