Date	Type	Time (greatest)	Saros	Member	Gamma	Magnitude
December 13, 1974	Partial	16:13:13	151	12	1.0797	0.8266
May 11, 1975	Partial	7:17:33	118	66	1.0647	0.8636
November 3, 1975	Partial	13:15:54	123	51	-1.0248	0.9588
April 29, 1976	Annular	10:24:18	128	56	0.3378	0.9421
October 23, 1976	Total	5:13:45	133	43	-0.327	1.0572
April 18, 1977	Annular	10:31:30	138	29	-0.399	0.9449
October 12, 1977	Total	20:27:27	143	21	0.3836	1.0269
April 7, 1978	Partial	15:03:47	148	19	-1.1081	0.7883
October 2, 1978	Partial	6:28:43	153	7	1.1616	0.6905
February 26, 1979	Total	16:55:06	120	59	0.8981	1.0391
August 22, 1979	Annular	17:22:38	125	52	-0.9632	0.9329
February 16, 1980	Total	8:54:01	130	50	0.2224	1.0434
August 10, 1980	Annular	19:12:21	135	37	-0.1915	0.9727
February 4, 1981	Annular	22:09:24	140	27	-0.4838	0.9937
July 31, 1981	Total	3:46:37	145	20	0.5792	1.0258
January 25, 1982	Partial	4:42:53	150	15	-1.2311	0.5663
June 21, 1982	Partial	12:04:33	117	67	-1.2102	0.6168
July 20, 1982	Partial	18:44:44	155	4	1.2886	0.4643
December 15, 1982	Partial	9:32:09	122	56	1.1293	0.735
June 11, 1983	Total	4:43:33	127	56	-0.4947	1.0524
December 4, 1983	Annular	12:31:15	132	44	0.4015	0.9666
May 30, 1984	Annular	16:45:41	137	34	0.2755	0.998
November 22, 1984	Total	22:54:17	142	21	-0.3132	1.0237
May 19, 1985	Partial	21:29:38	147	21	1.072	0.8406
November 12, 1985	Total	14:11:27	152	11	-0.9795	1.0388
April 9, 1986	Partial	6:21:22	119	64	-1.0822	0.8236
October 3, 1986	Hybrid	19:06:15	124	53	0.9931	1
March 29, 1987	Hybrid	12:49:47	129	50	-0.3053	1.0013
September 23, 1987	Annular	3:12:22	134	42	0.2787	0.9634
March 18, 1988	Total	1:58:56	139	28	0.4188	1.0464
September 11, 1988	Annular	4:44:29	144	15	-0.4681	0.9377
March 7, 1989	Partial	18:08:41	149	19	1.0981	0.8268
August 31, 1989	Partial	5:31:47	154	5	-1.1928	0.6344
January 26, 1990	Annular	19:31:24	121	59	-0.9457	0.967
July 22, 1990	Total	3:03:07	126	46	0.7597	1.0391
January 15, 1991	Annular	23:53:51	131	49	-0.2727	0.929
July 11, 1991	Total	19:07:01	136	36	-0.0041	1.08
January 4, 1992	Annular	23:05:37	141	22	0.4091	0.9179
June 30, 1992	Total	12:11:22	146	26	-0.7512	1.0592
December 24, 1992	Partial	0:31:41	151	13	1.0711	0.8422
May 21, 1993	Partial	14:20:15	118	67	1.1372	0.7352
November 13, 1993	Partial	21:45:51	123	52	-1.0411	0.928
May 10, 1994	Annular	17:12:27	128	57	0.4077	0.9431
November 3, 1994	Total	13:40:06	133	44	-0.3522	1.0535
April 29, 1995	Annular	17:33:20	138	30	-0.3382	0.9497
October 24, 1995	Total	4:33:30	143	22	0.3518	1.0213
April 17, 1996	Partial	22:38:12	148	20	-1.058	0.8799
October 12, 1996	Partial	14:03:04	153	8	1.1227	0.7575
March 9, 1997	Total	1:24:51	120	60	0.9183	1.042
September 2, 1997	Partial	0:04:48	125	53	-1.0352	0.8988
February 26, 1998	Total	17:29:27	130	51	0.2391	1.0441
August 22, 1998	Annular	2:07:11	135	38	-0.2644	0.9734
February 16, 1999	Annular	6:34:38	140	28	-0.4726	0.9928
August 11, 1999	Total	11:04:09	145	21	0.5062	1.0286
February 5, 2000	Partial	12:50:27	150	16	-1.2233	0.5795
July 1, 2000	Partial	19:33:34	117	68	-1.2821	0.4768
July 31, 2000	Partial	2:14:08	155	5	1.2166	0.6034
December 25, 2000	Partial	17:35:57	122	57	1.1367	0.7228
