Name	Nation	Seasons	Championship titles	Races (Starts)	Poles	Wins	Podiums	Fastest Laps	Points
Pietro Fantin Category:Articles with hCards	Brazil	2012	0	3	0	0	0	0	0
Gregory Franchi Category:Articles with hCards	Belgium	2004 – 2005	0	38 (37)	0	0	0	0	11
Dennis Furchheim Category:Articles with hCards	Germany	2004	0	4	0	0	0	0	5
Natacha Gachnang Category:Articles with hCards	Switzerland	2006	0	8 (7)	0	0	0	0	0
Víctor García Category:Articles with hCards	Spain	2009	0	2	0	0	0	0	0
Tiago Geronimi Category:Articles with hCards	Brazil	2009	0	20 (19)	0	0	0	0	2
Kuba Giermaziak Category:Articles with hCards	Poland	2011	0	18	0	0	0	0	27
Timo Glock Category:Articles with hCards	Germany	2003	0	20	0	3	6	1	55
Spike Goddard Category:Articles with hCards	Australia	2012	0	6	0	0	0	0	0
Maximilian Götz Category:Articles with hCards	Germany	2004 – 2005 , 2007 – 2008	0	46	0	0	1	0	19
Rodolfo González Category:Articles with hCards	Venezuela	2008	0	18	0	0	0	1	0.5
Jamie Green Category:Articles with hCards	United Kingdom	2003 – 2004	1 ( 2004 )	28	5	7	15	8	145
Romain Grosjean Category:Articles with hCards	France	2006 – 2007	1 ( 2007 )	40	4	6	13	7	125
Esteban Guerrieri Category:Articles with hCards	Argentina	2005 – 2007	0	42 (41)	2	2	6	1	70
Esteban Gutiérrez Category:Articles with hCards	Mexico	2009 – 2010	0	22	0	0	2	0	26
Lewis Hamilton Category:Articles with hCards	United Kingdom	2004 – 2005	1 ( 2005 )	40	14	16	22	12	240
Euan Hankey Category:Articles with hCards	United Kingdom	2007	0	10	0	0	0	0	0
Brendon Hartley Category:Articles with hCards	New Zealand	2008 – 2009	0	24	0	1	1	0	15
Jack Harvey Category:Articles with hCards	United Kingdom	2012	0	3	0	0	0	0	0
Derek Hayes Category:Articles with hCards	United Kingdom	2004	0	2	0	0	0	0	0
Tobias Hegewald Category:Articles with hCards	Germany	2010	0	2	0	0	0	0	1
Michael Herck Category:Articles with hCards	Monaco	2006 – 2007	0	22 (21)	0	0	1	0	12
Jan Heylen Category:Articles with hCards	Belgium	2003	0	14 (13)	0	0	0	0	0
Katsuyuki Hiranaka Category:Articles with hCards	Japan	2003 – 2004	0	40	0	0	1	1	13
Kohei Hirate Category:Articles with hCards	Japan	2004 – 2006	0	44 (43)	0	1	6	3	79
Marco Holzer Category:Articles with hCards	Germany	2007	0	20	0	0	0	0	0
Thomas Holzer Category:Articles with hCards	Germany	2005	0	20	0	0	0	0	0
Carlos Huertas Category:Articles with hCards	Colombia	2011	0	3	0	0	0	0	0
Nico Hülkenberg Category:Articles with hCards	Germany	2007 – 2008	1 ( 2008 )	40	8	11	16	10	157
Fahmi Ilyas Category:Articles with hCards	Malaysia	2012	0	6	0	0	0	0	0
Jazeman Jaafar Category:Articles with hCards	Malaysia	2011 – 2012	0	15	0	1	0	3	0
James Jakes Category:Articles with hCards	United Kingdom	2006 – 2008	0	44	2	2	4	2	68
Erik Janiš Category:Articles with hCards	Czech Republic	2008	0	20	0	0	0	0	5
Stephen Jelley Category:Articles with hCards	United Kingdom	2005	0	2	0	0	0	0	0
Johan Jokinen Category:Articles with hCards	Denmark	2009	0	18 (17)	0	0	0	0	0
Daniel Juncadella Category:Articles with hCards	Spain	2010 – 2012	1 ( 2012 )	69	10	10	27	13	555
Robert Kath Category:Articles with hCards	Germany	2004	0	12	0	0	0	0	0
Charlie Kimball Category:Articles with hCards	United States	2006 , 2008	0	26	0	1	4	0	39
Tom Kimber-Smith Category:Articles with hCards	United Kingdom	2004	0	20	0	0	0	0	2
Michael Klein Category:Articles with hCards	Germany	2008	0	8	0	0	0	0	2
Christian Klien Category:Articles with hCards	Austria	2003	0	20	6	3	8	3	89
Jens Klingmann Category:Articles with hCards	Germany	2008	0	20	0	0	0	0	0
Kamui Kobayashi Category:Articles with hCards	Japan	2006 – 2007	0	40 (39)	1	1	10	1	93
Robert Kubica Category:Articles with hCards	Poland	2003 – 2004	0	34	0	1	5	2	84
Julia Kuhn Category:Articles with hCards	Germany	2005 – 2006	0	12 (8)	0	0	0	0	0
Matias Laine Category:Articles with hCards	Finland	2010	0	18	0	0	0	0	3
Jon Lancaster Category:Articles with hCards	United Kingdom	2008	0	20 (19)	0	1	2	0	19
Nicolas Lapierre Category:Articles with hCards	France	2003 – 2004	0	40	3	3	8	2	118
Daniel la Rosa Category:Articles with hCards	Germany	2003 – 2004	0	40 (38)	0	0	1	0	16
Marcel Lasée Category:Articles with hCards	Germany	2003	0	8	0	0	0	0	3
Michael Lewis Category:Articles with hCards	United States	2012	0	24	0	1	4	1	127.5
Richard Lietz Category:Articles with hCards	Austria	2003	0	20	0	0	0	0	7
Alex Lynn Category:Articles with hCards	United Kingdom	2012	0	9	0	0	1	0	0
Kevin Magnussen Category:Articles with hCards	Denmark	2010	0	2	0	1	1	1	8
James Manderson Category:Articles with hCards	Australia	2003	0	8	0	0	0	0	0
Franck Mailleux Category:Articles with hCards	France	2007 – 2008	0	40	0	2	5	4	65
Mika Mäki Category:Articles with hCards	Finland	2008 – 2010	0	46	0	3	9	3	89
Raffaele Marciello Category:Articles with hCards	Italy	2012	0	24	2	6	10	6	219.5
Artem Markelov Category:Articles with hCards	Russia	2011	0	3	0	0	0	0	0
Nicolas Marroc Category:Articles with hCards	France	2010	0	18	0	0	2	0	10
Alexandre Marsoin Category:Articles with hCards	France	2009	0	4	0	0	0	0	0
Nick McBride Category:Articles with hCards	Australia	2012	0	3	0	0	0	0	0
Nigel Melker Category:Articles with hCards	Netherlands	2011	0	24	2	4	9	2	251
Roberto Merhi Category:Articles with hCards	Spain	2009 – 2011	1 ( 2011 )	65	8	12	27	10	504
Kevin Mirocha Category:Articles with hCards	Germany	2009	0	8 (6)	0	0	0	0	0
Nico Monien Category:Articles with hCards	Germany	2009	0	2	0	0	0	0	0
Christian Montanari Category:Articles with hCards	San Marino	2004	0	4	0	0	0	0	0
Paolo Montin Category:Articles with hCards	Italy	2005	0	2	0	0	0	0	0
Guillaume Moreau Category:Articles with hCards	France	2005 – 2006	0	40	0	1	5	0	79
Edoardo Mortara Category:Articles with hCards	Italy	2007 – 2010	1 ( 2010 )	60	5	10	21	7	187.5
Dominick Muermans Category:Articles with hCards	Netherlands	2006	0	2	0	0	0	0	0
Sven Müller Category:Articles with hCards	Germany	2012	0	24	1	1	6	1	172
Carlos Muñoz Category:Articles with hCards	Colombia	2010 – 2011	0	45	0	0	3	0	123
Atte Mustonen Category:Articles with hCards	Finland	2009	0	12	0	0	0	0	4
Kazuki Nakajima Category:Articles with hCards	Japan	2006	0	20 (19)	0	1	4	2	36
Felipe Nasr Category:Articles with hCards	Brazil	2012	0	3 (2)	0	0	0	0	0
Hannes Neuhauser Category:Articles with hCards	Austria	2004 – 2005	0	40	0	0	0	0	9
Paolo Maria Nocera Category:Articles with hCards	Italy	2006	0	8	0	0	0	0	0
Alejandro Núñez Category:Articles with hCards	Spain	2004 – 2006	0	50	0	0	0	0	1
Oliver Oakes Category:Articles with hCards	United Kingdom	2008	0	2	0	0	0	0	0
Ronayne O’Mahony Category:Articles with hCards	Ireland	2006	0	20	0	0	0	0	0
Kazuya Oshima Category:Articles with hCards	Japan	2008	0	20	0	1	1	0	7
Duvashen Padayachee Category:Articles with hCards	Australia	2012	0	3	0	0	0	0	0
Nelson Panciatici Category:Articles with hCards	France	2008	0	2	0	0	0	0	0
Álvaro Parente Category:Articles with hCards	Portugal	2003	0	20 (19)	0	0	0	0	1
Michael Patrizi Category:Articles with hCards	Australia	2007	0	20	0	0	0	0	1
Franck Perera Category:Articles with hCards	France	2004 – 2005	0	40	0	0	7	0	115
Richard Philippe Category:Articles with hCards	France	2008	0	20	0	0	0	0	0
Edoardo Piscopo Category:Articles with hCards	Italy	2007	0	20	0	0	1	0	8
Jim Pla Category:Articles with hCards	France	2010	0	18 (17)	0	1	1	0	13
Olivier Pla Category:Articles with hCards	France	2003	0	20	3	0	8	0	74
Martin Plowman Category:Articles with hCards	United Kingdom	2008	0	14	0	0	0	0	0
Stefano Proetto Category:Articles with hCards	Italy	2003	0	16	0	0	0	0	0
Alexandre Prémat Category:Articles with hCards	France	2003 – 2004	0	40	7	4	11	5	138
Harold Primat Category:Articles with hCards	Switzerland	2003	0	20	0	0	0	0	0
Adrian Quaife-Hobbs Category:Articles with hCards	United Kingdom	2010	0	4	0	0	0	0	7
Gianmarco Raimondo Category:Articles with hCards	Canada	2011	0	27	0	0	1	0	66
César Ramos Category:Articles with hCards	Brazil	2009	0	16	0	0	0	0	0
Fernando Rees Category:Articles with hCards	Brazil	2004	0	2	0	0	0	0	0
Facu Regalia Category:Articles with hCards	Argentina	2011	0	3	0	0	0	0	0
Daniel Ricciardo Category:Articles with hCards	Australia	2008	0	2	0	0	0	0	0
Stéphane Richelmi Category:Articles with hCards	Monaco	2008	0	6	0	0	0	0	0
Andrea Roda Category:Articles with hCards	Italy	2012	0	24	0	0	0	0	15
Nico Rosberg Category:Articles with hCards	Germany	2003 – 2004	0	40 (39)	3	4	10	3	114
Felix Rosenqvist Category:Articles with hCards	Sweden	2011 – 2012	0	51	3	5	8	8	431.5
Jake Rosenzweig Category:Articles with hCards	United States	2009	0	20	0	0	1	0	6
James Rossiter Category:Articles with hCards	United Kingdom	2005	0	20	0	1	3	0	51
Filip Salaquarda Category:Articles with hCards	Czech Republic	2005 – 2007	0	60	0	0	0	0	3
Eric Salignon Category:Articles with hCards	France	2004	0	16	3	3	5	3	64
Tim Sandtler Category:Articles with hCards	Germany	2006 – 2007 , 2009	0	44	0	0	0	0	9
Luís Sá Silva Category:Articles with hCards	Angola	2010 , 2012	0	23 (20)	0	0	0	0	14
Carlos Sainz, Jr. Category:Articles with hCards	Spain	2011 – 2012	0	27	2	0	2	2	112
Kimiya Sato Category:Articles with hCards	Japan	2011	0	27	0	1	2	0	86
Harald Schlegelmilch Category:Articles with hCards	Latvia	2007	0	20	0	1	1	0	9
Félix Serrallés Category:Articles with hCards	Puerto Rico	2012	0	9	0	0	2	1	0
Basil Shaaban Category:Articles with hCards	Lebanon	2007 – 2009	0	60	0	0	1	0	6
Alexander Sims Category:Articles with hCards	United Kingdom	2009 – 2010	0	41	1	3	11	3	117
Marco Sørensen Category:Articles with hCards	Denmark	2011	0	3	0	1	1	1	0
Bruno Spengler Category:Articles with hCards	Canada	2003 – 2004	0	34	0	0	4	1	61
Roberto Streit Category:Articles with hCards	Brazil	2004 , 2006	0	22	0	0	1	0	32
Jonathan Summerton Category:Articles with hCards	United States	2006 – 2007	0	26	0	1	3	0	32
Adrian Sutil Category:Articles with hCards	Germany	2004 – 2005	0	38	3	2	11	3	103
Adrien Tambay Category:Articles with hCards	France	2009	0	16	0	0	0	0	0
Nick Tandy Category:Articles with hCards	United Kingdom	2009	0	12 (11)	0	0	0	0	0
Harry Tincknell Category:Articles with hCards	United Kingdom	2012	0	6	0	1	1	1	0
Gilles Tinguely Category:Articles with hCards	Switzerland	2003	0	6 (5)	0	0	0	0	0
Claudio Torre Category:Articles with hCards	Italy	2003	0	8	0	0	0	0	0
Koudai Tsukakoshi Category:Articles with hCards	Japan	2008	0	20	0	0	4	0	36
Geoff Uhrhane Category:Articles with hCards	Australia	2012	0	6	0	0	0	0	0
João Urbano Category:Articles with hCards	Portugal	2006	0	10	0	0	0	0	1
Hannes van Asseldonk Category:Articles with hCards	Netherlands	2012	0	6	0	0	1	1	0
Carlo van Dam Category:Articles with hCards	Netherlands	2007 , 2009	0	8	0	0	0	0	0
Dennis van de Laar Category:Articles with hCards	Netherlands	2012	0	3	0	0	0	0	0
Giedo van der Garde Category:Articles with hCards	Netherlands	2004 – 2006	0	60 (59)	3	1	8	1	108
Renger van der Zande Category:Articles with hCards	Netherlands	2007 – 2010	0	50	0	4	8	0	74
Laurens Vanthoor Category:Articles with hCards	Belgium	2010 – 2011	0	45	1	0	9	0	231
Nico Verdonck Category:Articles with hCards	Belgium	2005	0	4	0	0	0	0	0
Jean Karl Vernay Category:Articles with hCards	France	2007 – 2009	0	60	0	2	9	2	105
Frédéric Vervisch Category:Articles with hCards	Belgium	2008	0	2	0	0	0	0	0
Sebastian Vettel Category:Articles with hCards	Germany	2005 – 2006	0	40	1	4	15	6	138
Hendrik Vieth Category:Articles with hCards	Germany	2003	0	2	0	0	0	0	0
Christian Vietoris Category:Articles with hCards	Germany	2008 – 2009	0	38 (37)	1	5	12	3	111
Toni Vilander Category:Articles with hCards	Finland	2004	0	4	0	0	0	0	0
Henkie Waldschmidt Category:Articles with hCards	Netherlands	2008 – 2009	0	40 (39)	0	0	0	1	13
James Walker Category:Articles with hCards	United Kingdom	2006	0	4	0	0	0	0	0
Danny Watts Category:Articles with hCards	United Kingdom	2005	0	2	0	0	0	0	0
Pascal Wehrlein Category:Articles with hCards	Germany	2012	0	24	1	1	10	1	226
Robert Wickens Category:Articles with hCards	Canada	2008 – 2009	0	18	0	1	2	0	10.5
Markus Winkelhock Category:Articles with hCards	Germany	2003	0	20	1	2	5	3	71
Marco Wittmann Category:Articles with hCards	Germany	2009 – 2011	0	65	5	1	10	7	367
Lucas Wolf Category:Articles with hCards	Germany	2012	0	24	0	0	1	0	36
Sakon Yamamoto Category:Articles with hCards	Japan	2003	0	20	0	0	0	0	0
Christopher Zanella Category:Articles with hCards	Switzerland	2009 – 2010	0	28 (26)	0	0	1	0	13
Sandro Zeller Category:Articles with hCards	Switzerland	2010 – 2012	0	37	0	0	0	0	23
Andreas Zuber Category:Articles with hCards	Austria	2003 – 2004	0	40 (39)	0	0	0	0	2
