Outcome	Date	Location	Surface	Partnering	Opponent in final	Score
Runner-up	31 May 2009	Carson, California , USA	Hard	Nicole Kriz	Laura Granville Riza Zalameda	3–6 4–6
Winner	24 July 2009	Kharkiv , Ukraine	Clay	Nicole Kriz	Kristina Antoniychuk Irina Buryachok	6–3 7–6 (7–4)
Winner	7 February 2010	Rancho Mirage, California , USA	Hard	Abigail Spears	Lyudmyla Kichenok Nadiya Kichenok	6–3 6–4
Runner-up	03 Oct 2011	Esperance , Australıa	Hard	Sandra Zaniewska	Casey Dellacqua Olivia Rogowska	3–6 2–6
Runner-up	24 Oct 2011	Port Pirie , Australıa	Hard	Bojana Bobusic	Isabella Holland Sally Peers	W/O
Runner-up	14-Nov-2011	Traralgon , Australıa	Hard	Bojana Bobusic	Stephanie Bengson Tyra Calderwood	7–6 (7) 1–6 3–6
Winner	19-Mar-2012	Ipswich , Australıa	Hard	Sandra Zaniewska	Shuko Aoyama Junri Namigata	7–5 6–4
Winner	07 May 2012	Fukuoka , Japan	Grass	Stephanie Bengson	Misa Eguchi Akiko Omae	6–4 6–4
Winner	16 Jul 2012	Campos do Jordão , Brazil	Hard	Maria Fernanda Alves	Paula Cristina Goncalves Roxane Vaisemberg	4–6 6–3 10–3
Winner	27 Aug 2012	Cairns , Australıa	Hard	Victoria Larriere	Tyra Calderwood Tammi Patterson	6–2 1–6 10–5
Runner-up	15 Oct 2012	Makinohara , Japan	Grass	Caroline Garcia	Eri Hozumi Miyu Kato	6–7(6) 3–6
Runner-up	22 Oct 2012	Hamamatsu , Japan	Grass	Alexa Glatch	Shuko Aoyama Miki Miyamura	6–3 4–6 6–10
Winner	03 Jun 2013	Brescia , Italy	Clay	Yurika Sema	Reka-Luca Jani Irina Khromacheva	6–4 7–5
Runner-up	17 Jun 2013	Ystad , Sweeden	Clay	Pemra Özgen	Kristina Barrois Lina Stanciute	4–6 5–7
Winner	05 Aug 2013	Landisville , USA	Hard	Olivia Rogowska	Chanel Simmonds Emily Webley-Smith	6–2 6–3
Runner-up	05 Oct 2013	Perth , Australıa	Hard	Tammi Patterson	Yurika Sema Erika Sema	5–7 1–6
Runner-up	13 Oct 2013	Margaret River , Australıa	Hard	Tammi Patterson	Noppawan Lertcheewakarn Arina Rodionova	2–6, 6–3, [8–10]
Runner-up	27 Oct 2013	Bendigo , Australıa	Hard	Olivia Rogowska	Yurika Sema Erika Sema	6–3, 2–6 [9–11]
Winner	01 November 2013	Bendigo , Australıa	Hard	Olivia Rogowska	Stephanie Bengson Sally Peers	6–3, 2–6, [11–9]
