Rank	Name	Span metres	Span feet	Material	Year opened	Country
63	Hernando de Soto Bridge	274	899	steel	1973	United States
64	Chaoyang Arch Bridge	274	899	steel	2011	China
65	Bloukrans Bridge	272	892	concrete	1984	South Africa
66	Arrábida Bridge	270	886	concrete	1963	Portugal
67	Eau Rouge Viaduct	270	886	steel	1993	Belgium
68	Sanan Yongjiang Bridge	270	886	CFST	1998	China
69	North Beimen Bridge	270	886	CFST	2006	China
70	South Beimen Bridge	270	886	CFST	2006	China
71	Froschgrundsee Viaduct	270	886	concrete	2010	Germany
72	Grümpen Viaduct	270	886	concrete	2011	Germany
73	Beishengou Bridge	269	883	CFST	2011	China
74	Blennerhassett Island Bridge	268	878	steel	2008	United States
75	Fujikawa Bridge	265	869	concrete	2005	Japan
76	Sandö Bridge	264	866	concrete	1943	Sweden
77	Contreras Railway Viaduct	261	856	concrete	2009	Spain
78	Saigo Bridge	260	853	steel	1977	Japan
79	Takamatsu Bridge	260	853	concrete	2000	Japan
80	Chitose Bridge	260	853	steel	2003	Japan
81	Rongzhou Bridge	260	853	CFST	2005	China
82	Jing Yang Bridge	260	853	CFST	2007	China
83	Julien Dubuque Bridge	258	846	steel	1943	United States
84	Henry Hudson Bridge	256	840	steel	1936	United States
85	Zigui Bridge	256	840	CFST	2002	China
86	Kuige Bridge	256	840	CFST	2011	China
87	Brücke der Solidarität	255.9	840	steel	1950	Germany
88	Kishiwada Bridge	255	837	steel	1993	Japan
89	Jogakura Bridge	255	837	steel	1995	Japan
90	Los Tilos Arch	255	837	concrete	2004	Spain
91	Shin Hamadera Bridge	254	833	steel	1994	Japan
92	Nishinomiyako Bridge	252	827	steel	1994	Japan
93	Wild Gera Viaduct	252	827	concrete	2000	Germany
94	Qiandaohu Bridge	252	827	CFST	2004	China
95	Karun 3 Dam Bridge	252	827	steel	2005	Iran
96	Bob Cummings Lincoln Trail Bridge	251	823	steel	1966	United States
97	Changfeng Bridge	251	823	CFST	2001	China
98	Hamm Railroad Bridge	250	820	steel	1987	Germany
99	Chateaubriand Bridge	250	820	concrete	1991	France
100	Imari Bay Bridge	250	820	steel	2003	Japan
