Station (and code)	Managed by	Lines served	Station users 2007/8	Station users 2008/9	Year opened	Platforms	Borough
Flowery Field (FLF)	Northern Rail	Glossop Line	121569	163180	1985	2	Tameside
Gathurst (GST)	Northern Rail	Manchester to Southport Line	53103	71762	1855	2	Wigan
Gatley (GTY)	Northern Rail	South TransPennine Styal Line	183605	235336	1909	2	Stockport
Godley (GDL)	Northern Rail	Glossop Line	50105	62720	1986	2	Tameside
Gorton (GTO)	Northern Rail	Glossop Line Hope Valley Line	81018	97544	1842	2	Manchester
Greenfield (GNF)	Northern Rail	Huddersfield Line	180399	237976	1849	2	Oldham
Hag Fold (HGF)	Northern Rail	Manchester-Southport Line	37485	52592	1987	2	Wigan
Hale (HAL)	Northern Rail	Mid-Cheshire Line	108638	130368	1862	2	Trafford
Hall i' th' Wood (HID)	Northern Rail	Ribble Valley Line	47335	66996	1986	2	Bolton
Hattersley (HTY)	Northern Rail	Glossop Line	34133	44418	1978	2	Tameside
Hazel Grove (HAZ)	Northern Rail	Buxton Line Hope Valley Line	380597	535938	1857	2	Stockport
Hindley (HIN)	Northern Rail	Manchester to Southport Line	153403	210076	1848	2	Wigan
Horwich Parkway (HWI)	Northern Rail	Manchester to Preston Line	303858	409906	1999	2	Bolton
Humphrey Park (HUP)	Northern Rail	Liverpool to Manchester Lines	19228	22180	1984	2	Trafford
Hyde Central (HYC)	Northern Rail	Hope Valley Line	41599	49908	1858	2	Tameside
Hyde North (HYT)	Northern Rail	Hope Valley Line	27279	30786	1862	2	Tameside
Ince (INC)	Northern Rail	Manchester to Southport Line	12493	14910	1863	2	Wigan
Irlam (IRL)	Northern Rail	Liverpool to Manchester Lines	135105	181400	1893	2	Salford
Kearsley (KSL)	Northern Rail	Manchester to Preston Line	26042	28702	1838	2	Bolton
Littleborough (LTL)	Northern Rail	Caldervale Line	236716	358788	1839	2	Rochdale
Lostock (LOT)	Northern Rail	Manchester to Preston Line	140033	208820	1988	2	Bolton
Manchester United (MUF)	Northern Rail	Liverpool to Manchester Lines	49625	No data	1935	1	Trafford
Marple (MPL)	Northern Rail	Hope Valley Line	335071	427286	1862	2	Stockport
Mauldeth Road (MAU)	Northern Rail	South TransPennine Styal Line	169162	221512	1909	2	Manchester
Middlewood (MDL)	Northern Rail	Buxton Line	17134	21778	1879	2	Stockport
Mills Hill (MIH)	Northern Rail	Caldervale Line Oldham Loop Line	198357	228934	1985 [c ]	2	Rochdale
Moorside (MSD)	Northern Rail	Manchester to Southport Line	22373	31910	1888	2	Salford
Moses Gate (MSS)	Northern Rail	Manchester to Preston Line	13815	18274	1838	2	Bolton
Mossley (MSL)	Northern Rail	Huddersfield Line	191486	266736	1849	2	Tameside
Moston (MSO)	Northern Rail	Caldervale Line Oldham Loop Line	57546	76762	1872	2	Manchester
Navigation Road (NVR)	Northern Rail	Mid-Cheshire Line	62720	68704	1931	1 [d ]	Trafford
Newton for Hyde (NWN)	Northern Rail	Glossop Line	119786	165272	1841	2	Tameside
Orrell (ORR)	Northern Rail	Kirkby Branch Line	74161	86606	1848	2	Wigan
Patricroft (PAT)	Northern Rail	Liverpool to Manchester Lines	22516	30196	1830	2	Salford
Pemberton (PEM)	Northern Rail	Kirkby Branch Line	38116	45326	1848	2	Wigan
Reddish North (RDN)	Northern Rail	Hope Valley Line	98456	110478	1875	2	Stockport
Reddish South (RDS)	Northern Rail	Stockport to Stalybridge Line	47	274	1859	1	Stockport
Rochdale (RCD)	Northern Rail	Caldervale Line Oldham Loop Line	689574	974514	1839	3	Rochdale
Romiley (RML)	Northern Rail	Hope Valley Line	209893	248770	1862	2	Stockport
Rose Hill Marple (RSH)	Northern Rail	Hope Valley Line	75548	90478	1869	1	Stockport
Ryder Brow (RRB)	Northern Rail	Hope Valley Line	17439	21644	1985	2	Manchester
Smithy Bridge (SMB)	Northern Rail	Caldervale Line	102499	125566	1985	2	Rochdale
Swinton (SNN)	Northern Rail	Manchester to Southport Line	71171	95066	1887	2	Salford
Trafford Park (TRA)	Northern Rail	Liverpool to Manchester Lines	34630	43976	1904	2	Trafford
Urmston (URM)	Northern Rail	Liverpool to Manchester Lines	201663	238870	1873	2	Trafford
Walkden (WKD)	Northern Rail	Manchester to Southport Line	162130	228556	1888	2	Salford
Westhoughton (WHG)	Northern Rail	Manchester to Southport Line	138863	161354	1848	2	Bolton
Wigan Wallgate (WGW)	Northern Rail	Kirkby Branch Line Manchester to Southport Line	954855	1324952	1896	3	Wigan
Woodley (WLY)	Northern Rail	Hope Valley Line	32827	34402	1862	2	Stockport
