Townland	s Acre	Barony	Civil parish	Poor law union
Balscott	117	South Salt	Stacumny	Celbridge
Baltracey	707	Ikeathy and Oughterany	Balraheen	Celbridge
Baltracey	175	Naas North	Tipper	Naas
Barberstown	139	North Salt	Straffan	Celbridge
Barberstown Lower	199	North Salt	Straffan	Celbridge
Barberstown Upper	152	North Salt	Straffan	Celbridge
Barkersford	128	Narragh and Reban West	Kilberry	Athy
Barnacrow	342	Connell	Rathernan	Naas
Barnaran	174	Offaly East	Cloncurry	Edenderry
Barnhall	224	North Salt	Leixlip	Celbridge
Barnhill	99	Kilkea and Moone	Graney	Athy
Barnhill East	119	Kilkea and Moone	Castledermot	Athy
Barnhill West	213	Kilkea and Moone	Castledermot	Athy
Baronrath	372	Naas North	Whitechurch	Naas
Baronsland	201	Kilcullen	Kilcullen	Naas
Baronstown East	435	Connell	Rathernan	Naas
Baronstown West	354	Connell	Rathernan	Naas
Barraderra	190	Offaly West	Monasterevin	Athy
Barreen	295	Ikeathy and Oughterany	Balraheen	Celbridge
Barretstown	509	Naas South	Tipperkevin	Naas
Barrettstown	366	Clane	Brideschurch	Naas
Barrettstown	1145	Connell	Oldconnell	Naas
Barrogstown	155	North Salt	Laraghbryan	Celbridge
Barrogstown East	89	North Salt	Donaghmore	Celbridge
Barrogstown West	119	North Salt	Donaghmore	Celbridge
Barrowford	105	Narragh and Reban West	Kilberry	Athy
Battlemount	781	Narragh and Reban East	Narraghmore	Athy
Bawn	127	Offaly West	Harristown	Athy
Bawnoge	263	Naas South	Tipperkevin	Naas
Bawnoges	230	North Salt	Straffan	Celbridge
Baybush	196	North Salt	Straffan	Celbridge
Baybush	70	North Salt	Taghadoe	Celbridge
Baysland	71	South Salt	Haynestown	Naas
Beaconstown	522	Kilkea and Moone	Kilkea	Athy
Belan	1197	Kilkea and Moone	Belan	Athy
Belgard	287	Ikeathy and Oughterany	Clonshanbo	Celbridge
Belview	99	Narragh and Reban West	Kilberry	Athy
Bennetsbridge	416	Narragh and Reban West	St. John's	Athy
Bert Demesne	192	Narragh and Reban West	Kilberry	Athy
Betaghstown	621	Clane	Clane	Naas
Bigbog	228	Kilkea and Moone	Castledermot	Athy
Bishopscourt Lower	249	South Salt	Oughterard	Naas
Bishopscourt Upper	409	South Salt	Oughterard	Naas
Bishopshill Commons	58	Naas South	Ballymore Eustace	Naas
Bishopsland	561	Naas South	Ballymore Eustace	Naas
Bishopsland	115	Offaly East	Kildare	Naas
Bishopslane	87	Naas South	Ballymore Eustace	Naas
Blackcastle	173	Kilkea and Moone	Dunmanoge	Athy
Blackchurch	229	South Salt	Kilteel	Naas
Blackditch	344	Offaly West	Nurney	Athy
Blackdown	151	South Salt	Kilteel	Naas
Blackford	197	Narragh and Reban West	Churchtown	Athy
Blackhall	396	Narragh and Reban East	Davidstown	Athy
Blackhall	614	Naas North	Bodenstown	Naas
Blackhall	345	Naas North	Rathmore	Naas
Blackhill	175	South Salt	Oughterard	Naas
Blackmillershill	114	Offaly East	Dunmurry	Naas
Blackparks	51	Narragh and Reban West	St. John's	Athy
Blackrath	1156	Narragh and Reban East	Narraghmore	Athy
Blackrath and Athgarvan	617	Connell	Greatconnell	Naas
Blacktrench	334	Connell	Oldconnell	Naas
Blackwood	661	Narragh and Reban West	Kilberry	Athy
Blackwood	44	Clane	Downings	Naas
Blackwood	421	Clane	Timahoe	Naas
Blakestown	206	North Salt	Laraghbryan	Celbridge
Blakestown	39	Offaly East	Feighcullen	Edenderry
Blakestown	118	Connell	Feighcullen	Naas
Bleach	90	Narragh and Reban West	St. John's	Athy
Bluebell	135	Naas North	Naas	Naas
Bodenstown	380	Naas North	Bodenstown	Naas
Boghall	344	Offaly West	Harristown	Athy
Boherbaun Lower	462	Offaly West	Harristown	Athy
Boherbaun Upper (or Monapheeby)	374	Offaly West	Harristown	Athy
Bohergoy Lower	361	Offaly East	Ballysax	Naas
Bohergoy Upper	236	Offaly East	Ballysax	Naas
Boherhole	465	Ikeathy and Oughterany	Mainham	Celbridge
Boherkill	431	Offaly East	Rathangan	Naas
Boherphilip	74	South Salt	Kill	Naas
Boley Great	434	Narragh and Reban East	Fontstown	Athy
Boley Little	251	Narragh and Reban East	Fontstown	Athy
Boleybeg	90	Offaly West	Fontstown	Athy
Boleybeg	521	Narragh and Reban East	Narraghmore	Athy
Boleybeg	593	Naas South	Jago	Naas
Bolton	438	Kilkea and Moone	Killelan	Baltinglass
Bonaghmore	149	Offaly East	Rathangan	Edenderry
Borough	172	Offaly West	Kilrush	Athy
Boston	488	South Salt	Oughterard	Naas
Bostoncommon	32	Offaly East	Cloncurry	Edenderry
Bostoncommon	24	Offaly East	Feighcullen	Edenderry
Boycetown	592	Ikeathy and Oughterany	Kilcock	Celbridge
Brackagh	319	Carbury	Carrick	Edenderry
Brackney	308	Narragh and Reban West	Churchtown	Athy
Brallistown	242	Offaly East	Kildare	Naas
Brallistown Commons	5	Offaly East	Kildare	Naas
Brallistown Little	4	Offaly East	Kildare	Naas
Branganstown	281	Ikeathy and Oughterany	Kilcock	Celbridge
Brannockstown	137	Naas South	Brannockstown	Naas
Brannockstown	114	Naas South	Gilltown	Naas
Bray Lower	326	Kilkea and Moone	St. Michaels	Athy
Bray Upper	240	Kilkea and Moone	St. Michaels	Athy
Brewel East (or Merville)	418	Narragh and Reban East	Usk	Naas
Brewel West	301	Narragh and Reban East	Usk	Naas
Briencan	217	Naas South	Ballymore Eustace	Naas
Broadfield	401	Naas North	Naas	Naas
Broadleas Commons	465	Naas South	Ballymore Eustace	Naas
Broadstown	265	Kilkea and Moone	Graney	Baltinglass
Brockagh	514	Clane	Timahoe	Naas
Broguestown	122	South Salt	Kill	Naas
Brownstown	137	Narragh and Reban West	Churchtown	Athy
Brownstown	379	Naas South	Carnalway	Naas
Brownstown Great	376	Offaly East	Ballysax	Naas
Brownstown Little	78	Offaly East	Ballysax	Naas
Brownstown Lower	283	Offaly East	Carn	Naas
Brownstown Upper	238	Offaly East	Carn	Naas
Brumlin	54	Naas South	Ballymore Eustace	Naas
Bryanstown	198	North Salt	Taghadoe	Celbridge
Bullhill	272	Narragh and Reban East	Davidstown	Athy
Bullockpark	40	Naas North	Tipper	Naas
Burntfurze	131	South Salt	Haynestown	Naas
Burtonhall Demesne	318	Kilkea and Moone	Castledermot	Carlow
Burtown Big	783	Kilkea and Moone	Moone	Athy
Burtown Little	438	Kilkea and Moone	Moone	Athy
Bushypark	278	Offaly West	Kilrush	Athy
Butterstream Commons	1	Clane	Clane	Naas
Cadamstown	1154	Carbury	Cadamstown	Edenderry
Calf Field	102	Carbury	Ballynadrumny	Edenderry
Calfstown	272	Carbury	Mylerstown	Edenderry
Calverstown	786	Narragh and Reban East	Davidstown	Athy
Calverstown Demesne	223	Narragh and Reban East	Davidstown	Athy
Calverstown Little	407	Narragh and Reban East	Davidstown	Athy
Cannonstown	210	Connell	Feighcullen	Naas
Capdoo	122	Clane	Clane	Naas
Capdoo Commons	113	Clane	Clane	Naas
Cappagh	886	Ikeathy and Oughterany	Cloncurry	Celbridge
Cappanargid	1450	Offaly East	Cloncurry	Edenderry
Carbury	671	Carbury	Carbury	Edenderry
Cardington	85	Narragh and Reban West	Churchtown	Athy
Cardington Demesne	96	Narragh and Reban West	Churchtown	Athy
Carn	276	Offaly East	Carn	Naas
Carnalway	752	Naas South	Carnalway	Naas
Carragh	457	Clane	Carragh	Naas
Carrick	689	Carbury	Carrick	Edenderry
Carrick	359	Connell	Rathernan	Naas
Carrickanearla	1778	Offaly East	Dunmurry	Naas
Carrigeen	105	Clane	Clane	Naas
Carrigeen North	440	Kilkea and Moone	Kineagh	Baltinglass
Carrigeen South	397	Kilkea and Moone	Kineagh	Baltinglass
Carrigeenhill	211	Kilkea and Moone	Kineagh	Baltinglass
Carrighill Lower	149	Offaly West	Ballyshannon	Athy
Carrighill Upper	161	Offaly West	Ballyshannon	Athy
Cartersbog	13	Kilcullen	Kilcullen	Naas
Carton Demesne	963	North Salt	Laraghbryan	Celbridge
Castlebrown (or Clongowes)	704	Ikeathy and Oughterany	Mainham	Celbridge
Castledeely	637	Clane	Brideschurch	Naas
Castledermot	120	Kilkea and Moone	Castledermot	Athy
Castledillon Lower	163	South Salt	Castledillon	Celbridge
Castledillon Upper	358	South Salt	Castledillon	Celbridge
Castlefarm	139	Narragh and Reban East	Fontstown	Athy
Castlefarm	166	Offaly West	Kilrush	Athy
Castlefish	210	Kilcullen	Kilcullen	Naas
Castlemartin	442	Kilcullen	Kilcullen	Naas
Castlemitchell North	723	Narragh and Reban West	Churchtown	Athy
Castlemitchell South	327	Narragh and Reban West	Churchtown	Athy
Castlereban North	696	Narragh and Reban West	Churchtown	Athy
Castlereban South	221	Narragh and Reban West	Churchtown	Athy
Castleroe East	295	Kilkea and Moone	Dunmanoge	Athy
Castleroe West	512	Kilkea and Moone	Dunmanoge	Athy
Castlesize	218	Naas North	Bodenstown	Naas
Castletown	647	North Salt	Kildrought	Celbridge
Castlewarden North	467	South Salt	Oughterard	Naas
Castlewarden South	112	South Salt	Oughterard	Naas
Catherinestown	114	North Salt	Laraghbryan	Celbridge
Caureen	110	Naas North	Rathmore	Naas
Celbridge	2112	North Salt	Kildrought	Celbridge
Celbridge Abbey	13	South Salt	Donaghcumper	Celbridge
Celbridgeabbey	119	North Salt	Kildrought	Celbridge
Chanterlands	70	Narragh and Reban West	St. Michaels	Athy
Chapelfarm	192	Offaly West	Kilrush	Athy
Cherrymills	158	Offaly West	Harristown	Athy
Cherryville	472	Offaly West	Lackagh	Athy
Christianstown	507	Connell	Feighcullen	Naas
Churchland East	68	Offaly East	Carn	Naas
Churchland South	24	Offaly East	Carn	Naas
Churchland West	9	Offaly East	Carn	Naas
Churchtown North	197	Narragh and Reban West	Churchtown	Athy
Churchtown South	95	Narragh and Reban West	Churchtown	Athy
Clane	736	Clane	Clane	Naas
Clarey	448	Offaly West	Harristown	Athy
Clogheen	386	Offaly West	Lackagh	Athy
Clogheen	525	Offaly West	Monasterevin	Athy
Cloghgarret Glebe	62	Offaly East	Kildare	Naas
Clogorrow	358	Narragh and Reban West	Kilberry	Athy
Clonagh	251	North Salt	Taghadoe	Celbridge
Clonagh	694	Carbury	Cadamstown	Edenderry
Clonagh	461	Carbury	Dunfierth	Edenderry
Clonaghlis	444	South Salt	Clonaghlis	Celbridge
Clonard New	63	Carbury	Kilrainy	Edenderry
Cloncarlin (or Globeisland)	359	Offaly West	Monasterevin	Athy
Cloncumber	466	Connell	Kilmeage	Naas
Cloncurry	183	Ikeathy and Oughterany	Cloncurry	Celbridge
Cloncurry	182	Offaly East	Cloncurry	Edenderry
Clondown	158	Offaly West	Lackagh	Athy
Clonduff	206	Ikeathy and Oughterany	Balraheen	Celbridge
Clonegath	596	Offaly West	Monasterevin	Athy
Cloney	1518	Narragh and Reban West	Kilberry	Athy
Cloneybeg	527	Offaly West	Harristown	Athy
Clonfert North	212	Ikeathy and Oughterany	Balraheen	Celbridge
Clonfert South	238	Ikeathy and Oughterany	Balraheen	Celbridge
Clongorey	516	Connell	Feighcullen	Naas
Clongowes (or Castlebrown)	704	Ikeathy and Oughterany	Mainham	Celbridge
Clongownagh	158	Connell	Feighcullen	Naas
Clonkeen	1759	Carbury	Carbury	Edenderry
Clonkeeran	577	Carbury	Mylerstown	Edenderry
Clonmayle	263	Offaly East	Rathangan	Edenderry
Clonmoyle West	572	Offaly East	Rathangan	Edenderry
Clonmullin	11	Narragh and Reban West	St. John's	Athy
Clonmullin	55	Narragh and Reban West	St. Michaels	Athy
Clonsast	265	Ikeathy and Oughterany	Kilcock	Celbridge
Clonshanbo	444	Ikeathy and Oughterany	Clonshanbo	Celbridge
Clonuff	553	Carbury	Mylerstown	Edenderry
Clownings	619	Connell	Greatconnell	Naas
Clownings	409	Naas North	Whitechurch	Naas
Coghlandtown	367	Naas South	Ballymore Eustace	Naas
Coghlanstown	1137	Naas South	Coghlanstown	Naas
Colbinstown	251	Narragh and Reban East	Davidstown	Athy
Coldwells	299	Naas South	Ballybought	Naas
Collaghknock Glebe	143	Offaly East	Kildare	Naas
Collegeland	136	North Salt	Laraghbryan	Celbridge
Collin	265	Kilkea and Moone	Killelan	Baltinglass
Collinstown	197	North Salt	Leixlip	Celbridge
Collinstown	505	Carbury	Ardkill	Edenderry
Coltstown	98	Kilkea and Moone	Castledermot	Athy
Coltstown	354	Kilkea and Moone	Graney	Baltinglass
Common	4	Ikeathy and Oughterany	Mainham	Celbridge
Common	26	Kilcullen	Kilcullen	Naas
Common	110	Connell	Morristownbiller	Naas
Common (or Kingsbog)	663	Offaly East	Kildare	Naas
Common North	112	Offaly East	Carn	Naas
Commons	93	South Salt	Donaghcumper	Celbridge
Commons	14	Naas South	Tipperkevin	Naas
Commons East	16	Ikeathy and Oughterany	Kilcock	Celbridge
Commons Lower	115	South Salt	Lyons	Celbridge
Commons South	48	Ikeathy and Oughterany	Kilcock	Celbridge
Commons South	4	Offaly East	Carn	Naas
Commons Upper	243	South Salt	Lyons	Celbridge
Commons West	41	Ikeathy and Oughterany	Kilcock	Celbridge
Commonstown	586	Kilkea and Moone	Killelan	Baltinglass
Concealment	350	Offaly West	Lackagh	Athy
Coneyburrow	9	Narragh and Reban West	St. John's	Athy
Coneyburrow	85	Narragh and Reban West	St. Michaels	Athy
Coneyburrow	79	South Salt	Donaghcumper	Celbridge
Confey	947	North Salt	Confey	Celbridge
Conlanstown	262	Offaly East	Cloncurry	Naas
Coolagh	267	Offaly West	Harristown	Athy
Coolaght	584	Connell	Rathernan	Naas
Coolahocka	119	South Salt	Kilteel	Naas
Coolane	240	Kilkea and Moone	Kilkea	Athy
Coolatogher	180	Offaly West	Lackagh	Athy
Coolavacoose	187	Carbury	Kilmore	Edenderry
Coolcarriga	1737	Clane	Timahoe	Naas
Coolcor	353	Carbury	Carbury	Edenderry
Coolearagh East	300	Clane	Timahoe	Naas
Coolearagh West	608	Clane	Timahoe	Naas
Coolellan	289	Offaly East	Rathangan	Edenderry
Coolfitch	70	South Salt	Donaghcumper	Celbridge
Coolier	24	Offaly West	Lackagh	Athy
Coolnafearagh	629	Offaly West	Monasterevin	Athy
Coologmartin	661	Clane	Timahoe	Naas
Coolrake	299	Kilkea and Moone	Killelan	Baltinglass
Coolreagh	151	Connell	Oldconnell	Naas
Coolree	341	Carbury	Dunfierth	Edenderry
Coolree	387	Clane	Downings	Naas
Coolroe	198	Narragh and Reban West	Churchtown	Athy
Coolsickin (or Quinsborough)	617	Offaly West	Lackagh	Athy
Cooltrim North	157	Ikeathy and Oughterany	Donadea	Celbridge
Cooltrim South	313	Ikeathy and Oughterany	Donadea	Celbridge
Coolyphullagh	328	Offaly West	Kilrush	Athy
Coonagh	397	Carbury	Ardkill	Edenderry
Corballis	373	Kilkea and Moone	Kineagh	Baltinglass
Corbally	176	North Salt	Taghadoe	Celbridge
Corbally	458	Connell	Kildare	Naas
Corcoranstown	441	Ikeathy and Oughterany	Cloncurry	Celbridge
Corduff	920	Clane	Timahoe	Naas
Corkeragh	199	Clane	Ballynafagh	Naas
Cormickstown	254	North Salt	Laraghbryan	Celbridge
Cornamucklagh	435	Carbury	Kilrainy	Edenderry
Cornelscourt	233	Connell	Morristownbiller	Naas
Corwig	210	Carbury	Carrick	Edenderry
Cott	212	Clane	Killybegs	Naas
Courtown Great	233	Ikeathy and Oughterany	Kilcock	Celbridge
Courtown Little	124	Ikeathy and Oughterany	Kilcock	Celbridge
Courttown East	192	Narragh and Reban West	Churchtown	Athy
Courttown West	124	Narragh and Reban West	Churchtown	Athy
Cowanstown	179	North Salt	Taghadoe	Celbridge
Cowpasture	179	Offaly West	Monasterevin	Athy
Cradockstown Demesne	379	Naas North	Tipper	Naas
Cradockstown East	157	Naas North	Tipper	Naas
Cradockstown North	121	Naas North	Tipper	Naas
Cradockstown West	320	Naas North	Tipper	Naas
Cramersvalley	35	Naas South	Brannockstown	Naas
Crawnglass	240	Offaly West	Ballyshannon	Athy
Crewhill	215	North Salt	Laraghbryan	Celbridge
Crinstown	226	North Salt	Laraghbryan	Celbridge
Crippaun	146	North Salt	Killadoon	Celbridge
Crockanure Glebe	59	Offaly East	Kildare	Naas
Crockaun	331	Offaly West	Ballyshannon	Athy
Crockaun Commons	42	Clane	Clane	Naas
Crodaun	78	North Salt	Kildrought	Celbridge
Crohanree	295	Narragh and Reban West	Churchtown	Athy
Cromwellstown	443	South Salt	Kilteel	Naas
Cromwellstownhill	320	South Salt	Kilteel	Naas
Crooket	289	Kilkea and Moone	Killelan	Athy
Crookstown East	40	Narragh and Reban East	Narraghmore	Baltinglass
Crookstown Lower	296	Narragh and Reban East	Narraghmore	Athy
Crookstown Upper	994	Narragh and Reban East	Narraghmore	Baltinglass
Crophill	151	Kilkea and Moone	Castledermot	Athy
Crosscoolharbour	110	Naas North	Rathmore	Naas
Crossmorris	168	Offaly West	Lackagh	Athy
Crotanstown	150	Connell	Morristownbiller	Naas
Cullaghreeva	32	North Salt	Confey	Celbridge
Cupidstown	240	South Salt	Kilteel	Naas
Cupidstownhill	301	South Salt	Kilteel	Naas
Curragh	2141	Offaly East	Ballysax	Naas
Curragh	2744	Offaly East	Kildare	Naas
Curraghfarm	206	Offaly East	Kildare	Naas
Curryhills	817	Clane	Killybegs	Naas
Cush	172	Offaly West	Ballybrackan	Athy
Cushaling	843	Offaly East	Rathangan	Edenderry
Daars North	242	Naas North	Bodenstown	Naas
Daars South	426	Naas North	Bodenstown	Naas
Dairyfarm	85	Kilkea and Moone	Castledermot	Athy
Dalkinstown	256	Kilcullen	Kilcullen	Naas
Dangan	171	South Salt	Lyons	Celbridge
Danielstown	136	Ikeathy and Oughterany	Mainham	Celbridge
Davidstown	267	Narragh and Reban East	Davidstown	Athy
Davidstown	223	Kilkea and Moone	Killelan	Baltinglass
Davidstown (or Pilsworth)	367	Kilkea and Moone	Graney	Baltinglass
Davidstown Demesne	279	Kilkea and Moone	Killelan	Baltinglass
Davidstown Lower	271	Kilkea and Moone	Graney	Athy
Davidstown Upper	295	Kilkea and Moone	Graney	Athy
Deerpark	158	Kilkea and Moone	Castledermot	Carlow
Delamain	171	Naas South	Carnalway	Naas
Demesne	79	Carbury	Ardkill	Edenderry
Demesne	360	Carbury	Carbury	Edenderry
Derreens	426	Clane	Carragh	Naas
Derrinstown	133	North Salt	Taghadoe	Celbridge
Derrinturn	340	Carbury	Ardkill	Edenderry
Derryart	43	Carbury	Nurney	Edenderry
Derrybrennan	273	Carbury	Kilpatrick	Edenderry
Derrycrib	624	Clane	Ballynafagh	Naas
Derrylea	1205	Offaly West	Lackagh	Athy
Derrymullen	533	Connell	Kilmeage	Naas
Derrynine	263	Offaly West	Fontstown	Athy
Derryoughter East	600	Offaly West	Ballybrackan	Athy
Derryoughter West	654	Offaly West	Ballybrackan	Athy
Derryvarroge	1115	Clane	Timahoe	Naas
Dollardstown	189	Kilkea and Moone	Tankardstown	Athy
Donadea North	450	Ikeathy and Oughterany	Donadea	Celbridge
Donadea South	379	Ikeathy and Oughterany	Donadea	Celbridge
Donaghcumper	337	South Salt	Donaghcumper	Celbridge
Donaghmore	92	North Salt	Donaghmore	Celbridge
Donaghstown	300	North Salt	Laraghbryan	Celbridge
Donode	49	Naas South	Ballymore Eustace	Naas
Donode	378	Naas South	Coghlanstown	Naas
Donore	896	Clane	Carragh	Naas
Dowdenstown Great	334	Naas South	Tipperkevin	Naas
Dowdenstown Little	109	Connell	Ladytown	Naas
Dowdstown	199	North Salt	Laraghbryan	Celbridge
Downings North	878	Clane	Downings	Naas
Downings South	475	Clane	Downings	Naas
Dreenan	371	Carbury	Ardkill	Edenderry
Drehid	2161	Carbury	Ardkill	Edenderry
Drinnanstown North	404	Offaly East	Cloncurry	Edenderry
Drinnanstown South	404	Offaly East	Cloncurry	Edenderry
Drummond	733	Carbury	Kilpatrick	Edenderry
Drumsru	348	Offaly East	Feighcullen	Edenderry
Drumsru	674	Connell	Kilmeage	Naas
Dunbyrne	490	Connell	Rathernan	Naas
Duncreevan	131	Ikeathy and Oughterany	Kilcock	Celbridge
Duneany	1092	Offaly West	Duneany	Athy
Dunfierth	651	Carbury	Dunfierth	Edenderry
Dunmanoge	318	Kilkea and Moone	Dunmanoge	Athy
Dunmurraghill	501	Ikeathy and Oughterany	Dunmurraghill	Celbridge
Dunmurry East	301	Offaly East	Dunmurry	Naas
Dunmurry West	495	Offaly East	Dunmurry	Naas
Dunnstown	522	Naas South	Carnalway	Naas
Dysart	632	Carbury	Dunfierth	Edenderry
Eadestown	461	Naas North	Rathmore	Naas
Eaglehill	337	Offaly West	Kilrush	Athy
Easton	134	North Salt	Leixlip	Celbridge
