Rank	Quarterback	Seasons	Teams	Team Wins	Team Losses	Career Wins	Career Losses	Ties
25	Vinny Testaverde Category:Articles with hCards	2007	Carolina	2	4	90	123	1
26	Ben Roethlisberger Category:Articles with hCards *	2004–present	Pittsburgh	89	45	89	45	0
27	Jim Hart Category:Articles with hCards	1966-1983	St. Louis Cardinals	87	88	87	88	5
27	Jim Hart Category:Articles with hCards	1984	Washington	0	0	87	88	5
28	Roman Gabriel Category:Articles with hCards	1962-1972	LA Rams	74	39	86	64	7
28	Roman Gabriel Category:Articles with hCards	1973-1977	Philadelphia	12	25	86	64	7
29	Fouts, Dan Dan Fouts **	1973-1987	San Diego	86	84	86	84	1
30	Staubach, Roger Roger Staubach **	1969-1979	Dallas	85	29	85	29	0
31	Randall Cunningham Category:Articles with hCards	1985-1995	Philadelphia	63	43	82	52	1
31	Randall Cunningham Category:Articles with hCards	1997-1999	Minnesota	16	7	82	52	1
31	Randall Cunningham Category:Articles with hCards	2000	Dallas	1	2	82	52	1
31	Randall Cunningham Category:Articles with hCards	2001	Baltimore Ravens	2	0	82	52	1
32	John Hadl Category:Articles with hCards	1962-1972	San Diego	59	55	82	76	9
32	John Hadl Category:Articles with hCards	1973-1974	LA Rams	15	4	82	76	9
32	John Hadl Category:Articles with hCards	1974-1975	Green Bay	7	12	82	76	9
32	John Hadl Category:Articles with hCards	1976-1977	Houston Oilers	1	5	82	76	9
33	Layne, Bobby Bobby Layne **	1948	Chicago	0	0	81	61	5
33	Layne, Bobby Bobby Layne **	1949	NY Bulldogs	1	10	81	61	5
33	Layne, Bobby Bobby Layne **	1950-1958	Detroit	53	29	81	61	5
33	Layne, Bobby Bobby Layne **	1958-1962	Pittsburgh	27	22	81	61	5
34	Craig Morton Category:Articles with hCards	1965-1974	Dallas	32	14	81	62	1
34	Craig Morton Category:Articles with hCards	1974-1976	NY Giants	8	25	81	62	1
34	Craig Morton Category:Articles with hCards	1977-1982	Denver	41	23	81	62	1
35	Kerry Collins Category:Articles with hCards	1995-1998	Carolina	22	20	81	99	0
35	Kerry Collins Category:Articles with hCards	1998	New Orleans	2	5	81	99	0
35	Kerry Collins Category:Articles with hCards	1999-2003	NY Giants	35	33	81	99	0
35	Kerry Collins Category:Articles with hCards	2004-2005	Oakland	7	21	81	99	0
35	Kerry Collins Category:Articles with hCards	2006-2010	Tennessee	15	17	81	99	0
35	Kerry Collins Category:Articles with hCards	2011	Indianapolis	0	3	81	99	0
36	Eli Manning Category:Articles with hCards *	2004–present	NY Giants	80	63	80	63	0
37	Matt Hasselbeck Category:Articles with hCards *	1999-2000	Green Bay	0	0	80	72	0
37	Matt Hasselbeck Category:Articles with hCards *	2001-2010	Seattle	69	62	80	72	0
37	Matt Hasselbeck Category:Articles with hCards *	2011–2012	Tennessee	11	10	80	72	0
37	Matt Hasselbeck Category:Articles with hCards *	2013	Indianapolis	0	0	80	72	0
38	Boomer Esiason Category:Articles with hCards	1984-1992 1997	Cincinnati	62	61	80	93	0
38	Boomer Esiason Category:Articles with hCards	1993-1995	NY Jets	15	27	80	93	0
38	Boomer Esiason Category:Articles with hCards	1996	Arizona	3	5	80	93	0
39	Joe Ferguson Category:Articles with hCards	1973-1984	Buffalo	77	86	79	92	0
39	Joe Ferguson Category:Articles with hCards	1985-1986	Detroit	2	3	79	92	0
39	Joe Ferguson Category:Articles with hCards	1988-1989	Tampa Bay	0	3	79	92	0
39	Joe Ferguson Category:Articles with hCards	1990	Indianapolis	0	0	79	92	0
40	Tittle, Y. A. Y. A. Tittle **	1950	Baltimore Colts	1	8	78	52	5
40	Tittle, Y. A. Y. A. Tittle **	1951-1960	San Francisco	45	31	78	52	5
40	Tittle, Y. A. Y. A. Tittle **	1961-1964	NY Giants	32	13	78	52	5
41	Mark Brunell Category:Articles with hCards	1994	Green Bay	0	0	78	73	0
41	Mark Brunell Category:Articles with hCards	1995-2003	Jacksonville	63	54	78	73	0
41	Mark Brunell Category:Articles with hCards	2004-2006	Washington	15	18	78	73	0
41	Mark Brunell Category:Articles with hCards	2008-2009	New Orleans	0	1	78	73	0
41	Mark Brunell Category:Articles with hCards	2010-2011	NY Jets	0	0	78	73	0
42	Joe Theismann Category:Articles with hCards	1974-1985	Washington	77	47	77	47	0
43	Rich Gannon Category:Articles with hCards	1987-1992	Minnesota	19	16	76	56	0
43	Rich Gannon Category:Articles with hCards	1993	Washington	1	3	76	56	0
43	Rich Gannon Category:Articles with hCards	1995-1998	Kansas City	11	8	76	56	0
43	Rich Gannon Category:Articles with hCards	1999-2004	Oakland	45	29	76	56	0
44	Steve Grogan Category:Articles with hCards	1975-1990	New England	75	60	75	60	0
45	Rivers, Philip Philip Rivers *	2004–present	San Diego	74	46	74	46	0
46	John Brodie Category:Articles with hCards	1957-1973	San Francisco	74	77	74	77	8
47	Ron Jaworski Category:Articles with hCards	1974-1976	LA Rams	3	0	73	69	1
47	Ron Jaworski Category:Articles with hCards	1977-1986	Philadelphia	69	67	73	69	1
47	Ron Jaworski Category:Articles with hCards	1988	Miami	0	0	73	69	1
47	Ron Jaworski Category:Articles with hCards	1989	Kansas City	1	2	73	69	1
48	Brad Johnson Category:Articles with hCards	1994-1998 2005-2006	Minnesota	28	18	72	53	0
48	Brad Johnson Category:Articles with hCards	1999-2000	Washington	17	10	72	53	0
48	Brad Johnson Category:Articles with hCards	2001-2004	Tampa Bay	26	23	72	53	0
48	Brad Johnson Category:Articles with hCards	2007-2008	Dallas	1	2	72	53	0
49	Jim Plunkett Category:Articles with hCards	1971-1975	New England	23	38	72	72	0
49	Jim Plunkett Category:Articles with hCards	1976-1977	San Francisco	11	15	72	72	0
49	Jim Plunkett Category:Articles with hCards	1979-1986	Oakland/ LA Raiders	38	19	72	72	0
50	Jake Plummer Category:Articles with hCards	1997-2002	Arizona	30	52	69	67	0
50	Jake Plummer Category:Articles with hCards	2003-2006	Denver	39	15	69	67	0
