Year	Round	Pick	Overall	Position	NFL team
1973	12	5	291	G	Chicago Bears
1973	17	12	428	WR	Atlanta Falcons
1974	6	10	140	LB	Baltimore Colts
1974	7	4	160	WR	Chicago Bears
1974	11	23	283	RB	Pittsburgh Steelers
1975	6	15	145	DB	Cincinnati Bengals
1975	9	7	215	DB	Cleveland Browns
1975	12	1	287	RB	New York Giants
1975	15	16	380	DT	New York Jets
1976	2	7	35	RB	New England Patriots
1976	5	19	143	QB	Baltimore Colts
1976	6	21	177	QB	San Francisco 49ers
1976	8	7	216	C	Philadelphia Eagles
1976	11	28	319	RB	Pittsburgh Steelers
1977	2	8	36	G	Atlanta Falcons
1977	2	11	39	T	Green Bay Packers
1977	4	25	109	T	New England Patriots
1977	5	20	132	LB	Pittsburgh Steelers
1977	10	14	265	LB	San Diego Chargers
1978	1	15	15	K	St. Louis Cardinals
1978	6	6	144	G	Green Bay Packers
1979	1	4	4	DT	Chicago Bears
1979	3	4	60	RB	Tampa Bay Buccaneers
1979	4	9	91	DB	Cincinnati Bengals
1979	4	12	94	RB	Philadelphia Eagles
1979	12	2	305	RB	Kansas City Chiefs
1980	5	10	120	C	Detroit Lions
1980	11	14	291	LB	Oakland Raiders
1980	11	17	294	RB	Cleveland Browns
1980	12	27	332	QB	Los Angeles Rams
1981	5	23	134	P	Cleveland Browns
1981	6	24	162	WR	San Diego Chargers
1981	8	22	215	DB	New Orleans Saints
1981	9	17	238	DB	Detroit Lions
1981	10	11	259	DB	Baltimore Colts
1982	12	16	322	LB	Washington Redskins
1983	1	5	5	LB	San Diego Chargers
1983	1	20	20	RB	San Diego Chargers
1983	2	10	38	C	New Orleans Saints
1983	4	11	95	DB	San Diego Chargers
1983	7	20	188	RB	Green Bay Packers
1984	1	15	15	DE	New York Jets
1984	9	11	235	WR	Minnesota Vikings
1984S	3	23	79	T	Pittsburgh Steelers
1985	12	4	312	T	Indianapolis Colts
1986	2	26	53	DB	New York Giants
1986	5	3	113	LB	Washington Redskins
1986	5	16	126	WR	Seattle Seahawks
1986	5	17	127	LB	Cleveland Browns
1986	5	26	136	DB	Miami Dolphins
1987	5	27	139	P	Cincinnati Bengals
1987	12	10	317	TE	Pittsburgh Steelers
1989	1	19	19	DE	New Orleans Saints
1989	1	20	20	DB	Denver Broncos
1989	2	27	55	G	Cincinnati Bengals
1989	4	5	89	LB	Cincinnati Bengals
1989	7	22	189	DB	Chicago Bears
1989	9	11	234	K	Phoenix Cardinals
1989	9	20	243	LB	Chicago Bears
1990	5	19	128	RB	Pittsburgh Steelers
1990	8	7	200	RB	Chicago Bears
1990	8	23	216	G	Los Angeles Rams
1990	12	6	310	DB	Chicago Bears
1991	4	6	89	WR	Denver Broncos
1993	4	11	95	DE	San Diego Chargers
1994	1	26	26	DT	Houston Oilers
1994	2	14	43	G	San Diego Chargers
1996	3	11	72	LB	Pittsburgh Steelers
1996	5	23	155	DT	San Diego Chargers
1996	7	22	231	RB	San Diego Chargers
1997	5	30	160	LB	Green Bay Packers
1997	6	8	171	QB	New York Giants
1998	7	46	235	DE	Oakland Raiders
1999	3	2	63	G	Indianapolis Colts
1999	4	25	120	DB	Minnesota Vikings
1999	6	33	202	DE	Arizona Cardinals
1999	7	1	207	RB	Cleveland Browns
1999	7	6	212	DB	Carolina Panthers
1999	7	19	225	DT	New York Giants
2000	2	14	45	DB	Denver Broncos
2000	2	30	61	G	Philadelphia Eagles
2000	4	8	102	DB	Arizona Cardinals
2000	4	20	114	WR	Green Bay Packers
2000	6	30	196	WR	Jacksonville Jaguars
2001	2	24	55	LB	Philadelphia Eagles
2001	6	4	167	DE	Atlanta Falcons
2002	4	2	100	DB	Carolina Panthers
2002	7	29	240	DB	Tennessee Titans
2003	2	10	42	DB	Seattle Seahawks
2004	1	16	16	G	Philadelphia Eagles
2004	1	25	25	DB	Green Bay Packers
2004	3	17	80	LB	Cincinnati Bengals
2004	4	32	128	RB	New England Patriots
2004	5	28	160	LB	Miami Dolphins
2004	6	12	177	T	Pittsburgh Steelers
2005	1	21	21	WR	Jacksonville Jaguars
2005	5	23	159	LB	Seattle Seahawks
2005	7	46	254	DB	San Francisco 49ers
2007	1	8	8	DE	Atlanta Falcons
2007	2	9	41	DB	Atlanta Falcons
2007	2	10	42	T	Indianapolis Colts
2007	5	36	173	DB	Indianapolis Colts
2007	7	38	248	DT	St. Louis Rams
2008	1	4	4	RB	Oakland Raiders
2008	1	22	22	RB	Dallas Cowboys
2008	3	27	90	DT	Chicago Bears
2008	7	4	211	T	New York Jets
2008	7	20	227	FB	Denver Broncos
2008	7	41	248	WR	Chicago Bears
2009	4	6	106	C	Cincinnati Bengals
2010	3	13	77	WR	Tennessee Titans
2010	5	16	147	G	New York Giants
2011	3	10	74	QB	New England Patriots
2011	5	10	141	TE	Green Bay Packers
2011	6	3	168	T	Minnesota Vikings
2012	3	27	90	DE	New England Patriots
2012	4	9	104	WR	Carolina Panthers
2012	4	23	118	WR	Minnesota Vikings
2012	4	39	134	WR	Minnesota Vikings
2013	3	34	96	RB	Kansas City Chiefs
2013	4	15	112	QB	Oakland Raiders
2013	6	29	197	WR	Cincinnati Bengals
2013	7	16	222	TE	Buffalo Bills
