Year	Date	Type	EU Council presidency	President-in-Office	Host city
1996	5 October	Extraordinary	Ireland	John Bruton	Dublin
1996	13–14 December	―	Ireland	John Bruton	Dublin
1997	23 May	Informal	Netherlands	Wim Kok	Noordwijk
1997	16–17 June	―	Netherlands	Wim Kok	Amsterdam
1997	20–21 November	Extraordinary	Luxembourg	Jean-Claude Juncker	Luxembourg
1997	12–13 December	―	Luxembourg	Jean-Claude Juncker	Luxembourg
1998	3 May	―	UK	Tony Blair	Brussels
1998	15–16 June	―	UK	Tony Blair	Cardiff
1998	24–25 October	Informal	Austria	Viktor Klima	Pörtschach
1998	11–12 December	―	Austria	Viktor Klima	Vienna
1999	26 February March	Informal	Germany	Gerhard Schröder	Königswinter
1999	25–26 March	―	Germany	Gerhard Schröder	Berlin
1999	14 April	Informal	Germany	Gerhard Schröder	Brussels
1999	3–4 June	―	Germany	Gerhard Schröder	Cologne
1999	15–16 October	―	Finland	Paavo Lipponen	Tampere
1999	10–11 December	―	Finland	Paavo Lipponen	Helsinki
2000	23–24 March	―	Portugal	António Guterres	Lisbon
2000	19–20 June	―	Portugal	António Guterres	Santa Maria da Feira
2000	13–14 October	Informal	France	Jacques Chirac	Biarritz
2000	7–9 December	―	France	Jacques Chirac	Nice
2001	23–24 March	―	Sweden	Göran Persson	Stockholm
2001	15–16 June	―	Sweden	Göran Persson	Gothenburg
2001	21 September	Informal	Belgium	Guy Verhofstadt	Brussels
2001	19 October	Informal	Belgium	Guy Verhofstadt	Ghent
2001	14–15 December	―	Belgium	Guy Verhofstadt	Laken
2002	15–16 March	―	Spain	José María Aznar López	Barcelona
2002	21–22 June	―	Spain	José María Aznar López	Seville
2002	24–25 October	―	Denmark	Anders Fogh Rasmussen	Brussels
2002	12–13 December	―	Denmark	Anders Fogh Rasmussen	Copenhagen
2003	17 February	Extraordinary	Greece	Costas Simitis	Brussels
2003	20–21 March	―	Greece	Costas Simitis	Brussels
2003	16–17 April	Informal	Greece	Costas Simitis	Athens
2003	20 June	―	Greece	Costas Simitis	Thessaloniki
2003	4 October	Extraordinary	Italy	Silvio Berlusconi	Rome
2003	16–17 October	―	Italy	Silvio Berlusconi	Brussels
2003	12–13 December	―	Italy	Silvio Berlusconi	Brussels
2004	25–26 March	―	Ireland	Bertie Ahern	Brussels
2004	17–18 June	―	Ireland	Bertie Ahern	Brussels
2004	4–5 November	―	Netherlands	Jan Peter Balkenende	Brussels
2004	16–17 December	―	Netherlands	Jan Peter Balkenende	Brussels
2005	22–23 March	―	Luxembourg	Jean-Claude Juncker	Brussels
2005	16–17 June	―	Luxembourg	Jean-Claude Juncker	Brussels
2005	27 October	Informal	UK	Tony Blair	Hampton Court
2005	15–16 December	―	UK	Tony Blair	Brussels
2006	23–24 March	―	Austria	Wolfgang Schüssel	Brussels
2006	15–16 June	―	Austria	Wolfgang Schüssel	Brussels
2006	20 October	Informal	Finland	Matti Vanhanen	Lahti
2006	14–15 December	―	Finland	Matti Vanhanen	Brussels
2007	8–9 March	―	Germany	Angela Merkel	Brussels
2007	21–22 June	―	Germany	Angela Merkel	Brussels
2007	18–19 October	Informal	Portugal	José Sócrates	Lisbon
2007	14 December	―	Portugal	José Sócrates	Brussels
2008	13–14 March	―	Slovenia	Janez Janša	Brussels
2008	19–20 June	―	Slovenia	Janez Janša	Brussels
2008	13–14 July	Extraordinary	France	Nicolas Sarkozy	Paris
2008	1 September	Extraordinary	France	Nicolas Sarkozy	Brussels
2008	12 October	Euro summit	France	Nicolas Sarkozy	Paris
2008	15–16 October	―	France	Nicolas Sarkozy	Brussels
2008	7 November	Informal	France	Nicolas Sarkozy	Brussels
2008	11–12 December	―	France	Nicolas Sarkozy	Brussels
2009	1 March	Informal	Czech Republic	Mirek Topolánek	Brussels
2009	19–20 March	―	Czech Republic	Mirek Topolánek	Brussels
2009	5 April	Informal (EU-USA summit)	Czech Republic	Jan Fischer	Prague
2009	18–19 June	―	Czech Republic	Jan Fischer	Brussels
2009	17 September	Informal	Sweden	Fredrik Reinfeldt	Brussels
2009	29–30 October	―	Sweden	Fredrik Reinfeldt	Brussels
2009	19 November	Informal	Sweden	Fredrik Reinfeldt	Brussels
2009	10–11 December	—	Sweden	Fredrik Reinfeldt	Brussels
