Season	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1971/1972	Svend Pri , Amager BC	Lene Køppen , Valby BC	Poul Petersen, Østerbro BK Per Walsøe, Gentofte BK	Pernille Kaagaard Anne Flindt, Gentofte BK	Svend Pri , Amager BC Ulla Strand , Københavns BK
1972/1973	Svend Pri , Amager BC	Lene Køppen , Valby BC	Svend Pri , Amager BC Poul Petersen, Østerbro BK	Ulla Strand , Københavns BK Lene Køppen , Valby BC	Svend Pri , Amager BC Ulla Strand , Københavns BK
1974/1975	Svend Pri , Søllerød-Nærum IK	Lene Køppen , Gentofte BK	Elo Hansen Flemming Delfs , Københavns BK	Lene Køppen , Gentofte BK lnge Borgstrøm, Ringsted	Steen Skovgaard Pernille Kaagaard, Gentofte BK
1975/1976	Flemming Delfs , Værløse	Lene Køppen , Gentofte BK	Elo Hansen, Hvidovre BC Flemming Delfs , Værløse	Lene Køppen , Gentofte BK lnge Borgstrøm, Ringsted	Steen Skovgaard Pernille Kaagaard, Gentofte BK
1978/1979	Morten Frost , Gentofte BK	Lene Køppen , Gentofte BK	Mogens Neergaard Kenneth Larsen, Triton, Aalborg	Lene Køppen Susanne Berg, Gentofte BK	Steen Skovgaard Lene Køppen , Gentofte BK
1979/1980	Morten Frost , Gentofte BK	Lene Køppen , Gentofte BK	Steen Fladberg , Køge Morten Frost , Gentofte BK	Lene Køppen Anne Skovgaard, Gentofte BK	Steen Fladberg Lene Køppen , Gentofte BK
1981/1982	Morten Frost , Gentofte BK	Lene Køppen , Gentofte BK	Steen Fladberg , Køge Morten Frost , Gentofte BK	Lene Køppen Anne Skovgaard, Gentofte BK	Steen Skovgaard Anne Skovgaard, Gentofte BK
1983/1984	Morten Frost , Gentofte BK	Kirsten Larsen, Gentofte BK	Jens Peter Nierhoff Morten Frost , Gentofte BK	Hanne Adsbøl, Lyngby Kirsten Larsen, Gentofte BK	Morten Frost Ulla-Britt Frost, Gentofte BK
2001/2002	Peter Gade , Gentofte	Camilla Martin , Gentofte	Jens Eriksen , Hvidovre Martin Lundgaard , Værløse	Jane F. Bramsen Ann-Lou Jørgensen , KMB	Michael Søgaard Rikke Olsen , KMB
2002/2003	Peter Gade , Gentofte	Camilla Martin , Værløse	Jim Laugesen, Gentofte Michael Søgaard , KMB	Rikke Olsen Ann-Lou Jørgensen , KMB	Jens Eriksen Mette Schjoldager , Hvidovre
2003/2004	Kenneth Jonassen , Greve	Tine Rasmussen , KMB	Lars Paaske , KBK Jonas Rasmussen , KMB	Rikke Olsen Ann-Lou Jørgensen , KMB	Jens Eriksen Mette Schjoldager , Hvidovre
2004/2005	Peter Gade , Gentofte	Tine Rasmussen , KMB	Jens Eriksen , Hvidovre Martin Lundgaard , Værløse	Rikke Olsen , KMB Mette Schjoldager , Hvidovre	Thomas Laybourn Kamilla Rytter Juhl , Værløse
