Name	Height	Weight	Class	Position	Hometown
J.C. Brignone	6'1"	290lbs.	RS Fr.	OG	Pass Christian, Mississippi
John McMillan	6'2"	285lbs.	RS Fr.	OG	Paragould, Arkansas
Dakota Merritt	6'5"	302lbs.	Fr.	OT	Cantonment, Florida
Mark Melichar	6'5"	290lbs.	RS Fr.	OT	Birmingham, Alabama
Craig Jenkins	6'4"	315lbs.	So.	OG	Pearl, Mississippi
Royce Blackledge	6'4"	293lbs.	Sr.	C	Sandersville, Mississippi
Michael Brown	6'5"	300lbs.	Jr.	OT	College Park, Georgia
Michael Gates	6'4"	305lbs.	Jr.	OG	Fairburn, Georgia
Derek Sherrod	6'5"	298lbs.	Fr.	OT	Caledonia, Mississippi
Alex Carpenter	6'	182lbs.	RS Fr.	WR	Biggersville, Mississippi
Brandon McRae	6'4"	200lbs.	So.	WR	Chester, Virginia
Jason Husband	6'3"	230lbs.	Sr.	TE	Jackson, Mississippi
Austin Wilbanks	6'3"	245lbs.	So.	TE	Forest, Mississippi
Jeremy Jones	6'2"	275lbs.	Jr.	FB	Harvey, Louisiana
Brandon Henderson	6'1"	250lbs.	RS Fr.	TE	Fayetteville, Georgia
Lance Long	5'11"	186lbs.	Sr.	WR	Macomb, Michigan
Aubrey Bell	6'3"	217lbs.	Jr.	WR	Prichard, Alabama
Eric Butler	6'3"	255lbs.	Sr.	TE	Moss Point, Mississippi
Jamayel Smith	6'	183lbs.	Jr.	WR	East Point, Georgia
Cortez McCraney	6'4"	272lbs.	Jr.	DT	Southaven, Mississippi
Rodney Prince	6'3"	252lbs.	RS Fr.	DE	Irondale, Alabama
Charles Burns	6'3"	265lbs.	Jr.	DE	Hattiesburg, Mississippi
Brandon Cooper	6'3"	240lbs.	RS Fr.	DE	Missouri City, Texas
Jessie Bowman	6'1"	305lbs.	Jr.	DT	Brookhaven, Mississippi
Kyle Love	6'1"	312lbs.	So.	DT	Fairburn, Georgia
Reggie Odom	6'	295lbs.	RS Fr.	DT	DeLand, Florida
Jimmie Holmes	6'3"	235lbs.	Jr.	DE	Aiken, South Carolina
LaMarcus Williams	6'1"	290lbs.	Fr.	DT	Bastrop, Louisiana
Quinton Wesley	6'4"	315lbs.	So.	DT	Atlanta, Georgia
Robert Ambers	5'11"	181lbs.	So.	QB	Venice, California
Andrew Ellard	5'11"	180lbs.	So.	WR	Natchez, Mississippi
Robert Gurley	6'2"	190lbs.	Fr.	S	Dothan, Alabama
Josh Hines	5'11"	215lbs.	Fr.	LB	Rome, Georgia
Cole Richardson	5'11"	180lbs.	Fr.	P	Hattiesburg, Mississippi
Major Sosebee	6'2"	185lbs.	So.	WR	Warrior, Alabama
Kevin Valenti	5'10"	188lbs.	Fr.	CB	Tampa, Florida
Davonne Wilson	6'3"	220lbs.	RS Fr.	DE	Smyrna, Georgia
Spencer Yates	6'3"	250lbs.	Fr.	OG	Brandon, Mississippi
