Release date	Album title	Record label	Disc number	Track number	Title
21 April 2006	音乐密码	EMI	1	04	你这么晚还没睡
21 April 2006	音乐密码	EMI	1	05	梦中的婚礼
21 April 2006	音乐密码	EMI	1	06	天若有情
21 April 2006	音乐密码	EMI	1	07	蝴蝶
21 April 2006	音乐密码	EMI	1	08	愿望
21 April 2006	音乐密码	EMI	1	09	恶作剧男孩
21 April 2006	音乐密码	EMI	1	10	葬英雄
22 November 2007	男人歌	EMI / Gold Label	1	01	婚礼进行曲
22 November 2007	男人歌	EMI / Gold Label	1	02	音乐让我说爱你
22 November 2007	男人歌	EMI / Gold Label	1	03	男人KTV
22 November 2007	男人歌	EMI / Gold Label	1	04	到了没
22 November 2007	男人歌	EMI / Gold Label	1	05	未满18岁
22 November 2007	男人歌	EMI / Gold Label	1	06	潇湘雨
22 November 2007	男人歌	EMI / Gold Label	1	07	江湖
22 November 2007	男人歌	EMI / Gold Label	1	08	诀别诗
22 November 2007	男人歌	EMI / Gold Label	1	09	巴黎铁塔
22 November 2007	男人歌	EMI / Gold Label	1	10	滑板
22 November 2007	男人歌	EMI / Gold Label	1	11	另一个自己
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	01	男人KTV
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	02	Waiting For You
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	03	你这么晚还没睡
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	04	巴黎铁塔
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	05	潇湘雨
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	06	月光
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	07	婚礼进行曲
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	08	情不自禁
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	09	18禁（intro）
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	10	18禁
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	11	和尚
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	12	皇帝
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	13	想
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	14	红颜
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	15	老爸你别装酷
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 1	16	和尚 (Demo Version)
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 2 (LPCD Version)	01	月光
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 2 (LPCD Version)	02	男人KTV
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 2 (LPCD Version)	03	18禁 (intro)
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 2 (LPCD Version)	04	18禁
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 2 (LPCD Version)	05	巴黎铁塔
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 2 (LPCD Version)	06	红颜
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 2 (LPCD Version)	07	和尚
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 2 (LPCD Version)	08	Waiting for you
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 2 (LPCD Version)	09	皇帝
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 2 (LPCD Version)	10	情不自禁
9 July 2008	音乐斌潮	EMI / Gold Label	Disc 2 (LPCD Version)	11	宣言
8 December 2009	失业情歌	Gold Label	1	01	你买单还我买单
8 December 2009	失业情歌	Gold Label	1	02	失业情歌
8 December 2009	失业情歌	Gold Label	1	03	笔墨登场
8 December 2009	失业情歌	Gold Label	1	04	不曾后悔
8 December 2009	失业情歌	Gold Label	1	05	罗马假期
8 December 2009	失业情歌	Gold Label	1	06	空位
8 December 2009	失业情歌	Gold Label	1	07	林妹妹
8 December 2009	失业情歌	Gold Label	1	08	Fun Run
8 December 2009	失业情歌	Gold Label	1	09	勇敢去愛吧
8 December 2009	失业情歌	Gold Label	1	10	父親
8 December 2009	失业情歌	Gold Label	1	11	閃亮的日子
30 September 2011	Who Cares?	Warner Music Group	1	01	Life
30 September 2011	Who Cares?	Warner Music Group	1	02	一万光年
30 September 2011	Who Cares?	Warner Music Group	1	03	鸿门宴
30 September 2011	Who Cares?	Warner Music Group	1	04	女人不该让男人流泪
30 September 2011	Who Cares?	Warner Music Group	1	05	One Night In Shanghai
30 September 2011	Who Cares?	Warner Music Group	1	06	伤痕
30 September 2011	Who Cares?	Warner Music Group	1	07	Lisa I Love You
30 September 2011	Who Cares?	Warner Music Group	1	08	不是猛龙不过江
30 September 2011	Who Cares?	Warner Music Group	1	09	小小的心愿
30 September 2011	Who Cares?	Warner Music Group	1	10	爱情总是猜得到开头猜不到结尾
29 October 2012	大一號 GROW	Warner Music Group	1	01	愛情是怎麼了
29 October 2012	大一號 GROW	Warner Music Group	1	02	我以為
29 October 2012	大一號 GROW	Warner Music Group	1	03	卡啦永遠OK
29 October 2012	大一號 GROW	Warner Music Group	1	04	在一起
29 October 2012	大一號 GROW	Warner Music Group	1	05	江湖再見
29 October 2012	大一號 GROW	Warner Music Group	1	06	心的未來
29 October 2012	大一號 GROW	Warner Music Group	1	07	Interlude
29 October 2012	大一號 GROW	Warner Music Group	1	08	搖滾天生大一號
29 October 2012	大一號 GROW	Warner Music Group	1	09	劫後餘生
29 October 2012	大一號 GROW	Warner Music Group	1	10	沉默的大多數
29 October 2012	大一號 GROW	Warner Music Group	1	11	三十而立
29 October 2012	大一號 GROW	Warner Music Group	1	12	大夢想家
