Date	Album name	Track	Track title	Lyricist	Music genre/style	Major instrument(s)	Lyrics theme/style	Duration
2006-09-05	Still Fantasy 依然范特西	7-10	Chrysanthemum Terrace 菊花台 (Júhuā tái)	Vincent Fang 方文山	"Zhong guo feng", orchestra	Violin , cello , guitar ( acoustic ), guzheng	Love, family, death	4:53
2007-11-02	On the Run 我很忙	8-01	Cowboy On The Run 牛仔很忙	Huang Jun Lang 黃俊郎	Country	Violin , guitar ( acoustic ), banjo	Nonviolent Life, Alcohol Abstinence	2:48
2007-11-02	On the Run 我很忙	8-02	Rainbow 彩虹	Jay Chou 周杰倫	Soft rock	Guitar ( acoustic )	Romance	4:24
2007-11-02	On the Run 我很忙	8-03	Blue and White Porcelain 青花瓷	Vincent Fang 方文山	"Zhong guo feng"	Guitar ( acoustic ), guzheng , dizi	Romance	3:59
2007-11-02	On the Run 我很忙	8-04	Sunny Otaku 陽光宅男	Vincent Fang 方文山	Rock	Piano , guitar ( electric )	Relationship advice	3:43
2007-11-02	On the Run 我很忙	8-05	Dandelion's Promise 蒲公英的約定 (Púgōngyīng de yuēdìng)	Vincent Fang 方文山	Soft rock	Piano , strings	Reminiscence	4:07
2007-11-02	On the Run 我很忙	8-06	Unparalleled 無雙 (Wú Shuāng)	Vincent Fang 方文山	Rock	Guitar ( electric ), synthesizer , piano	Competition	3:54
2007-11-02	On the Run 我很忙	8-07	I'm Not Worthy 我不配 (Wǒ bùpèi)	Vincent Fang 方文山	Soft rock	Guitar ( acoustic ), piano	Romance, breaking up	4:49
2007-11-02	On the Run 我很忙	8-08	Nonsensical 扯 (Chě)	Vincent Fang 方文山	Hip-hop	Synthesizer	Stupidity	3:30
2007-11-02	On the Run 我很忙	8-09	Sweetness 甜甜的 (Tián tián de)	Vincent Fang 方文山	Pop	Guitar ( acoustic ), piano	Romance	4:04
2007-11-02	On the Run 我很忙	8-10	The Longest Movie 最長的電影 (Zuìzhǎng de diànyǐng)	Jay Chou 周杰倫	Soft rock	Piano , strings	Romance	3:56
2008-10-15	Capricorn 魔杰座	9-01	Dragon Rider 龍戰騎士 (Lóng zhàn qíshì)	Vincent Fang 方文山	Hip hop , Rock	Electric Guitar ( acoustic ), synthesizer	Dragon War, Romance	4:28
2008-10-15	Capricorn 魔杰座	9-03	Snake Dance 蛇舞	Huang Jun Lang 黃俊郎	Hip hop , R&B	Guitar ( acoustic )	Romance	2:52
2008-10-15	Capricorn 魔杰座	9-04	Ocean Of Flowers 花海	Gu Xiao Li 古小力, Huang Ling Jia 黃淩嘉	Pop	Violin , cello , guitar ( bass )	Romance	4:22
2008-10-15	Capricorn 魔杰座	9-05	Mr. Magic 魔術先生	Vincent Fang 方文山	Comedy	Piano , Trumpet	Magic, Comedy	3:45
2008-10-15	Capricorn 魔杰座	9-06	Where Is The Promised Happiness? 說好的幸福呢	Vincent Fang 方文山	R&B	Piano , synthesizer	Romance	4:14
2008-10-15	Capricorn 魔杰座	9-07	Orchid Pavilion 蘭亭序	Vincent Fang 方文山	'Zhong Guo Feng'	Erhu , Violin , guitar ( acoustic )	Romance	4:12
2008-10-15	Capricorn 魔杰座	9-08	Wandering Poet 流浪诗人	Vincent Fang 方文山	Soft rock, R&B, Country	Guitar ( electric ), Harmonica	Romance	2:47
2008-10-15	Capricorn 魔杰座	9-09	Time Machine 時光機	Vincent Fang 方文山	Pop , Rock	Piano , violin , cello , guitar ( electric )	Childhood, Doraemon	5:09
2008-10-15	Capricorn 魔杰座	9-10	Uncle Joker 喬克叔叔	Huang Jun Lang 黃俊郎	Hip-hop	Piano , horn	Joker, Clown	4:14
2008-10-15	Capricorn 魔杰座	9-11	Rice Aroma 稻香	Jay Chou 周杰倫	Folk, R&B	Guitar ( electric ), violin , cello	Happiness, Memories, Family, Heart	3:43
2010-05-18	The Era 跨時代	10-01	The Era 跨時代 (Kuà shídài)	Huang Jun Lang 黄俊郎	Electronic, Rap	future piano	Vampire, Upbeat	3:14
2010-05-18	The Era 跨時代	10-02	Say Goodbye 說了再見 (Shuōle zàijiàn)	古小力、黄淩嘉	soft pop	piano	Romance, Regret	4:34
2010-05-18	The Era 跨時代	10-03	Ephemeral 煙花易冷 (Yānhuā yì lěng)	Vincent Fang 方文山	Zhong guo feng	piano	Past Life, Romance	4:16
2010-05-18	The Era 跨時代	10-04	Free Instructional Video 免費教學錄影帶	Huang Jun Lang 黄俊郎	Rap, Blues	guitar	How to Get Famous	4:16
2010-05-18	The Era 跨時代	10-05	Long Time No See 好久不見 (Hǎojiǔ bùjiàn)	Jay Chou 周杰倫	R&B	guitar	Romance	4:13
2010-05-18	The Era 跨時代	10-06	It Rains All Night 雨下一整晚 (Yǔ xià yī zhěng wǎn)	Vincent Fang 方文山	Zhong guo feng	guitar	Romance, Sigh	4:21
2010-05-18	The Era 跨時代	10-07	Hip-hop Cabin Attendant 嘻哈空姐 (Xīhā kōngjiě)	Vincent Fang 方文山	Electronic	Piano	Beauty, Attraction	2.42
2010-05-18	The Era 跨時代	10-09	Love's Flight Diary 愛的飛行日記 (Ài de fēixíng rìjì)	Vincent Fang 方文山	R&B	Guitar	Romance	4.18
2010-05-18	The Era 跨時代	10-10	Self Directed 自導自演 (Zì dǎo zìyǎn)	Jay Chou 周杰倫	R&B	Piano	Romance	4.16
