Outcome	Date	Tournament	Surface	Partner	Opponents	Score
Runner-up	1983	London/Queen's Club, U.K.	Grass	Steve Denton	Brian Gottfried Paul McNamee	4–6, 3–6
Runner-up	1984	Richmond WCT , U.S.	Carpet	Steve Denton	John McEnroe Patrick McEnroe	6–7, 2–6
Runner-up	1984	Brussels, Belgium	Carpet	Steve Denton	Tim Gullikson Tom Gullikson	4–6, 7–6, 6–7
Winner	1984	Rotterdam , Netherlands	Carpet	Wojtek Fibak	Fritz Buehning Ferdi Taygan	6–4, 6–4
Runner-up	1984	Milan , Italy	Carpet	Steve Denton	Pavel Složil Tomáš Šmíd	4–6, 3–6
Runner-up	1985	Memphis , U.S.	Carpet	Steve Denton	Pavel Složil Tomáš Šmíd	6–1, 3–6, 4–6
Runner-up	1985	Brussels, Belgium	Carpet	Wojtek Fibak	Stefan Edberg Anders Järryd	3–6, 6–7
Winner	1986	London/Queen's Club , U.K.	Grass	Guy Forget	Darren Cahill Mark Kratzmann	6–2, 7–6
Winner	1987	Tokyo Outdoor , Japan	Hard	Paul Annacone	Andrés Gómez Anders Järryd	6–3, 6–7, 6–3
Winner	1987	Los Angeles , U.S.	Hard	David Pate	Brad Gilbert Tim Wilkison	6–3, 6–4
Winner	1987	Johannesburg , South Africa	Hard (i)	David Pate	Eric Korita Brad Pearce	6–4, 6–4
Winner	1988	Memphis , U.S.	Hard (i)	David Pate	Peter Lundgren Mikael Pernfors	6–3, 7–5
Runner-up	1988	Philadelphia , U.S.	Carpet	Danie Visser	Kelly Evernden Johan Kriek	6–7, 3–6
Runner-up	1988	Vienna , Austria	Carpet	Tomáš Šmíd	Alex Antonitsch Balázs Taróczy	6–4, 3–6, 6–7
Winner	1988	Stockholm , Sweden	Hard (i)	Jim Grabb	Paul Annacone John Fitzgerald	7–5, 7–5
Winner	1988	Johannesburg , South Africa	Hard (i)	David Pate	Gary Muller Tim Wilkison	7–6, 6–4
Runner-up	1989	Indian Wells , U.S.	Hard	David Pate	Boris Becker Jakob Hlasek	6–3, 3–6, 4–6
Runner-up	1989	Tokyo Outdoor , Japan	Hard	David Pate	Ken Flach Robert Seguso	4–6, 4–6
Winner	1989	Tokyo Indoor , Japan	Carpet	David Pate	Andrés Gómez Slobodan Živojinović	4–6, 6–3, 7–6
Runner-up	1989	Frankfurt , Germany	Carpet	Eric Jelen	Pieter Aldrich Danie Visser	6–7, 7–6, 3–6
Runner-up	1989	Wembley , U.K.	Carpet	Jeremy Bates	Jakob Hlasek John McEnroe	1–6, 6–7
Runner-up	1990	Toronto Indoor , Canada	Carpet	Neil Broad	Patrick Galbraith David Macpherson	6–2, 4–6, 3–6
Runner-up	1990	Hong Kong	Hard	Joey Rive	Pat Cash Wally Masur	3–6, 3–6
Winner	1990	London/Queen's Club , U.K.	Grass	Jeremy Bates	Henri Leconte Ivan Lendl	6–2, 7–6
Runner-up	1990	Berlin , Germany	Carpet	Patrick Galbraith	Pieter Aldrich Danie Visser	6–7, 6–7
Runner-up	1991	Lyon , France	Hard (i)	Jeremy Bates	Steve DeVries David Macpherson	6–7, 6–3, 3–6
Runner-up	1992	Memphis , U.S.	Hard (i)	Gary Muller	Todd Woodbridge Mark Woodforde	5–7, 6–4, 6–7
Winner	1992	Seoul , South Korea	Hard	Gary Muller	Kelly Evernden Brad Pearce	7–6, 6–4
