Date	Track	Race	Distance	Surface track	Winning horse	Winning jockey
April 7	Aqueduct Racetrack	Wood Memorial Stakes	1⅛ Miles	Dirt	Nobiz Like Shobiz	Cornelio Velázquez
April 7	Aqueduct Racetrack	Bay Shore Stakes	7 Furlongs	Dirt	Bill Place	Cornelio Velázquez
April 7	Santa Anita Park	Santa Anita Derby	1⅛ Miles	Dirt	Tiago	Mike Smith
April 7	Hawthorne Race Course	Illinois Derby	1⅛ Miles	Dirt	Cowtown Cat	Fernando Jara
April 14	Keeneland Race Course	Blue Grass Stakes	1⅛ Miles	Dirt	Dominican	Rafeal Bejarano
April 14	Oaklawn Park	Northern Spur Breeders' Cup Stakes	1 Mile	Dirt	Takedown	Robby Albarado
April 14	Oaklawn Park	Arkansas Derby	1⅛ Miles	Dirt	Curlin	Robby Albarado
April 14	Santa Anita Park	La Puente Stakes	1 Mile	Turf	Golden Balls	Brice Blanc
April 21	Keeneland Race Course	Lexington Stakes	1-1/16 Miles	Dirt	Slew's Tizzy	Robby Albarado
April 21	Pimlico Race Course	Federico Tesio Stakes	1⅛ Miles	Dirt	Xchanger	Ramon A. Dominguez
April 28	Churchill Downs	Derby Trial Stakes	7½ Furlongs	Dirt	Flying First Class	Mark Guidry
April 28	Aqueduct Racetrack	Withers Stakes	1 Mile	Dirt	Divine Park	Alan Garcia
May 5	Churchill Downs	Kentucky Derby	1¼ miles	Dirt	Street Sense	Calvin Borel
May 19	Pimlico Race Course	Preakness Stakes	1 3/16 Miles	Dirt	Curlin	Robby Albarado
