Title	Developer	Publisher	North America	Europe	Asia	Exclusive
Game Room - Pitfall !	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
geoDefense	Critical Thought	Microsoft Studios	Yes	Yes	Yes	No
geoDefense Swarm	Critical Thought	Microsoft Studios	Yes	Yes	Yes	No
Gerbil Physics	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	Yes
Ghostscape	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
Glow Artisan	Powerhead Games	Microsoft Studios	Yes	Yes	Yes	No
Glyder: Adventure Worlds	Glu Mobile	Glu	Yes	Yes	Yes	No
Gravity Guy	Miniclip	Miniclip	Yes	Yes	Yes	No
Gravity Guy 2	Miniclip	Miniclip	Yes	Yes	Yes	Yes
Guitar Hero 5	Glu Mobile	Glu	Yes	Yes	Yes	No
Gun Bros	Glu Mobile	Glu	Yes	Yes	Yes	No
Halo Waypoint	343 Industries	Microsoft Studios	Yes	Yes	Yes	No
Harbor Master	Imangi Studios	Microsoft Studios	Yes	Yes	Yes	No
Hasta La Muerte	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	Yes
Hexic Rush	Carbonated Games	Microsoft Studios	Yes	Yes	Yes	Yes
Hydro Thunder GO	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	Yes
I Dig It	InMotion	Microsoft Studios	Yes	Yes	Yes	No
I Love Katamari	Namco Bandai	Namco Bandai Games	Yes	Yes	Yes	No
iBlast Moki	Godzilab	Microsoft Studios	Yes	Yes	Yes	No
ilomilo	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	Yes
Implode!	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
IonBallEx	IronSun Studios	Ironsun Studios	Yes	Yes	Yes	Yes
iStunt 2	Miniclip	Miniclip	Yes	Yes	Yes	No
James Patternson’s Women’s Murder Club	i-Play	i-Play	Yes	Yes	Yes	No
Jet Car Stunts WP	True Axis	Microsoft Studios	Yes	Yes	Yes	No
Kinectimals	Frontier Developments Ltd.	Microsoft Studios	Yes	Yes	Yes	Yes
Let's Golf 2	Gameloft	Gameloft	Yes	Yes	Yes	No
Little Acorns	Chillingo / Team Pesky	Electronic Arts	Yes	Yes	Yes	Yes
Lode Runner Classic	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
Max & the Magic Marker	PressPlay	Microsoft Studios	Yes	Yes	Yes	No
Minesweeper	Babaroga	Microsoft Studios	Yes	Yes	Yes	Yes
MiniSquadron	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
Monopoly	Electronic Arts	Electronic Arts	Yes	Yes	Yes	No
MonstaFish	Ironsun Studios	Ironsun Studios	Yes	Yes	Yes	Yes
Monster Burner	Ubisoft	Ubisoft	Yes	Yes	Yes	No
Monster Island	Miniclip	Miniclip	Yes	Yes	Yes	No
Mush	Angry Mango	Microsoft Studios	Yes	Yes	Yes	Yes
More Brain Exercise	Namco Bandai	Namco Bandai Games	Yes	Yes	Yes	No
Need for Speed: Hot Pursuit	Electronic Arts	Electronic Arts	Yes	Yes	Yes	No
Need For Speed Undercover	Electronic Arts	Electronic Arts	Yes	Yes	Yes	No
OMG: Our Manic Game	Arkedo	Microsoft Studios	Yes	Yes	Yes	Yes
Orbital	Bitforge	Microsoft Studios	Yes	Yes	Yes	No
PAC-MAN	Namco Bandai	Namco Bandai Games	Yes	Yes	Yes	No
Pac-Man Championship Edition DX	Namco Bandai	Namco Bandai Games	Yes	Yes	Yes	No
Pac-Man Kart Rally	Namco Bandai	Namco Bandai Games	Yes	Yes	Yes	No
Parachute Panic	FDG Entertainment	Microsoft Studios	Yes	Yes	Yes	No
PES 2011 (Removed from Store)	Konami Digital Entertainment	Microsoft Studios	Yes	Yes	Yes	No
PES 2012 (Removed from Store)	Konami Digital Entertainment	Microsoft Studios	Yes	Yes	Yes	No
Plants vs. Zombies	PopCap	PopCap Games	Yes	Yes	Yes	No
Pocket God	Bolt Creative	ngmoco:)	Yes	Yes	Yes	No
Pool Pro Online 3	Namco Bandai Games	Namco Bandai Games	Yes	No	No	No
Puzzle Quest 2	Namco Bandai	Namco Bandai Games	Yes	Yes	Yes	No
Revolution	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	Yes
Rise of Glory	Revo Solutions	Microsoft Studios	Yes	Yes	Yes	No
Rocket Riot	Codeglue	Microsoft Studios	Yes	Yes	Yes	No
Sally's Salon: Luxury Edition	GameHouse Live	GameHouse Live	Yes	Yes	Yes	No
Shuffle Party	Babaroga	Microsoft Studios	Yes	Yes	Yes	Yes
Sid Meier's Pirates!	2K	2K	Yes	Yes	Yes	No
Sonic CD	Sega	Sega	Yes	Yes	Yes	No
Sonic the Hedgehog 4: Episode I	Sega	Sega	Yes	Yes	Yes	No
Splinter Cell Conviction	Gameloft	Gameloft	Yes	Yes	Yes	No
Spider Jack	Electronic Arts	Electronic Arts	Yes	Yes	Yes	No
Star Wars: Battle for Hoth (Removed from Store)	THQ	THQ Inc	Yes	Yes	Yes	No
Star Wars: Cantina (Removed from Store)	THQ	THQ Inc	Yes	Yes	Yes	No
Sudoku	Babaroga	Microsoft Studios	Yes	Yes	Yes	Yes
Super Monkey Ball	Sega	Sega	Yes	Yes	Yes	No
Super Monkey Ball 2: Sakura Edition	Sega	Sega	Yes	Yes	Yes	No
Techno Kitten Adventure	21st Street Games	Elite Gudz	Yes	Yes	Yes	No
Tentacles	Press Play	Microsoft Studios	Yes	Yes	Yes	Yes
Tetris	Electronic Arts	Electronic Arts	Yes	Yes	Yes	No
Text Twist 2	GameHouse	Microsoft Studios	Yes	Yes	Yes	No
The Harvest	Luma Arcade	Microsoft Studios	Yes	Yes	Yes	Yes
The Oregon Trail HD	Gameloft	Gameloft	Yes	Yes	Yes	No
The Revenants – Corridor of Souls	Chaotic Moon	Microsoft Studios	Yes	Yes	Yes	Yes
The Sims 3	Electronic Arts	Electronic Arts	Yes	Yes	Yes	No
Tiki Towers	GameHouse Live	GameHouse Live	Yes	Yes	Yes	No
Tower Bloxx: New York	Digital Chocolate	DChoc	Yes	Yes	Yes	No
Toy Soldiers: Boot Camp	Signal Studios	Microsoft Studios	Yes	Yes	Yes	Yes
Turn N Run	MaxNick	Electronic Arts	Yes	No	No	Yes
UNO HD	Gameloft	Gameloft	Yes	Yes	Yes	No
Who Wants To Be A Millionaire	Glu Mobile	Glu	No	Yes	Yes	No
Wordament	You vs. the Internet	Microsoft Studios	Yes	Yes	Yes	No
Xbox SmartGlass (Formally Xbox Companion)	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	No
Xbox LIVE Extras	Microsoft Studios	Microsoft Studios	Yes	Yes	Yes	Yes
Z0MB1ES (on teh ph0ne)	Ska Studios	Microsoft Studios	Yes	Yes	Yes	Yes
Zombie Attack! 2	IUGO	Microsoft Studios	Yes	No	Yes	No
