Song	Singer	Co-Singers	Music Director	Lyricist	Co-Stars	Movie/Album	Year	Additional Info
Ishqwalon Pe Zamane Ki Nazar	Mohammed Rafi	N/A	Ravi ShankarSharma (Bombay Ravi)	Shakeel Badayuni	Vijay Kumar and Ms. Shammi	Mulzim	1963	N/A
Kisi Gul Ki Yeh Kismat Hai	Mohammed Rafi	N/A	Rahul Dev Burman	Anand Bakshi	Mala Sinha and Amitabh Bachchan	Sanjog	1972	N/A
Dupatta Odhe Nikali Bahara	Mohammed Rafi	N/A	Laxmikant-Pyarelal	Majrooh Sultanpuri	Bela Bose	Dillagi	1966	N/A
Aankh Mein Surat Teri (part i)	Mohammed Rafi	N/A	O. P. Nayyar	Jan Nisar Akhtar	Anita Guha	Chhoo Mantar	1956	N/A
Aankh Mein Surat Teri (part ii)	Mohammed Rafi	N/A	O. P. Nayyar	Jan Nisar Akhtar	Anita Guha	Chhoo Mantar	1956	N/A
Tumhin Ne Dard Diya Hai Tumhin Dawa Dena	Mohammed Rafi	N/A	O. P. Nayyar	Jan Nisar Akhtar	Anita Guha	Chhoo Mantar	1956	N/A
Yeh Ho Kar Rahega	Mohammed Rafi	N/A	Hansraj Behl	Verma Malik	Dancers	Changez Khan	1957	N/A
Jungle Mein Mor Nacha	Mohammed Rafi	N/A	Salil Chowdhary	Shailendra	N/A	Madhumati	1958	N/A
Us Ladki Ka Hai Naam Kala	Mohammad Rafi	N/A	Chitragupt	Rajendra Krishan	N/A	Suhaag Sindoor	1961	N/A
Dilbar Pe Ho Na Kaabu	Mohammad Rafi	N/A	Ravi Shankar Sharma (Bombay Ravi)	Majrooh Sultanpuri	N/A	Pehli Raat	1959	N/A
Aankde Ka Dhanda	Mohammad Rafi	N/A	Kalyanji-Anandji	Gulshan Banwara	N/A	Satta Bazar	1959	N/A
Beta Darr Mat	Mohammad Rafi	N/A	G. S. Kohli	Jan Nisar Akhtar	N/A	Bhai Bahen	1959	N/A
Oh Zara Ruk Ja	Mohammad Rafi	N/A	Sachin DevBurman	Majrooh Sultanpuri	N/A	Sitaron Se Aage	1958	N/A
Sambhal Ke Sambhal Ke	Mohammad Rafi	N/A	Sachin DevBurman	Majrooh Sultanpuri	N/A	Sitaron Se Aage	1958	N/A
Suno Re Bhaiyaa	Mohammad Rafi	N/A	C. Ramchandra	Kavi Pradeep	N/A	Paigham	1959	N/A
Kaise Diwali Manaye Hum Lala	Mohammad Rafi	N/A	C. Ramchandra	Kavi Pradeep	N/A	Paigham	1959	N/A
All Line Clear	Mohammad Rafi	N/A	Shankar-Jaikishan	Hasrat Jaipuri	N/A	Chori Chori	1956	N/A
Zulf Ke Phande Bas Gayi Jaan	Mohammad Rafi	N/A	O. P. Nayyar	Majrooh Sultanpuri	N/A	Mujrim	1958	N/A
Sar Jo Tera Takaraye	Mohammad Rafi	N/A	Sachin Dev Burman	Sahir Ludhianvi	N/A	Pyaasa	1957	N/A
Bima Life Bima Policy… Babu Insurance Kara Lo	Mohammad Rafi	N/A	Dattaram Wadkar	Hasrat Jaipuri	N/A	Kala Aadmi	1960	N/A
Laila Ki Ungaliya Bechoon	Mohammad Rafi	N/A	Ravi ShankarSharma (Bombay Ravi)	Rajendra Krishan	Sheela Kashmiri	Ghar Ki Laaj	1960	N/A
Le Lo Chudiyaan	Mohammad Rafi	N/A	Ravi ShankarSharma (Bombay Ravi)	Rajendra Krishan	Sheela Kashmiri	Ghar Ki Laaj	1960	N/A
Idhar To Haath La Pyaare	Mohammad Rafi	N/A	Madan Mohan Kohli	Majrooh Sultanpuri	Minu Mumtaz and Nutan	Aakhri Dao	1958	N/A
Main Baajewala Bawa	Mohammed Rafi	N/A	Ravi ShankarSharma (Bombay Ravi)	Shakeel Badayuni	N/A	Mulzim	1963	N/A
Yeh Duniya Gol Hai	Mohammed Rafi	N/A	Ravi ShankarSharma (Bombay Ravi)	Shakeel Badayuni	N/A	Chaudhvin Ka Chand	1960	N/A
Haseenon Sambhalo	Mohammed Rafi	N/A	Madan Mohan Kohli	Rajendra Krishan	N/A	Khota Paisa	1958	N/A
Bacha Le Ae Maula Ae Ram	Mohammed Rafi	N/A	Ravi Shankar Sharma (Bombay Ravi)	Sahir Ludhianvi	N/A	Aadmi Aur Insaan	1969	N/A
Ek Musafir Ko	Mohammed Rafi	N/A	Ravi Shankar Sharma (Bombay Ravi)	Shakeel Badayuni	N/A	Door Ki Awaz	1964	N/A
Yeh Duniya Bahurangi Bahudhangi	Mohammed Rafi	N/A	Unknown	Unknown	N/A	Unknown	Unknown	N/A
O Mere Yaar Tommy	Mohammed Rafi	N/A	Laxmikant-Pyarelal	Anand Bakshi	Helen	Night In London	1967	N/A
Sharama Ke Na Ja Tadapa Ke Na Ja	Mohammed Rafi	N/A	Ravi Shankar Sharma	Rajendra Krishan	Chand Usmani	Shehnai	1964	N/A
Tu Hi Meri Laxmi Tu Hi Meri Chhayaa	Mohammed Rafi	N/A	Shankar-Jaikishan	Hasrat Jaipuri	N/A	Duniya	1968	N/A
Haseenon Ki Aankhon Ka Tara	Mohammed Rafi	N/A	Chitragupt	Rajendra Krishan	N/A	Pyar Ka Sapna	1969	N/A
