Entered [A ]	Weeks in top 10	Single	Artist	Peak	Peak reached [A ]	Weeks at peak
11 Cannot handle non-empty timestamp argument!	6	" Love Shack "	The B-52's Category:Articles with hCards	2	18 Cannot handle non-empty timestamp argument!	3
11 Cannot handle non-empty timestamp argument!	4	" Blue Savannah "	Erasure	3	18 Cannot handle non-empty timestamp argument!	1
11 Cannot handle non-empty timestamp argument!	3	" Lily Was Here "	David A. Stewart featuring Candy Dulfer	6	18 Cannot handle non-empty timestamp argument!	1
18 Cannot handle non-empty timestamp argument!	3	" I'll Be Loving You (Forever) "	New Kids on the Block	5	18 Cannot handle non-empty timestamp argument!	1
18 Cannot handle non-empty timestamp argument!	4	" Strawberry Fields Forever "	Candy Flip	2	25 Cannot handle non-empty timestamp argument!	3
25 Cannot handle non-empty timestamp argument!	7	" The Power " (#10)	Snap!	1	25 Cannot handle non-empty timestamp argument!	2
25 Cannot handle non-empty timestamp argument!	3	" Birdhouse in Your Soul "	They Might Be Giants	6	1 Cannot handle non-empty timestamp argument!	1
1 Cannot handle non-empty timestamp argument!	9	" Vogue " (#8)	Madonna	1	8 Cannot handle non-empty timestamp argument!	4
1 Cannot handle non-empty timestamp argument!	4	" Don't Miss the Party Line "	Bizz Nizz	7	8 Cannot handle non-empty timestamp argument!	2
1 Cannot handle non-empty timestamp argument!	3	" Hang on to Your Love "	Jason Donovan	8	8 Cannot handle non-empty timestamp argument!	1
8 Cannot handle non-empty timestamp argument!	6	" Black Velvet "	Alannah Myles	2	15 Cannot handle non-empty timestamp argument!	2
8 Cannot handle non-empty timestamp argument!	5	" Kingston Town "	UB40	4	8 Cannot handle non-empty timestamp argument!	2
8 Cannot handle non-empty timestamp argument!	3	" Step On "	Happy Mondays	5	8 Cannot handle non-empty timestamp argument!	1
15 Cannot handle non-empty timestamp argument!	6	" Opposites Attract "	Paula Abdul with The Wild Pair	2	29 Cannot handle non-empty timestamp argument!	1
15 Cannot handle non-empty timestamp argument!	3	" All I Wanna Do Is Make Love to You "	Heart	8	15 Cannot handle non-empty timestamp argument!	2
22 Cannot handle non-empty timestamp argument!	8	" Killer " (#5)	Adamski	1	6 Cannot handle non-empty timestamp argument!	4
22 Cannot handle non-empty timestamp argument!	2	" Ghetto Heaven "	Family Stand	10	22 Cannot handle non-empty timestamp argument!	2
29 Cannot handle non-empty timestamp argument!	3	" A Dream's A Dream "	Soul II Soul	6	6 Cannot handle non-empty timestamp argument!	1
6 Cannot handle non-empty timestamp argument!	5	" Better the Devil You Know "	Kylie Minogue	2	13 Cannot handle non-empty timestamp argument!	2
6 Cannot handle non-empty timestamp argument!	3	" Cover Girl "	New Kids on the Block	4	13 Cannot handle non-empty timestamp argument!	2
13 Cannot handle non-empty timestamp argument!	5	" Hold On "	En Vogue	5	20 Cannot handle non-empty timestamp argument!	2
13 Cannot handle non-empty timestamp argument!	2	" Won't Talk About It "	Beats International	9	20 Cannot handle non-empty timestamp argument!	1
20 Cannot handle non-empty timestamp argument!	3	" I Still Haven't Found What I'm Looking For "	The Chimes Category:Articles with hCards	6	20 Cannot handle non-empty timestamp argument!	2
20 Cannot handle non-empty timestamp argument!	1	" Take Your Time "	Mantronix featuring Wondress	10	20 Cannot handle non-empty timestamp argument!	1
27 Cannot handle non-empty timestamp argument!	8	" World In Motion " (#9)	Englandneworder	1	3 Cannot handle non-empty timestamp argument!	2
27 Cannot handle non-empty timestamp argument!	3	" Venus "	Don Pablo's Animals	4	3 Cannot handle non-empty timestamp argument!	1
27 Cannot handle non-empty timestamp argument!	1	" How Can We Be Lovers? "	Michael Bolton	10	27 Cannot handle non-empty timestamp argument!	1
3 Cannot handle non-empty timestamp argument!	4	" Hear the Drummer (Get Wicked) "	Chad Jackson	3	3 Cannot handle non-empty timestamp argument!	2
3 Cannot handle non-empty timestamp argument!	4	" Doin' the Do "	Betty Boo	7	10 Cannot handle non-empty timestamp argument!	2
3 Cannot handle non-empty timestamp argument!	3	" The Only One I Know "	The Charlatans Category:Articles with hCards	9	10 Cannot handle non-empty timestamp argument!	1
10 Cannot handle non-empty timestamp argument!	2	" Step by Step "	New Kids on the Block	2	10 Cannot handle non-empty timestamp argument!	1
10 Cannot handle non-empty timestamp argument!	9	" Sacrifice " / " Healing Hands " (#3)	Elton John	1	17 Cannot handle non-empty timestamp argument!	5
10 Cannot handle non-empty timestamp argument!	8	" It Must Have Been Love "	Roxette	3	24 Cannot handle non-empty timestamp argument!	2
10 Cannot handle non-empty timestamp argument!	4	" Hold On "	Wilson Phillips	6	24 Cannot handle non-empty timestamp argument!	1
17 Cannot handle non-empty timestamp argument!	5	" Nessun Dorma "	Luciano Pavarotti	2	24 Cannot handle non-empty timestamp argument!	3
17 Cannot handle non-empty timestamp argument!	5	" Ooops Up "	Snap!	5	24 Cannot handle non-empty timestamp argument!	2
24 Cannot handle non-empty timestamp argument!	6	" Mona "	Craig McLachlan & Check 1-2	2	15 Cannot handle non-empty timestamp argument!	1
24 Cannot handle non-empty timestamp argument!	3	" Close to You "	Maxi Priest	7	1 Cannot handle non-empty timestamp argument!	1
1 Cannot handle non-empty timestamp argument!	8	" U Can't Touch This "	MC Hammer	3	5 Cannot handle non-empty timestamp argument!	1
1 Cannot handle non-empty timestamp argument!	1	" The Only Rhyme That Bites "	MC Tunes vs 808 State	10	1 Cannot handle non-empty timestamp argument!	1
8 Cannot handle non-empty timestamp argument!	2	" One Love "	The Stone Roses Category:Articles with hCards	4	8 Cannot handle non-empty timestamp argument!	1
8 Cannot handle non-empty timestamp argument!	3	" Thunderbirds Are Go "	FAB featuring MC Parker	5	15 Cannot handle non-empty timestamp argument!	1
15 Cannot handle non-empty timestamp argument!	6	" Turtle Power "	Partners in Kryme	1	22 Cannot handle non-empty timestamp argument!	4
22 Cannot handle non-empty timestamp argument!	2	" Hanky Panky "	Madonna	2	29 Cannot handle non-empty timestamp argument!	1
22 Cannot handle non-empty timestamp argument!	7	" Naked in the Rain "	Blue Pearl	4	5 Cannot handle non-empty timestamp argument!	2
22 Cannot handle non-empty timestamp argument!	3	" Rockin' Over the Beat "	Technotronic featuring Ya Kid K	9	22 Cannot handle non-empty timestamp argument!	2
22 Cannot handle non-empty timestamp argument!	5	" I'm Free "	Soup Dragons featuring Junior Reid	5	5 Cannot handle non-empty timestamp argument!	1
29 Cannot handle non-empty timestamp argument!	5	" Tom's Diner "	DNA featuring Suzanne Vega	2	5 Cannot handle non-empty timestamp argument!	3
5 Cannot handle non-empty timestamp argument!	2	" Thieves in the Temple "	Prince	7	5 Cannot handle non-empty timestamp argument!	1
5 Cannot handle non-empty timestamp argument!	6	" Tonight "	New Kids on the Block	3	26 Cannot handle non-empty timestamp argument!	1
12 Cannot handle non-empty timestamp argument!	6	" Itsy Bitsy Teeny Weeny "	Bombalurina	1	19 Cannot handle non-empty timestamp argument!	3
12 Cannot handle non-empty timestamp argument!	3	" Listen to Your Heart " / " Dangerous "	Roxette	6	19 Cannot handle non-empty timestamp argument!	1
19 Cannot handle non-empty timestamp argument!	3	" Praying for Time "	George Michael	6	26 Cannot handle non-empty timestamp argument!	1
19 Cannot handle non-empty timestamp argument!	4	" Where Are You Baby? "	Betty Boo	3	2 Cannot handle non-empty timestamp argument!	1
26 Cannot handle non-empty timestamp argument!	4	" Four Bacharach & David Songs (EP) "	Deacon Blue	2	26 Cannot handle non-empty timestamp argument!	2
26 Cannot handle non-empty timestamp argument!	1	" Can Can You Party "	Jive Bunny and the Mastermixers	8	26 Cannot handle non-empty timestamp argument!	1
26 Cannot handle non-empty timestamp argument!	1	" Silhouettes "	Cliff Richard	10	26 Cannot handle non-empty timestamp argument!	1
2 Cannot handle non-empty timestamp argument!	5	" Groove Is In The Heart " / " What Is Love "	Deee-Lite	2	9 Cannot handle non-empty timestamp argument!	2
2 Cannot handle non-empty timestamp argument!	4	" What Time Is Love? "	KLF featuring The Children of the Revolution	5	9 Cannot handle non-empty timestamp argument!	1
2 Cannot handle non-empty timestamp argument!	2	" Rhythm of the Rain "	Jason Donovan	9	2 Cannot handle non-empty timestamp argument!	1
9 Cannot handle non-empty timestamp argument!	3	" The Space Jungle "	Adamski	7	9 Cannot handle non-empty timestamp argument!	1
9 Cannot handle non-empty timestamp argument!	2	" Vision of Love "	Mariah Carey	9	9 Cannot handle non-empty timestamp argument!	1
16 Cannot handle non-empty timestamp argument!	2	" Holy Smoke "	Iron Maiden	3	16 Cannot handle non-empty timestamp argument!	1
16 Cannot handle non-empty timestamp argument!	8	" Show Me Heaven " (#6)	Maria McKee	1	23 Cannot handle non-empty timestamp argument!	4
16 Cannot handle non-empty timestamp argument!	3	" Groovy Train "	The Farm Category:Articles with hCards	6	23 Cannot handle non-empty timestamp argument!	1
23 Cannot handle non-empty timestamp argument!	5	" I've Been Thinking About You "	Londonbeat	2	30 Cannot handle non-empty timestamp argument!	1
23 Cannot handle non-empty timestamp argument!	1	" Cult of Snap "	Snap!	8	23 Cannot handle non-empty timestamp argument!	1
23 Cannot handle non-empty timestamp argument!	3	" Fascinating Rhythm "	Bassomatic	9	23 Cannot handle non-empty timestamp argument!	2
30 Cannot handle non-empty timestamp argument!	5	" Blue Velvet "	Bobby Vinton	2	7 Cannot handle non-empty timestamp argument!	1
30 Cannot handle non-empty timestamp argument!	3	" So Hard "	Pet Shop Boys	4	30 Cannot handle non-empty timestamp argument!	1
30 Cannot handle non-empty timestamp argument!	5	" The Anniversary Waltz: Part One "	Status Quo	2	14 Cannot handle non-empty timestamp argument!	1
30 Cannot handle non-empty timestamp argument!	3	" I Can't Stand It! "	Twenty 4 Seven featuring Captain Hollywood	7	30 Cannot handle non-empty timestamp argument!	3
7 Cannot handle non-empty timestamp argument!	3	" Megamix "	Technotronic	6	7 Cannot handle non-empty timestamp argument!	2
7 Cannot handle non-empty timestamp argument!	2	" Have You Seen Her "	MC Hammer	8	7 Cannot handle non-empty timestamp argument!	1
7 Cannot handle non-empty timestamp argument!	7	" A Little Time "	The Beautiful South Category:Articles with hCards	1	21 Cannot handle non-empty timestamp argument!	1
21 Cannot handle non-empty timestamp argument!	2	" Kinky Afro "	Happy Mondays	5	21 Cannot handle non-empty timestamp argument!	1
21 Cannot handle non-empty timestamp argument!	4	" I'm Your Baby Tonight "	Whitney Houston	5	28 Cannot handle non-empty timestamp argument!	1
21 Cannot handle non-empty timestamp argument!	4	" Take My Breath Away " [B ]	Berlin	3	28 Cannot handle non-empty timestamp argument!	2
28 Cannot handle non-empty timestamp argument!	3	" (We Want) The Same Thing "	Belinda Carlisle	6	28 Cannot handle non-empty timestamp argument!	2
28 Cannot handle non-empty timestamp argument!	3	" Step Back in Time "	Kylie Minogue	4	4 Cannot handle non-empty timestamp argument!	1
4 Cannot handle non-empty timestamp argument!	6	" Don't Worry "	Kim Appleby	2	18 Cannot handle non-empty timestamp argument!	1
4 Cannot handle non-empty timestamp argument!	5	" Fantasy "	Black Box	5	11 Cannot handle non-empty timestamp argument!	1
4 Cannot handle non-empty timestamp argument!	4	" I'll Be Your Baby Tonight "	Robert Palmer and UB40	6	11 Cannot handle non-empty timestamp argument!	1
11 Cannot handle non-empty timestamp argument!	2	" Fog on the Tyne (Revisited) "	Gazza and Lindisfarne	2	11 Cannot handle non-empty timestamp argument!	1
18 Cannot handle non-empty timestamp argument!	9	" Ice Ice Baby " (#4)	Vanilla Ice	1	25 Cannot handle non-empty timestamp argument!	4
18 Cannot handle non-empty timestamp argument!	5	" Unbelievable "	EMF	3	25 Cannot handle non-empty timestamp argument!	2
18 Cannot handle non-empty timestamp argument!	2	" To Love Somebody "	Jimmy Somerville	8	18 Cannot handle non-empty timestamp argument!	1
18 Cannot handle non-empty timestamp argument!	1	" Cubik " / " Olympic "	808 State	10	18 Cannot handle non-empty timestamp argument!	1
25 Cannot handle non-empty timestamp argument!	2	" It Takes Two "	Rod Stewart and Tina Turner	5	25 Cannot handle non-empty timestamp argument!	1
25 Cannot handle non-empty timestamp argument!	2	" Falling "	Julee Cruise	7	25 Cannot handle non-empty timestamp argument!	1
25 Cannot handle non-empty timestamp argument!	1	" King of the Road "	The Proclaimers Category:Articles with hCards	9	25 Cannot handle non-empty timestamp argument!	1
2 Cannot handle non-empty timestamp argument!	2	" Kinky Boots " [C ]	Patrick MacNee and Honor Blackman	5	2 Cannot handle non-empty timestamp argument!	1
2 Cannot handle non-empty timestamp argument!	5	" Saviour's Day "	Cliff Richard	1	23 Cannot handle non-empty timestamp argument!	1
2 Cannot handle non-empty timestamp argument!	5	" Justify My Love "	Madonna	2	9 Cannot handle non-empty timestamp argument!	1
9 Cannot handle non-empty timestamp argument!	6	" All Together Now "	The Farm Category:Articles with hCards	4	9 Cannot handle non-empty timestamp argument!	1
9 Cannot handle non-empty timestamp argument!	1	" This One's for the Children "	New Kids on the Block	9	9 Cannot handle non-empty timestamp argument!	1
9 Cannot handle non-empty timestamp argument!	1	" Wicked Game "	Chris Isaak	10	9 Cannot handle non-empty timestamp argument!	1
16 Cannot handle non-empty timestamp argument!	4	" Mary Had a Little Boy "	Snap!	8	16 Cannot handle non-empty timestamp argument!	2
16 Cannot handle non-empty timestamp argument!	4	" Pray " ♦	MC Hammer	8	6 Cannot handle non-empty timestamp argument! 1991	1
23 Cannot handle non-empty timestamp argument!	5	" The Grease Megamix " ♦	John Travolta and Olivia Newton-John	3	6 Cannot handle non-empty timestamp argument! 1991	1
