Year	Men's singles	Women's singles	Men's doubles	Women's doubles	Mixed doubles
1987	Manuel Machado	Margarida Cruz	Duarte Anjo Jose Brandao	Ana Monteiro Catarina Batista	Jose Nascimento Catarina Batista
1988	Jorge Azevedo	Margarida Cruz	Jorge Azevedo Diamantino Pereira	Filipa Nesbitt Paula Queluz	Luis Nesbitt Filipa Nesbitt
1989	Jorge Santos	J. Gomes	Jose Nascimento Jose Sim-Sim	Jose Gomes Zamy Gomes	Jose Nascimento Dina Rodrigues
1990	Ricardo Fernandes	Alice Oliveira	Ricardo Fernandes Marco Vasconcelos	Maria Gomes Zamy Gomes	Jose Sim Maria Gomes
1991	Ricardo Fernandes	Alice Oliveira	Jorge Cacao Fernando Silva	Maria Gomes Zamy Gomes	Fernando Silva Sonia Lopes
1992	Fernando Silva	Helena Berimbau	Jorge Cacao Fernando Silva	Maria Gomes Zamy Gomes	Fernando Silva Sonia Lopes
1993	Ricardo Fernandes	Helena Berimbau	Fernando Silva Ricardo Fernandes	Maria Gomes Zamy Gomes	Fernando Silva Sonia Lopes
1994	Ricardo Fernandes	Ana Ferreira	Fernando Silva Ricardo Fernandes	Dina Rodrigues Helena Berimbau	Fernando Silva Sonia Lopes
1995	Ricardo Fernandes	Helena Berimbau	Fernando Silva Ricardo Fernandes	Ana Lopes Sonia Lopes	Fernando Silva Sonia Lopes
1996	Fernando Silva	Helena Berimbau	Hugo Rodrigues Marco Vasconcelos	Filipa Lamy Helena Bartolomeu	Hugo Rodrigues Ana Ferreira
1997	Fernando Silva	Filipa Lamy	Fernando Silva Hugo Rodrigues	Filipa Lamy Helena Bartolomeu	Hugo Rodrigues Ana Ferreira
1998	Fernando Silva	Filipa Lamy	Fernando Silva Hugo Rodrigues	Filipa Lamy Helena Bartolomeu	Hugo Rodrigues Ana Ferreira
1999	Fernando Silva	Francis Pereira	Fernando Silva Hugo Rodrigues	Filipa Lamy Telma Santos	Hugo Rodrigues Ana Ferreira
2000	Marco Vasconcelos	Filipa Lamy	Hugo Rodrigues Marco Vasconcelos	Ana Ferreira Helena Berimbau	Hugo Rodrigues Marco Vasconcelos
2001	Marco Vasconcelos	Telma Santos	Hugo Rodrigues Marco Vasconcelos	Filipa Lamy Telma Santos	Hugo Rodrigues Helena Berimbau
2002	Marco Vasconcelos	Telma Santos	Hugo Rodrigues Marco Vasconcelos	Filipa Lamy Telma Santos	Fernando Silva Filipa Lamy
2003	Marco Vasconcelos	Telma Santos	Fernando Silva Ricardo Fernandes	Telma Santos Vânia Leça	Fernando Silva Vânia Leça
2004	Marco Vasconcelos	Filipa Lamy	Hugo Rodrigues Marco Vasconcelos	Telma Santos Vânia Leça	Alexandre Paixão Filipa Lamy
2005	Marco Vasconcelos	Telma Santos	Hugo Rodrigues Marco Vasconcelos	Filipa Lamy Tânia Faria	Alexandre Paixão Filipa Lamy
2006	Alexandre Paixão	Telma Santos	Alexandre Paixão Marco Vasconcelos	Telma Santos Vânia Leça	Alexandre Paixão Filipa Lamy
2007	Alexandre Paixão	Telma Santos	Fernando Silva Hugo Rodrigues	Telma Santos Vânia Leça	Hugo Rodrigues Vânia Leça
2008	Fernando Silva	Telma Santos	Fernando Silva Hugo Rodrigues	Cláudia Figueira Dalila Belém	Hugo Rodrigues Telma Santos
2009	Pedro Martins	Telma Santos	Alexandre Paixão Gil Martins	Filipa Lamy Vânia Leça	Hugo Rodrigues Telma Santos
2010	Nuno Santos	Telma Santos	Alexandre Paixão Gil Martins	Ana Moura Ana Reis	Hugo Rodrigues Telma Santos
