District	Name	Party	Home city/town	First elected
69	Arthur O'Neill	Rep	Southbury	1988
70	Rosa Rebimbas	Rep	Naugatuck	2009
71	Anthony D'Amelio	Rep	Waterbury	1996
72	Larry Butler	Dem	Waterbury	2006
73	Jeffrey Berger	Dem	Waterbury	2000
74	Selim Noujaim	Rep	Waterbury	2002
75	Victor Cuevas	Dem	Waterbury	2012
76	John Piscopo	Rep	Thomaston	1988
77	Christopher Wright	Dem	Bristol	2008
78	Whit Betts	Rep	Bristol	2010
79	Frank Nicastro, Sr.	Dem	Bristol	2006
80	Robert Sampson	Rep	Wolcott	2010
81	David Zoni	Dem	Southington	2012
82	Emil "Buddy" Altobello	Dem	Meriden	1994
83	Catherine Abercrombie	Dem	Meriden	2005
84	Hilda Santiago	Dem	Meriden	2012
85	Mary Mushinsky	Dem	Wallingford	1980
86	Vincent Candelora	Rep	North Branford	2006
87	Dave Yaccarino	Rep	North Haven	2010
88	J. Brendan Sharkey	Dem	Hamden	2000
89	Lezlye Zupkus	Rep	Prospect	2012
90	Mary Fritz	Dem	Yalesville	1986
91	Mike D'Agostino	Dem	Hamden	2012
92	Patricia Dillon	Dem	New Haven	1984
93	Toni Walker	Dem	New Haven	2001
94	Gary Holder-Winfield	Dem	New Haven	2008
95	Juan Candelaria	Dem	New Haven	2002
96	Roland Lemar	Dem	New Haven	2010
97	Robert Megna	Dem	New Haven	2000
98	Patricia Widlitz	Dem	Guilford	1994
99	James Albis	Dem	East Haven	2011
100	Matt Lesser	Dem	Middletown	2008
101	Noreen Kokoruda	Rep	Madison	2011
102	Lonnie Reed	Dem	Branford	1996
103	Al Adinolfi	Rep	Cheshire	2010
104	Linda Gentile	Dem	Ansonia	2004
105	Theresa Conroy	Dem	Seymour	2012
106	Mitch Bolinsky	Rep	Newtown	2012
107	David Scribner	Rep	Brookfield	1999
108	Richard Smith	Rep	New Fairfield	2010
109	David Arconti	Dem	Danbury	2012
110	Bob Godfrey	Dem	Danbury	1988
111	John H. Frey	Rep	Ridgefield	1998
112	DebraLee Hovey	Rep	Monroe	2002
113	Jason Perillo	Rep	Shelton	2007
114	Themis Klarides	Rep	Derby	1998
115	Stephen Dargan	Dem	West Haven	1990
116	Louis Esposito	Dem	West Haven	1992
117	Paul Davis	Dem	Orange	2004
118	Kim Rose	Dem	Milford	2010
119	James Maroney	Dem	Milford	2012
120	Laura Hoydick	Rep	Stratford	2010
121	Terry Backer	Dem	Stratford	1992
122	Lawrence Miller	Rep	Stratford	1990
123	Dave Rutigliano	Rep	Trumbull	2012
124	Charles Clemons	Dem	Bridgeport	2003
125	Tom O'Dea	Rep	New Canaan	2012
126	Charlie Stallworth	Dem	Bridgeport	2011
127	John Hennessy	Dem	Bridgeport	2004
128	Christina 'Tita' Ayala	Dem	Bridgeport	2012
129	Auden Grogins	Dem	Bridgeport	2008
130	Ezequiel Santiago	Dem	Bridgeport	2008
131	David Labriola	Rep	Naugatuck	2002
132	Brenda Kupchick	Rep	Fairfield	2010
133	Kim Fawcett	Dem	Fairfield	2006
134	Tony Hwang	Rep	Trumbull	2008
135	John Shaban	Rep	Redding	2010
136	Jonathan Steinberg	Dem	Westport	2010
137	Chris Perone	Dem	Norwalk	2004
138	Janice Giegler	Rep	Danbury	2002
139	Kevin Ryan	Dem	Montville	1992
140	Bruce Morris	Dem	Norwalk	2006
141	Terrie Wood	Rep	Darien	2008
142	Lawrence F. Cafero	Rep	Norwalk	1992
143	Gail Lavielle	Rep	Wilton	2010
144	Michael Molgano	Rep	Stamford	2010
145	Patricia Miller	Dem	Stamford	2008
146	Gerald Fox	Dem	Stamford	2004
147	William Tong	Dem	Stamford	2006
148	Daniel J. Fox	Dem	Stamford	2011
149	Livvy Floren	Rep	Greenwich	2000
150	Stephen Walko	Rep	Greenwich	2012
151	Fred Camillo	Rep	Greenwich	2008
