District	Con- gress	Date	Predecessor	Winner
New York 24th	51st	December 1, 1890	David Wilber ( R )	John S. Pindar ( D )
New York 2nd	52nd	December 7, 1891	David A. Boody ( D )	Alfred C. Chapin ( D )
New York 10th	52nd	December 7, 1891	Francis B. Spinola ( D )	W. Bourke Cockran ( D )
New York 12th	52nd	December 7, 1891	Roswell P. Flower ( D )	Joseph J. Little ( D )
New York 22nd	52nd	December 7, 1891	Leslie W. Russell ( R )	N. Martin Curtis ( R )
New York 14th	53rd	February 14, 1894	John R. Fellows ( D )	Lemuel E. Quigg ( R )
New York 15th	53rd	February 14, 1894	Ashbel P. Fitch ( D )	Isidor Straus ( D )
New York 10th	54th	December 2, 1895	Andrew J. Campbell ( R )	Amos J. Cummings ( D )
New York 3rd	55th	December 6, 1897	Francis H. Wilson ( R )	Edmund H. Driggs ( D )
New York 34th	56th	December 4, 1899	Warren B. Hooker ( R )	Edward B. Vreeland ( R )
New York 2nd	74th	November 5, 1935	William Brunner ( D )	William B. Barry ( D )
New York 22nd	74th	November 5, 1935	Anthony J. Griffin ( D )	Edward W. Curley ( D )
New York 4th	78th	June 6, 1944	Thomas H. Cullen ( D )	John J. Rooney ( D )
New York 5th	82nd	February 19, 1952	T. Vincent Quinn ( D )	Robert T. Ross ( R )
New York 6th	87th	February 20, 1962	Lester Holtzman ( D )	Benjamin S. Rosenthal ( D )
New York 39th	94th	March 2, 1976	James F. Hastings ( R )	Stanley N. Lundine ( D )
New York 18th	95th	February 14, 1978	Edward I. Koch ( D )	S. William Green ( R )
New York 21st	95th	February 14, 1978	Herman Badillo ( D )	Robert Garcia ( D )
New York 7th	98th	March 1, 1983	Benjamin S. Rosenthal ( D )	Gary L. Ackerman ( D )
New York 6th	99th	July 10, 1986	Joseph P. Addabbo ( D )	Alton R. Waldon, Jr. ( D )
New York 14th	101st	March 20, 1990	Guy Molinari ( R )	Susan Molinari ( R )
New York 18th	101st	March 20, 1990	Robert Garcia ( D )	Jose Serrano ( D )
New York 17th	102nd	November 3, 1992	Ted Weiss ( D )	Jerrold Nadler ( D )
New York 13th	105th	November 4, 1997	Susan Molinari ( R )	Vito Fossella ( R )
New York 6th	105th	February 3, 1998	Floyd Flake ( D )	Gregory W. Meeks ( D )
New York 20th	111th	March 31, 2009	Kirsten Gillibrand ( D )	Scott Murphy ( D )
New York 23rd	111th	November 3, 2009	John McHugh ( R )	Bill Owens ( D )
New York 29th	111th	2010	Eric Massa ( D )	Tom Reed ( R )
New York 26th	112th	2011	Chris Lee ( R )	Kathy Hochul ( D )
