Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	15–8–1 (1)	Antônio Rogério Nogueira	Decision (unanimous)	Pride Shockwave 2003	3	5:00	Saitama, Saitama , Japan
Win	15–7–1 (1)	Kevin Randleman	Submission (armbar)	Pride Final Conflict 2003	3	2:36	Tokyo , Japan
Loss	14–7–1 (1)	Wanderlei Silva	KO (punch)	Pride Total Elimination 2003	1	5:01	Saitama, Saitama , Japan
Loss	14–6–1 (1)	Nino Schembri	TKO (knees)	Pride 25	1	6:15	Yokohama, Kanagawa , Japan
Win	14–5–1 (1)	Gilles Arsene	Submission (armbar)	Pride 23	3	2:08	Tokyo , Japan
Loss	13–5–1 (1)	Mirko Filipovic	TKO (eye injury)	Pride Shockwave	2	5:00	Tokyo , Japan
Loss	13–4–1 (1)	Wanderlei Silva	TKO (doctor stoppage)	Pride 17	1	10:00	Tokyo , Japan
Win	13–3–1 (1)	Quinton Jackson	Submission (rear naked choke)	Pride 15	1	5:41	Saitama, Saitama , Japan
Loss	12–3–1 (1)	Wanderlei Silva	TKO (knees & soccer kicks)	Pride 13	1	1:38	Saitama, Saitama , Japan
Win	12–2–1 (1)	Ryan Gracie	Decision (unanimous)	Pride 12	1	10:00	Saitama, Saitama , Japan
Win	11–2–1 (1)	Shannon Ritch	Submission (achilles lock)	Pride 11	1	1:08	Osaka, Osaka , Japan
Win	10–2–1 (1)	Renzo Gracie	Technical Submission (kimura)	Pride 10	2	9:43	Tokorozawa, Saitama , Japan
Loss	9–2–1 (1)	Igor Vovchanchyn	TKO (corner stoppage)	Pride Grand Prix 2000 Finals	1	15:00	Tokyo , Japan
Win	9–1–1 (1)	Royce Gracie	TKO (corner stoppage)	Pride Grand Prix 2000 Finals	6	90:00	Tokyo , Japan
Win	8–1–1 (1)	Guy Mezger	TKO (retirement)	Pride Grand Prix 2000 Opening Round	1	15:00	Tokyo , Japan
Win	7–1–1 (1)	Royler Gracie	Technical Submission (kimura)	Pride 8	2	13:16	Tokyo , Japan
Win	6–1–1 (1)	Anthony Macias	Submission (armbar)	Pride 7	2	2:30	Yokohama, Kanagawa , Japan
Win	5–1–1 (1)	Ebenezer Fontes Braga	Submission (armbar)	Pride 6	1	9:23	Yokohama, Kanagawa , Japan
Win	4–1–1 (1)	Vitor Belfort	Decision (unanimous)	Pride 5	2	10:00	Nagoya, Aichi , Japan
Draw	3–1–1 (1)	Allan Goes	Draw	Pride 4	3	10:00	Tokyo , Japan
Win	3–1 (1)	Carlos Newton	Submission (kneebar)	Pride 3	2	5:19	Tokyo , Japan
Win	2–1 (1)	Vernon White	Submission (armbar)	Pride 2	3	6:53	Yokohama, Kanagawa , Japan
Win	1–1 (1)	Marcus Silveira	Submission (armbar)	UFC Japan	1	3:44	Yokohama, Kanagawa , Japan
NC	0–1 (1)	Marcus Silveira	No Contest (early stoppage)	UFC Japan	1	1:51	Yokohama, Kanagawa , Japan
Loss	0–1	Kimo Leopoldo	Submission (arm triangle choke)	Shoot Boxing – S-Cup 1996	1	4:20	Tokyo , Japan
