Rural municipality (RM)	RM No.	SARM Div. No.	Census Div. No.	Population (2011)	Population (2006)	Change (%)	Land area (km²)	Population density (per km²)
Round Valley No. 410	410	6	13	361	355	1.7	810.57	0.4
Rudy No. 284	284	5	11	471	434	8.5	813.86	0.6
Saltcoats No. 213	213	1	5	673	746	-9.8	830.58	0.8
Sarnia No. 221	221	2	6	266	284	-6.3	870.73	0.3
Saskatchewan Landing No. 167	167	3	8	462	480	-3.8	797.52	0.6
Sasman No. 336	336	4	10	818	960	-14.8	1006.49	0.8
Scott No. 98	98	2	2	176	176	0	850.08	0.2
Senlac No. 411	411	6	13	195	225	-13.3	1026.25	0.2
Shamrock No. 134	134	2	7	227	226	0.4	757.52	0.3
Shellbrook No. 493	493	5	16	1533	1621	-5.4	1235.75	1.2
Sherwood No. 159	159	2	6	929	1039	-10.6	692.7	1.3
Silverwood No. 123	123	1	5	466	449	3.8	844.61	0.6
Sliding Hills No. 273	273	4	9	520	527	-1.3	855.28	0.6
Snipe Lake No. 259	259	3	8	452	427	5.9	1573.8	0.3
Souris Valley No. 7	7	1	2	240	230	4.3	817.52	0.3
South Qu'Appelle No. 157	157	1	6	1271	1066	19.2	889.73	1.4
Spalding No. 368	368	4	14	447	425	5.2	811.47	0.6
Spiritwood No. 496	496	6	16	1382	1277	8.2	2392.94	0.6
Spy Hill No. 152	152	1	5	366	365	0.3	679.28	0.5
St. Andrews No. 287	287	6	12	532	582	-8.6	803.75	0.7
St. Louis No. 431	431	5	15	969	1130	-14.2	790.93	1.2
St. Peter No. 369	369	5	15	790	901	-12.3	823.21	1
St. Philips No. 301	301	4	9	235	258	-8.9	655.79	0.4
Stanley No. 215	215	1	5	516	509	1.4	855.4	0.6
Star City No. 428	428	4	14	911	936	-2.7	824.85	1.1
Stonehenge No. 73	73	2	3	403	442	-8.8	985.74	0.4
Storthoaks No. 31	31	1	1	304	312	-2.6	582.57	0.5
Surprise Valley No. 9	9	2	2	193	199	-3	813.38	0.2
Sutton No. 103	103	2	3	240	294	-18.4	822.4	0.3
Swift Current No. 137	137	3	8	2032	1587	28	1107.7	1.8
Tecumseh No. 65	65	1	1	270	270	0	824.83	0.3
Terrell No. 101	101	2	3	224	257	-12.8	864.06	0.3
The Gap No. 39	39	2	2	230	245	-6.1	830.92	0.3
Three Lakes No. 400	400	5	15	620	659	-5.9	772.49	0.8
Tisdale No. 427	427	4	14	916	919	-0.3	847.39	1.1
Torch River No. 488	488	4	14	1468	1559	-5.8	5178.88	0.3
Touchwood No. 248	248	4	10	267	287	-7	706.72	0.4
Tramping Lake No. 380	380	6	13	410	403	1.7	615.56	0.7
Tullymet No. 216	216	1	6	220	245	-10.2	562.99	0.4
Turtle River No. 469	469	6	17	360	357	0.8	664.49	0.5
Usborne No. 310	310	5	11	547	566	-3.4	810.38	0.7
Val Marie No. 17	17	3	4	405	479	-15.4	3105.26	0.1
Vanscoy No. 345	345	5	12	2714	2629	3.2	866.54	3.1
Victory No. 226	226	3	7	443	428	3.5	1375.44	0.3
Viscount No. 341	341	5	11	371	386	-3.9	831.23	0.4
Wallace No. 243	243	4	9	879	911	-3.5	831.48	1.1
Walpole No. 92	92	1	1	338	348	-2.9	844.66	0.4
Waverley No. 44	44	2	3	359	422	-14.9	1429.3	0.3
Wawken No. 93	93	1	1	559	608	-8.1	766.57	0.7
Webb No. 138	138	3	8	533	556	-4.1	1098.78	0.5
Wellington No. 97	97	1	2	356	357	-0.3	838.68	0.4
Weyburn No. 67	67	1	2	1048	888	18	808.99	1.3
Wheatlands No. 163	163	2	7	149	164	-9.1	827.4	0.2
Whiska Creek No. 106	106	3	3	499	520	-4	851.89	0.6
White Valley No. 49	49	3	4	478	518	-7.7	2026.88	0.2
Willner No. 253	253	5	11	245	254	-3.5	834.97	0.3
Willow Bunch No. 42	42	2	3	361	407	-11.3	1047.8	0.3
Willow Creek No. 458	458	4	14	693	719	-3.6	845.18	0.8
Willowdale No. 153	153	1	5	297	333	-10.8	605.06	0.5
Wilton No. 472	472	6	17	1494	1473	1.4	1042.72	1.4
Winslow No. 319	319	6	13	324	296	9.5	798.07	0.4
Wise Creek No. 77	77	3	4	157	252	-37.7	845.81	0.2
Wolseley No. 155	155	1	5	405	438	-7.5	774.26	0.5
Wolverine No. 340	340	5	11	464	480	-3.3	834.78	0.6
Wood Creek No. 281	281	5	11	205	274	-25.2	832.34	0.2
Wood River No. 74	74	2	3	324	387	-16.3	838.45	0.4
Wreford No. 280	280	5	11	150	175	-14.3	798.55	0.2
Total rural municipalities	—	—	—	174530	176167	-0.9	307847.05	0.6
