Res.	Record	Opponent	Type	Rd., Time	Date
Loss	142–7–2	Paul Pender	SD	15	1960-01-22
Win	142–6–2	Bob Young	KO	2 (10), 1:18	1959-12-14
Win	141–6–2	Carmen Basilio	SD	15	1958-03-25
Loss	140–6–2	Carmen Basilio	SD	15	1957-09-23
Win	140–5–2	Gene Fullmer	KO	5 (15), 1:27	1957-05-01
Loss	139–5–2	Gene Fullmer	UD	15	1957-01-02
Win	139–4–2	Bob Provizzi	UD	10	1956-11-10
Win	138–4–2	Bobo Olson	KO	4 (15), 2:51	1956-05-18
Win	137–4–2	Bobo Olson	KO	2 (15), 2:51	1955-12-09
Win	136–4–2	Rocky Castellani	SD	10	1955-07-22
Win	135–4–2	Garth Panter	UD	10	1955-05-04
Win	134–4–2	Ted Olla	TKO	3 (10), 2:15	1955-04-14
Win	133–4–2	Johnny Lombardo	SD	10	1955-03-29
Loss	132–4–2	Ralph Jones	UD	10	1955-01-19
Win	132–3–2	Joe Rindone	KO	6 (10), 1:37	1955-01-05
Loss	131–3–2	Joey Maxim	TKO	14 (15)	1952-06-25
Win	131–2–2	Rocky Graziano	KO	3 (15), 1:53	1952-04-16
Win	130–2–2	Bobo Olson	UD	15	1952-03-13
Win	129–2–2	Randy Turpin	TKO	10 (15)	1951-09-12
Loss	128–2–2	Randy Turpin	PTS	15	1951-07-10
Win	128–1–2	Cyrille Delannoit	RTD	3 (10)	1951-07-01
NC	127–1–2	Gerhard Hecht	NC	2 (10)	1951-06-24
Win	127–1–2	Jean Walzack	TKO	6 (10)	1951-06-16
Win	126–1–2	Jan de Bruin	TKO	8 (10)	1951-06-10
Win	125–1–2	Jean Wanes	UD	10	1951-05-26
Win	124–1–2	Kid Marcel	TKO	5 (10)	1951-05-21
Win	123–1–2	Don Ellis	KO	1 (10), 1:36	1951-04-09
Win	122–1–2	Holly Mims	UD	10	1951-04-05
Win	121–1–2	Jake LaMotta	TKO	13 (15), 2:04	1951-02-14
Win	120–1–2	Hans Stretz	TKO	5 (10)	1950-12-25
Win	119–1–2	Robert Villemain	TKO	9 (10)	1950-12-22
Win	118–1–2	Jean Walzack	UD	10)	1950-12-16
Win	117–1–2	Luc van Dam	KO	4 (10)	1950-12-09
Win	116–1–2	Jean Stock	TKO	2 (10)	1950-11-27
Win	115–1–2	Bobby Dykes	MD	10	1950-11-08
Win	114–1–2	Bobo Olson	KO	12 (15), 1:19	1950-10-26
Win	113–1–2	Joe Rindone	TKO	6 (10), 0:55	1950-10-16
Win	112–1–2	Billy Brown	UD	10	1950-09-04
Win	111–1–2	José Basora	KO	1 (15), 0:55	1950-08-25
Win	110–1–2	Charley Fusari	PTS	15	1950-08-09
Win	109–1–2	Robert Villemain	UD	15	1950-06-05
Win	108–1–2	Ray Barnes	UD	10	1950-04-28
Win	107–1–2	Cliff Beckett	TKO	3 (10), 1:45	1950-04-21
Win	106–1–2	George Costner	KO	1 (10), 2:49	1950-03-22
Win	105–1–2	Jean Walzack	UD	10	1950-02-27
Win	104–1–2	Aaron Wade	KO	3 (10)	1950-02-22
Win	103–1–2	Al Mobley	TKO	6 (10)	1950-02-13
Win	102–1–2	George LaRover	TKO	4 (10)	1950-01-30
Win	101–1–2	Vern Lester	KO	5 (10), 0:12	1949-11-13
Win	100–1–2	Don Lee	UD	10	1949-11-09
Win	99–1–2	Charley Dodson	KO	3 (10), 0:20	1949-09-12
Win	98–1–2	Benny Evans	KO	5 (10), 2:56	1949-09-09
Win	97–1–2	Steve Belloise	TKO	7 (10)	1949-08-24
Win	96–1–2	Kid Gavilan	UD	15	1949-07-11
Win	95–1–2	Cecil Hudson	KO	5 (10)	1949-06-20
Win	94–1–2	Freddie Flores	TKO	3 (10), 2:41	1949-06-07
Win	93–1–2	Earl Turner	TKO	8 (10), 1:51	1949-04-20
Win	92–1–2	Don Lee	UD	10	1949-04-11
Win	91–1–2	Bobby Lee	UD	10	1949-03-25
Draw	90–1–2	Henry Brimm	PTS	10	1949-02-15
Win	90–1–1	Young Gene Buffalo	KO	1 (10)	1949-02-10
Win	89–1–1	Bobby Lee	UD	10	1948-11-15
Win	88–1–1	Kid Gavilan	UD	10	1948-09-23
Win	87–1–1	Bernard Docusen	UD	15	1948-06-28
Win	86–1–1	Henry Brimm	UD	10	1948-03-16
Win	85–1–1	Ossie Harris	UD	10	1948-03-04
Win	84–1–1	Chuck Taylor	TKO	6 (15), 2:07	1947-12-19
Win	83–1–1	Billy Nixon	TKO	6 (10), 2:10	1947-12-10
Win	82–1–1	California Jackie Wilson	TKO	7 (10), 1:35	1947-10-28
Win	81–1–1	Flashy Sebastian	KO	1 (10), 1:02	1947-08-29
Win	80–1–1	Sammy Secreet	KO	1 (10), 1:02	1947-08-21
Win	79–1–1	Jimmy Doyle	TKO	8 (15), 1:02	1947-06-24
Win	78–1–1	Georgie Abrams	SD	10	1947-05-16
Win	77–1–1	Eddie Finazzo	TKO	4 (10), 2:30	1947-04-08
Win	76–1–1	Freddie Wilson	KO	3 (10)	1947-04-03
Win	75–1–1	Bernie Miller	TKO	3 (10), 1:32	1947-03-27
Win	74–1–1	Tommy Bell	UD	15	1946-12-20
Win	73–1–1	Artie Levine	KO	10 (10), 2:41	1946-11-06
Win	72–1–1	Cecil Hudson	KO	6 (10), 2:58	1946-11-01
Win	71–1–1	Ossie Harris	PTS	10	1946-10-07
Win	70–1–1	Sidney Miller	KO	3 (10), 1:52	1946-09-25
Win	69–1–1	Vinnie Vines	KO	6 (10), 2:46	1946-08-15
Win	68–1–1	Joe Curcio	KO	2 (10), 0:10	1946-07-12
Win	67–1–1	Norman Rubio	PTS	10	1946-06-25
Win	66–1–1	Freddie Wilson	KO	2 (10), 2:00	1946-06-12
Win	65–1–1	Freddie Flores	KO	5 (10), 2:52	1946-03-21
Win	64–1–1	Izzy Jannazzo	UD	10	1946-03-14
Win	63–1–1	Sammy Angott	UD	10	1946-03-04
Win	62–1–1	Cliff Beckett	KO	4 (10)	1946-02-27
Win	61–1–1	O'Neill Bell	KO	2 (10), 1:01	1946-02-15
Win	60–1–1	Tony Riccio	TKO	4 (10), 2:16	1946-02-05
Win	59–1–1	Dave Clark	TKO	2 (10), 2:22	1946-01-14
Win	58–1–1	Vic Dellicurti	UD	10	1945-12-04
Win	57–1–1	Jake LaMotta	SD	12	1945-09-26
Win	56–1–1	Jimmy Mandell	TKO	5 (10), 1:31	1945-09-18
Win	55–1–1	Jimmy McDaniels	TKO	2 (10), 1:23	1945-06-15
Draw	54–1–1	José Basora	PTS	10	1945-05-14
Win	54–1	Jake LaMotta	UD	10	1945-02-23
Win	53–1	George Costner	KO	1 (10), 2:55	1945-02-14
Win	52–1	Tommy Bell	UD	10	1945-01-16
Win	51–1	Billy Furrone	TKO	2 (10), 2:28	1945-01-10
Win	50–1	George Martin	TKO	8 (10)	1944-12-22
Win	49–1	Sheik Rangel	TKO	2 (10), 2:50	1944-12-12
Win	48–1	Vic Dellicurti	UD	10	1944-11-24
Win	47–1	Lou Woods	TKO	9 (10)	1944-10-27
Win	46–1	Izzy Jannazzo	TKO	2 (10), 1:10	1944-10-13
Win	45–1	Henry Armstrong	UD	10	1943-08-27
Win	44–1	Ralph Zannelli	UD	10	1943-07-01
Win	43–1	Freddie Cabral	KO	1 (10), 2:20	1943-04-30
Win	42–1	Jake LaMotta	UD	10	1943-02-26
Win	41–1	California Jackie Wilson	MD	10	1943-02-19
Loss	40–1	Jake LaMotta	UD	10	1943-02-05
Win	40–0	Al Nettlow	TKO	3 (10)	1942-12-14
Win	39–0	Izzy Jannazzo	TKO	8 (10), 2:43	1942-12-01
Win	38–0	Vic Dellicurti	UD	10	1942-11-06
Win	37–0	Izzy Jannazzo	UD	10	1942-10-19
Win	36–0	Jake LaMotta	UD	10	1942-10-02
Win	35–0	Tony Motisi	KO	1 (10), 2:41	1942-08-27
Win	34–0	Reuben Shank	KO	2 (10), 2:26	1942-08-21
Win	33–0	Sammy Angott	UD	10	1942-07-31
Win	32–0	Marty Servo	SD	10	1942-05-28
Win	31–0	Dick Banner	KO	2 (10)	1942-04-30
Win	30–0	Harvey Dubs	TKO	6 (10)	1942-04-17
Win	29–0	Norman Rubio	TKO	8 (12)	1942-03-20
Win	28–0	Maxie Berger	TKO	2 (12), 1:43	1942-02-20
Win	27–0	Fritzie Zivic	TKO	10 (12), 0:31	1942-01-16
Win	26–0	Fritzie Zivic	UD	10	1941-10-31
Win	25–0	Marty Servo	UD	10	1941-09-25
Win	24–0	Maxie Shapiro	TKO	3 (10), 2:04	1941-09-19
Win	23–0	Maurice Arnault	TKO	1 (8), 1:29	1941-08-29
Win	22–0	Carl Guggino	TKO	3 (8), 2:47	1941-08-27
Win	21–0	Sammy Angott	UD	10	1941-07-21
Win	20–0	Pete Lello	TKO	4 (8), 1:48	1941-07-02
Win	19–0	Mike Evans	KO	2 (8), 0:52	1941-06-16
Win	18–0	Nick Castiglione	KO	1 (10), 1:21	1941-05-19
Win	17–0	Victor Troise	TKO	1 (8), 2:39	1941-05-10
Win	16–0	Joe Ghnouly	TKO	3 (8), 2:07	1941-04-30
Win	15–0	Charley Burns	KO	1 (10)	1941-04-24
Win	14–0	Jimmy Tygh	TKO	1 (10), 1:51	1941-04-14
Win	13–0	Jimmy Tygh	KO	8 (10), 1:13	1941-03-03
Win	12–0	Gene Spencer	TKO	5 (6)	1941-02-27
Win	11–0	Bobby McIntire	UD	6	1941-02-21
Win	10–0	Benny Cartagena	KO	1 (6), 1:33	1941-02-08
Win	9–0	George Zengaras	PTS	6	1941-01-31
Win	8–0	Frankie Wallace	TKO	1 (6), 2:10	1941-01-13
Win	7–0	Harry LaBarba	KO	1 (6), 0:40	1941-01-04
Win	6–0	Oliver White	TKO	3 (4)	1940-12-13
Win	5–0	Norment Quarles	TKO	4 (8), 0:56	1940-12-09
Win	4–0	Bobby Woods	KO	1 (6), 1:31	1940-11-11
Win	3–0	Mitsos Grispos	UD	6	1940-10-22
Win	2–0	Silent Stafford	TKO	2 (4)	1940-10-08
Win	1–0	Joe Echevarria	TKO	2 (4), 0:51	1940-10-04
