Year	Circuit	Winning drivers	Winning constructor	Regulations	Report
1987	Autódromo Juan y Óscar Gálvez	Guillermo Maldonado	Berta- Volkswagen	Formula Three Sudamericana	Report
1987	Autódromo Juan y Óscar Gálvez	Leonel Friedrich	Berta- Volkswagen	Formula Three Sudamericana	Report
1987	Autódromo Juan y Óscar Gálvez	Gabriel Furlán	Berta- Volkswagen	Formula Three Sudamericana	Report
1989	Autódromo Juan y Óscar Gálvez	Leonel Friedrich	Reynard - Volkswagen	Formula Three Sudamericana	Report
1989	Autódromo Juan y Óscar Gálvez	Gabriel Furlán	Dallara - Alfa Romeo	Formula Three Sudamericana	Report
1990	Autódromo Juan y Óscar Gálvez	Tom Stefani	Reynard - Volkswagen	Formula Three Sudamericana	Report
1991	Autódromo Juan y Óscar Gálvez	Affonso Giaffone	Ralt - Volkswagen	Formula Three Sudamericana	Report
1991	Autódromo Juan y Óscar Gálvez	Marcos Gueiros	Ralt - Honda	Formula Three Sudamericana	Report
1992	Autódromo Juan y Óscar Gálvez	Guillermo Kissling	Ralt - Honda	Formula Three Sudamericana	Report
1992	Autódromo Juan y Óscar Gálvez	Andrea Montermini	Reynard - Cosworth	Formula 3000	Report
1993	Autódromo Juan y Óscar Gálvez	Helio Castro Neves	Ralt - Honda	Formula Three Sudamericana	Report
1994	Autódromo Juan y Óscar Gálvez	Omar Martínez	Tom's - Toyota	Formula Three Sudamericana	Report
1994	Autódromo Juan y Óscar Gálvez	Gabriel Furlán	Dallara - Fiat	Formula Three Sudamericana	Report
1995	Autódromo Juan y Óscar Gálvez	Max Wilson	Dallara - Opel	Formula Three Sudamericana	Report
1995	Autódromo Juan y Óscar Gálvez	Gabriel Furlán	Dallara - Fiat	Formula Three Sudamericana	Report
1996	Autódromo Juan y Óscar Gálvez	Gabriel Furlán	Dallara - Fiat	Formula Three Sudamericana	Report
1996	Autódromo Juan y Óscar Gálvez	Juan Manuel Silva	Tom's - Toyota	Formula Three Sudamericana	Report
1997	Autódromo Juan y Óscar Gálvez	Gabriel Furlán	Dallara - Mitsubishi	Formula Three Sudamericana	Report
1998	Autódromo Juan y Óscar Gálvez	Martín Basso	Dallara - Mitsubishi	Formula Three Sudamericana	Report
1999	Autódromo Juan y Óscar Gálvez	Eduardo Pamplona	Dallara - Opel	Formula Three Sudamericana	Report
1999	Autódromo Juan y Óscar Gálvez	Rodrigo Sperafico	Dallara F394 - Mugen	Formula Three Sudamericana	Report
2001	Autódromo Juan y Óscar Gálvez	Juliano Moro	Dallara F301 - Mugen	Formula Three Sudamericana	Report
2006	Autódromo Juan y Óscar Gálvez	Diego Nunes	Dallara -Berta	Formula Three Sudamericana	Report
2006	Autódromo Juan y Óscar Gálvez	Clemente Faria	Dallara -Berta	Formula Three Sudamericana	Report
2008	Autódromo Juan y Óscar Gálvez	Nelson Merlo	Dallara -Berta	Formula Three Sudamericana	Report
2009	Autódromo Juan y Óscar Gálvez	Leonardo Cordeiro	Dallara -Berta	Formula Three Sudamericana	Report
