Performer	Performances	Category	First performance	Last performance
Emery Darcy Category:Articles with hCards	460	Tenor	12/06/1940	05/23/1953
Lodovico Oliviero Category:Articles with hCards	457	Tenor	05/11/1936	02/23/1948
Wilfred Engelman Category:Articles with hCards	457	Baritone	05/11/1936	04/16/1943
Friedrich Schorr Category:Articles with hCards	455	Baritone	02/14/1924	03/02/1943
Frank Valentino Category:Articles with hCards	454	Baritone	12/09/1940	04/10/1961
Eduardo Valdes Category:Articles with hCards	450	Tenor	02/07/1994	02/04/2012
Armand Tokatyan Category:Articles with hCards	449	Tenor	11/19/1922	03/07/1946
Zinka Milanov Category:Articles with hCards	449	Soprano	12/17/1937	04/16/1966
Rita Fornia Category:Articles with hCards	449	Soprano, Mezzo-soprano	12/06/1907	04/07/1922
Emanuel List Category:Articles with hCards	448	Bass	12/27/1933	04/01/1950
Edmond Karlsrud Category:Articles with hCards	447	Bass	01/17/1969	06/17/1977
Edward Ghazal Category:Articles with hCards	447	Bass	03/25/1959	04/28/1990
William Gustafson Category:Articles with hCards	445	Bass	11/23/1920	01/02/1931
Irra Petina Category:Articles with hCards	443	Mezzo-soprano	12/29/1933	03/24/1950
Emma Eames Category:Articles with hCards	440	Soprano	11/09/1891	02/15/1909
Paul De Paola Category:Articles with hCards	439	Bass	12/26/1960	11/23/1993
Philip Booth Category:Articles with hCards	439	Bass	11/01/1970	12/21/1995
Max Bloch Category:Articles with hCards	435	Tenor	11/20/1914	04/15/1930
Roberto Vanni Category:Articles with hCards	428	Tenor	11/21/1894	04/27/1903
Licia Albanese Category:Articles with hCards	428	Soprano	02/09/1940	07/12/1966
Eleanor Steber Category:Articles with hCards	427	Soprano	12/07/1940	04/16/1966
Bella Alten Category:Articles with hCards	426	Soprano	11/30/1904	04/21/1914
Linda Gelinas Category:Articles with hCards	426	Dancer	12/03/1981	01/28/2010
Giuseppe Danise Category:Articles with hCards	425	Baritone	11/17/1920	01/16/1932
Ina Bourskaya Category:Articles with hCards	423	Mezzo-soprano	03/02/1923	04/10/1937
John Baker Category:Articles with hCards	423	Baritone	03/14/1943	03/02/1951
Charles Kullman Category:Articles with hCards	421	Tenor	12/19/1935	12/03/1960
Salvatore Baccaloni Category:Articles with hCards	415	Bass	12/03/1940	08/08/1965
Clarence Whitehill Category:Articles with hCards	414	Baritone	11/15/1909	04/09/1932
Bonaldo Giaiotti Category:Articles with hCards	414	Bass	10/24/1960	11/17/1989
Philine Falco Category:Articles with hCards	414	Soprano	11/04/1927	04/19/1935
Gustav Schützendorf Category:Articles with hCards	413	Baritone	11/17/1922	04/19/1935
Marcel Journet Category:Articles with hCards	412	Bass	11/09/1900	02/05/1908
Karin Branzell Category:Articles with hCards	412	Mezzo-soprano	02/06/1924	03/12/1951
Enrico Bevignani Category:Articles with hCards	412	Conductor	11/29/1893	04/25/1900
Rosa Ponselle Category:Articles with hCards	411	Soprano	11/15/1918	04/17/1937
Jeffrey Wells Category:Articles with hCards	409	Bass	09/26/1988	05/12/2012
José Mardones Category:Articles with hCards	409	Bass	11/12/1917	05/06/1926
Lodovico Viviani Category:Articles with hCards	407	Bass	11/16/1891	03/02/1905
Helen Vanni Category:Articles with hCards	402	Mezzo-soprano	11/09/1956	03/26/1973
Nello Santi Category:Articles with hCards	401	Conductor	01/25/1962	07/01/2000
Martha Lipton Category:Articles with hCards	401	Mezzo-soprano	11/27/1944	01/07/1961
Editha Fleischer Category:Articles with hCards	400	Soprano	11/06/1926	03/21/1936
Justino Díaz Category:Articles with hCards	400	Bass	03/29/1963	11/04/1994
Theodor Uppman Category:Articles with hCards	398	Baritone	11/27/1953	04/08/1978
Lillian Nordica Category:Articles with hCards	394	Soprano	12/18/1891	12/22/1909
Andreas Dippel Category:Articles with hCards	394	Tenor	11/26/1890	04/13/1908
Teresa Stratas Category:Articles with hCards	385	Soprano	03/20/1959	12/09/1995
George Meader Category:Articles with hCards	385	Tenor	11/19/1921	04/12/1935
Patricia Heyes Category:Articles with hCards	384	Dancer	03/07/1962	03/13/1981
Dorothea Flexer Category:Articles with hCards	384	Mezzo-soprano	03/05/1926	03/21/1936
Carl Schlegel Category:Articles with hCards	383	Baritone	11/19/1913	04/09/1926
Elisabeth Rethberg Category:Articles with hCards	381	Soprano	11/22/1922	03/06/1942
Jane Bunnell Category:Articles with hCards	381	Mezzo-soprano	04/08/1979	05/05/2009
Margaret Matzenauer Category:Articles with hCards	380	Mezzo-soprano	11/13/1911	02/12/1930
John Alexander Category:Articles with hCards	379	Tenor	12/19/1961	10/05/1987
Luciano Pavarotti Category:Articles with hCards	378	Tenor	11/23/1968	03/13/2004
Lou Marcella Category:Articles with hCards	375	Tenor	11/02/1958	10/05/1982
Margaret Harshaw Category:Articles with hCards	376	Mezzo-soprano, Soprano	03/15/1942	03/10/1964
John Cheek Category:Articles with hCards	373	Bass	06/06/1977	05/12/2012
Emil Fischer Category:Articles with hCards	371	Bass	11/23/1885	03/15/1907
Jean Madeira Category:Articles with hCards	369	Mezzo-soprano	12/02/1948	02/27/1971
Franco Corelli Category:Articles with hCards	369	Tenor	01/27/1961	06/28/1975
Frances Alda Category:Articles with hCards	369	Soprano	12/07/1908	12/28/1929
Nicolai Gedda Category:Articles with hCards	367	Tenor	11/01/1957	11/11/1983
William Walker Category:Articles with hCards	364	Baritone	03/23/1962	06/10/1978
Alfio Tedesco Category:Articles with hCards	363	Tenor	11/02/1926	03/28/1935
Helen Olheim Category:Articles with hCards	360	Mezzo-soprano	12/19/1935	03/08/1944
Frederick Jagel Category:Articles with hCards	359	Tenor	11/08/1927	03/16/1950
Blanche Thebom Category:Articles with hCards	357	Mezzo-soprano	11/28/1944	03/06/1967
Florence Easton Category:Articles with hCards	354	Soprano	12/07/1917	03/15/1936
Grace Anthony Category:Articles with hCards	354	Soprano	11/16/1921	05/07/1927
Naomi Marritt Category:Articles with hCards	353	Dancer	11/01/1963	01/02/1992
Kurt Baum Category:Articles with hCards	353	Tenor	11/27/1941	04/16/1966
Leon Varkas Category:Articles with hCards	350	Dancer	11/25/1941	05/13/1950
Kerstin Thorborg Category:Articles with hCards	350	Mezzo-soprano	12/21/1936	02/08/1950
Risë Stevens Category:Articles with hCards	350	Mezzo-soprano	11/22/1938	04/12/1961
Basil Ruysdael Category:Articles with hCards	350	Bass	11/18/1910	04/26/1918
Ludwig Burgstaller Category:Articles with hCards	347	Tenor	02/19/1909	04/29/1951
Queena Mario Category:Articles with hCards	345	Soprano	11/30/1922	12/26/1938
Maria Jeritza Category:Articles with hCards	345	Soprano	11/19/1921	02/22/1951
Olive Fremstad Category:Articles with hCards	345	Soprano	11/25/1903	04/23/1914
Doris Doe Category:Articles with hCards	345	Mezzo-soprano	02/03/1932	02/03/1947
Thomas Schippers Category:Articles with hCards	341	Conductor	12/23/1955	11/03/1975
Kurt Adler Category:Articles with hCards	341	Conductor	03/26/1944	07/09/1972
Hao Jiang Tian Category:Articles with hCards	340	Bass	10/10/1991	01/28/2010
Philip Cokorinos Category:Articles with hCards	340	Bass	04/14/1985	03/25/2010
Emmy Destinn Category:Articles with hCards	339	Soprano	11/16/1908	12/27/1920
Jean de Reszke Category:Articles with hCards	339	Tenor	11/09/1891	04/29/1901
Flora Perini Category:Articles with hCards	338	Mezzo-soprano	12/02/1915	04/20/1924
Mildred Miller Category:Articles with hCards	338	Mezzo-soprano	11/17/1951	12/03/1974
Jan Peerce Category:Articles with hCards	337	Tenor	11/29/1941	06/22/1968
Juan Pons Category:Articles with hCards	337	Baritone	01/04/1983	10/24/2007
Antonio Rinaldini Category:Articles with hCards	336	Tenor	11/13/1891	04/24/1896
Glenn Bater Category:Articles with hCards	335	Bass	01/25/1973	05/09/2006
Dorothee Manski Category:Articles with hCards	334	Soprano	11/05/1927	02/23/1941
Thomas Hayward Category:Articles with hCards	334	Tenor	11/23/1945	03/29/1957
Hertha Glaz Category:Articles with hCards	334	Mezzo-soprano	12/25/1942	05/26/1956
Ara Berberian Category:Articles with hCards	334	Bass	04/21/1979	01/23/1997
John Gurney Category:Articles with hCards	331	Bass	04/12/1935	05/04/1945
Marek Windheim Category:Articles with hCards	329	Tenor	11/01/1928	04/10/1936
Regina Resnik Category:Articles with hCards	326	Soprano, Mezzo-soprano	12/06/1944	10/22/1983
LeRoy Lehr Category:Articles with hCards	326	Bass	01/14/1993	05/15/2010
Walter Damrosch Category:Articles with hCards	324	Conductor	02/11/1885	05/12/1937
Carlo Bergonzi Category:Articles with hCards	324	Tenor	11/13/1956	04/27/1996
Marie Van Cauteren Category:Articles with hCards	321	Soprano	10/10/1894	04/27/1903
Giorgio Polacco Category:Articles with hCards	320	Conductor	11/11/1912	04/27/1917
Charlotte Ryan Category:Articles with hCards	318	Soprano	11/23/1922	03/25/1932
Mario Laurenti Category:Articles with hCards	318	Baritone	01/06/1916	02/20/1922
Fritz Stiedry Category:Articles with hCards	316	Conductor	11/15/1946	04/08/1958
Donald Mahler Category:Articles with hCards	316	Dancer	02/16/1962	01/12/1980
Phradie Wells Category:Articles with hCards	315	Soprano	11/07/1923	04/19/1935
Raymonde Delaunois Category:Articles with hCards	315	Mezzo-soprano	11/28/1914	04/18/1926
Samuel Ramey Category:Articles with hCards	315	Bass	04/09/1972	01/29/2011
Renata Scotto Category:Articles with hCards	314	Soprano	10/13/1965	01/17/1987
Mary Ellen Pracht Category:Articles with hCards	314	Soprano	11/24/1961	02/19/1977
John Garris Category:Articles with hCards	312	Tenor	02/27/1942	04/19/1949
Monna Montes Category:Articles with hCards	309	Dancer	12/24/1936	04/04/1945
Marco Armiliato Category:Articles with hCards	309	Conductor	06/16/1998	03/03/2012
Giacomo Lauri-Volpi Category:Articles with hCards	307	Tenor	01/26/1923	03/14/1933
Alfredo Gandolfi Category:Articles with hCards	307	Baritone	10/28/1929	03/20/1936
Anton van Rooy Category:Articles with hCards	305	Baritone	12/14/1898	04/16/1908
Antonio De Vaschetti Category:Articles with hCards	305	Bass	11/16/1891	04/20/1897
Renato Capecchi Category:Articles with hCards	305	Baritone	11/24/1951	06/25/1994
Ettore Panizza Category:Articles with hCards	304	Conductor	12/22/1934	04/11/1942
Laurel Hurley Category:Articles with hCards	304	Soprano	02/08/1955	07/04/1967
Linda Mays Category:Articles with hCards	303	Soprano	02/16/1974	04/10/2009
Raymond Michalski Category:Articles with hCards	301	Bass	12/29/1965	04/26/1976
Lily Pons Category:Articles with hCards	300	Soprano	01/03/1931	12/14/1960
Rita De Leporte Category:Articles with hCards	300	Dancer	04/11/1923	04/09/1935
Frederica von Stade Category:Articles with hCards	300	Mezzo-soprano	01/10/1970	03/14/2010
Leonie Rysanek Category:Articles with hCards	299	Soprano	02/05/1959	01/02/1996
Thelma Altman Category:Articles with hCards	299	Mezzo-soprano	11/22/1943	05/15/1950
Howard Sayette Category:Articles with hCards	297	Dancer	02/24/1961	06/07/1972
Arturo Vigna Category:Articles with hCards	297	Conductor	11/23/1903	04/27/1907
Anna Kaskas Category:Articles with hCards	297	Mezzo-soprano	05/13/1936	04/26/1946
Michael Best Category:Articles with hCards	297	Tenor	11/16/1979	12/06/1995
Ronald Naldi Category:Articles with hCards	295	Tenor	04/18/1983	04/23/2011
Josephine Jacoby Category:Articles with hCards	294	Mezzo-soprano	10/15/1899	04/29/1908
John Hanriot Category:Articles with hCards	294	Tenor	11/09/1977	11/23/2001
Lili Chookasian Category:Articles with hCards	291	Contralto	03/09/1962	05/17/1986
Ellen Dalossy Category:Articles with hCards	289	Soprano	12/10/1920	03/20/1935
Ivan Allen Category:Articles with hCards	288	Dancer	11/18/1964	01/12/1978
Maria Zifchak Category:Articles with hCards	288	Mezzo-Soprano	04/05/1998	05/02/2012
Sándor Kónya Category:Articles with hCards	287	Tenor	10/28/1961	12/12/1974
Heidi Krall Category:Articles with hCards	286	Soprano	12/12/1953	05/27/1966
Dorothy Kirsten Category:Articles with hCards	285	Soprano	12/01/1945	02/10/1979
Dawn Upshaw Category:Articles with hCards	284	Soprano	10/11/1984	02/13/2005
Judith Blegen Category:Articles with hCards	284	Soprano	01/19/1970	02/21/1991
Nedda Casei Category:Articles with hCards	283	Mezzo-soprano	10/14/1964	10/20/1984
Leslie Chabay Category:Articles with hCards	282	Tenor	11/13/1946	05/11/1951
Riccardo Martin Category:Articles with hCards	281	Tenor	11/20/1907	11/29/1917
Alberto Erede Category:Articles with hCards	281	Conductor	11/11/1950	03/24/1975
Michael Forest Category:Articles with hCards	281	Tenor	09/27/1989	01/08/2011
Jon Vickers Category:Articles with hCards	280	Tenor	01/17/1960	04/18/1987
Louis Quilico Category:Articles with hCards	279	Baritone	02/10/1972	11/19/1994
Alma Jean Smith Category:Articles with hCards	277	Soprano	03/24/1974	04/18/1980
James Atherton Category:Articles with hCards	277	Tenor	10/17/1977	09/27/1985
Vernon Hartman Category:Articles with hCards	277	Baritone	10/21/1982	05/01/1997
Diane Elias Category:Articles with hCards	277	Mezzo-soprano	04/27/1996	02/22/2007
Mathew Polenzani Category:Articles with hCards	276	Tenor	12/19/1977	05/02/2012
Antonio Pini-Corsi Category:Articles with hCards	275	Bass	10/11/1899	04/22/1914
Walter Cassel Category:Articles with hCards	275	Baritone	12/06/1942	02/14/1974
Patrick Carfizzi Category:Articles with hCards	275	Bass-baritone	12/24/1999	03/13/2010
Tatiana Troyanos Category:Articles with hCards	274	Mezzo-soprano	03/08/1976	05/01/1993
Robert Leonhardt Category:Articles with hCards	274	Baritone	12/26/1913	11/13/1922
Harry Jones Category:Articles with hCards	274	Dancer	04/16/1958	06/05/1973
Irene Dalis Category:Articles with hCards	274	Mezzo-soprano	03/16/1957	05/25/1976
Rudolf Laubenthal Category:Articles with hCards	273	Tenor	11/09/1923	03/04/1933
Allan Monk Category:Articles with hCards	272	Baritone	03/27/1976	03/15/1986
Anselmo Colzani Category:Articles with hCards	272	Baritone	04/07/1960	02/16/1978
Mario Basiola Category:Articles with hCards	272	Baritone	11/11/1925	04/27/1932
Suzanne Laurence Category:Articles with hCards	271	Dancer	03/20/1969	12/31/2000
Renata Tebaldi Category:Articles with hCards	269	Soprano	01/31/1955	01/08/1973
Julius Rudel Category:Articles with hCards	268	Conductor	10/07/1978	06/24/2005
James Conlon Category:Articles with hCards	268	Conductor	12/11/1976	11/17/2009
Raymond Gibbs Category:Articles with hCards	267	Tenor	02/11/1970	01/10/1981
Florence Rudolph Category:Articles with hCards	266	Dancer	02/06/1919	05/05/1926
Gladys Swarthout Category:Articles with hCards	265	Mezzo-soprano	10/29/1929	03/24/1951
Giuseppe Bamboschek Category:Articles with hCards	265	Conductor	04/14/1918	02/26/1933
George London Category:Articles with hCards	264	Baritone	11/13/1951	03/10/1966
Philip Creech Category:Articles with hCards	264	Tenor	09/26/1979	11/22/1997
Rod MacWherter Category:Articles with hCards	262	Tenor	10/17/1968	06/23/1973
Lilli Lehmann Category:Articles with hCards	262	Soprano	11/25/1885	04/21/1899
Irene Jessner Category:Articles with hCards	261	Soprano	12/21/1936	02/01/1952
Thomas Hammons Category:Articles with hCards	261	Bass-baritone	12/13/1996	03/22/2008
Emma Calvé Category:Articles with hCards	261	Soprano	11/29/1893	04/24/1904
Karl Böhm Category:Articles with hCards	261	Conductor	10/31/1957	10/28/1978
Paul Althouse Category:Articles with hCards	261	Tenor	11/23/1912	02/18/1940
Kirsten Flagstad Category:Articles with hCards	260	Soprano	02/02/1935	04/01/1952
Gabriella Tucci Category:Articles with hCards	259	Soprano	10/29/1960	12/25/1972
Barry Morell Category:Articles with hCards	259	Tenor	11/01/1958	02/19/1979
Diane Kesling Category:Articles with hCards	259	Mezzo-soprano	04/05/1981	01/19/1991
Italo Tajo Category:Articles with hCards	254	Bass	12/28/1948	04/20/1991
Joseph Rosenstock Category:Articles with hCards	254	Conductor	10/30/1929	02/13/1969
Michael Arshansky Category:Articles with hCards	254	Dancer	11/25/1941	05/03/1945
Marilyn Horne Category:Articles with hCards	252	Mezzo-soprano	03/03/1970	02/10/1996
Cesare Sodero Category:Articles with hCards	251	Conductor	11/28/1942	05/17/1947
George Shirley Category:Articles with hCards	251	Tenor	10/30/1929	02/13/1969
Thomas Salignac Category:Articles with hCards	251	Tenor	12/11/1896	04/27/1903
Ruthanna Boris Category:Articles with hCards	250	Dancer	12/16/1935	04/24/1943
Nadine Conner Category:Articles with hCards	249	Soprano	12/22/1941	03/12/1960
Roald Reitan Category:Articles with hCards	249	Baritone	03/20/1959	05/22/1963
Dinh Gilly Category:Articles with hCards	248	Baritone	11/16/1909	05/02/1914
Marie Sundelius Category:Articles with hCards	248	Soprano	11/25/1916	03/11/1928
Pearl Besuner Category:Articles with hCards	247	Soprano	12/01/1928	01/23/1941
Karl Laufkötter Category:Articles with hCards	245	Tenor	12/23/1936	05/11/1950
William Mellow Category:Articles with hCards	245	Tenor	09/22/1966	03/03/1993
Antoinette Peloso Category:Articles with hCards	245	Dancer	09/25/1970	04/28/2001
Eugenia Mantelli Category:Articles with hCards	244	Mezzo Soprano	11/23/1894	11/27/1902
Sofia Scalchi Category:Articles with hCards	244	Mezzo Soprano	10/22/1883	04/24/1896
Mark Baker Category:Articles with hCards	243	Tenor	04/20/1986	06/24/2005
