Name	Nationality	Position	São Paulo career	Appearances	Goals
Nei	Brazil	DF	1980–1981	103	1
Paulo César	Brazil	FW	1980–1984	258	35
Marinho Chagas	Brazil	DF	1981–1983	70	2
Mário Sérgio	Brazil	MF	1981–1983	62	8
Nelsinho	Brazil	DF	1981–1991 ¤	512	9
Everton	Brazil	MF	1981–1982	152	41
Sidney	Brazil	FW	1982–1988	200	17
Careca	Brazil	FW	1983–1987	191	115
Müller	Brazil	FW	1984–1987 1991–1994 1996 ¤	386	160
Pita	Brazil	MF	1984–1988	249	46
Silas	Brazil	MF	1985–1988 1997 ¤	170	35
Gilmar	Brazil	GK	1985–1991	253	0
Zé Teodoro	Brazil	DF	1985–1991	262	7
Pintado	Brazil	MF	1985 1992–1993	118	2
Ronaldão	Brazil	DF	1986–1993 ¤	300	14
Adilson	Brazil	DF	1986–1993	266	2
Bernardo	Brazil	MF	1986–1991	236	16
Edivaldo	Brazil	MF	1987–1989	123	26
Raí	Brazil	MF	1987–1993 1998–2000	395	128
Ivan	Brazil	DF	1988–1992 ¤	138	8
Flávio	Brazil	MF	1988–1991	131	7
Mário Tilico	Brazil	FW	1988–1991	115	23
Cafu	Brazil	DF	1989–1994 ¤	273	38
Ricardo Rocha	Brazil	DF	1989–1991	70	0
Elivélton	Brazil	MF	1989–1993 ¤	149	12
Antônio Carlos	Brazil	DF	1990–1992 ¤	138	10
Leonardo	Brazil	MF	1990–1991 1993–1994 2001	111	17
Zetti	Brazil	GK	1990–1996	432	0
Vítor	Brazil	DF	1990–1994 1996	143	3
Rogério Ceni	Brazil	GK	1990– ¤	1105	112
Macedo	Brazil	FW	1991–1993	110	20
Gilmar	Brazil	DF	1991–1996	147	5
Toninho Cerezo	Brazil	MF	1992–1993 1995–1996	72	7
Palhinha	Brazil	FW	1992–1995	229	71
Ronaldo Luís	Brazil	DF	1992–1995	109	2
Catê	Brazil	FW	1992–1995 1997	136	23
Dinho	Brazil	MF	1992–1993	113	12
Válber	Brazil	DF	1992–1994 1996–1997	160	5
André Luiz	Brazil	DF	1993–1997 ¤	192	18
Juninho Paulista	Brazil	MF	1993–1995	135	22
Axel	Brazil	MF	1994–1997 2000	174	3
Bordon	Brazil	DF	1994–1999 ¤	237	8
Denílson	Brazil	FW	1994–1998 ¤	187	26
Cláudio	Brazil	DF	1995–1998	113	1
Rogério Pinheiro	Brazil	DF	1995 1997–2001	177	8
Dodô	Brazil	FW	1995 1997–1999	168	93
Edmílson	Brazil	DF	1995–2000 ¤	253	19
França	Brazil	FW	1996–2002	327	182
Belletti	Brazil	DF	1996–1998 2000–2002	205	15
Serginho	Brazil	DF	1996–1999	179	28
Adriano	Brazil	MF	1996–1999 2001–2003	119	25
Fabiano	Brazil	MF	1996–2001 ¤	142	20
Fábio Aurélio	Brazil	DF	1997–2000 ¤	136	6
Alexandre	Brazil	MF	1997–2001 2003–2004	214	2
Carlos Miguel	Brazil	MF	1998–2001	187	18
Souza	Brazil	MF	1998–2002	163	19
Wilson	Brazil	DF	1999–2002	136	11
Marcelinho Paraíba	Brazil	MF	1997–2000 2010–2011	209	51
Fábio Simplício	Brazil	MF	2000–2004 ¤	236	26
Gustavo Nery	Brazil	DF	2000–2004	208	31
Júlio Baptista	Brazil	MF	2000–2003 ¤	138	22
Jean	Brazil	DF	2000–2003 ¤	179	10
Kaká	Brazil	MF	2001–2003 ¤	131	48
Luís Fabiano	Brazil	FW	2001–2004 2011–	260	177
Gabriel	Brazil	DF	2001–2004 ¤	111	10
Diego Lugano Category:Articles with hCards	Uruguay	DF	2002–2006	176	11
Souza	Brazil	MF	2003–2008	232	35
Diego Tardelli	Brazil	FW	2003–2005 2007 ¤	139	30
Edcarlos	Brazil	DF	2003–2007 ¤	134	5
Cicinho	Brazil	DF	2004–2005 2010	151	21
Danilo	Brazil	MF	2004–2006	194	37
Fabão	Brazil	DF	2004–2006	170	15
Rodrigo	Brazil	DF	2004–2005 2008–2009	112	10
Hernanes	Brazil	MF	2004–2005 2007–2010 ¤	223	38
Júnior	Brazil	DF	2004–2008	197	10
Mineiro	Brazil	MF	2005–2006	126	14
Josué	Brazil	MF	2005–2007	157	7
Amoroso	Brazil	FW	2005	29	16
Denílson	Brazil	MF	2005–2006 2011– ¤	135	1
Jean	Brazil	MF	2005 2008–2011 ¤	201	11
Richarlyson	Brazil	MF	2005–2010	244	12
Aloísio	Brazil	FW	2005–2008	124	23
Leandro	Brazil	FW	2006–2007	116	16
André Dias	Brazil	DF	2006–2010	197	11
Alex Silva	Brazil	DF	2006–2008 2010–2011	143	12
Miranda	Brazil	DF	2006–2011	260	10
Borges	Brazil	FW	2007–2009	150	54
Hugo	Brazil	MF	2007–2009	139	30
Jorge Wagner	Brazil	MF	2007–2010	210	22
Dagoberto	Brazil	FW	2007–2011	241	61
Wellington	Brazil	MF	2008– ¤	135	2
Júnior César	Brazil	DF	2009–2011	100	1
Marlos	Brazil	MF	2009–2011	135	13
Fernandinho	Brazil	FW	2010–2012	104	17
Casemiro	Brazil	MF	2010–2013 ¤	111	11
Lucas	Brazil	FW	2010–2012 ¤	128	33
Rhodolfo	Brazil	DF	2011–2013	139	11
Jádson	Brazil	MF	2012–	112	20
