Year (Ceremony)	Film title used in nomination	Original title	Director	Result
1980 (53rd)	The Last Metro	Le Dernier Métro	François Truffaut Category:Articles with hCards	Nominee
1981 (54th)	Diva	Diva	Jean-Jacques Beineix Category:Articles with hCards	Not Nominated
1982 (55th)	Coup de Torchon	Coup de torchon	Bertrand Tavernier Category:Articles with hCards	Nominee
1983 (56th)	Entre Nous	Coup de foudre	Diane Kurys Category:Articles with hCards	Nominee
1984 (57th)	So Long, Stooge	Tchao Pantin	Claude Berri Category:Articles with hCards	Not Nominated
1985 (58th)	Three Men and a Cradle	Trois hommes et un couffin	Coline Serreau Category:Articles with hCards	Nominee
1986 (59th)	Betty Blue	37°2 le matin	Jean-Jacques Beineix Category:Articles with hCards	Nominee
1987 (60th)	Au revoir, les enfants	Au revoir, les enfants	Louis Malle Category:Articles with hCards	Nominee
1988 (61st)	La Lectrice	La Lectrice	Michel Deville Category:Articles with hCards	Not Nominated
1989 (62nd)	Camille Claudel	Camille Claudel	Bruno Nuytten Category:Articles with hCards	Nominee
1990 (63rd)	Cyrano de Bergerac	Cyrano de Bergerac	Jean-Paul Rappeneau Category:Articles with hCards	Nominee
1991 (64th)	Van Gogh	Van Gogh	Maurice Pialat Category:Articles with hCards	Not Nominated
1992 (65th)	Indochine	Indochine	Régis Wargnier Category:Articles with hCards	Won Academy Award
1993 (66th)	Germinal	Germinal	Claude Berri Category:Articles with hCards	Not Nominated
1994 (67th)	Wild Reeds	Les roseaux sauvages	André Téchiné Category:Articles with hCards	Not Nominated
1995 (68th)	French Twist	Gazon maudit	Josiane Balasko Category:Articles with hCards	Not Nominated
1996 (69th)	Ridicule	Ridicule	Patrice Leconte Category:Articles with hCards	Nominee
1997 (70th)	Western	Western	Manuel Poirier Category:Articles with hCards	Not Nominated
1998 (71st)	The Dreamlife of Angels	La vie rêvée des anges	Erick Zonca Category:Articles with hCards	Not Nominated
1999 (72nd)	East/West	Est-Ouest [A ]	Régis Wargnier Category:Articles with hCards	Nominee
2000 (73rd)	The Taste of Others	Le goût des autres	Agnès Jaoui Category:Articles with hCards	Nominee
2001 (74th)	Amélie	Le Fabuleux Destin d'Amélie Poulain	Jean-Pierre Jeunet Category:Articles with hCards	Nominee
2002 (75th)	8 Women	8 femmes	François Ozon Category:Articles with hCards	Not Nominated
2003 (76th)	Bon Voyage	Bon voyage	Jean-Paul Rappeneau Category:Articles with hCards	Not Nominated
2004 (77th)	The Chorus	Les Choristes	Christophe Barratier Category:Articles with hCards	Nominee
2005 (78th)	Joyeux Noël	Joyeux Noël	Christian Carion Category:Articles with hCards	Nominee
2006 (79th)	Avenue Montaigne	Fauteuils d'orchestre	Danièle Thompson Category:Articles with hCards	Made January Shortlist
2008 (81st)	The Class	Entre les murs	Laurent Cantet Category:Articles with hCards	Nominee
2009 (82nd)	A Prophet	Un prophéte	Jacques Audiard Category:Articles with hCards	Nominee
2010 (83rd)	Of Gods and Men	Des hommes et des dieux	Xavier Beauvois Category:Articles with hCards	Not Nominated
2011 (84th)	Declaration of War	La Guerre est déclarée	Valérie Donzelli Category:Articles with hCards	Not Nominated
2012 (85th)	The Intouchables	Intouchables	Eric Toledano , Olivier Nakache	Made January Shortlist
