Network	Origin of Programming	Language	Genre	Service
ETV Kannada	India	Kannada	General	Dish
ETV Marathi	India	Marathi	General	Dish
ETV Telugu	India	Telugu	General	Dish
ETV Telugu	India	Telugu	General	DishWorld
Express Entertainment	Pakistan	Urdu	General	Dish
Express Entertainment	Pakistan	Urdu	General	DishWorld
Express News	Pakistan	Urdu	News	Dish
Express News	Pakistan	Urdu	News	DishWorld
Filmy	India	Hindi	Movies	DirecTV
Filmy	India	Hindi	Movies	Time Warner Cable
Gemini Comedy	India	Telugu	General	Dish
Gemini Comedy	India	Telugu	General	DishWorld
Gemini Movies	India	Telugu	Movies	Dish
Gemini Movies	India	Telugu	Movies	DishWorld
Gemini TV	India	Telugu	General	Dish
Gemini TV	India	Telugu	General	DishWorld
Geo News	Pakistan	Urdu	News	Dish
Geo News	Pakistan	Urdu	News	DishWorld
Geo TV	Pakistan	Urdu	General	Dish
Geo TV	Pakistan	Urdu	General	DishWorld
GET Punjabi	India	Punjabi	General	Dish
GET Punjabi	India	Punjabi	General	DishWorld
GPunjab	United States	Punjabi	News	Dish
GPunjab	United States	Punjabi	News	DishWorld
Headlines Today	India	English	News	Dish
ITV Gold	United States	Hindi	General	Optimum TV
ITV Gold	United States	Hindi	General	RCN
ITV Gold	United States	Hindi	General	Time Warner Cable
Jaya Max	India	Tamil	Music	Dish
Jaya Max	India	Tamil	Music	DishWorld
Jaya Movies	India	Tamil	Movies	DishWorld
Jaya Plus	India	Tamil	News	Dish
Jaya Plus	India	Tamil	News	DishWorld
Jaya TV	India	Tamil	General	Dish
Jaya TV	India	Tamil	General	DishWorld
JUS One	United States	Punjabi	Religious	Dish
JUS Punjabi	United States	Punjabi	General	Dish
JUS Punjabi	United States	Punjabi	General	DishWorld
JUS Punjabi	United States	Punjabi	General	Optimum TV
JUS Punjabi	United States	Punjabi	General	Time Warner Cable
JUS Punjabi	United States	Punjabi	General	Verizon FiOS
Kairali	India	Malayalam	General	Dish
Kairali	India	Malayalam	General	DishWorld
Kalaignar TV	India	Tamil	General	Dish
Kalaignar TV	India	Tamil	General	DishWorld
Kiran TV	India	Malayalam	Music	Dish
Kiran TV	India	Malayalam	Music	DishWorld
KTV	India	Tamil	Movies	Dish
KTV	India	Tamil	Movies	DishWorld
Life OK	India	Hindi	General	Cox Cable
Life OK	India	Hindi	General	DirecTV
Life OK	India	Hindi	General	Dish
Life OK	India	Hindi	General	DishWorld
Life OK	India	Hindi	General	Optimum TV
Life OK	India	Hindi	General	RCN
Life OK	India	Hindi	General	Time Warner Cable
Life OK	India	Hindi	General	Xfinity
Maa Gold	India	Telugu	General	DishWorld
Maa Movies	India	Telugu	Movies	DishWorld
Maa Music	India	Telugu	Music	DishWorld
Maa TV	India	Telugu	General	Dish
Maa TV	India	Telugu	General	DishWorld
Maasranga Television	Bangladesh	Bengali	General	Dish
Mazhavil Manorama	India	Malayalam	General	Dish
Mazhavil Manorama	India	Malayalam	General	DishWorld
MH1	India	Punjabi	Music	Dish
MH1	India	Punjabi	Music	DishWorld
MTV India	India	Hindi	Music	AT&T U-verse
MTV India	India	Hindi	Music	DirecTV
MTV India	India	Hindi	Music	Dish
MTV India	India	Hindi	Music	DishWorld
NDTV 24x7	India	English	News	Dish
NDTV 24x7	India	English	News	DishWorld
NDTV Good Times	India	English	Lifestyle	Dish
NDTV Good Times	India	English	Lifestyle	DishWorld
NTV Bangla	Bangladesh	Bengali	General	Dish
NTV Bangla	Bangladesh	Bengali	General	DishWorld
People TV	India	Malayalam	News	DishWorld
PTC Punjabi	India	Punjabi	General	Dish
PTC Punjabi	India	Punjabi	General	DishWorld
PTV Global	Pakistan	Urdu	General	Dish
PTV Global	Pakistan	Urdu	General	DishWorld
SAB	India	Hindi	General	Dish
SAB	India	Hindi	General	DishWorld
Sahara One	India	Hindi	General	Dish
Sahara One	India	Hindi	General	DishWorld
Sahara Samay	India	Hindi	News	Dish
Sahara Samay	India	Hindi	News	DishWorld
Sanskar	India	Hindi	Religious	Dish
SET Max	India	Hindi	Movies	Dish
SET Max	India	Hindi	Movies	DishWorld
Sirippoli	India	Tamil	General	Dish
Sirippoli	India	Tamil	General	DishWorld
Sony Aath	India	Bengali	Movies	Dish
Sony Entertainment Television Asia	India	Hindi	General	AT&T U-verse
Sony Entertainment Television Asia	India	Hindi	General	Cox Cable
Sony Entertainment Television Asia	India	Hindi	General	Dish
Sony Entertainment Television Asia	India	Hindi	General	DishWorld
Sony Entertainment Television Asia	India	Hindi	General	Optimum TV
Sony Entertainment Television Asia	India	Hindi	General	RCN
Sony Entertainment Television Asia	India	Hindi	General	Time Warner Cable
Sony Entertainment Television Asia	India	Hindi	General	Verizon FiOS
Sony Entertainment Television Asia	India	Hindi	General	Xfinity
Sony Mix	India	Hindi	Music	Dish
Sony Mix	India	Hindi	Music	DishWorld
STAR India Gold	India	Hindi	Movies	Cox Cable
STAR India Gold	India	Hindi	Movies	DirecTV
STAR India Gold	India	Hindi	Movies	Optimum TV
STAR India Gold	India	Hindi	Movies	RCN
STAR India Gold	India	Hindi	Movies	Time Warner Cable
STAR India Gold	India	Hindi	Movies	Xfinity
STAR India Plus	India	Hindi	General	AT&T U-verse
STAR India Plus	India	Hindi	General	Cox Cable
STAR India Plus	India	Hindi	General	DirecTV
STAR India Plus	India	Hindi	General	Dish
STAR India Plus	India	Hindi	General	Optimum TV
STAR India Plus	India	Hindi	General	RCN
STAR India Plus	India	Hindi	General	Time Warner Cable
STAR India Plus	India	Hindi	General	Verizon FiOS
STAR India Plus	India	Hindi	General	Xfinity
STAR India Plus HD	India	Hindi	General	Dish
STAR India Plus HD	India	Hindi	General	DishWorld
Sun Music	India	Tamil	Music	Dish
Sun Music	India	Tamil	Music	DishWorld
Sun TV	India	Tamil	General	Dish
Sun TV	India	Tamil	General	DishWorld
Surya TV	India	Malayalam	General	Dish
Surya TV	India	Malayalam	General	DishWorld
Tara Muzik	India	Bengali	Music	Dish
Times Now	India	English	News	Dish
Times Now	India	English	News	DishWorld
TV Asia	United States	Hindi	General	AT&T U-verse
TV Asia	United States	Hindi	General	Cox Cable
TV Asia	United States	Hindi	General	Dish
TV Asia	United States	Hindi	General	Optimum TV
TV Asia	United States	Hindi	General	RCN
TV Asia	United States	Hindi	General	Time Warner Cable
TV Asia	United States	Hindi	General	Verizon FiOS
TV Asia	United States	Hindi	General	Xfinity
TV Asia HD	United States	Hindi	General	Dish
TV Asia HD	United States	Hindi	General	DishWorld
TV5 News	India	Telugu	News	Dish
TV5 News	India	Telugu	News	DishWorld
TV9 Gujarat	India	Gujarati	News	Dish
TV9 Gujarat	India	Gujarati	News	DishWorld
TV9 Kannada	India	Kannada	News	Dish
TV9 Telugu	India	Telugu	News	Dish
TV9 Telugu	India	Telugu	News	DishWorld
TVOne Global	Pakistan	Urdu	General	Dish
Udaya TV	India	Kannada	General	Dish
UTV Movies	India	Hindi	Movies	DirecTV
UTV Movies	India	Hindi	Movies	Time Warner Cable
Vijay	India	Tamil	General	Dish
Vijay	India	Tamil	General	DishWorld
Vijay	India	Tamil	General	Xfinity
We TV	India	Malayalam	General	DishWorld
Willow Cricket	United States	English	Cricket	Cox Cable
Willow Cricket	United States	English	Cricket	DirecTV
Willow Cricket	United States	English	Cricket	Dish
Willow Cricket	United States	English	Cricket	Optimum TV
Willow Cricket	United States	English	Cricket	Time Warner Cable
Willow Cricket	United States	English	Cricket	Xfinity
Willow Cricket HD	United States	English	Cricket	Dish
Willow Cricket HD	United States	English	Cricket	DishWorld
Zee Business	India	Hindi	Business	Dish
Zee Cinema	India	Hindi	Movies	Dish
Zee Cinema	India	Hindi	Movies	DishWorld
Zee Kannada	India	Kannada	General	Dish
Zee Marathi	India	Marathi	General	Dish
Zee Smile	India	Hindi	General	Dish
Zee Telugu	India	Telugu	General	Dish
Zee Telugu	India	Telugu	General	DishWorld
Zee TV	India	Hindi	General	AT&T U-verse
Zee TV	India	Hindi	General	Cox Cable
Zee TV	India	Hindi	General	Dish
Zee TV	India	Hindi	General	Optimum TV
Zee TV	India	Hindi	General	RCN
Zee TV	India	Hindi	General	Time Warner Cable
Zee TV	India	Hindi	General	Verizon FiOS
Zee TV	India	Hindi	General	Xfinity
Zee TV HD	India	Hindi	General	Dish
Zee TV HD	India	Hindi	General	DishWorld
Zing	India	Hindi	Music	Dish
Zoom	India	Hindi	Movies	Dish
Zoom	India	Hindi	Movies	DishWorld
