Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Ecurie Espadon	Ferrari	212 166	Ferrari 375 2.5 V12	P	Rudi Fischer	1, 6–7
José Froilán González	Talbot-Lago	T26C	Talbot 23CV 4.5 L6	D	José Froilán González	1
Peter Hirt	Veritas	Meteor	Veritas 2.0 L6	P	Peter Hirt	1
Ecurie Belgique	Talbot-Lago	T26C	Talbot 23CV 4.5 L6	D	André Pilette	3
Ecurie Belgique	Talbot-Lago	T26C	Talbot 23CV 4.5 L6	D	Jacques Swaters	6–7
Pierre Levegh	Talbot-Lago	T26C	Talbot 23CV 4.5 L6	D	Pierre Levegh	3, 6–7
Graham Whitehead	Ferrari	125	Ferrari 125 1.5 V12 s	D	Peter Whitehead	4
GA Vandervell	Ferrari	375 tw	Ferrari 375 4.5 V12	P	Reg Parnell	4
GA Vandervell	Ferrari	375 tw	Ferrari 375 4.5 V12	P	Peter Whitehead	5
Equipe Gordini	Simca-Gordini	15 11	Gordini 15C 1.5 L4 s	E	Robert Manzon	4, 6–8
Equipe Gordini	Simca-Gordini	15 11	Gordini 15C 1.5 L4 s	E	Maurice Trintignant	4, 6, 8
Equipe Gordini	Simca-Gordini	15 11	Gordini 15C 1.5 L4 s	E	André Simon	4, 6–8
Equipe Gordini	Simca-Gordini	15 11	Gordini 15C 1.5 L4 s	E	Aldo Gordini	4
Equipe Gordini	Simca-Gordini	15 11	Gordini 15C 1.5 L4 s	E	Jean Behra	7
Eugène Chaboud	Talbot-Lago	T26C	Talbot 23CV 4.5 L6	D	Eugène Chaboud	4
Scuderia Milano	Maserati - Milano Maserati	4CLT/50 4CLT/48	Milano 1.5 L4 s Maserati 4CLT 1.5 L4 s	P	Onofre Marimón	4
Scuderia Milano	Maserati - Milano Maserati	4CLT/50 4CLT/48	Milano 1.5 L4 s Maserati 4CLT 1.5 L4 s	P	Paco Godia	8
Scuderia Milano	Maserati - Milano Maserati	4CLT/50 4CLT/48	Milano 1.5 L4 s Maserati 4CLT 1.5 L4 s	P	Juan Jover	8
Joe Kelly	Alta	GP	Alta 1.5 L4 s	D	Joe Kelly	5
BRM Ltd	BRM	P15	BRM P15 1.5 V16 s	D	Reg Parnell	5, 7
BRM Ltd	BRM	P15	BRM P15 1.5 V16 s	D	Peter Walker	5
BRM Ltd	BRM	P15	BRM P15 1.5 V16 s	D	Ken Richardson	7
BRM Ltd	BRM	P15	BRM P15 1.5 V16 s	D	Hans Stuck	7
Bob Gerard	ERA	B	ERA 1.5 L6 s	D	Bob Gerard	5
Brian Shawe-Taylor	ERA	B	ERA 1.5 L6 s	D	Brian Shawe-Taylor	5
Scuderia Ambrosiana	Maserati	4CLT/48	Maserati 4CLT 1.5 L4 s	D	David Murray	5–6
John James	Maserati	4CLT/48	Maserati 4CLT 1.5 L4 s	D	John James	5
Philip Fotheringham-Parker	Maserati	4CL	Maserati 4CLT 1.5 L4 s	D	Philip Fotheringham-Parker	5
Duncan Hamilton	Talbot-Lago	T26C	Talbot 23CV 4.5 L6	D	Duncan Hamilton	5–6
Antonio Branca	Maserati	4CLT/48	Maserati 4CLT 1.5 L4 s	P	Toni Branca	6
Francisco Landi	Ferrari	375	Ferrari 375 4.5 V12	P	Chico Landi	7
Peter Whitehead	Ferrari	125	Ferrari 125 1.5 V12 s	D	Peter Whitehead	7
OSCA Automobili	OSCA	4500G	OSCA 4500 4.5 V12	P	Franco Rol	7
Prince Bira	Maserati - OSCA	4CLT/48	OSCA 4500 4.5 V12	P	B. Bira	8
Georges Grignard	Talbot-Lago	T26C	Talbot 23CV 4.5 L6	D	Georges Grignard	8
