Name	Nationality	Position [F ]	Date from [G ]	Date to [H ]	Appearances	Goals	Club source [I ]
Charlie Buchan Category:Articles with hCards	England England	Forward	1911	1925	411	221	39 [ dead link ]
Henry Martin Category:Articles with hCards	England England	Forward	1912	1922	213	23	40 [ dead link ]
Bert Hobson Category:Articles with hCards	England England	Defender	1913	1922	172	0	41 [ dead link ]
John Poole Category:Articles with hCards	England England	Defender	1913	1924	152	2	42 [ dead link ]
Ernie England Category:Articles with hCards	England England	Defender	1919	1930	351	0	43 [ dead link ]
Billy Ellis Category:Articles with hCards	England England	Midfielder	1920	1927	202	32	44 [ dead link ]
Bobby Marshall Category:Articles with hCards	England England	Forward	1920	1928	207	73	45 [ dead link ]
Charlie Parker Category:Articles with hCards	England England	Defender	1920	1929	256	12	46 [ dead link ]
Arthur Hawes Category:Articles with hCards	England England	Midfielder	1921	1927	147	39	47 [ dead link ]
Arthur Andrews Category:Articles with hCards	England England	Defender	1921	1931	244	2	48 [ dead link ]
Warney Cresswell Category:Articles with hCards	England England	Defender	1922	1927	190	0	49 [ dead link ]
Albert McInroy Category:Articles with hCards	England England	Goalkeeper	1923 1934	1929 1935	227	0	50 [ dead link ]
William Clunas Category:Articles with hCards	Scotland Scotland	Midfielder	1923	1930	272	44	51 [ dead link ]
Bobby Gurney Category:Articles with hCards	England England	Forward	1925	1950	390	227	52 [ dead link ]
Dave Halliday Category:Articles with hCards	Scotland Scotland	Forward	1925	1929	175	164	53 [ dead link ]
Bill Murray Category:Articles with hCards	Scotland Scotland	Defender	1925	1936	328	0	54 [ dead link ]
Jock McDougall Category:Articles with hCards	Scotland Scotland	Defender	1929	1934	184	3	55 [ dead link ]
Patrick Gallacher Category:Articles with hCards	Scotland Scotland	Forward	1929	1938	309	108	56 [ dead link ]
Alex Hall Category:Articles with hCards	Scotland Scotland	Defender	1929	1939	238	1	57 [ dead link ]
Harry Shaw Category:Articles with hCards	England England	Defender	1930	1935	217	5	58 [ dead link ]
Jimmy Thorpe Category:Articles with hCards	England England	Goalkeeper	1930	1936	139	0	59 [ dead link ]
Jimmy Connor Category:Articles with hCards	Scotland Scotland	Forward	1930	1939	284	62	60 [ dead link ]
Alexander Hastings Category:Articles with hCards	Scotland Scotland	Midfielder	1930	1946	304	8	61 [ dead link ]
Bert Johnston Category:Articles with hCards	Scotland Scotland	Defender	1931	1939	166	0	62 [ dead link ]
Charlie Thomson Category:Articles with hCards	Scotland Scotland	Defender	1931	1939	264	8	63 [ dead link ]
Bert Davis Category:Articles with hCards	England England	Forward	1932	1936	162	40	64 [ dead link ]
Sandy McNab Category:Articles with hCards	Scotland Scotland	Defender	1932	1938	113	6	65 [ dead link ]
Raich Carter Category:Articles with hCards	England England	Midfielder	1932	1939	281	132	66 [ dead link ]
Eddie Burbanks Category:Articles with hCards	England England	Midfielder	1935	1948	156	30	67 [ dead link ]
Len Duns Category:Articles with hCards	England England	Forward	1935	1952	248	54	68 [ dead link ]
Johnny Mapson Category:Articles with hCards	England England	Goalkeeper	1935	1954	387	0	69 [ dead link ]
Jimmy Gorman Category:Articles with hCards	England England	Defender	1937	1939	103	1	70 [ dead link ]
Dickie Davis Category:Articles with hCards	England England	Forward	1946	1953	154	80	71 [ dead link ]
Fred Hall Category:Articles with hCards	England England	Defender	1946	1953	224	1	72 [ dead link ]
Tommy Reynolds Category:Articles with hCards	England England	Midfielder	1946	1953	171	18	73 [ dead link ]
Bill Walsh Category:Articles with hCards	England England	Defender	1946	1953	105	1	74 [ dead link ]
Willie Watson Category:Articles with hCards	England England	Defender	1946	1954	223	17	75 [ dead link ]
Jack Stelling Category:Articles with hCards	England England	Defender	1946	1956	272	8	76 [ dead link ]
Arthur Hudgell Category:Articles with hCards	England England	Defender	1947	1957	275	0	77 [ dead link ]
Len Shackleton Category:Articles with hCards	England England	Forward	1948	1957	348	101	78 [ dead link ]
Tommy Wright Category:Articles with hCards	Scotland Scotland	Midfielder	1949	1954	180	54	79 [ dead link ]
Harry Kirtley Category:Articles with hCards	England England	Forward	1949	1955	101	18	80 [ dead link ]
Trevor Ford Category:Articles with hCards	Wales Wales	Forward	1950	1957	117	70	81 [ dead link ]
Billy Bingham Category:Articles with hCards	Northern Ireland Northern Ireland	Forward	1950	1958	227	46	82 [ dead link ]
Jack Hedley Category:Articles with hCards	England England	Defender	1950	1958	295	0	83 [ dead link ]
George Aitken Category:Articles with hCards	Scotland Scotland	Defender	1951	1958	267	3	84 [ dead link ]
Stan Anderson Category:Articles with hCards	England England	Defender	1952	1964	447	35	85 [ dead link ]
Ray Daniel Category:Articles with hCards	Wales Wales	Defender	1953	1957	153	7	86 [ dead link ]
Billy Elliott Category:Articles with hCards	England England	Midfielder	1953	1958	212	26	87 [ dead link ]
Willie Fraser Category:Articles with hCards	Scotland Scotland	Goalkeeper	1954	1958	143	0	88 [ dead link ]
Joe McDonald Category:Articles with hCards	Scotland Scotland	Defender	1954	1958	155	1	89 [ dead link ]
Charlie Fleming Category:Articles with hCards	Scotland Scotland	Forward	1955	1958	122	72	90 [ dead link ]
Colin Grainger Category:Articles with hCards	England England	Forward	1957	1960	124	14	91 [ dead link ]
Ambrose Fogarty Category:Articles with hCards	Ireland Ireland	Midfielder	1957	1963	174	43	92 [ dead link ]
Charlie Hurley Category:Articles with hCards	Ireland Ireland	Defender	1957	1969	401	26	93 [ dead link ]
Peter Wakeham Category:Articles with hCards	England England	Goalkeeper	1958	1962	151	0	94 [ dead link ]
Colin Nelson Category:Articles with hCards	England England	Defender	1958	1964	168	2	95 [ dead link ]
Jim McNab Category:Articles with hCards	England England	Midfielder	1958	1967	323	18	96 [ dead link ]
Len Ashurst Category:Articles with hCards	England England	Defender	1958	1970	459	4	97 [ dead link ]
Cecil Irwin Category:Articles with hCards	England England	Defender	1958	1971	350	1	98 [ dead link ]
Martin Harvey Category:Articles with hCards	Northern Ireland Northern Ireland	Midfielder	1959	1972	357	5	99 [ dead link ]
Nick Sharkey Category:Articles with hCards	Scotland Scotland	Forward	1960	1966	117	62	100 [ dead link ]
Jimmy Montgomery Category:Articles with hCards	England England	Goalkeeper	1960	1977	627	0	101 [ dead link ]
George Herd Category:Articles with hCards	Scotland Scotland	Midfielder	1961	1969	318	55	102 [ dead link ]
Johnny Crossan Category:Articles with hCards	Northern Ireland Northern Ireland	Forward	1961	1969	318	55	103 [ dead link ]
George Mulhall Category:Articles with hCards	Scotland Scotland	Forward	1962	1969	289	66	104 [ dead link ]
Bobby Kerr Category:Articles with hCards	Scotland Scotland	Midfielder	1964	1979	432	69	105 [ dead link ]
Colin Todd Category:Articles with hCards	England England	Defender	1966	1971	191	3	106 [ dead link ]
Billy Hughes Category:Articles with hCards	Scotland Scotland	Midfielder	1967	1977	335	81	107 [ dead link ]
Ian Porterfield Category:Articles with hCards	Scotland Scotland	Midfielder	1967	1977	270	20	108 [ dead link ]
Gordon Harris Category:Articles with hCards	England England	Midfielder	1968	1971	135	16	109 [ dead link ]
Dennis Tueart Category:Articles with hCards	England England	Midfielder	1968	1974	218	56	110 [ dead link ]
Mick McGiven Category:Articles with hCards	England England	Defender	1969	1973	126	12	111 [ dead link ]
Richie Pitt Category:Articles with hCards	England England	Midfielder	1969	1973	145	7	112 [ dead link ]
David Watson Category:Articles with hCards	England England	Defender	1970	1975	212	33	113 [ dead link ]
Dick Malone Category:Articles with hCards	Scotland Scotland	Defender	1970	1976	282	2	114 [ dead link ]
Gary Rowell Category:Articles with hCards	England England	Forward	1972	1984	296	103	115 [ dead link ]
Jack Ashurst Category:Articles with hCards	Scotland Scotland	Defender	1972	1979	165	3	116 [ dead link ]
Joe Bolton Category:Articles with hCards	England England	Midfielder	1972	1981	325	12	117 [ dead link ]
Vic Halom Category:Articles with hCards	England England	Forward	1973	1976	138	42	118 [ dead link ]
Bobby Moncur Category:Articles with hCards	Scotland Scotland	Defender	1974	1976	101	2	120 [ dead link ]
Bryan Robson Category:Articles with hCards	England England	Forward	1974 1979 1983	1976 1980 1984	182	68	121 [ dead link ]
Tony Towers Category:Articles with hCards	England England	Forward	1974	1977	124	22	122 [ dead link ]
Jeff Clarke Category:Articles with hCards	England England	Defender	1975	1982	218	6	123 [ dead link ]
Bob Lee Category:Articles with hCards	England England	Forward	1976	1979	122	33	124 [ dead link ]
Barry Siddall Category:Articles with hCards	England England	Goalkeeper	1976	1982	192	0	125 [ dead link ]
Kevin Arnott Category:Articles with hCards	England England	Midfielder	1977	1982	152	18	126 [ dead link ]
Shaun Elliott Category:Articles with hCards	England England	Defender	1977	1986	368	11	127 [ dead link ]
Mick Buckley Category:Articles with hCards	England England	Midfielder	1978	1983	135	8	128 [ dead link ]
Rob Hindmarch Category:Articles with hCards	England England	Defender	1978	1984	128	3	129 [ dead link ]
Gordon Chisholm Category:Articles with hCards	Scotland Scotland	Defender	1978	1985	235	16	130 [ dead link ]
Chris Turner Category:Articles with hCards	England England	Goalkeeper	1978	1986	224	1	131 [ dead link ]
Stan Cummins Category:Articles with hCards	England England	Midfielder	1979	1985	165	32	132 [ dead link ]
Colin West Category:Articles with hCards	England England	Forward	1981	1985	122	28	133 [ dead link ]
Nick Pickering Category:Articles with hCards	England England	Midfielder	1981	1986	209	18	134 [ dead link ]
Barry Venison Category:Articles with hCards	England England	Defender	1981	1986	205	3	135 [ dead link ]
Paul Bracewell Category:Articles with hCards	England England	Midfielder	1983 1989 1995	1984 1992 1997	270	6	136 [ dead link ]
Mark Proctor Category:Articles with hCards	England England	Midfielder	1983	1987	138	23	137 [ dead link ]
Eric Gates Category:Articles with hCards	England England	Forward	1984	1990	219	55	138 [ dead link ]
Paul Lemon Category:Articles with hCards	England England	Midfielder	1984	1990	126	19	139 [ dead link ]
Gary Bennett Category:Articles with hCards	England England	Defender	1984	1995	443	25	140 [ dead link ]
Frank Gray Category:Articles with hCards	Scotland Scotland	Defender	1985	1989	169	8	141 [ dead link ]
Reuben Agboola Category:Articles with hCards	Nigeria Nigeria	Defender	1985	1991	170	0	142 [ dead link ]
Gordon Armstrong Category:Articles with hCards	England England	Midfielder	1985	1995	416	61	143 [ dead link ]
Steve Doyle Category:Articles with hCards	Wales Wales	Midfielder	1986	1988	115	2	144 [ dead link ]
Iain Hesford Category:Articles with hCards	England England	Goalkeeper	1986	1989	112	0	145 [ dead link ]
John MacPhail Category:Articles with hCards	England England	Defender	1987	1990	153	22	146 [ dead link ]
Marco Gabbiadini Category:Articles with hCards	England England	Forward	1987	1991	185	87	147 [ dead link ]
John Kay Category:Articles with hCards	England England	Defender	1987	1993	239	0	148 [ dead link ]
Gary Owers Category:Articles with hCards	England England	Midfielder	1987	1994	320	27	149 [ dead link ]
Richard Ord Category:Articles with hCards	England England	Defender	1987	1998	284	8	150 [ dead link ]
Colin Pascoe Category:Articles with hCards	Wales Wales	Midfielder	1988	1992	149	25	151 [ dead link ]
Tony Norman Category:Articles with hCards	Wales Wales	Goalkeeper	1988	1995	227	0	152 [ dead link ]
Thomas Hauser Category:Articles with hCards	Germany Germany	Forward	1989	1991	65	11	153
Paul Hardyman Category:Articles with hCards	England England	Defender	1989	1992	129	12	154 [ dead link ]
Brian Atkinson Category:Articles with hCards	England England	Midfielder	1989	1995	169	6	155 [ dead link ]
Kevin Ball Category:Articles with hCards	England England	Defender	1990	1999	388	27	156 [ dead link ]
Don Goodman Category:Articles with hCards	England England	Forward	1991	1994	132	47	157 [ dead link ]
Craig Russell Category:Articles with hCards	England England	Forward	1991	1997	175	34	158 [ dead link ]
Michael Gray Category:Articles with hCards	England England	Defender	1992	2004	410	17	159 [ dead link ]
Alec Chamberlain Category:Articles with hCards	England England	Goalkeeper	1993	1996	108	0	160 [ dead link ]
Phil Gray Category:Articles with hCards	Northern Ireland Northern Ireland	Forward	1993	1996	134	41	161 [ dead link ]
Andy Melville Category:Articles with hCards	Wales Wales	Defender	1993	1999	236	14	162 [ dead link ]
Martin Smith Category:Articles with hCards	England England	Midfielder	1993	1999	145	28	163 [ dead link ]
Dariusz Kubicki Category:Articles with hCards	Poland Poland	Defender	1994	1997	150	0	164 [ dead link ]
Martin Scott Category:Articles with hCards	England England	Defender	1994	1999	126	11	165 [ dead link ]
Michael Bridges Category:Articles with hCards	England England	Forward	1996 2004 2004	1999 2004 2005	113	23	166 [ dead link ]
Alex Rae Category:Articles with hCards	Scotland Scotland	Midfielder	1996	2001	136	15	167 [ dead link ]
Niall Quinn Category:Articles with hCards	Ireland Ireland	Forward	1996	2002	220	69	168 [ dead link ]
Allan Johnston Category:Articles with hCards	Scotland Scotland	Midfielder	1997	1999	101	20	169 [ dead link ]
Nicky Summerbee Category:Articles with hCards	England England	Midfielder	1997	2000	108	8	170 [ dead link ]
Chris Makin Category:Articles with hCards	England England	Defender	1997	2001	142	1	171 [ dead link ]
Jody Craddock Category:Articles with hCards	England England	Defender	1997	2003	168	2	172 [ dead link ]
Kevin Phillips Category:Articles with hCards	England England	Forward	1997	2004	235	130	173 [ dead link ]
Darren Williams Category:Articles with hCards	England England	Defender	1997	2004	238	6	174 [ dead link ]
Thomas Sørensen Category:Articles with hCards	Denmark Denmark	Goalkeeper	1998	2003	197	0	178 [ dead link ]
Gavin McCann Category:Articles with hCards	England England	Midfielder	1998	2003	135	13	179 [ dead link ]
George McCartney Category:Articles with hCards	Northern Ireland Northern Ireland	Defender	1998 2008	2006 -	203	0	180 [ dead link ]
Kevin Kilbane Category:Articles with hCards	Ireland Ireland	Midfielder	1999	2003	123	9	181 [ dead link ]
Julio Arca Category:Articles with hCards	Argentina Argentina	Defender	2000	2006	177	23	182 [ dead link ]
Kevin Kyle Category:Articles with hCards	Scotland Scotland	Forward	2001	2006	109	19	183 [ dead link ]
Marcus Stewart Category:Articles with hCards	England England	Forward	2002	2005	119	39	184 [ dead link ]
Gary Breen Category:Articles with hCards	Ireland Ireland	Defender	2003	2006	115	7	185 [ dead link ]
Grant Leadbitter Category:Articles with hCards	England England	Midfielder	2003	2009	113	11	186 [ dead link ]
Danny Collins Category:Articles with hCards	Wales Wales	Defender	2004	2009	163	3	187 [ dead link ]
Dean Whitehead Category:Articles with hCards	England England	Midfielder	2004	2009	200	14	188 [ dead link ]
Craig Gordon Category:Articles with hCards	Scotland Scotland	Goalkeeper	2007	2012	95	0	189
Kenwyne Jones Category:Articles with hCards	Trinidad & Tobago Trinidad and Tobago	Forward	2007	2010	101	28	190 [ dead link ]
Kieran Richardson Category:Articles with hCards	England England	Midfielder	2007	2012	149	15	191
Phil Bardsley Category:Articles with hCards	Scotland Scotland	Midfielder	2008	–	146	6	192
Steed Malbranque Category:Articles with hCards	France France	Defender	2008	2011	112	2	193
Darren Bent Category:Articles with hCards	England England	Forward	2009	2011	60	35	194
Asamoah Gyan Category:Articles with hCards	Ghana Ghana	Forward	2010	2012	37	11	195
