Country	Population (July 2005 est.)	Land Area (km²)	% of arable land (2005 est.)	Arable Land (km²)	Population Density (pop per km²)
Faroe Islands (Denmark)	48,307	1,399	2.14%	30	35
Jamaica	2,736,513	10,831	15.83%	1,715	253
Philippines	87,857,473	300,000	19%	56,652	295
Mauritania	3,086,859	1,030,400	0.20%	2,061	3
Isle of Man (UK)	75,049	572	9%	51	131
Dominica	72,125	754	6.67%	50	96
Trinidad and Tobago	1,075,066	5,128	14.62%	750	210
Yemen	20,745,098	527,970	2.91%	15,364	39
Malaysia	23,966,096	328,550	5.46%	17,939	73
Northern Mariana Islands (US)	80,362	477	13.04%	62	168
Vietnam	83,535,576	325,360	20.14%	65,528	257
Nepal	27,676,547	143,350	16.07%	21,984	202
Mauritius	1,242,821	2,030	49.02%	995	612
Belgium	10,364,388	30,278	27.42%	8,302	342
Slovenia	2,011,070	20,151	8.53%	1,719	100
Indonesia	228,895,746	1,826,440	11.03%	201,456	125
United Kingdom	60,441,457	241,590	23.23%	56,121	250
Haiti	8,298,163	27,560	28.11%	7,747	301
El Salvador	6,711,676	20,720	31.37%	6,500	324
Sierra Leone	5,874,481	71,620	7.95%	5,694	82
Vanuatu	206,090	12,200	1.64%	200	17
Tanzania	37,770,570	886,037	4.23%	37,479	43
Venezuela	25,269,177	882,050	2.85%	25,138	29
People's Republic of China	1,306,313,812	9,326,410	14.86%	1,385,905	140
Democratic Republic of the Congo	60,473,510	2,267,600	2.86%	64,853	27
Cape Verde	418,837	4,033	11.41%	460	104
Liberia	2,902,179	96,320	3.43%	3,304	30
Comoros	671,638	2,170	35.87%	778	310
Guinea	9,452,670	245,857	4.47%	10,990	38
Burundi	7,795,426	25,650	35.57%	9,124	304
Antigua and Barbuda	68,722	442.6	18.18%	80	155
Somalia	8,752,449	627,337	1.64%	10,288	14
Guatemala	12,182,548	108,430	13.22%	14,334	112
North Korea	22,912,177	120,410	22.40%	26,972	190
East Timor	1,041,806	15,007	8.20%	1,231	69
Ecuador	13,363,593	276,840	5.71%	15,808	17
Liechtenstein	33,717	160	25%	40	211
Dominican Republic	9,088,094	48,380	22.49%	10,881	188
Pakistan	158,781,792	778,720	24.44%	190,319	204
Rwanda	9,378,226	24,948	45.56%	11,366	376
Wallis and Futuna (France)	16,025	274	7.14%	20	58
Chile	15,995,043	748,800	2.62%	19,619	21
Saudi Arabia	26,417,599	1,960,582	1.67%	32,742	13
Eritrea	4,669,638	121,320	4.78%	5,799	38
Suriname	460,495	161,470	0.36%	581	3
Tonga	112,445	718	20%	144	157
Cyprus	780,133	9,240	10.81%	999	84
Saint Kitts and Nevis	38,958	261	19.44%	51	149
Kenya	34,911,779	569,250	8.01%	45,597	61
Peru	28,051,105	1,280,000	2.88%	36,864	22
Luxembourg	468,571	2,586	23.94%	619	181
India	1,093,563,426	2,973,190	48.83%	1,451,809	368
Italy	58,103,033	294,020	26.41%	77,651	198
British Virgin Islands (UK)	22,643	153	20.00%	31	148
Tajikistan	6,814,791	142,700	6.52%	9,304	48
Republic of the Congo	3,602,269	341,500	1.45%	4,952	11
Germany	82,431,390	349,223	33.13%	115,698	236
Honduras	7,167,902	111,890	9.53%	10,663	64
Laos	6,217,141	230,800	4.01%	9,255	27
Malawi	12,974,924	94,080	20.68%	19,456	138
Portugal	10,566,212	91,951	17.29%	15,898	115
Uganda	28,199,390	199,710	21.57%	43,077	141
Ethiopia	73,053,286	1,119,683	10.01%	112,080	65
Albania	3,563,112	27,398	20.10%	5,507	130
Swaziland	1,138,227	17,203	10.25%	1,763	66
Lesotho	2,118,091	30,355	10.87%	3,300	70
Madagascar	18,312,163	581,540	5.03%	29,251	31
Armenia	2,982,904	28,400	16.78%	4,766	105
Guinea-Bissau	1,414,159	28,000	8.31%	2,327	51
Bhutan	654,897	47,000	2.30%	1,081	14
Uzbekistan	26,851,195	425,400	10.51%	44,710	63
Austria	8,184,691	82,444	16.59%	13,677	99
Georgia	4,677,401	69,700	11.51%	8,022	67
The Gambia	1,595,086	10,000	27.88%	2,788	160
Panama	3,140,232	75,990	7.26%	5,517	41
Norway	4,593,041	307,860	2.70%	8,312	15
Ghana	22,025,680	230,940	17.54%	40,507	95
Cook Islands	21,388	240	16.67%	40	89
Côte d'Ivoire	17,298,040	318,000	10.23%	32,531	54
Palau	20,303	458	8.70%	40	44
Senegal	11,860,429	192,000	12.51%	24,019	62
Myanmar	46,595,675	657,740	14.92%	98,135	71
Mozambique	20,154,010	784,090	5.43%	42,576	26
Botswana	1,759,832	585,370	0.65%	3,805	3
Iraq	26,074,906	432,162	13.12%	56,700	60
Montserrat (UK)	9,341	102	20%	20	92
Thailand	64,185,502	511,770	27.54%	140,941	125
Azerbaijan	8,015,567	86,100	20.62%	17,754	93
Gabon	1,395,690	257,667	1.21%	3,118	5
Fiji	893,586	18,270	10.95%	2,001	49
Bosnia and Herzegovina	4,430,494	51,129	19.61%	10,026	87
Equatorial Guinea	567,232	28,051	4.63%	1,299	20
Mexico	106,202,903	1,923,040	12.66%	243,457	55
Algeria	32,560,735	2,381,740	3.17%	75,501	14
Nigeria	128,765,768	910,768	33.02%	300,736	141
Kyrgyzstan	5,146,281	191,300	6.55%	12,530	27
Iran	64,737,226	1,636,000	9.78%	160,001	40
Belize	281,289	22,806	3.05%	696	12
Syria	18,448,752	184,050	24.80%	45,644	100
Greece	10,668,354	130,800	20.45%	26,749	82
Morocco	32,793,012	446,300	19%	84,797	73
Zimbabwe	12,160,782	386,670	8.24%	31,862	31
Afghanistan	29,928,987	647,500	12.13%	78,542	46
Slovakia	5,431,363	48,800	29.23%	14,264	111
Tunisia	10,079,380	155,360	17.05%	26,489	65
Cambodia	13,526,825	176,520	20.44%	36,081	77
Macedonia	2,045,262	24,856	22.01%	5,471	82
Cuba	11,326,153	110,860	27.63%	30,631	102
Sweden	9,001,774	410,934	5.93%	24,368	22
Angola	11,706,954	1,246,700	2.65%	33,038	9
Ireland	4,015,676	68,890	16.82%	11,587	58
Czech Republic	10,241,138	77,276	38.82%	29,999	133
Samoa	208,937	2,934	21.13%	620	71
France ( Metropolitan )	60,656,178	545,630	33.46%	182,568	111
Serbia and Montenegro	10,828,899	102,136	33.18%	33,889	106
Libya	5,765,563	1,759,540	1.03%	18,123	3
Brazil	186,112,794	8,456,510	6.93%	586,036	22
Poland	38,557,984	304,465	40.25%	122,547	127
Croatia	4,495,904	56,414	25.82%	14,566	80
Nicaragua	5,469,181	120,254	14.81%	17,810	45
Turkey	69,660,559	770,760	29.81%	229,764	90
South Africa	44,344,136	1,219,912	12.10%	147,609	36
Spain	40,341,462	499,542	27.18%	135,776	81
Benin	7,649,360	110,620	23.53%	26,029	69
Bolivia	8,857,870	1,084,390	2.78%	30,146	8
Cameroon	17,261,467	469,440	12.54%	58,868	37
Burkina Faso	13,903,886	273,800	17.66%	48,353	51
New Zealand	4,035,461	268,021	5.54%	14,848	15
Chad	9,400,658	1,259,200	2.80%	35,258	7
Finland	5,223,442	304,473	6.54%	19,913	17
Estonia	1,332,893	43,211	12.05%	5,207	31
Uruguay	3,424,889	173,620	7.77%	13,490	20
Namibia	2,028,356	825,418	0.99%	8,172	2
Mali	11,379,386	1,220,000	3.76%	45,872	9
Romania	22,329,977	230,340	39.49%	90,961	97
Denmark	5,432,335	42,394	52.59%	22,295	128
Mongolia	2,865,994	1,564,116	0.76%	11,887	2
Moldova	4,340,177	33,371	54.52%	18,194	130
Sudan	37,762,842	2,376,000	6.78%	161,093	16
Saint-Pierre and Miquelon (France)	7,012	242	12.50%	30	29
Bulgaria	7,450,349	110,550	29.94%	33,099	67
Togo	5,399,991	54,385	44.20%	24,038	99
Turkmenistan	4,932,743	488,100	4.51%	22,013	10
Central African Republic	4,237,703	622,984	3.10%	19,313	7
Hungary	10,006,835	92,340	49.58%	45,782	108
Zambia	11,115,381	740,724	6.99%	51,777	15
Paraguay	6,351,059	397,300	7.47%	29,678	16
United States	295,734,134	9,161,923	18.01%	1,650,062	32
Belarus	9,809,130	207,600	26.77%	55,575	47
Guyana	765,283	196,850	2.23%	4,390	4
Ukraine	46,959,420	603,700	53.80%	324,791	78
Argentina	39,537,943	2,736,690	10.03%	274,490	14
Saint Helena (UK)	7,479	413	12.90%	53	18
Latvia	2,290,237	63,589	28.19%	17,926	36
Lithuania	3,596,617	65,200	44.81%	29,216	55
Russia	142,775,578	16,995,800	7.17%	1,218,599	8
Niger	12,162,856	1,266,700	11.43%	144,784	10
Canada	32,386,378	9,093,507	4.57%	415,573	4
Niue	2,166	260	11.54%	30	8
Kazakhstan	15,185,844	2,669,800	8.28%	221,059	6
Australia	20,090,437	7,617,930	6.15%	468,503	3
Monaco	32,409	1.95	0%	0	16,620
Macau S.A.R. ( PRC )	449,198	28.2	0%	0	15,929
Gibraltar (UK)	27,884	6.5	0%	0	4,290
Vatican City	921	0.44	0%	0	2,093
Jersey (UK)	90,812	116	0%	0	783
Nauru	13,048	21	0%	0	621
Tuvalu	11,634	26	0%	0	447
Tokelau (New Zealand)	1,405	10	0%	0	141
Anguilla (UK)	13,116	102	0%	0	129
Norfolk Island (Australia)	1,828	34.6	0%	0	3
Cocos (Keeling) Islands (Australia)	628	14	0%	0	3
Christmas Island (Australia)	361	135	0%	0	3
Falkland Islands (UK)	2,967	12,173	0%	0	0.2
Svalbard (Norway)	2,701	62,049	0%	0	0.04
Greenland (Denmark)	56,375	2,166,086	0%	0	0.03
