Year	Film name	Music director	Lyricist	Language
1978	Toofani Takker	C. Ramchandra	Ram Rasila	Hindi
1978	Rangilo Rajshthan	Babu Singh	Bharat Vyas	Rajasthani
1978	Sone Ka Dil Lohe Ke Haath	Usha Khanna	Asad Bhopali	Hindi
1978	Ankhiyon Ke Jharokhon Se	Ravindra Jain	Ravindra Jain	Hindi
1978	Main Tulsi Tere Aangan Ki	Laxmikant-Pyarelal	Anand Bakshi	Hindi
1978	Madhumalti	Ravindra Jain	Ravindra Jain	Hindi
1978	Hamara Sansar	Ravindra Jain	Ravindra Jain	Hindi
1978	Ganga Sagar	Ravindra Jain	Ravindra Jain	Hindi
1978	Aakhri Kasam	Ravindra Jain	Ravindra Jain	Hindi
1978	Muqaddar Ka Sikandar	Kalyanji-Anandji	Anjaan	Hindi
1978	Saajan Bina Suhagan	Usha Khanna	Amit Khanna	Hindi
1977	Solah Shukrawar	Ravindra Jain	Ravindra Jain	Hindi
1977	Shyam Tere Kitne Naam	Ravindra Jain	Ravindra Jain	Hindi
1977	Safed Haathi	Ravindra Jain	Ravindra Jain	Hindi
1977	Paheli	Ravindra Jain	Ravindra Jain	Hindi
1977	Dulhan Wahi Jo Piya Man Bhaaye	Ravindra Jain	Ravindra Jain	Hindi
1977	Do Chehre	Sonik Omi	Bharat Vyas	Hindi
1977	Daku Aur Mahatma	Ravindra Jain	Ravindra Jain	Hindi
1977	Kotwal Saab	Ravindra Jain	Ravindra Jain	Hindi
1976	Chitchor	Ravindra Jain	Ravindra Jain	Hindi
1976	Jaaneman	Laxmikant-Pyarelal	Anand Bakshi	Hindi
1976	Fakira	Ravindra Jain	Ravindra Jain	Hindi
1976	Raeeszada	Ravindra Jain	Ravindra Jain	Hindi
1976	Noor-E-Elahi	Babloo Dheeraj	Qamar Shaad	Hindi
1976	Noor-E-Elahi	Babloo Dheeraj	Qaisar- Ul- Jafri	Hindi
1976	Chadi Jawani Budhe Nu	Ravindra Jain	S. P. Bakshi	Punjabi
1975	Geet Gata Chal	Ravindra Jain	Ravindra Jain	Hindi
1975	Salaakhen	Ravindra Jain	Ravindra Jain	Hindi
1975	Tapasya	Ravindra Jain	M G Hashmat	Hindi
1974	Raakh Aur Chingari	Ravindra Jain	Ravindra Jain	Hindi
1973	Kuchche Dhaage	Laxmikant-Pyarelal	Anand Bakshi	Hindi
1973	Bhima Mera Haathi	Vedpal Verma	Vedpal Verma	Hindi
1973	Kora Badan	Vedpal Verma	Babu Singh Maan	Hindi
1973	Ganga	N. Dutta	Aziz Kashmiri	Hindi
1973	Hum Sab Chor Hain	Usha Khanna	Asad Bhopali	Hindi
1973	Seetaram Radheshyam	N. Dutta	Madan	Hindi
1972	Shri Krishna Bhakti	Kamal Kant	Pujari	Hindi
1972	Hari Darshan	Kalyanji-Anandji	Pradeep	Hindi
1972	Bachche Mere Saathi	M. S. Vishavanathan	Vedpal Verma	Hindi
1972	Anokhi Pehchan	Kalyanji-Anandji	Anand Bakshi	Hindi
1972	Parivartan	Chand Pardesi	Neeraj	Hindi
1972	Pasand Apani Apani	Vishnu Khanna	Amar	Hindi
1972	Pasand Apani Apani	Vishnu Khanna	Shiv Kumar Saroj	Hindi
1972	Kaanch Aur Heera	Ravindra Jain	Ravindra Jain	Hindi
1971	Aap Aye Bahaar Ayee	Laxmikant-Pyarelal	Anand Bakshi	Hindi
1971	Mehboob Ki Mehndi	Laxmikant-Pyarelal	Anand Bakshi	Hindi
1971	Gehra Raaz	Salil Chowdhury	Asad Bhopali	Hindi
1971	Gehra Raaz	Salil Chowdhury	Akhtar Romani	Hindi
1971	Chhoti Bahu	Kalyanji-Anandji	Indeevar	Hindi
1971	Ladki Pasand Hai	Sonik Omi	G. L. Rawal	Hindi
1971	Narad Leela	N. Dutta	Madan	Hindi
1971	Achha Bura	Raj Kamal	Asad Bhopali	Hindi
1971	Shan-E-Khuda	Iqbal Qureshi	Kaifi Azmi	Hindi
1971	Dost Aur Dushman	Raj Kamal	Asad Bhopali	Hindi
1971	Irada	Mohammed D Shafi	Qafil Azar	Hindi
1971	Darar	Sudhir Phadke	Mahendra Dehlvi	Hindi
