No.1	No.2	No.3	No.4	No.5	No.6	No.7	No.8	No.9	No.10	No.11	No.12	No.13	No.14	No.15	FINAL
Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Margarida Ricardo B.	Filipa Margarida	Evicted (Day 66)	Evicted (Day 66)	Evicted (Day 66)	Evicted (Day 66)	Evicted (Day 66)	Evicted (Day 66)	Evicted (Day 66)
Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Not in house	Tatiana	Walked (Day 63)	Walked (Day 63)	Walked (Day 63)	Walked (Day 63)	Walked (Day 63)	Walked (Day 63)	Walked (Day 63)	Walked (Day 63)
No Nominations	Joel Nando	Carla Nando	Carla Nando	Carla Joel	Nando Tatiana	Nando Ricardo B.	Nando Thiago	Evicted (Day 59)	Evicted (Day 59)	Evicted (Day 59)	Evicted (Day 59)	Evicted (Day 59)	Evicted (Day 59)	Evicted (Day 59)	Evicted (Day 59)
No Nominations	Alzira Ricardo M.	Ricardo M. Tatiana	Carla Ricardo M.	Carla Tatiana	Nando Tatiana	Nando Tatiana	Filipa Nando	Walked (Day 59)	Walked (Day 59)	Walked (Day 59)	Walked (Day 59)	Walked (Day 59)	Walked (Day 59)	Walked (Day 59)	Walked (Day 59)
No Nominations	Alzira Fernando	Fernando	Carla Ricardo M.	Carla Zé	Lara Tatiana	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)	Evicted (Day 38)
No Nominations	Tatiana	Ricardo B. Tatiana	Diana Zé	Diana Tatiana	Evicted (Day 31)	Evicted (Day 31)	Evicted (Day 31)	Evicted (Day 31)	Evicted (Day 31)	Evicted (Day 31)	Evicted (Day 31)	Evicted (Day 31)	Evicted (Day 31)	Evicted (Day 31)	Evicted (Day 31)
No Nominations	Alzira Ricardo B.	Ricardo B. Tatiana	Diana Zé	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)	Evicted (Day 24)
No Nominations	Alzira Ricardo M.	Diana Tatiana	Evicted (Day 17)	Evicted (Day 17)	Evicted (Day 17)	Evicted (Day 17)	Evicted (Day 17)	Evicted (Day 17)	Evicted (Day 17)	Evicted (Day 17)	Evicted (Day 17)	Evicted (Day 17)	Evicted (Day 17)	Evicted (Day 17)	Evicted (Day 17)
No Nominations	Ricardo B. Zé	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)	Evicted (Day 10)
No Nominations	Evicted (Day 5)	Evicted (Day 5)	Evicted (Day 5)	Evicted (Day 5)	Evicted (Day 5)	Evicted (Day 5)	Evicted (Day 5)	Evicted (Day 5)	Evicted (Day 5)	Evicted (Day 5)	Evicted (Day 5)	Evicted (Day 5)	Evicted (Day 5)	Evicted (Day 5)	Evicted (Day 5)
All housemates	Alzira Ricardo M. Tatiana	Carla Fernando Ricardo B. Ricardo M. Tatiana	Raquel Ricardo M. Zé	Carla Raquel Tatiana	Lara Nando Raquel Tatiana	Diana Joel Nando	Diana Rubén Tatiana	Margarida Rubén Tatiana Thiago	Joel Margarida Tania Thiago	Catarina Filipa Margarida Nando Ricardo B. Tania	Margarida Tania Tatiana	Filipa Tania Tatiana	All housemates	All housemates	All housemates
Zelia	Alzira	Fernando	Ricardo M.	Carla	Raquel	Joel	Diana	Rubén	Joel	Catarina	Margarida	Filipa	Thiago	Tania	Ricardo B.
Zelia	Alzira	Fernando	Ricardo M.	Carla	Raquel	Joel	Diana	Rubén	Joel	Catarina	Margarida	Filipa	Thiago	Tania	Tatiana
Zelia	Alzira	Fernando	Ricardo M.	Carla	Raquel	Joel	Diana	Rubén	Joel	Catarina	Margarida	Filipa	Thiago	Tania	Nando
