Rank	Name	Country	Leader's jerseys	Vuelta Wins	Points	Years
156=	Michele Dancelli	Italy	1	0	0	1967
156=	Gino De Bakker	Belgium	1	0	0	1989
156=	Stijn Devolder	Belgium	1	0	0	2007
156=	Antoine Dignef	Belgium	1	0	0	1935
156=	Antonio Escuriet	Spain	1	0	0	1935
156=	Cadel Evans	Australia	1	0	0	2009
156=	José Martín Farfán	Colombia	1	0	0	1989
156=	Chris Froome	United Kingdom	1	0	0	2011
156=	Jakob Fuglsang	Denmark	1	0	0	2011
156=	Jesús Galdeano	Spain	1	0	0	1960
156=	Frans Gielen	Belgium	1	0	0	1948
156=	Aitor González	Spain	1	1	0	2002
156=	Santos González	Spain	1	0	0	2000
156=	Max van Heeswijk	Netherlands	1	0	0	2004
156=	Joseph Huts	Belgium	1	0	0	1936
156=	Julio Jiménez	Spain	1	0	0	1964
156=	Pablo Lastras	Spain	1	0	0	2011
156=	François Mahé	France	1	0	0	1961
156=	Thierry Marie	France	1	0	0	1986
156=	Antonio Martín	Spain	1	0	0	1946
156=	Gabriel Mas	Spain	1	0	0	1960
156=	Bauke Mollema	Netherlands	1	0	1	2011
156=	Carmelo Morales	Spain	1	0	0	1957
156=	Daniel Moreno	Spain	1	0	0	2013
156=	Francisco Moreno	Spain	1	0	0	1957
156=	Jelle Nijdam	Netherlands	1	0	0	1992
156=	Joaquín Olmos	Spain	1	0	0	1946
156=	Miguel Pacheco	Spain	1	0	0	1958
156=	Gianluca Pianegonda	Italy	1	0	0	1995
156=	Manuel Martín Piñera	Spain	1	0	0	1968
156=	Filippo Pozzato	Italy	1	0	0	2008
156=	Nicolas Roche	Ireland	1	0	0	2013
156=	José María López Rodríguez	Spain	1	0	0	1967
156=	Carlos Sastre	Spain	1	0	0	2006
156=	Modesto Urrutibeazcoa	Spain	1	0	0	1988
156=	Benny Van Brabant	Belgium	1	0	0	1989
156=	Rik Van Steenbergen	Belgium	1	0	1	1956
156=	Jean-Luc Vandenbroucke	Belgium	1	0	0	1987
156=	Jesús Blanco Villar	Spain	1	0	0	1986
156=	Josef Vloebergh	Belgium	1	0	0	1959
156=	Herminio Díaz Zabala	Spain	1	0	0	1991
156=	Mikel Zarrabeitia	Spain	1	0	0	2002
