Date	Visitor	Score	Home	Record
February 18	Columbus Blue Jackets	1–3	Mighty Ducks of Anaheim	17–30–8–4
February 20	Columbus Blue Jackets	2–3	Phoenix Coyotes	17–31–8–4
February 21	Columbus Blue Jackets	3–4	Los Angeles Kings	17–32–8–4
February 23	Columbus Blue Jackets	2–4	San Jose Sharks	17–33–8–4
February 25	Chicago Blackhawks	4–3	Columbus Blue Jackets	17–34–8–4
February 27	Columbus Blue Jackets	4–3	Chicago Blackhawks	18–34–8–4
February 28	Colorado Avalanche	4–5	Columbus Blue Jackets	19–34–8–4
March 2	Columbus Blue Jackets	3–0	Carolina Hurricanes	20–34–8–4
March 3	Columbus Blue Jackets	2–4	Dallas Stars	20–35–8–4
March 6	Vancouver Canucks	4–0	Columbus Blue Jackets	20–36–8–4
March 8	Carolina Hurricanes	4–1	Columbus Blue Jackets	20–37–8–4
March 11	Detroit Red Wings	4–2	Columbus Blue Jackets	20–38–8–4
March 13	Columbus Blue Jackets	3–5	St. Louis Blues	20–39–8–4
March 14	Columbus Blue Jackets	2–3	Minnesota Wild	20–40–8–4
March 16	Columbus Blue Jackets	2–3	Edmonton Oilers	20–41–8–4
March 18	Columbus Blue Jackets	0–2	Calgary Flames	20–42–8–4
March 21	Columbus Blue Jackets	5–4	Vancouver Canucks	21–42–8–4
March 24	Minnesota Wild	0–2	Columbus Blue Jackets	22–42–8–4
March 26	Mighty Ducks of Anaheim	1–3	Columbus Blue Jackets	23–42–8–4
March 27	Columbus Blue Jackets	3–2	Nashville Predators	24–42–8–4
March 29	Columbus Blue Jackets	0–6	Buffalo Sabres	24–43–8–4
March 31	Detroit Red Wings	3–2	Columbus Blue Jackets	24–44–8–4
April 2	Colorado Avalanche	4–2	Columbus Blue Jackets	24–45–8–4
April 3	Columbus Blue Jackets	4–1	Detroit Red Wings	25–45–8–4
