Country	KEI	KI	Economic Incentive Regime	Innovation	Education	ICT	2008 Rank
Tunisia	4.73	4.56	5.26	4.58	4.10	5.00	71
Panama	4.69	4.45	5.39	5.45	4.86	3.04	72
Georgia	4.69	5.07	3.54	5.38	5.97	3.85	73
Peru	4.64	4.86	3.98	3.88	5.57	5.12	74
Mongolia	4.50	4.28	5.18	2.06	6.31	4.46	75
Colombia	4.42	4.62	3.83	4.26	4.79	4.80	76
China	4.35	4.46	4.01	5.12	4.11	4.16	77
Guyana	4.31	4.97	2.33	4.47	5.80	4.64	78
Philippines	4.25	4.02	4.95	3.63	4.76	3.66	79
Venezuela	4.23	5.47	0.51	5.73	5.27	5.41	80
Namibia	4.19	3.20	7.14	3.30	2.57	3.74	81
Sri Lanka	4.16	4.07	4.44	4.44	4.91	2.85	82
Albania	4.04	4.08	3.91	3.10	4.94	4.20	83
Egypt	4.03	4.19	3.57	4.55	4.35	3.66	84
Botswana	3.96	3.50	5.34	4.34	2.58	3.59	85
Dominican Republic	3.92	3.81	4.24	2.91	4.11	4.42	86
El Salvador	3.91	3.65	4.70	3.19	3.26	4.50	87
Azerbaijan	3.81	3.93	3.42	3.05	5.03	3.73	88
Kyrgyzstan	3.74	3.90	3.25	2.70	6.25	2.75	89
Paraguay	3.62	3.87	2.87	3.47	4.20	3.93	90
Ecuador	3.46	4.08	1.58	3.55	3.77	4.93	91
Morocco	3.45	3.33	3.80	3.67	2.00	4.32	92
Bolivia	3.42	3.63	2.78	3.05	4.76	3.09	93
Iran	3.39	4.13	1.18	3.02	3.89	5.48	94
Uzbekistan	3.28	4.03	1.03	3.51	6.17	2.40	95
Algeria	3.25	3.50	2.53	3.48	3.64	3.37	96
Cape Verde	3.24	3.05	3.81	2.25	2.96	3.96	97
Indonesia	3.23	3.19	3.36	3.32	3.42	2.82	98
Honduras	3.21	3.18	3.30	3.30	3.17	3.06	99
India	3.12	2.94	3.67	3.97	2.26	2.59	100
Guatemala	3.11	2.88	3.78	2.47	2.21	3.97	101
Vietnam	3.02	3.08	2.85	2.83	3.32	3.08	102
Swaziland	2.93	3.05	2.56	4.55	1.73	2.88	103
Syrian Arab Republic	2.90	3.34	1.55	3.44	2.91	3.68	104
Nicaragua	2.87	2.64	3.57	1.99	2.93	3.02	105
Kenya	2.82	2.65	3.31	3.87	1.49	2.60	106
Tajikistan	2.79	2.93	2.37	2.33	5.34	1.10	107
Senegal	2.63	2.15	4.07	2.77	0.92	2.75	108
Zimbabwe	2.51	3.25	0.29	4.09	2.38	3.29	109
Ghana	2.50	2.00	3.97	2.08	1.80	2.13	110
Uganda	2.46	1.93	4.04	2.72	1.16	1.92	111
Madagascar	2.37	1.51	4.93	2.54	0.76	1.25	112
Mauritania	2.35	1.83	3.89	1.75	0.94	2.80	113
Tanzania	2.28	1.72	3.98	2.39	1.05	1.70	114
Pakistan	2.24	2.18	2.43	2.75	1.07	2.72	115
Lesotho	2.15	1.99	2.65	2.70	1.73	1.53	116
Benin	2.10	1.80	3.00	2.33	1.14	1.93	117
Nigeria	2.04	2.33	1.16	2.72	1.87	2.41	118
Yemen	1.80	1.83	1.72	1.68	1.83	1.99	119
Mali	1.78	1.18	3.58	1.69	0.66	1.19	120
Mozambique	1.71	1.20	3.24	1.86	0.33	1.41	121
Angola	1.70	1.67	1.76	2.44	0.88	1.70	122
Cameroon	1.69	1.85	1.20	2.49	1.36	1.70	123
Burkina Faso	1.64	1.11	3.24	2.15	0.26	0.93	124
Nepal	1.61	1.46	2.06	2.04	1.50	0.84	125
Malawi	1.55	1.17	2.71	2.11	0.87	0.53	126
Laos	1.53	1.68	1.08	1.43	2.01	1.59	127
Bangladesh	1.49	1.63	1.10	1.71	1.52	1.66	128
Myanmar	1.48	1.52	1.35	1.17	2.58	0.82	129
Rwanda	1.34	0.85	2.80	1.47	0.35	0.74	130
Ethiopia	1.18	0.93	1.95	1.57	0.73	0.48	131
Djibouti	1.15	1.14	1.19	1.29	0.49	1.63	132
Eritrea	1.07	1.20	0.68	1.56	0.81	1.22	133
Sierra Leone	0.91	0.92	0.87	1.70	0.67	0.39	134
Bosnia and Herzegovina	n/a	n/a	4.24	3.29	n/a	5.33	135
Serbia and Montenegro	n/a	n/a	3.46	4.85	n/a	5.59	136
Haiti	n/a	n/a	1.29	1.15	n/a	1.57	137
Côte d'Ivoire	n/a	n/a	0.57	2.52	n/a	2.30	138
Sudan	n/a	n/a	0.61	1.97	n/a	3.84	139
