Driver	AAA (1902–1955)	USAC (1956–1995)	CART (1979–2003)	Champ Car World Series (2004–2007)	IZOD IndyCar Series (1996–present)	Combined Total
Dave Lewis Category:Articles with hCards	5	0	0	0	0	5
Bennett Hill Category:Articles with hCards	5	0	0	0	0	5
Frank Elliott Category:Articles with hCards	5	0	0	0	0	5
Eddie Pullen Category:Articles with hCards	5	0	0	0	0	5
Ray Keech Category:Articles with hCards	5	0	0	0	0	5
Bryan Herta Category:Articles with hCards	0	0	2	0	2	4
Jim Hurtubise Category:Articles with hCards	0	4	0	0	0	4
Jack McGrath Category:Articles with hCards	4	0	0	0	0	4
Sam Hanks Category:Articles with hCards	3	1	0	0	0	4
Bob Sweikert Category:Articles with hCards	4	0	0	0	0	4
Chuck Stevenson Category:Articles with hCards	4	0	0	0	0	4
Hughie Hughes Category:Articles with hCards	4	0	0	0	0	4
Myron Fohr Category:Articles with hCards	4	0	0	0	0	4
Ray Harroun Category:Articles with hCards	4	0	0	0	0	4
Leon Duray Category:Articles with hCards	4	0	0	0	0	4
Shorty Cantlon Category:Articles with hCards	4	0	0	0	0	4
Louis Disbrow Category:Articles with hCards	4	0	0	0	0	4
Al Rogers Category:Articles with hCards	4	0	0	0	0	4
Billy Winn Category:Articles with hCards	4	0	0	0	0	4
Bill Vukovich Category:Articles with hCards	4	0	0	0	0	4
Kelly Petillo Category:Articles with hCards	4	0	0	0	0	4
James Hinchcliffe Category:Articles with hCards	0	0	0	0	3	3
Buddy Rice Category:Articles with hCards	0	0	0	0	3	3
Tony Stewart Category:Articles with hCards	0	0	0	0	3	3
André Ribeiro Category:Articles with hCards	0	0	3	0	0	3
Max Papis Category:Articles with hCards	0	0	3	0	0	3
Mark Blundell Category:Articles with hCards	0	0	3	0	0	3
George Amick Category:Articles with hCards	0	3	0	0	0	3
Len Sutton Category:Articles with hCards	0	3	0	0	0	3
Mark Donohue Category:Articles with hCards	0	3	0	0	0	3
Jim Rathmann Category:Articles with hCards	0	3	0	0	0	3
Pat Flaherty Category:Articles with hCards	1	2	0	0	0	3
Joe Boyer Category:Articles with hCards	3	0	0	0	0	3
Gil Andersen Category:Articles with hCards	3	0	0	0	0	3
Gaston Chevrolet Category:Articles with hCards	3	0	0	0	0	3
Bill Holland Category:Articles with hCards	3	0	0	0	0	3
Bert Dingley Category:Articles with hCards	3	0	0	0	0	3
Eddie O'Donnell Category:Articles with hCards	3	0	0	0	0	3
Charlie Merz Category:Articles with hCards	3	0	0	0	0	3
Howdy Wilcox Category:Articles with hCards	3	0	0	0	0	3
Walt Faulkner Category:Articles with hCards	3	0	0	0	0	3
Cliff Durant Category:Articles with hCards	3	0	0	0	0	3
Jimmy Davies Category:Articles with hCards	3	0	0	0	0	3
Teddy Tetzlaff Category:Articles with hCards	3	0	0	0	0	3
Billy Arnold Category:Articles with hCards	3	0	0	0	0	3
Bill Endicott Category:Articles with hCards	3	0	0	0	0	3
Robert Doornbos Category:Articles with hCards	0	0	0	2	0	2
Robbie Buhl Category:Articles with hCards	0	0	0	0	2	2
Tomas Scheckter Category:Articles with hCards	0	0	0	0	2	2
Scott Pruett Category:Articles with hCards	0	0	2	0	0	2
Roberto Guerrero Category:Articles with hCards	0	0	2	0	0	2
Alex Barron Category:Articles with hCards	0	0	0	0	2	2
Marco Andretti Category:Articles with hCards	0	0	0	0	2	2
Mike Conway Category:Articles with hCards	0	0	0	0	2	2
Simon Pagenaud Category:Articles with hCards	0	0	0	0	2	2
John Paul, Jr. Category:Articles with hCards	0	0	1	0	1	2
Roberto Moreno Category:Articles with hCards	0	0	2	0	0	2
Christian Fittipaldi Category:Articles with hCards	0	0	2	0	0	2
Michel Jourdain, Jr. Category:Articles with hCards	0	0	2	0	0	2
Robby Gordon Category:Articles with hCards	0	0	2	0	0	2
Mario Domínguez Category:Articles with hCards	0	0	2	0	0	2
Art Pollard Category:Articles with hCards	0	2	0	0	0	2
Pat O'Connor Category:Articles with hCards	0	2	0	0	0	2
Jim Clark Category:Articles with hCards	0	2	0	0	0	2
Paul Russo Category:Articles with hCards	2	0	0	0	0	2
Manny Ayulo Category:Articles with hCards	2	0	0	0	0	2
Tom Alley Category:Articles with hCards	2	0	0	0	0	2
Joe Dawson Category:Articles with hCards	2	0	0	0	0	2
Bob McDonogh Category:Articles with hCards	2	0	0	0	0	2
Joe Thomas Category:Articles with hCards	2	0	0	0	0	2
I. P. Fetterman Category:Articles with hCards	2	0	0	0	0	2
Louis Unser Category:Articles with hCards	2	0	0	0	0	2
Cliff Woodbury Category:Articles with hCards	2	0	0	0	0	2
Lou Moore Category:Articles with hCards	2	0	0	0	0	2
Babe Stapp Category:Articles with hCards	2	0	0	0	0	2
Lee Wallard Category:Articles with hCards	2	0	0	0	0	2
Harry Grant Category:Articles with hCards	2	0	0	0	0	2
Barney Oldfield Category:Articles with hCards	2	0	0	0	0	2
George Robertson Category:Articles with hCards	2	0	0	0	0	2
Tom Kincaid Category:Articles with hCards	2	0	0	0	0	2
Mel Hansen Category:Articles with hCards	2	0	0	0	0	2
Bob Carey Category:Articles with hCards	2	0	0	0	0	2
Harlan Fengler Category:Articles with hCards	2	0	0	0	0	2
Pietro Bordino Category:Articles with hCards	2	0	0	0	0	2
Harvey Herrick Category:Articles with hCards	2	0	0	0	0	2
Troy Ruttman Category:Articles with hCards	2	0	0	0	0	2
Ed Carpenter Category:Articles with hCards	0	0	0	0	2	2
Jeff Ward Category:Articles with hCards	0	0	0	0	1	1
Billy Boat Category:Articles with hCards	0	0	0	0	1	1
Felipe Giaffone Category:Articles with hCards	0	0	0	0	1	1
Mark Dismore Category:Articles with hCards	0	0	0	0	1	1
Eliseo Salazar Category:Articles with hCards	0	0	0	0	1	1
Sam Schmidt Category:Articles with hCards	0	0	0	0	1	1
Buzz Calkins Category:Articles with hCards	0	0	0	0	1	1
Airton Dare Category:Articles with hCards	0	0	0	0	1	1
Jaques Lazier Category:Articles with hCards	0	0	0	0	1	1
Richie Hearn Category:Articles with hCards	0	0	0	0	1	1
Jim Guthrie Category:Articles with hCards	0	0	0	0	1	1
Graham Rahal Category:Articles with hCards	0	0	0	0	1	1
Danica Patrick Category:Articles with hCards	0	0	0	0	1	1
Takuma Sato Category:Articles with hCards	0	0	0	0	1	1
Charlie Kimball Category:Articles with hCards	0	0	0	0	1	1
Oriol Servià Category:Articles with hCards	0	0	0	1	0	1
Alex Tagliani Category:Articles with hCards	0	0	0	1	0	1
Nelson Philippe Category:Articles with hCards	0	0	0	1	0	1
Mauricio Gugelmin Category:Articles with hCards	0	0	1	0	0	1
Kevin Cogan Category:Articles with hCards	0	0	1	0	0	1
Pancho Carter Category:Articles with hCards	0	0	1	0	0	1
Hector Rebaque Category:Articles with hCards	0	0	1	0	0	1
John Andretti Category:Articles with hCards	0	0	1	0	0	1
Bill Vukovich II Category:Articles with hCards	0	1	0	0	0	1
Bobby Marshman Category:Articles with hCards	0	1	0	0	0	1
Swede Savage Category:Articles with hCards	0	1	0	0	0	1
Keith Kauffman Category:Articles with hCards	0	1	0	0	0	1
Graham Hill Category:Articles with hCards	0	1	0	0	0	1
Van Johnson Category:Articles with hCards	0	1	0	0	0	1
George Snider Category:Articles with hCards	0	1	0	0	0	1
Bud Tingelstad Category:Articles with hCards	0	1	0	0	0	1
Elmer George Category:Articles with hCards	0	1	0	0	0	1
Wes Vandervoort Category:Articles with hCards	0	1	0	0	0	1
Bobby Grim Category:Articles with hCards	0	1	0	0	0	1
Peter Revson Category:Articles with hCards	0	1	0	0	0	1
Rich Vogler Category:Articles with hCards	0	1	0	0	0	1
Dick Atkins Category:Articles with hCards	0	1	0	0	0	1
Jim Packard Category:Articles with hCards	0	1	0	0	0	1
Larry Rice Category:Articles with hCards	0	1	0	0	0	1
Ronnie Bucknum Category:Articles with hCards	0	1	0	0	0	1
Art Bisch Category:Articles with hCards	0	1	0	0	0	1
Bobby Olivero Category:Articles with hCards	0	1	0	0	0	1
George Follmer Category:Articles with hCards	0	1	0	0	0	1
Emil Andres Category:Articles with hCards	1	0	0	0	0	1
Henry Banks Category:Articles with hCards	1	0	0	0	0	1
Bill Schindler Category:Articles with hCards	1	0	0	0	0	1
Louis Nikrent Category:Articles with hCards	1	0	0	0	0	1
Mike Nazaruk Category:Articles with hCards	1	0	0	0	0	1
Ira Vail Category:Articles with hCards	1	0	0	0	0	1
Fred Comer Category:Articles with hCards	1	0	0	0	0	1
William Carlson Category:Articles with hCards	1	0	0	0	0	1
Fred Frame Category:Articles with hCards	1	0	0	0	0	1
Spencer Wishart Category:Articles with hCards	1	0	0	0	0	1
Duke Dinsmore Category:Articles with hCards	1	0	0	0	0	1
Earl Devore Category:Articles with hCards	1	0	0	0	0	1
Al Livingstone Category:Articles with hCards	1	0	0	0	0	1
Joe Nikrent Category:Articles with hCards	1	0	0	0	0	1
Don Herr Category:Articles with hCards	1	0	0	0	0	1
Erwin Bergdoll Category:Articles with hCards	1	0	0	0	0	1
Jimmy Snyder Category:Articles with hCards	1	0	0	0	0	1
Herbert Lytle Category:Articles with hCards	1	0	0	0	0	1
Walt Brown Category:Articles with hCards	1	0	0	0	0	1
Glover Ruckstell Category:Articles with hCards	1	0	0	0	0	1
John Jenkins Category:Articles with hCards	1	0	0	0	0	1
Harris Hanshue Category:Articles with hCards	1	0	0	0	0	1
Charles Van Acker Category:Articles with hCards	1	0	0	0	0	1
Norman Batten Category:Articles with hCards	1	0	0	0	0	1
Jimmy Gleason Category:Articles with hCards	1	0	0	0	0	1
Leigh Lynch Category:Articles with hCards	1	0	0	0	0	1
Webb Jay Category:Articles with hCards	1	0	0	0	0	1
George Robson Category:Articles with hCards	1	0	0	0	0	1
Pete Henderson Category:Articles with hCards	1	0	0	0	0	1
Stubby Stubblefield Category:Articles with hCards	1	0	0	0	0	1
George Connor Category:Articles with hCards	1	0	0	0	0	1
Mortimer Roberts Category:Articles with hCards	1	0	0	0	0	1
Lewis Strang Category:Articles with hCards	1	0	0	0	0	1
Rene Thomas Category:Articles with hCards	1	0	0	0	0	1
Keith Andrews Category:Articles with hCards	1	0	0	0	0	1
Len Zengel Category:Articles with hCards	1	0	0	0	0	1
Arthur See Category:Articles with hCards	1	0	0	0	0	1
Bobby Ball Category:Articles with hCards	1	0	0	0	0	1
Floyd Roberts Category:Articles with hCards	1	0	0	0	0	1
Willie Knipper Category:Articles with hCards	1	0	0	0	0	1
Jack Fleming Category:Articles with hCards	1	0	0	0	0	1
Walt Ader Category:Articles with hCards	1	0	0	0	0	1
David L. Bruce-Brown Category:Articles with hCards	1	0	0	0	0	1
George Hill Category:Articles with hCards	1	0	0	0	0	1
William Taylor Category:Articles with hCards	1	0	0	0	0	1
Phil Shafer Category:Articles with hCards	1	0	0	0	0	1
Bob Finney Category:Articles with hCards	1	0	0	0	0	1
Jules Goux Category:Articles with hCards	1	0	0	0	0	1
Johnny Mantz Category:Articles with hCards	1	0	0	0	0	1
Louis Schneider Category:Articles with hCards	1	0	0	0	0	1
Armour Ferguson Category:Articles with hCards	1	0	0	0	0	1
George Souders Category:Articles with hCards	1	0	0	0	0	1
Guy Vaughn Category:Articles with hCards	1	0	0	0	0	1
Bruce Keen Category:Articles with hCards	1	0	0	0	0	1
Fred Agabashian Category:Articles with hCards	1	0	0	0	0	1
George Hammond Category:Articles with hCards	1	0	0	0	0	1
Floyd Davis Category:Articles with hCards	1	0	0	0	0	1
Joe Matson Category:Articles with hCards	1	0	0	0	0	1
Charlie Arnold Category:Articles with hCards	1	0	0	0	0	1
William Sharp Category:Articles with hCards	1	0	0	0	0	1
Lora L. Corum Category:Articles with hCards	1	0	0	0	0	1
Dave Buck Category:Articles with hCards	1	0	0	0	0	1
George Joerimann Category:Articles with hCards	1	0	0	0	0	1
Charles Bigelow Category:Articles with hCards	1	0	0	0	0	1
Frank Gelnaw Category:Articles with hCards	1	0	0	0	0	1
Tazio Nuvolari Category:Articles with hCards	1	0	0	0	0	1
Howard Covey Category:Articles with hCards	1	0	0	0	0	1
Eaton McMillan Category:Articles with hCards	1	0	0	0	0	1
Bernd Rosemeyer Category:Articles with hCards	1	0	0	0	0	1
Frank Lescault Category:Articles with hCards	1	0	0	0	0	1
