Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1983	November 6	Neil Bonnett	RahMoc Enterprises	Chevrolet	328	499.216 (803.41)	3:37:37	137.643	Report
1984	November 11	Dale Earnhardt	Richard Childress Racing	Chevrolet	328	499.216 (803.41)	3:42:31	134.61	Report
1985	November 3	Bill Elliott	Melling Racing	Ford	328	499.216 (803.41)	3:34:34	139.597	Report
1986	November 2	Dale Earnhardt	Richard Childress Racing	Chevrolet	328	499.216 (803.41)	3:15:22	152.523	Report
1987	November 22	Bill Elliott	Melling Racing	Ford	328	499.216 (803.41)	3:35:25	139.047	Report
1988	November 20	Rusty Wallace	Blue Max Racing	Pontiac	328	499.216 (803.41)	3:52:09	129.024	Report
1989	November 19	Dale Earnhardt	Richard Childress Racing	Chevrolet	328	499.216 (803.41)	3:33:36	140.229	Report
1990	November 18	Morgan Shepherd	Bud Moore Engineering	Ford	328	499.216 (803.41)	3:32:34	140.911	Report
1991	November 17	Mark Martin	Roush Racing	Ford	328	499.216 (803.41)	3:37:06	137.968	Report
1992	November 15	Bill Elliott	Junior Johnson & Associates	Ford	328	499.216 (803.41)	3:44:20	133.322	Report
1993	November 14	Rusty Wallace	Penske Racing	Pontiac	328	499.216 (803.41)	3:59:12	125.221	Report
1994	November 13	Mark Martin	Roush Racing	Ford	328	499.216 (803.41)	3:21:03	148.982	Report
1995	November 12	Dale Earnhardt	Richard Childress Racing	Chevrolet	328	499.216 (803.41)	3:03:03	163.633	Report
1996	November 10	Bobby Labonte	Joe Gibbs Racing	Chevrolet	328	499.216 (803.41)	3:39:13	134.661	Report
1997	November 16	Bobby Labonte	Joe Gibbs Racing	Pontiac	325	500.5 (805.476)	3:07:48	159.904	Report
1998	November 8	Jeff Gordon	Hendrick Motorsports	Chevrolet	221*	340.34 (547.724)	2:57:42	114.915	Report
1999	November 21	Bobby Labonte	Joe Gibbs Racing	Pontiac	325	500.5 (805.476)	3:37:43	137.932	Report
2000	November 20*	Jerry Nadeau	Hendrick Motorsports	Chevrolet	325	500.5 (805.476)	3:32:32	141.296	Report
2001	November 18	Bobby Labonte	Joe Gibbs Racing	Pontiac	325	500.5 (805.476)	3:17:53	151.756	Report
2002	October 27	Kurt Busch	Roush Racing	Ford	248*	381.92 (614.64)	2:59:42	127.519	Report
2003	October 26/27*	Jeff Gordon	Hendrick Motorsports	Chevrolet	325	500.5 (805.476)	3:55:02	127.769	Report
2004	October 31	Jimmie Johnson	Hendrick Motorsports	Chevrolet	325	500.5 (805.476)	3:25:54	145.847	Report
2005	October 30	Carl Edwards	Roush Racing	Ford	325	500.5 (805.476)	3:24:31	146.834	Report
2006	October 29	Tony Stewart	Joe Gibbs Racing	Chevrolet	325	500.5 (805.476)	3:29:23	143.421	Report
2007	October 28	Jimmie Johnson	Hendrick Motorsports	Chevrolet	329*	506.66 (815.39)	3:44:45	135.26	Report
2008	October 26	Carl Edwards	Roush Fenway Racing	Ford	325	500.5 (805.476)	3:43:39	134.272	Report
2009	September 6	Kasey Kahne	Richard Petty Motorsports	Dodge	325	500.5 (805.476)	3:44:03	134.033	Report
2010	September 5	Tony Stewart	Stewart-Haas Racing	Chevrolet	325	500.5 (805.476)	3:52:43	129.041	Report
2011	September 6*	Jeff Gordon	Hendrick Motorsports	Chevrolet	325	500.5 (805.476)	4:00:58	124.623	Report
2012	September 2	Denny Hamlin	Joe Gibbs Racing	Toyota	327*	503.58 (810.433)	3:32:45	142.02	Report
