City	Province	Country	IATA	ICAO	Airport
Qingyang	Gansu	China	IQN	ZLQY	Qingyang Airport
Saint-Petersburg	—	Russia	LED	ULLI	Pulkovo Airport
Sanya	Hainan	China	SYX	ZJSY	Sanya Phoenix International Airport
Shanghai	Shanghai	China	SHA	ZSPD	Hongqiao International Airport
Shanghai	Shanghai	China	PVG	ZSSS	Pudong International Airport
Shantou	Guangdong	China	SWA	ZGOW	Chaoshan Airport
Shenyang	Liaoning	China	SHE	ZYTX	Taoxian International Airport
Shenzhen	Guangdong	China	SZX	ZGSC	Bao'an International Airport
Shijiazhuang	Hebei	China	SJW	ZSHC	Shijiazhuang Daguocun International Airport
Seattle	—	United States	SEA	KSEA	Seattle-Tacoma International Airport
Singapore	—	Singapore	SIN	WSSS	Singapore Changi Airport
Sydney	—	Australia	SYD	YSSY	Sydney Airport
Taipei	—	Taiwan	TPE	RCTP	Taiwan Taoyuan International Airport
Taiyuan	Shanxi	China	TYN	ZBYN	Taiyuan Wusu International Airport
Tangshan	Hebei	China	TVS	—	Tangshan Sannühe Airport
Tianjin	Tianjin	China	TSN	ZBTJ	Binhai International Airport
Tongliao	Inner Mongolia	China	TGO	ZBTL	Tongliao Airport
Toronto	—	Canada	YYZ	CYYZ	Toronto Pearson International Airport
Ulanhot	Inner Mongolia	China	HLH	ZBUL	Ulanhot Airport
Urumqi	Xinjiang	China	URC	ZWWW	Diwopu International Airport
Weifang	Shandong	China	WEF	ZSWF	Weifang Airport
Wenzhou	Zhejiang	China	WNZ	ZSWZ	Yongqiang Airport
Wuhai	Inner Mongolia	China	WUA	ZBUH	Wuhai Airport
Wuhan	Hebei	China	WUH	ZHHH	Tianhe International Airport
Xiamen	Fujian	China	XMN	ZSAM	Gaoqi International Airport
Xi'an	Shaanxi	China	XIY	ZLXY	Xianyang International Airport
Xiangyang	Hubei	China	XFN	ZHXF	Xiangyang Liuji Airport
Xining	Qinghai	China	XNN	ZLXN	Xining Caojiabu Airport
Xuzhou	Jiangsu	China	XUZ	ZSXZ	Xuzhou Airport
Yan'an	Shaanxi	China	ENY	ZLYA	Yan'an Ershilipu Airport
Yancheng	Jiangsu	China	YNZ	ZSYN	Yancheng Airport
Yangzhou	Jiangsu	China	YTY	ZSYA	Yangzhou Taizhou Airport
Yichang	Hubei	China	YIH	ZHYC	Yichang Airport
Yinchuan	Ningxia	China	INC	ZLIC	Yinchuan Hedong Airport
Yulin	Shaanxi	China	UYN	ZLYL	Yulin Yuyang Airport
Yuncheng	Shanxi	China	YCU	ZBYC	Yuncheng Guangong Airport
Zhanjiang	Guangdong	China	ZHA	ZGZJ	Zhanjiang Airport
Zhengzhou	Henan	China	CGO	ZHCC	Xinzheng International Airport
Zhuhai	Guangdong	China	ZUH	ZGSD	Zhuhai Jinwan Airport
Zurich	—	Switzerland	ZRH	LSZH	Zurich Airport
