Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Winner	1982	Brussels , Belgium	Hard (i)	Sherwood Stewart	Tracy Delatte Chris Dunk	6–4, 6–7, 7–5
Winner	1982	Madrid , Spain	Clay	Tomáš Šmíd	Heinz Günthardt Balázs Taróczy	6–1, 3–6, 9–7
Winner	1982	Hamburg , Germany	Clay	Tomáš Šmíd	Anders Järryd Hans Simonsson	6–4, 6–3
Runner-up	1982	Kitzbühel , Austria	Clay	Rod Frawley	Mark Edmondson Kim Warwick	6–4, 4–6, 3–6
Runner-up	1982	Cap d'Agde WCT , France	Clay	Tomáš Šmíd	Andy Andrews Drew Gitlin	2–6, 4–6
Winner	1982	Geneva , Switzerland	Clay	Tomáš Šmíd	Carl Limberger Mike Myburg	6–4, 6–0
Runner-up	1982	Basel , Switzerland	Hard (i)	Fritz Buehning	Henri Leconte Yannick Noah	2–6, 2–6
Winner	1982	Vienna , Austria	Carpet	Henri Leconte	Mark Dickson Terry Moor	6–1, 7–6
Winner	1982	Dortmund WCT , Germany	Carpet	Tomáš Šmíd	Mike Cahill Francisco González	6–2, 6–7, 6–1
Winner	1982	Toulouse , France	Hard (i)	Tomáš Šmíd	Jean-Louis Haillet Yannick Noah	6–4, 6–4
Winner	1983	Richmond WCT , U.S.	Carpet	Tomáš Šmíd	Fritz Buehning Brian Teacher	6–2, 6–4
Winner	1983	Delray Beach WCT , U.S.	Clay	Tomáš Šmíd	Anand Amritraj Johan Kriek	7–6, 6–4
Runner-up	1983	Rotterdam , Netherlands	Hard (i)	Peter Fleming	Fritz Buehning Tom Gullikson	6–7, 6–4, 6–7
Winner	1983	Milan , Italy	Carpet	Tomáš Šmíd	Fritz Buehning Peter Fleming	6–2, 5–7, 6–4
Runner-up	1983	Lisbon , Portugal	Clay	Ferdi Taygan	Carlos Kirmayr Cassio Motta	5–7, 4–6
Winner	1983	Madrid , Spain	Clay	Heinz Günthardt	Markus Günthardt Zoltan Kuharszky	6–3, 6–3
Winner	1983	Munich , Germany	Clay	Chris Lewis	Anders Järryd Tomáš Šmíd	6–4, 6–2
Winner	1983	Gstaad , Switzerland	Clay	Tomáš Šmíd	Colin Dowdeswell Wojtek Fibak	6–7, 6–4, 6–2
Runner-up	1983	Stuttgart Outdoor , Germany	Clay	Tomáš Šmíd	Anand Amritraj Mike Bauer	6–4, 3–6, 2–6
Winner	1983	Kitzbühel , Austria	Clay	Wojtek Fibak	Colin Dowdeswell Zoltan Kuharszky	7–5, 6–2
Winner	1983	Basel , Switzerland	Hard (i)	Tomáš Šmíd	Stefan Edberg Florin Segărceanu	6–1, 3–6, 7–6
Winner	1983	Toulouse , France	Hard (i)	Heinz Günthardt	Bernard Mitton Butch Walts	5–7, 7–5, 6–4
Winner	1984	Masters Doubles WCT , London	Carpet	Tomáš Šmíd	Anders Järryd Hans Simonsson	1–6, 6–3, 3–6, 6–1, 6–3
Winner	1984	Milan , Italy	Carpet	Tomáš Šmíd	Kevin Curren Steve Denton	6–4, 6–3
Runner-up	1984	French Open, Paris	Clay	Tomáš Šmíd	Henri Leconte Yannick Noah	4–6, 6–2, 6–3, 3–6, 2–6
Winner	1984	Washington, D.C. , U.S.	Clay	Ferdi Taygan	Drew Gitlin Blaine Willenborg	7–6, 6–1
Winner	1984	Bordeaux , France	Clay	Blaine Willenborg	Loïc Courteau Guy Forget	6–1, 6–4
Winner	1984	Barcelona , Spain	Clay	Tomáš Šmíd	Martín Jaite Víctor Pecci	6–2, 6–0
Winner	1984	Basel , Switzerland	Hard (i)	Tomáš Šmíd	Stefan Edberg Tim Wilkison	7–6, 6–2
Runner-up	1984	Wembley , England	Carpet	Tomáš Šmíd	Andrés Gómez Ivan Lendl	2–6, 2–6
Winner	1984	Treviso , Italy	Clay	Tim Wilkison	Jan Gunnarsson Sherwood Stewart	6–2, 6–3
Runner-up	1984	Toulouse , France	Hard (i)	Tim Wilkison	Jan Gunnarsson Michael Mortensen	4–6, 2–6
Runner-up	1984	Masters , New York	Carpet	Tomáš Šmíd	Peter Fleming John McEnroe	2–6, 2–6
Winner	1985	Memphis , U.S.	Carpet	Tomáš Šmíd	Kevin Curren Steve Denton	1–6, 6–3, 6–4
Winner	1985	Rotterdam , Netherlands	Carpet	Tomáš Šmíd	Vitas Gerulaitis Paul McNamee	6–4, 6–4
Winner	1985	Monte Carlo , Monaco	Clay	Tomáš Šmíd	Shlomo Glickstein Shahar Perkiss	6–2, 6–3
Winner	1985	Nice , France	Clay	Claudio Panatta	Loïc Courteau Guy Forget	3–6, 6–3, 8–6
Runner-up	1985	Indianapolis , U.S.	Clay	Kim Warwick	Ken Flach Robert Seguso	4–6, 4–6
Runner-up	1985	Toulouse , France	Hard (i)	Tomáš Šmíd	Ricardo Acuña Jakob Hlasek	6–3, 2–6, 7–9
Winner	1986	Nice , France	Clay	Jakob Hlasek	Gary Donnelly Colin Dowdeswell	6–3, 4–6, 11–9
Winner	1986	Saint Vincent , Italy	Clay	Libor Pimek	Bud Cox Michael Fancutt	6–3, 6–3
Runner-up	1986	Toulouse , France	Hard (i)	Jakob Hlasek	Miloslav Mečíř Tomáš Šmíd	2–6, 6–3, 4–6
