Member	Party	Electorate	State	First elected
Gary Hardgrave	Liberal	Moreton	Qld	1996–2007
Michael Hatton	Labor	Blaxland	NSW	1996–2007
David Hawker	Liberal	Wannon	Vic	1983–2010
Kelly Hoare	Labor	Charlton	NSW	1998–2007
Joe Hockey	Liberal	North Sydney	NSW	1996–present
Colin Hollis	Labor	Throsby	NSW	1983–2001
Bob Horne	Labor	Paterson	NSW	1993–1996, 1998–2001
Hon John Howard	Liberal	Bennelong	NSW	1974–2007
Kay Hull	National	Riverina	NSW	1998–2010
Julia Irwin	Labor	Fowler	NSW	1998–2010
Harry Jenkins	Labor	Scullin	Vic	1986–2013
Hon David Jull	Liberal	Fadden	Qld	1975–1983, 1984–2007
Hon Bob Katter	National	Kennedy	Qld	1993–present
De-Anne Kelly	National	Dawson	Qld	1996–2007
Jackie Kelly	Liberal	Lindsay	NSW	1996–2007
Hon Dr David Kemp	Liberal	Goldstein	Vic	1990–2004
Cheryl Kernot	Labor	Dickson	Qld	1998–2001
Hon Duncan Kerr	Labor	Denison	Tas	1987–2010
Mark Latham	Labor	Werriwa	NSW	1994–2005
Hon Dr Carmen Lawrence	Labor	Fremantle	WA	1994–2007
Tony Lawler	National	Parkes	NSW	1998–2001
Hon Michael Lee	Labor	Dobell	NSW	1984–2001
Hon Lou Lieberman	Liberal	Indi	Vic	1993–2001
Peter Lindsay	Liberal	Herbert	Qld	1996–2010
Kirsten Livermore	Labor	Capricornia	Qld	1998–2013
Jim Lloyd	Liberal	Robertson	NSW	1996–2007
Stewart McArthur	Liberal	Corangamite	Vic	1984–2007
Robert McClelland	Labor	Barton	NSW	1996–2013
Ian Macfarlane	Liberal	Groom	Qld	1998–present
Hon Stephen Martin	Labor	Cunningham	NSW	1984–2002
Margaret May	Liberal	McPherson	Qld	1998–2010
Jann McFarlane	Labor	Stirling	WA	1998–2004
Hon Peter McGauran	National	Gippsland	Vic	1983–2008
Hon Leo McLeay	Labor	Watson	NSW	1979–2004
Hon Bob McMullan	Labor	Fraser	ACT	1996–2010
Jenny Macklin	Labor	Jagajaga	Vic	1996–present
Daryl Melham	Labor	Banks	NSW	1990–2013
Hon John Moore [4 ]	Liberal	Ryan	Qld	1975–2001
Allan Morris	Labor	Newcastle	NSW	1983–2001
Frank Mossfield	Labor	Greenway	NSW	1996–2004
Hon Judi Moylan	Liberal	Pearce	WA	1993–2013
John Murphy	Labor	Lowe	NSW	1998–present
Garry Nehl	National	Cowper	NSW	1984–2001
Gary Nairn	Liberal	Eden-Monaro	NSW	1996–2007
Dr Brendan Nelson	Liberal	Bradfield	NSW	1996–2009
Paul Neville	National	Hinkler	Qld	1993–2013
Peter Nugent [5 ]	Liberal	Aston	Vic	1990–2001
Michelle O'Byrne	Labor	Bass	Tas	1998–2004
Gavan O'Connor	Labor	Corio	Vic	1993–2007
Hon Neil O'Keefe	Labor	Burke	Vic	1984–2001
Chris Pearce [5 ]	Liberal	Aston	Vic	2001–2010
Tanya Plibersek	Labor	Sydney	NSW	1998–present
Hon Roger Price	Labor	Chifley	NSW	1984–2010
Hon Geoff Prosser	Liberal	Forrest	WA	1987–2007
Christopher Pyne	Liberal	Sturt	SA	1993–present
Harry Quick	Labor	Franklin	Tas	1993–2007
Hon Peter Reith	Liberal	Flinders	Vic	1982–1983, 1984–2001
Bernie Ripoll	Labor	Oxley	Qld	1998–present
Michael Ronaldson	Liberal	Ballarat	Vic	1990–2001
Nicola Roxon	Labor	Gellibrand	Vic	1998–2013
Kevin Rudd	Labor	Griffith	Qld	1998–present
Hon Philip Ruddock	Liberal	Berowra	NSW	1973–present
Rod Sawford	Labor	Port Adelaide	SA	1988–2007
Alby Schultz	Liberal	Hume	NSW	1998–2013
Hon Con Sciacca	Labor	Bowman	Qld	1987–1996, 1998–2004
Hon Bruce Scott	National	Maranoa	Qld	1990–present
Patrick Secker	Liberal	Barker	SA	1998–2013
Bob Sercombe	Labor	Maribyrnong	Vic	1996–2007
Leonie Short [4 ]	Labor	Ryan	Qld	2001
Sid Sidebottom	Labor	Braddon	Tas	1998–2004, 2007–2013
Peter Slipper	Liberal	Fisher	Qld	1984–1987, 1993–2013
Stephen Smith	Labor	Perth	WA	1993–2013
Hon Warren Snowdon	Labor	Northern Territory	NT	1987–1996, 1998–present
Alex Somlyay	Liberal	Fairfax	Qld	1990–2013
Dr Andrew Southcott	Liberal	Boothby	SA	1996–present
Stuart St. Clair	National	New England	NSW	1998–2001
Dr Sharman Stone	Liberal	Murray	Vic	1996–present
Wayne Swan	Labor	Lilley	Qld	1993–1996, 1998–present
Kathy Sullivan	Liberal	Moncrieff	Qld	1984–2001
Lindsay Tanner	Labor	Melbourne	Vic	1993–2010
Hon Andrew Theophanous	Labor/Independent [3 ]	Calwell	Vic	1980–2001
Cameron Thompson	Liberal	Blair	Qld	1998–2007
Hon Andrew Thomson	Liberal	Wentworth	NSW	1995–2001
Kelvin Thomson	Labor	Wills	Vic	1996–present
Warren Truss	National	Wide Bay	Qld	1990–present
Wilson Tuckey	Liberal	O'Connor	WA	1980–2010
Mark Vaile	National	Lyne	NSW	1993–2008
Danna Vale	Liberal	Hughes	NSW	1996–2010
Barry Wakelin	Liberal	Grey	SA	1993–2007
Dr Mal Washer	Liberal	Moore	WA	1998–2013
Kim Wilkie	Labor	Swan	WA	1998–2007
Hon Daryl Williams	Liberal	Tangney	WA	1993–2004
Greg Wilton [2 ]	Labor	Isaacs	Vic	1996–2000
Hon Dr Michael Wooldridge	Liberal	Casey	Vic	1987–2001
Trish Worth	Liberal	Adelaide	SA	1996–2004
Christian Zahra	Labor	McMillan	Vic	1998–2004
