Hangul	Hanja	Revised	McCune-Reischauer	Estimated distribution (2000)*
판	判	Pan	P'an	290
팽	彭	Paeng	P'aeng	2,825
편	片	Pyeon	P'yŏn	15,308
평	平	Pyeong	P'yŏng	608
포	包	Po	P'o	129
표	表	Pyo	P'yo	28,398
풍	馮	Pung	P'ung	586
피	皮	Pi	P'i	6,303
필	弼	Pil	P'il	251
하	河, 夏	Ha	Ha	213,758
학	學	Hak	Hak	101
한	韓, 漢	Han	Han	715,556
함	咸	Ham	Ham	75,955
해	海	Hae	Hae	322
허	許	Heo	Hŏ	300,448
현	玄	Hyeon	Hyŏn	81,807
형	邢	Hyeong	Hyŏng	6,640
호	扈, 胡, 鎬	Ho	Ho	6,106
홍	洪	Hong	Hong	518,635
화	化	Hwa	Hwa	945
환	桓	Hwan	Hwan	157
황	黃	Hwang	Hwang	644,294
황보	皇甫	Hwangbo	Hwangbo	9,148
후	後, 候	Hu	Hu	114
흥	興	Heung	Hŭng	462
