Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
1982	September 12	Bobby Allison	DiGard Motorsports	Chevrolet	400	216.8 (348.905)	2:37:06	82.8	Report
1983	September 11	Bobby Allison	DiGard Motorsports	Buick	400	216.8 (348.905)	2:43:08	79.381	Report
1984	September 9	Darrell Waltrip	Junior Johnson & Associates	Chevrolet	400	216.8 (348.905)	2:53:57	74.78	Report
1985	September 8	Darrell Waltrip	Junior Johnson & Associates	Chevrolet	400	216.8 (348.905)	2:58:54	72.508	Report
1986	September 7	Tim Richmond	Hendrick Motorsports	Chevrolet	400	216.8 (348.905)	3:05:24	70.161	Report
1987	September 13	Dale Earnhardt	Richard Childress Racing	Chevrolet	400	216.8 (348.905)	3:03:56	67.074	Report
1988 *	September 11	Davey Allison	Ranier-Lundy	Ford	400	300 (482.803)	3:07:57	95.77	Report
1989	September 10	Rusty Wallace	Blue Max Racing	Pontiac	400	300 (482.803)	3:23:40	88.38	Report
1990	September 9	Dale Earnhardt	Richard Childress Racing	Chevrolet	400	300 (482.803)	3:08:21	95.567	Report
1991 *	September 7	Harry Gant	Leo Jackson Racing	Oldsmobile	400	300 (482.803)	2:57:35	101.361	Report
1992	September 12	Rusty Wallace	Penske Racing	Pontiac	400	300 (482.803)	2:51:59	104.661	Report
1993	September 11	Rusty Wallace	Penske Racing	Pontiac	400	300 (482.803)	3:00:09	99.917	Report
1994	September 10	Terry Labonte	Hendrick Motorsports	Chevrolet	400	300 (482.803)	2:52:59	104.156	Report
1995	September 9	Rusty Wallace	Penske Racing	Ford	400	300 (482.803)	2:52:19	104.459	Report
1996	September 7	Ernie Irvan	Robert Yates Racing	Ford	400	300 (482.803)	2:50:40	105.469	Report
1997	September 6	Dale Jarrett	Robert Yates Racing	Ford	400	300 (482.803)	2:45:04	109.047	Report
1998	September 12	Jeff Burton	Roush Racing	Ford	400	300 (482.803)	3:15:41	91.985	Report
1999	September 11	Tony Stewart	Joe Gibbs Racing	Pontiac	400	300 (482.803)	2:53:04	104.006	Report
2000	September 9	Jeff Gordon	Hendrick Motorsports	Chevrolet	400	300 (482.803)	3:00:14	99.871	Report
2001	September 8	Ricky Rudd	Robert Yates Racing	Ford	400	300 (482.803)	3:09:11	95.146	Report
2002	September 7	Matt Kenseth	Roush Racing	Ford	400	300 (482.803)	3:09:54	94.787	Report
2003	September 6	Ryan Newman	Penske Racing	Dodge	400	300 (482.803)	3:09:35	94.945	Report
2004	September 11	Jeremy Mayfield	Evernham Motorsports	Dodge	400	300 (482.803)	3:01:55	98.946	Report
2005	September 10	Kurt Busch	Roush Racing	Ford	400	300 (482.803)	3:02:37	98.567	Report
2006	September 9	Kevin Harvick	Richard Childress Racing	Chevrolet	400	300 (482.803)	2:57:37	101.342	Report
2007	September 8	Jimmie Johnson	Hendrick Motorsports	Chevrolet	400	300 (482.803)	3:16:03	91.813	Report
2008	September 7*	Jimmie Johnson	Hendrick Motorsports	Chevrolet	400	300 (482.803)	3:14:13	92.68	Report
2009	September 12	Denny Hamlin	Joe Gibbs Racing	Toyota	400	300 (482.803)	3:06:20	96.601	Report
2010	September 11	Denny Hamlin	Joe Gibbs Racing	Toyota	400	300 (482.803)	2:52:55	104.096	Report
2011	September 10	Kevin Harvick	Richard Childress Racing	Chevrolet	400	300 (482.803)	3:20:12	89.91	Report
2012	September 8/9*	Clint Bowyer	Michael Waltrip Racing	Toyota	400	300 (482.803)	2:59:58	100.019	Report
