County	Per capita income	Median household income	Median family income	Population	Number of households
Montgomery	$19,634	$39,369	$45,055	12,236	4,868
Scott	$19,566	$37,716	$47,020	39,191	15,538
Caldwell	$19,499	$39,439	$51,231	9,424	3,676
Butler	$19,368	$33,525	$43,641	42,794	17,614
Barry	$19,363	$36,143	$44,748	35,597	14,057
Pettis	$19,351	$37,658	$49,389	42,201	16,428
Moniteau	$19,267	$47,162	$57,712	15,607	5,532
Cooper	$19,234	$42,586	$52,222	17,601	6,554
Maries	$19,155	$40,185	$48,504	9,176	3,705
Barton	$19,117	$39,573	$46,781	12,402	4,929
Clark	$19,114	$38,133	$51,510	7,139	2,933
Bates	$19,056	$38,882	$50,614	17,049	6,744
Mercer	$19,031	$34,008	$43,750	3,785	1,560
Gentry	$19,021	$35,556	$46,458	6,738	2,674
Lewis	$18,973	$40,399	$48,708	10,211	3,874
Harrison	$18,967	$35,000	$47,788	8,957	3,669
Nodaway	$18,909	$38,621	$55,231	23,370	8,545
St. Francois	$18,852	$38,589	$49,136	65,359	23,981
New Madrid	$18,811	$32,895	$41,417	18,956	7,742
Audrain	$18,800	$40,935	$50,467	25,529	9,590
Morgan	$18,789	$36,696	$43,358	20,565	8,450
Lawrence	$18,777	$38,350	$46,206	38,634	14,869
Pike	$18,769	$42,082	$51,292	18,516	6,560
Webster	$18,699	$40,889	$46,183	36,202	13,062
Saline	$18,581	$38,818	$46,121	23,370	8,883
Knox	$18,481	$33,029	$38,879	4,131	1,708
Macon	$18,411	$36,429	$48,034	15,566	6,412
Schuyler	$18,410	$31,358	$42,043	4,431	1,796
Dallas	$18,400	$38,101	$44,983	16,777	6,524
Vernon	$18,314	$34,387	$42,067	21,159	8,396
St. Clair	$18,309	$32,217	$42,182	9,805	4,161
Worth	$18,229	$38,220	$43,472	2,171	944
Hickory	$18,215	$28,097	$34,496	9,627	4,371
Miller	$18,202	$35,838	$43,864	24,748	9,917
Bollinger	$18,172	$33,938	$43,162	12,363	4,847
Grundy	$18,148	$35,239	$45,959	10,261	4,204
Polk	$18,138	$35,831	$44,863	31,137	11,677
Dent	$18,111	$36,118	$44,092	15,657	6,338
Shelby	$18,056	$35,012	$43,244	6,373	2,581
Crawford	$17,317	$34,506	$44,270	24,696	9,831
Ozark	$17,298	$31,960	$39,656	9,723	4,194
Madison	$17,239	$33,456	$39,594	12,226	4,898
Iron	$17,200	$29,803	$40,745	10,630	4,378
Howell	$17,135	$35,282	$39,975	40,400	16,192
Wayne	$17,105	$30,621	$39,826	13,521	5,717
Adair	$17,098	$31,176	$47,619	25,607	9,877
McDonald	$17,070	$36,619	$44,714	23,083	8,404
Randolph	$17,049	$36,458	$43,923	25,414	9,342
Reynolds	$16,964	$32,059	$39,104	6,696	2,778
DeKalb	$16,916	$43,267	$53,803	12,892	3,839
Washington	$16,867	$35,901	$42,120	25,195	9,355
Dade	$16,638	$32,714	$37,100	7,883	3,271
Sullivan	$16,633	$30,459	$39,259	6,714	2,740
Dunklin	$16,619	$29,375	$36,873	31,953	12,837
Cedar	$16,432	$32,800	$39,816	13,982	5,838
Wright	$16,413	$29,636	$37,474	18,815	7,499
Mississippi	$15,927	$29,586	$38,688	14,358	5,180
Carter	$15,881	$28,408	$35,965	6,265	2,559
Pemiscot	$15,841	$30,120	$38,060	18,296	7,350
Texas	$15,790	$31,552	$38,182	26,008	10,057
Shannon	$15,309	$30,766	$36,713	8,441	3,448
Douglas	$15,117	$30,968	$36,049	13,684	5,587
Ripley	$15,115	$29,369	$32,118	14,100	5,637
Oregon	$15,093	$26,144	$34,036	10,881	4,527
