County or City	Per capita income	Median household income	Median family income	Population	Number of households
Northampton	$23,233	$35,760	$47,995	12,389	5,323
Waynesboro	$23,190	$40,977	$47,585	21,006	8,903
Page	$22,969	$41,617	$51,543	24,042	9,746
Williamsburg	$22,851	$50,794	$71,190	14,068	4,571
Accomack	$22,766	$41,372	$49,727	33,164	13,798
Roanoke	$22,530	$36,422	$46,322	97,032	42,712
Appomattox	$22,388	$49,224	$58,954	14,973	6,033
Portsmouth	$22,302	$45,488	$52,830	95,535	37,324
Bath	$22,083	$50,589	$50,974	4,731	2,162
Campbell	$22,044	$43,478	$53,566	54,842	22,441
Montgomery	$22,040	$43,229	$65,654	94,392	35,767
Alleghany	$22,013	$43,160	$53,205	16,250	6,891
King and Queen	$21,777	$44,442	$49,917	6,945	2,882
Lynchburg	$21,586	$37,058	$50,196	75,568	28,476
Floyd	$21,425	$42,044	$50,759	15,279	6,415
Southampton	$21,201	$45,426	$56,830	18,570	6,719
Amherst	$21,097	$44,757	$55,211	32,353	12,560
Giles	$20,985	$41,186	$48,966	17,286	7,215
Pulaski	$20,976	$41,163	$48,884	34,872	14,821
Covington	$20,781	$35,277	$47,188	5,961	2,632
Pittsylvania	$20,652	$39,224	$49,166	63,506	26,183
Wythe	$20,589	$38,948	$47,119	29,235	12,472
Bland	$20,468	$41,552	$45,534	6,824	2,566
Nottoway	$20,318	$37,344	$44,559	15,853	5,706
Mecklenburg	$20,162	$36,431	$46,192	32,727	13,495
Bedford	$20,092	$32,262	$41,026	6,222	2,627
Richmond	$19,965	$42,182	$60,250	9,254	3,159
Halifax	$19,909	$34,705	$44,518	36,241	15,085
Smyth	$19,906	$34,864	$43,790	32,208	13,319
Martinsville	$19,766	$32,408	$43,176	13,821	6,084
Bristol	$19,700	$32,079	$39,212	17,835	7,879
Cumberland	$19,691	$40,143	$50,007	10,052	3,980
Galax	$19,609	$22,333	$38,513	7,042	2,922
Grayson	$19,499	$32,178	$40,205	15,533	6,846
Franklin	$19,453	$33,174	$41,821	8,582	3,530
Emporia	$19,245	$32,788	$39,410	5,927	2,316
Henry	$19,206	$34,086	$42,637	54,151	23,151
Hopewell	$19,148	$37,789	$43,862	22,591	9,129
Petersburg	$19,142	$36,449	$44,233	32,420	13,634
Buena Vista	$19,030	$39,955	$46,081	6,650	2,603
Tazewell	$19,016	$35,215	$43,428	45,078	18,449
Danville	$18,840	$29,936	$39,198	43,055	18,831
Carroll	$18,670	$36,142	$44,882	30,042	12,831
Scott	$18,667	$34,250	$43,112	23,177	9,775
Patrick	$18,396	$35,813	$41,130	18,490	8,081
Prince Edward	$18,192	$36,191	$49,824	23,368	7,916
Wise	$17,944	$33,608	$41,625	41,452	15,968
Russell	$17,909	$32,780	$42,648	28,897	11,943
Lunenburg	$17,744	$37,424	$41,968	12,914	4,957
Greensville	$17,631	$38,574	$49,741	12,243	3,566
Charlotte	$17,348	$34,881	$48,266	12,586	5,109
Lexington	$17,022	$31,571	$62,109	7,042	2,237
Buckingham	$16,752	$34,720	$43,589	17,146	5,965
Harrisonburg	$16,750	$37,235	$53,529	48,914	15,988
Buchanan	$16,742	$29,183	$36,829	24,098	9,968
Brunswick	$16,739	$35,184	$43,018	17,434	6,366
Sussex	$16,735	$37,978	$48,817	12,087	3,994
Lee	$16,513	$31,352	$41,204	25,587	10,159
Radford	$16,496	$29,155	$58,258	16,408	5,990
Dickenson	$16,278	$29,080	$34,077	15,903	6,590
