Date	Time (ET)	Event #	Event	Winner	Prize	Entries	Prize Pool	Elapsed Time
Sep 14	11:00	30	$530 No-Limit Hold'em Triple Shootout [10-Max]	Olorionek	$54,814.20*	645	$322,856.70	[2-Day] event
Sep 14	14:00	31	$320 8-Game	Vingtcent (Vincent Van Der Fluit)	$35,076.00	632	$189,600.00	11 h 5 min
Sep 15	6:00	32	$330 No Limit Hold’em [6-Max]	sosickPL	$78,000.00*	1,714	$514,200.00	[2-Day] event
Sep 15	11:00	33	$320 Pot-Limit Omaha [1 Rebuy/1 Add-on, 6-max]	e1mdopp	$78,504.25*	706 (481 R, 346 A)	$459,900.00	13 h 11 min
Sep 15	14:00	34	$320 Fixed-Limit Triple Draw 2-7	shaniac ( Shane Schleger )	$21,771.00	354	$106,200.00	13 h 33 min
Sep 16	11:00	35	$215 No-Limit Hold'em w/Rebuys	iwonthurtyou	$127,432.00	1,254(1,625 R) (869 A)	$749,600.00	14 h 29 min
Sep 16	14:00	36	$530 Fixed-Limit Omaha Hi/Lo	Mortholmes	$37,804.30	394	$197,000.00	10 h 53 min
Sep 16	17:00	37	$109 8-Game [10-minute Levels]	djk123 ( Dan Kelly )	$23,529.00	1,426	$142,600.00	6 h 23 min
Sep 17	10:00	38	$530 Heads-Up No Limit Hold'em	bajskorven87	$95,625.00	765	$382,500.00	[2-Day] event
Sep 17	14:00	39	$320 HORSE	gboro780 (Steve Gross)	$33,332.52	591	$177,300.00	11 h 37 min
Sep 18	10:00	40	$215 No Limit Hold’em	z81ima	$225,384.96*	8,332	$1,666,400.00	[2-Day] event
Sep 18	12:00	41	$10,300 Heads-Up No Limit Hold'em [High-Roller]	pistons87 (Ankush Mandavia)	$119,000.00*	32	$320,000.00	8 h 36 min
Sep 18	14:00	42	$1,050 No-Limit Hold’em	munchenHB	$353,120.00	2,207	$2,207,000.00	[2-Day] event
Sep 19	11:00	43	$320 Pot Limit Omaha w/Rebuys [6-max]	HonestPete	$102,543.00	593 (791 R, 415 A)	$539,700.00	13 h 39 min
Sep 19	14:00	44	$320 No-Limit Hold’em [2X Chance (1 Rebuy)]	z0di@c	$129,840.80	2,080 (625 Rebuys)	$811,500.00	16 h 11 min
Sep 19	17:00	45	$265 No-Limit Hold’em [Turbo, Knockout]	ChernyAV	$107,890.98	3,436	$687,200.00	04 h 20 min
Sep 20	11:00	46	$320 Mixed [Pot Limit Hold'em, Omaha]	Tim Piper	$45,795.67*	917	$275,100.00	12 h 18 min
Sep 20	14:00	47	$530 7 Card Stud H/L	marroca5 (Mayu Roca Uribe)	$25,545.00	262	$131,000.00	10 h 34 min
Sep 20	17:00	48	$1,050 No Limit Hold'em	jdtjpoker (Jason Wheeler)	$182,340.00	1,013	$1,013,000.00	[2-Day] event
Sep 21	6:00	49	$215 No Limit Hold'em [1 Rebuy/1 Add-on]	CASlNO ROYAL	$87,301.08	1,157 (754R,618A)	$505,800.00	14 h 46 min
Sep 21	11:00	50	$215 No-Limit Hold’em [Big Antes]	PjotrNL	$78,496.00	2,453	$490,600.00	16 h 9 min
Sep 21	14:00	51	$320 Pot Limit Omaha H/L	mnstrkll	$48,978.00	907	$272,100.00	12 h 20 min
Sep 22	6:00	52	$320 No-Limit Hold’em	Demokritos09	$85,008.65	1,771	$531,300.00	15 h 17 min
Sep 22	11:00	53	$530 No-Limit Hold'em w/Rebuys	Vinkyy	$160,558.13*	652 (753 R) (512 A)	$958,500.00	14 h 59 min
Sep 22	14:00	54	$2,100 Pot Limit Omaha [6-max]	niccc {Nicolas Chouity}	$150,947.13*	418	$836,000.00	11 h 51 min
Sep 23	11:00	55	$530 No Limit Hold'em [1 Rebuy/1 Add-on]	HR_Dub (Steve Williams)	$172,674.00	831 (562 R, 515 A)	$954,000.00	14 h 46 min
Sep 23	14:00	56	$1,050 Fixed Limit Hold'em [6-max]	ender555 ( Joe Ebanks )	$62,480.00	284	$284,000.00	10 h 31 min
Sep 23	17:00	57	$215 No-Limit Omaha H/L [10-minute Levels]	nemisoi	$31,002.65*	951	$190,200.00	07 h 48 min
Sep 24	10:00	58	$530 Pot-Limit Omaha [Heads-Up]	MiPwnYa (Quentin Lae)	$50,125.00	401	$200,500.00	[2-Day] event
Sep 24	14:00	59	$2,100 HORSE	p3rc4 (Marcel Bjerkmann)	$61,335.00	141	$282,000.00	[2-Day] event
Sep 25	10:00	60	$215 No Limit Hold'em	X-Front	$284,319.29	9,664	$1,932,800.00	[2-Day] event
Sep 25	12:00	61	$10,300 8-game [High-Roller]	Ostrov	$210,000.00	70	$700,000.00	[2-Day] event
