Member	Party	Electorate	State	In office
Steve Gibbons	Labor	Bendigo	Vic	1998–2013
Julia Gillard	Labor	Lalor	Vic	1998–2013
Sharon Grierson	Labor	Newcastle	NSW	2001–2013
Alan Griffin	Labor	Bruce	Vic	1993–present
Barry Haase	Liberal	Kalgoorlie	WA	1998–2013
Jill Hall	Labor	Shortland	NSW	1998–present
Hon Gary Hardgrave	Liberal	Moreton	Qld	1996–2007
Luke Hartsuyker	National	Cowper	NSW	2001–present
Michael Hatton	Labor	Blaxland	NSW	1996–2007
Hon David Hawker	Liberal	Wannon	Vic	1983–2010
Chris Hayes [1 ]	Labor	Werriwa	NSW	2005–present
Stuart Henry	Liberal	Hasluck	WA	2004–2007
Kelly Hoare	Labor	Charlton	NSW	1998–2007
Hon Joe Hockey	Liberal	North Sydney	NSW	1996–present
Hon John Howard	Liberal	Bennelong	NSW	1974–2007
Kay Hull	National	Riverina	NSW	1998–2010
Hon Greg Hunt	Liberal	Flinders	Vic	2001–present
Julia Irwin	Labor	Fowler	NSW	1998–2010
Harry Jenkins	Labor	Scullin	Vic	1986–2013
Dr Dennis Jensen	Liberal	Tangney	WA	2004–present
Michael Johnson	Liberal	Ryan	Qld	2001–2010
Hon David Jull	Liberal	Fadden	Qld	1975–1983, 1984–2007
Hon Bob Katter	Independent	Kennedy	Qld	1993–present
Michael Keenan	Liberal	Stirling	WA	2004–present
Hon De-Anne Kelly	National	Dawson	Qld	1996–2007
Hon Jackie Kelly	Liberal	Lindsay	NSW	1996–2007
Hon Duncan Kerr	Labor	Denison	Tas	1987–2010
Catherine King	Labor	Ballarat	Vic	2001–present
Dr Andrew Laming	Liberal	Bowman	Qld	2004–present
Hon Dr Carmen Lawrence	Labor	Fremantle	WA	1994–2007
Mark Latham [1 ]	Labor	Werriwa	NSW	1994–2005
Hon Sussan Ley	Liberal	Farrer	NSW	2001–present
Peter Lindsay	Liberal	Herbert	Qld	1996–2010
Kirsten Livermore	Labor	Capricornia	Qld	1998–2013
Hon Jim Lloyd	Liberal	Robertson	NSW	1996–2007
Stewart McArthur	Liberal	Corangamite	Vic	1984–2007
Robert McClelland	Labor	Barton	NSW	1996–2013
Hon Ian Macfarlane	Liberal	Groom	Qld	1998–present
Hon Peter McGauran	National	Gippsland	Vic	1983–2008
Hon Bob McMullan	Labor	Fraser	ACT	1996–2010
Jenny Macklin	Labor	Jagajaga	Vic	1996–present
Louise Markus	Liberal	Greenway	NSW	2004–present
Margaret May	Liberal	McPherson	Qld	1998–2010
Daryl Melham	Labor	Banks	NSW	1990–2013
Sophie Mirabella	Liberal	Indi	Vic	2001–present
Hon Judi Moylan	Liberal	Pearce	WA	1993–2013
John Murphy	Labor	Lowe	NSW	1998–present
Hon Gary Nairn	Liberal	Eden-Monaro	NSW	1996–2007
Hon Dr Brendan Nelson	Liberal	Bradfield	NSW	1996–2009
Paul Neville	National	Hinkler	Qld	1993–2013
Brendan O'Connor	Labor	Gorton	Vic	2001–present
Gavan O'Connor	Labor	Corio	Vic	1993–2007
Julie Owens	Labor	Parramatta	NSW	2004–present
Hon Chris Pearce	Liberal	Aston	Vic	2001–2010
Tanya Plibersek	Labor	Sydney	NSW	1998–present
Hon Roger Price	Labor	Chifley	NSW	1984–2010
Hon Geoff Prosser	Liberal	Forrest	WA	1987–2007
Hon Christopher Pyne	Liberal	Sturt	SA	1993–present
Harry Quick	Labor/Independent [2 ]	Franklin	Tas	1993–2007
Don Randall	Liberal	Canning	WA	1996–1998, 2001–present
Kym Richardson	Liberal	Kingston	SA	2004–2007
Bernie Ripoll	Labor	Oxley	Qld	1998–present
Hon Andrew Robb	Liberal	Goldstein	Vic	2004–present
Nicola Roxon	Labor	Gellibrand	Vic	1998–2013
Kevin Rudd	Labor	Griffith	Qld	1998–present
Hon Philip Ruddock	Liberal	Berowra	NSW	1973–present
Rod Sawford	Labor	Port Adelaide	SA	1988–2007
Alby Schultz	Liberal	Hume	NSW	1998–2013
Hon Bruce Scott	National	Maranoa	Qld	1990–present
Patrick Secker	Liberal	Barker	SA	1998–2013
Bob Sercombe	Labor	Maribyrnong	Vic	1996–2007
Hon Peter Slipper	Liberal	Fisher	Qld	1984-87, 1993–2013
Stephen Smith	Labor	Perth	WA	1993–2013
Hon Tony Smith	Liberal	Casey	Vic	2001–present
Hon Warren Snowdon	Labor	Lingiari	NT	1987–1996, 1998–present
Hon Alex Somlyay	Liberal	Fairfax	Qld	1990–2013
Dr Andrew Southcott	Liberal	Boothby	SA	1996–present
Hon Dr Sharman Stone	Liberal	Murray	Vic	1996–present
Wayne Swan	Labor	Lilley	Qld	1993–1996, 1998–present
Lindsay Tanner	Labor	Melbourne	Vic	1993–2010
Cameron Thompson	Liberal	Blair	Qld	1998–2007
Kelvin Thomson	Labor	Wills	Vic	1996–present
Ken Ticehurst	Liberal	Dobell	NSW	2001–2007
Dave Tollner	CLP	Solomon	NT	2001–2007
Malcolm Turnbull	Liberal	Wentworth	NSW	2004–present
Hon Warren Truss	National	Wide Bay	Qld	1990–present
Hon Wilson Tuckey	Liberal	O'Connor	WA	1980–2010
Hon Mark Vaile	National	Lyne	NSW	1993–2008
Hon Danna Vale	Liberal	Hughes	NSW	1996–2010
Maria Vamvakinou	Labor	Calwell	Vic	2001–present
Ross Vasta	Liberal	Bonner	Qld	2004–2007, 2010–present
Barry Wakelin	Liberal	Grey	SA	1993–2007
Dr Mal Washer	Liberal	Moore	WA	1998–2013
Kim Wilkie	Labor	Swan	WA	1998–2007
Tony Windsor	Independent	New England	NSW	2001–2013
Jason Wood	Liberal	La Trobe	Vic	2004–2010
