Country	Renewable energy (RE)	Solar power (SP)	Wind power (WP)	Geothermal energy (GE)	Biofuel (BF)	Hydro power (Hydro)
Israel	RE in Israel	SP in Israel	WP in Israel	GE in Israel	BF in Israel	Hydro in Israel
Italy	RE in Italy	SP in Italy	WP in Italy	GE in Italy	BF in Italy	Hydro in Italy
Japan	RE in Japan	SP in Japan	WP in Japan	GE in Japan	BF in Japan	Hydro in Japan
Latvia	RE in Latvia	SP in Latvia	WP in Latvia	GE in Latvia	BF in Latvia	Hydro in Latvia
Lithuania	RE in Lithuania	SP in Lithuania	WP in Lithuania	GE in Lithuania	BF in Lithuania	Hydro in Lithuania
Luxembourg	RE in Luxembourg	SP in Luxembourg	WP in Luxembourg	GE in Luxembourg	BF in Luxembourg	Hydro in Luxembourg
Macedonia	RE in Macedonia	SP in Macedonia	WP in Macedonia	GE in Macedonia	BF in Macedonia	Hydro in Macedonia
Malta	RE in Malta	SP in Malta	WP in Malta	GE in Malta	BF in Malta	Hydro in Malta
Mexico	RE in Mexico	SP in Mexico	WP in Mexico	GE in Mexico	BF in Mexico	Hydro in Mexico
Moldova	RE in Moldova	SP in Moldova	WP in Moldova	GE in Moldova	BF in Moldova	Hydro in Moldova
Mongolia	RE in Mongolia	SP in Mongolia	WP in Mongolia	GE in Mongolia	BF in Mongolia	Hydro in Mongolia
Montenegro	RE in Montenegro	SP in Montenegro	WP in Montenegro	GE in Montenegro	BF in Montenegro	Hydro in Montenegro
Morocco	RE in Morocco	SP in Morocco	WP in Morocco	GE in Morocco	BF in Morocco	Hydro in Morocco
The Netherlands	RE in the Netherlands	SP in the Netherlands	WP in the Netherlands	GE in the Netherlands	BF in the Netherlands	Hydro in the Netherlands
New Zealand	RE in NZ	SP in NZ	WP in NZ	GE in NZ	BF in NZ	Hydro in NZ
Nigeria	RE in Nigeria	SP in Nigeria	WP in Nigeria	GE in Nigeria	BF in Nigeria	Hydro in Nigeria
Norway	RE in Norway	SP in Norway	WP in Norway	GE in Norway	BF in Norway	Hydro in Norway
Pakistan	RE in Pakistan	SP in Pakistan	WP in Pakistan	GE in Pakistan	BF in Pakistan	Hydro in Pakistan
Philippines	RE in the Philippines	SP in the Philippines	WP in the Philippines	GE in the Philippines	BF in the Philippines	Hydro in the Philippines
Poland	RE in Poland	SP in Poland	WP in Poland	GE in Poland	BF in Poland	Hydro in Poland
Portugal	RE in Portugal	SP in Portugal	WP in Portugal	GE in Portugal	BF in Portugal	Hydro in Portugal
Romania	RE in Romania	SP in Romania	WP in Romania	GE in Romania	BF in Romania	Hydro in Romania
Russia	RE in Russia	SP in Russia	WP in Russia	GE in Russia	BF in Russia	Hydro in Russia
Saudi Arabia	RE in Saudi Arabia	SP in Saudi Arabia	WP in Saudi Arabia	GE in Saudi Arabia	BF in Saudi Arabia	Hydro in Saudi Arabia
Scotland	RE in Scotland	SP in Scotland	WP in Scotland	GE in Scotland	BF in Scotland	Hydro in Scotland
Serbia	RE in Serbia	SP in Serbia	WP in Serbia	GE in Serbia	BF in Serbia	Hydro in Serbia
Seychelles	RE in Seychelles	SP in Seychelles	WP in Seychelles	GE in Seychelles	BF in Seychelles	Hydro in Seychelles
Singapore	RE in Singapore	SP in Singapore	WP in Singapore	GE in Singapore	BF in Singapore	Hydro in Singapore
Slovakia	RE in Slovakia	SP in Slovakia	WP in Slovakia	GE in Slovakia	BF in Slovakia	Hydro in Slovakia
Slovenia	RE in Slovenia	SP in Slovenia	WP in Slovenia	GE in Slovenia	BF in Slovenia	Hydro in Slovenia
Somalia	RE in Somalia	SP in Somalia	WP in Somalia	GE in Somalia	BF in Somalia	Hydro in Somalia
South Africa	RE in South Africa	SP in So Africa	WP in So Africa	GE in So Africa	BF in So Africa	Hydro in So Africa
Spain	RE in Spain	SP in Spain	WP in Spain	GE in Spain	BF in Spain	Hydro in Spain
Sri Lanka	RE in Sri Lanka	SP in Sri Lanka	WP in Sri Lanka	GE in Sri Lanka	BF in Sri Lanka	Hydro in Sri Lanka
Sweden	RE in Sweden	SP in Sweden	WP in Sweden	GE in Sweden	BF in Sweden	Hydro in Sweden
Switzerland	RE in Switzerland	SP in Switzerland	WP in Switzerland	GE in Switzerland	BF in Switzerland	Hydro in Switzerland
Taiwan	RE in Taiwan	SP in Taiwan	WP in Taiwan	GE in Taiwan	BF in Taiwan	Hydro in Taiwan
Tibet	RE in Tibet	SP in Tibet	WP in Tibet	GE in Tibet	BF in Tibet	Hydro in Tibet
Thailand	RE in Thailand	SP in Thailand	WP in Thailand	GE in Thailand	BF in Thailand	Hydro in Thailand
Tokelau	RE in Tokelau	SP in Tokelau	WP in Tokelau	GE in Tokelau	BF in Tokelau	Hydro in Tokelau
Turkey	RE in Turkey	SP in Turkey	WP in Turkey	GE in Turkey	BF in Turkey	Hydro in Turkey
Tuvalu	RE in Tuvalu	SP in Tuvalu	WP in Tuvalu	GE in Tuvalu	BF in Tuvalu	Hydro in Tuvalu
Ukraine	RE in Ukraine	SP in Ukraine	WP in Ukraine	GE in Ukraine	BF in Ukraine	Hydro in Ukraine
United Kingdom	RE in the UK	SP in the UK	WP in the UK	GE in the UK	BF in the UK	Hydro in the UK
United States	RE in the US	SP in the US	WP in the US	GE in the US	BF in the US	Hydro in the US
Venezuela	RE in Venezuela	SP in Venezuela	WP in Venezuela	GE in Venezuela	BF in Venezuela	Hydro in Venezuela
Vietnam	RE in Vietnam	SP in Vietnam	WP in Vietnam	GE in Vietnam	BF in Vietnam	Hydro in Vietnam
