Year	Men's singles	Women's singles	Men's doubles	Women's doubles
1950	Wong Peng Soon	Cecilia Samuel	Ong Poh Lim Ismail Marjan	Cecilia Samuel Hoi Sai Ying
1949	Wong Peng Soon	Helen Heng	Chan Kon Leong Yeoh Teck Chye	Amy Choong Cheah Kooi San
1948	Ooi Teik Hock	Helen Heng	Ooi Teik Hock Tan Kin Hong	Alice Pennefather Helen Heng
1947	Wong Peng Soon	Cecilia Samuel	Ooi Teik Hock Tan Kin Hong	Cecilia Samuel Molly Chin
1946 1942	No Competition	No Competition	No Competition	No Competition
1941	Wong Peng Soon	Lee Chee Neo	Chee Choon Wah Chee Choon Keng	Lee Chee Neo Lee Kim Leo
1940	Wong Peng Soon	Cecilia Chan	Ooi Teik Hock Tan Kin Hong	Lee Chee Neo Lee Kim Leo
1939	Seah Eng Hee	Cecilia Chan	Teh Gin Sooi Low Keat Soo	Chang Kon Neong Ida Lim
1938	Tan Chong Tee	Moey Chwee Lan	A. S. Samuel Chan Kon Leong	Chang Kon Neong Ida Lim
1937	A. S. Samuel	Alice Pennefather	A. S. Samuel Chan Kon Leong	Alice Pennefather Chiong Hiok Chor
