#	Cover Date	Story Title	Writer/s	Artist/s	Letterer/s	Colourist/s	Editor/s	Comments
61	17 May 1986	DEVASTATION DERBY! (Part 1)	Simon Furman	William Simpson	Mike Scott	John Burns	Ian Rimmer	Original UK Material
62	24 May 1986	DEVASTATION DERBY! (Part 2)	Simon Furman	William Simpson	Mike Scott	John Burns	Ian Rimmer	Original UK Material
63	31 May 1986	SECOND GENERATION! (Part 1)	Simon Furman	John Stokes	Mike Scott	Josie Firmin	Ian Rimmer	Original UK Material
64	7 June 1986	SECOND GENERATION! (Part 2)	Simon Furman	Barry Kitson and Tim Perkins	Mike Scott	W & P	Ian Rimmer	Original UK Material
65	14 June 1986	SECOND GENERATION! (Part 3)	Simon Furman	Jeff Anderson	Annie Halfacree	Tony Jozwiak	Ian Rimmer	Original UK Material
74	16 August 1986	IN THE NATIONAL INTEREST (Part 1)	Simon Furman	William Simpson	Annie Halfacree	John Burns	Ian Rimmer	Original UK Material
75	23 August 1986	IN THE NATIONAL INTEREST (Part 2)	Simon Furman	William Simpson (Pencils) & Dave Hine (Inks)	Annie Halfacree	John Burns	Ian Rimmer	Original UK Material
77	6 September 1986	IN THE NATIONAL INTEREST (Part 4)	Simon Furman	William Simpson	Annie Halfacree	Tony Jozwiak	Ian Rimmer	Original UK Material
78	13 September 1986	TARGET 2006 (Prologue)	Simon Furman	Jeff Anderson	Richard Starkings	Tony Jozwiak	Ian Rimmer	Original UK Material
79	20 September 1986	TARGET 2006 (PART 1)	Simon Furman	Jeff Anderson	Annie Halfacree	Tony Jozwiak	Ian Rimmer	Original UK Material
80	27 September 1986	TARGET 2006 (PART 2)	Simon Furman	William Simpson (Pencils) & Tim Perkins (Inks)	Annie Halfacree	Tony Jozwiak	Ian Rimmer	Original UK Material
81	4 October 1986	TARGET 2006 (PART 3)	Simon Furman	Jeff Anderson	Annie Halfacree	Tony Jozwiak	Ian Rimmer	Original UK Material
82	11 October 1986	TARGET 2006 (PART 4): WRECK AND RULE!	Simon Furman	Ron Smith	Richard Starkings	John Burns	Ian Rimmer	Original UK Material
83	18 October 1986	TARGET 2006 (PART 5): THE DEVIL YOU KNOW...	Simon Furman	Geoff Senior	Richard Starkings	Gina Hart	Ian Rimmer	Original UK Material
84	25 October 1986	TARGET 2006 (PART 6): TRIOS	Simon Furman	Geoff Senior	Richard Starkings	Gina Hart	Ian Rimmer	Original UK Material
85	1 November 1986	TARGET 2006 (PART 7)	Simon Furman	William Simpson (Pencils) & Tim Perkins (Inks)	Richard Starkings	Tony Jozwiak	Ian Rimmer	Original UK Material
86	8 November 1986	TARGET 2006 (PART 8)	Simon Furman	Geoff Senior	Annie Halfacree	Gina Hart	Ian Rimmer	Original UK Material
87	15 November 1986	TARGET 2006 (PART 9)	Simon Furman	Jeff Anderson	Annie Halfacree	Tony Jozwiak	Ian Rimmer	Original UK Material
88	22 November 1986	TARGET 2006 (EPILOGUE): AFTERMATH!	Simon Furman	William Simpson (Pencils) & Tim Perkins (Inks)	Richard Starkings	Gina Hart	Ian Rimmer	Original UK Material
93	27 December 1986	THE GIFT	James Hill	Martin Griffiths (Pencils) & Tim Perkins (Inks)	Robin Riggs	Steve White	Ian Rimmer	Original UK Material
96	17 January 1987	PREY (PART 1)	Simon Furman	William Simpson (Pencils) & Tim Perkins (Inks)	Annie Halfacree	Steve White	Ian Rimmer	Original UK Material
97	24 January 1987	PREY (PART 2)	Simon Furman	Jeff Anderson	Annie Halfacree	Steve White	Ian Rimmer	Original UK Material
98	31 January 1987	...THE HARDER THEY DIE!	Simon Furman	Geoff Senior	Annie Halfacree	Steve White	Ian Rimmer	Original UK Material
99	7 February 1987	UNDER FIRE!	Simon Furman	Jeff Anderson	Annie Halfacree	Steve White	Ian Rimmer	Original UK Material
100	14 February 1987	DISTANT THUNDER	Simon Furman	William Simpson (Pencils) & Tim Perkins (Inks)	Annie Halfacree	Steve White	Ian Rimmer	Original UK Material
101	21 February 1987	FALLEN ANGEL (PART 1)	Simon Furman	Geoff Senior	Annie Halfacree	Steve White	Ian Rimmer	Original UK Material
102	28 February 1987	FALLEN ANGEL (PART 2)	Simon Furman	Jeff Anderson	Annie Halfacree	Steve White	Ian Rimmer	Original UK Material
103	7 March 1987	RESURRECTION (PART 1)	Simon Furman	William Simpson	Annie Halfacree	Steve White	Ian Rimmer	Original UK Material
104	14 March 1987	RESURRECTION (PART 2)	Simon Furman	Jeff Anderson	Annie Halfacree	Steve White	Ian Rimmer	Original UK Material
113	16 May 1987	WANTED: GALVATRON - DEAD OR ALIVE (PART 1)	Simon Furman	Geoff Senior	Annie Halfacree	Steve White	Ian Rimmer	Original UK Material
114	23 May 1987	WANTED: GALVATRON - DEAD OR ALIVE (PART 2)	Simon Furman	William Simpson (Pencils) and Tim Perkins (Inks)	Richard Starkings	Steve White	Ian Rimmer	Original UK Material
115	30 May 1987	BURNING SKY (PART 1)	Simon Furman	Dan Reed	Richard Starkings	Steve White	Ian Rimmer	Original UK Material
116	6 June 1987	BURNING SKY (PART 2)	Simon Furman	Geoff Senior	Richard Starkings	Steve White	Ian Rimmer	Original UK Material
117	13 June 1987	HUNTERS (PART 1)	Simon Furman	William Simpson (Pencils) and Tim Perkins (Inks)	Richard Starkings	Steve White	Ian Rimmer	Original UK Material
119	27 June 1987	FIRE ON HIGH (PART 1)	Simon Furman	Dan Reed	Mike Scott	Steve White	Ian Rimmer	Original UK Material
