Franchise or Game	Console	Main Developer	Main Genre	First Release	Latest Release
Scud Race	Arcade	Amusement Vision	Racing game	1996	1997
Seaman	Dreamcast , PlayStation 2	Vivarium Inc. , Jellyvision	Simulation	1999	2007
Sega Bass Fishing	Arcade , Dreamcast , Wii	Wow Entertainment , SIMS Co., Ltd.	Sports game	1998	2008
Sega GT	Dreamcast , Xbox	Wow Entertainment	Racing game	2000	2003
Sega Touring Car Championship	Arcade , Sega Saturn , PC CD-ROM	Sega-AM3	Racing	1996	1998
Sega Worldwide Soccer	Saturn , Dreamcast	Sega , Silicon Dreams Studios	Sports game	1995	2000
Shenmue	Dreamcast , Xbox	Sega-AM2	Action-adventure game	1999	2010
Skies of Arcadia	Dreamcast , Nintendo GameCube	Overworks	Role-playing video game	2000	2002
Space Channel 5	Dreamcast , PlayStation 2 , Game Boy Advance	United Game Artists	Music video game	1999	2003
Space Harrier	Arcade , Sega Master System , Mega Drive/Genesis	Sega-AM2	Rail shooter	1985	2001
Spikeout	Arcade , Xbox	Sega , Dimps	Beat 'em up	1997	2005
Starhorse	Arcade	Sega	Horse racing	2000	2011
Star Wars Arcade	Arcade , Sega 32X	Sega , LucasArts , Sega Rosso	Action game	1993	1998
Super Monkey Ball	Arcade , Nintendo GameCube , Wii , PlayStation 2	Sega	Party	2001	2011
Super Thunder Blade	Arcade , Mega Drive/Genesis	Sega	Action game	1987	1988
Time Traveler	Arcade	Sega	Fighting game	1991	2001
The Conduit	Wii	High Voltage Software	First Person Shooter	2009	2011
ToeJam & Earl	Mega Drive/Genesis , Xbox	ToeJam & Earl Productions	Action-adventure game	1991	2002
Total War	Microsoft Windows	Creative Assembly	Turn-based strategy	2006	2011
Toy Commander	Dreamcast	No Cliché	Strategy , racing	1999	2000
Valkyria Chronicles	PlayStation 3 , PlayStation Portable	Overworks	Tactical role-playing game	2008	2011
Vectorman	Mega Drive/Genesis	BlueSky Software	Platform game	1995	1996
Virtua Cop	Arcade , Sega Saturn , PC	Sega-AM2	Rail shooter	1994	2002
Virtua Striker	Arcade , Dreamcast , Nintendo GameCube	Sega-AM2 , Amusement Vision	Sports game	1994	2006
Virtual On	Arcade , Sega Saturn , Dreamcast , PlayStation 2	Hitmaker , Sega	Action game	1995	2003
World Club Champion Football	Arcade	Sega	Sports game	2002	2010
World Series Baseball	Mega Drive/Genesis , Sega 32X , Dreamcast , Xbox	BlueSky Software , Visual Concepts	Sports game	1994	2003
Yakuza	PlayStation 2 , PlayStation 3	Sega	Action-adventure game	2005	2012
