League	Sport	Season	# of Teams	Games	Total attendance	Average attendance
Twenty20 Cup	Cricket ( Twenty20 )	2005	18	79	544820	6896
Premier Soccer League	Association football	2012–13	16	240	1613280	6722
J. League 2	Association football	2010	19	342	2290082	6696
Super League Greece	Association football	2010–11	16	240	1550826	6462
Major League Lacrosse	Field Lacrosse	2011	8	36	231023	6417
GNF 1	Association football	2007–08	16	240	1486800	6195
3. Liga	Association football	2012–13	20	380	2341685	6162
Pacific Coast League	Baseball	2012	16	1125	6796157	6052
Liga de Fútbol Profesional Boliviano	Association football	2008	12	122	750056	6148
Primera División (Chile)	Association football	2009	18	329	1833853	5574
Venezuelan Primera División	Association football	2011–12	18	305	1621472	5349
Campeonato Brasileiro Série C	Association football	2010	20	94	498253	5301
Serie B	Association football	2010–11	22	462	2424114	5247
Texas League	Baseball	2011	8	542	2822109	5207
Peruvian Primera División	Association football	2011	16	240	1242615	5178
Campeonato Brasileiro Série B	Association football	2010	20	380	1949780	5131
Qatar Stars League	Association football	2010–11	12	132	669679	5073
Liga I	Association football	2010–11	18	305	1535390	5034
Campeonato Ecuatoriano de Futbol	Association football	2010	12	261	1103873	4906
Top League	Rugby union	2010–11	14	94	458770	4881
Eastern League	Baseball	2011	12	806	3923381	4868
Liga Mexicana de Béisbol	Baseball	2012	16	849	3814348	4492
Thai Premier League	Association football	2011	18	306	1399094	4572
Gambrinus liga	Association football	2010–11	16	240	1078080	4492
Russian National Football League	Association football	2012–13	17	272	880689	3238
Football League Two	Association football	2011–12	24	552	2433284	4408
China League One	Association football	2009	13	156	671793	4306
Rugby Pro D2	Rugby union	2011–12	16	243	1025910	4222
Saudi Professional League	Association football	2010–11	14	182	765162	4204
Uruguayan Primera División	Association football	2011–12 Apertura	16	120	498549	4155
Eerste Divisie	Association football	2011–12	18	306	1266840	4140
Kazakhstan Super League	Association football	2010	12	192	794304	4137
Russian Bandy Super League	Bandy	2012–13	14	204	552619	2709
Atlantic League	Baseball	2011	8	474	1944463	4102
Speedway First League	Motorcycle speedway	2010	8	71	322300	3930
Israeli Premier League	Association football	2010–11	16	276	1087215	3939
United Football League	American football	2012	4	8	27447	3921
Mexican Pacific League	Baseball	2005	8	864	322958	3844
Serbian SuperLiga	Association football	2011–12	16	240	913680	3807
Soproni Liga	Association football	2011–12	16	240	918720	3828
South Australian National Football League	Australian rules football	2011	9	102	362209	3236
Midwest League	Baseball	2011	16	1061	3983282	3754
CPBL	Baseball	2009	4	240	898278	3742
Women's Professional Soccer	Women's association football	2010	8	90	323554	3595
New York - Penn League	Baseball	2011	14	499	1749891	3507
Carolina League	Baseball	2011	8	519	1789629	3448
South Atlantic League	Baseball	2011	14	1098	3125934	3358
Southern League	Baseball	2011	10	671	2175505	3242
UAE Pro-League	Association football	2010–11	12	132	427680	3240
County Cricket Championships	Cricket	2005	18	144	462919	3215
I Liga	Association football	2009–10	18	306	966960	3160
American Association	Baseball	2011	14	686	2162269	3152
Cypriot First Division	Association football	2009–10	14	240	555840	3088
Northwest League	Baseball	2011	8	304	913986	3007
Paraguayan Primera División	Association football	2011	12	264	690368	2615
Speedway Second League	Motorcycle speedway	2009	7	56	143600	2564
Scottish Football League First Division	Association football	2010–11	10	180	452880	2516
Frontier League	Baseball	2011	12	557	1411913	2535
Belarusian Premier League	Association football	2007	16	240	594000	2475
Superettan	Association football	2012	16	240	589457	2456
Slovak First League	Association football	2009–10	12	198	478566	2417
West Australian Football League	Australian rules football	2011	9	92	208989	2272
California League	Baseball	2011	10	692	1593398	2303
Pioneer League	Baseball	2011	8	301	670886	2229
Premier League Malaysia	Association football	2005	12	168	372624	2218
Veikkausliiga	Association football	2010	14	182	403579	2217
RFU Championship [D ]	Rugby union	2009–10	12	132	287262	2176
Conference National	Association football	2011–12	24	462	933240	2020
Prva HNL	Association football	2010–11	16	240	477840	1991
Bulgarian A Professional Football Group	Association football	2010–11	16	240	451920	1883
Can-Am League	Baseball	2012	8	340	627448	2087
Azerbaijan Premier League	Association football	2009–10	12	132	246972	1871
Regionalliga Nordost	Association football	2012–13	16	240	434272	1809
North American League	Baseball	2012	8	373	634880	1114
Co-operative Championship	Rugby league	2010	11	116	217165	1771
Russian Second Division	Association football	2006	81	1311	2215310	1690
League of Ireland Premier Division	Association football	2010	10	180	290160	1612
Florida State League	Baseball	2011	12	790	1296962	1642
BiH Premijer Liga A	Association football	2010–11	16	240	375120	1563
Elitserien	Bandy	2011–12	14	182	284284	1562
Superpesis	Pesäpallo	2008	12	144	206441	1434
First Macedonian Football League	Association football	2006–07	12	198	280764	1418
S.League	Association football	2010	12	198	280566	1417
Úrvalsdeild	Association football	2010	12	132	159060	1205
Slovenian PrvaLiga	Association football	2010–11	10	180	216000	1200
Hong Kong First Division League	Association football	2011–12	10	90	104150	1157
Australian Baseball League	Baseball	2012–13	6	136	275808	2028
Montenegrin First League	Association football	2009–10	12	198	194238	981
