Barangay	Population (2010)	Economic Class	Land Area (In sqm.)	Punong Barangay (Term 2010-2013)
Carikkikan Sur	170	Rural	235	Arnold G. Apalla
Camunatan	2,771	Rural	9,415	Samuel G. Mamuri
Capellan	2,771	Rural	210	Edilberto G. Delos Santos
Capo	836	Rural	235	Carlito E. Esteban
Centro-San Antonio	3,739	Rural	290	Dante D. Cayapan
Centro Poblacion	663	Urban	8,315	Eufacio Paguirigan
Fugu	1,557	Rural	245	Rosemarie G. Apolonio
Fuyo	929	Rural	825	Santos C. Cabanilla III
Gayong-gayong Norte	721	Rural	245	Francisco R. Cristobal
Gayong-gayong Sur	1,006	Rural	245	Danilo R. Macugay
Guinatan	1,654	Urban	9,015	Mario Bong T. Cabildo
Imelda Bliss Village	5,130	Urban	815	Cecilio G. Jacinto
Lullutan	1,665	Rural	715	Esmeraldo M. Malana
Malalam	1,697	Rural	11,015	Melchor B. Asuncion
Malasin (Angeles)	1,058	Rural	112	Francisco R. Justo
Manaring	1,868	Rural	5,815	Bernardo C. Bulauan
Mangcuram	820	Rural	1,215	Roldan P. Lodivico
Marana 1st	1,408	Urban	9,515	Gregorio S. Ballesteros
Marana 2nd	571	Rural	2,230	Juanito A. Prudencio
Marana 3rd	650	Urban	10,215	Rowena M. Gomez
Minabang	1,403	Rural	215	Jaime T. Santos
Morado	829	Rural	225	Teresa A. Gangan
Naguilian Norte	2,604	Rural	765	Francisco A. Cascue
Naguilian Sur	1,103	Rural	765	Ferdinand C. Salvador
Namnama	1,532	Rural	235	Roldan P. Simon
Nanaguan	482	Rural	235	Milagros T. Fabros
Osmeña (Sinippil)	2,762	Urban	7,815	Manolo B. Acosta
Paliueg	1,380	Rural	135	Nelson B. Layugan
Pasa	845	Rural	125	Rogelio G. Aquino
Pilar	794	Rural	125	Ferdinand T. Tabliago
Quimalabasa	315	Rural	215	Rogelio S. Agamata
Rang-ayan (Bintacan)	1,266	Rural	235	Juanito V. Gonzales
Rugao	1,067	Rural	11,315	Diosdado M. Bermudez
Salindingan	1,119	Rural	175	Danny T. Adorable
San Andres (Angarilla)	966	Rural	1,862	Venturito C. Marayag
San Felipe	991	Rural	8,815	Ferdinand P. Bielgo
San Ignacio (Canapi)	2,496	Rural	192	Artemoio M. Baymosa
San Isidro	1,312	Rural	9,815	John C. Almazan
San Juan	1,669	Rural	5,515	Rodolfo M. Bermudez
San Lorenzo	1,043	Rural	235	Agustin C. Agamata
San Pablo	322	Rural	235	Eugene S. Resureccion
San Rodrigo	1,105	Rural	235	Benito G. Bernardez
San Vicente	2,509	Urban	8,515	Victor C. Somera
Sta. Barbara	1,357	Urban	4,615	Raymund A. Gangan
Sta. Catalina	880	Rural	390	Jimmy C. Peralta
Sta. Isabel Norte	2,203	Rural	190	Franklin P. Bolibol
Sta. Isabel Sur	4,331	Rural	190	Joseph D. Uy
Sta. Victoria	1,265	Rural	135	Jose M. Ido
Sto. Tomas	884	Rural	190	Randyson R. Castillo
Sifu	1,317	Rural	135	Ismael G. Jimenez
Sindon Bayabo	2,010	Rural	135	Carlina R. Gabriel
Sindon Maride	635	Rural	135	George A. De Guzman
Sipay	517	Rural	112	Charles C. Cabanilla
Tangcul	1,120	Rural	290	Fernando C. Cabangan
Villa Imelda (Maplas)	959	Rural	135	Cesar E. Aban
