Name	Party	Province (Division)	Date appointed	Appointed by	Left office
Marcel Prud'homme	Independent	Québec (La Salle)	May 26, 1993	Mulroney	incumbent
Pierrette Ringuette	Liberal	New Brunswick	December 12, 2002	Chrétien	incumbent
Jean-Claude Rivest	Independent	Québec (Stadacona)	March 11, 1993	Mulroney	incumbent
Fernand Robichaud	Liberal	New Brunswick (Saint Louis de Kent)	September 23, 1997	Chrétien	incumbent
William H. Rompkey	Liberal	Newfoundland and Labrador (North West River)	September 22, 1995	Chrétien	incumbent
Nancy Ruth	Progressive Conservative	Ontario (Toronto)	March 24, 2005	Martin	incumbent
Hugh Segal	Conservative	Ontario (Kingston)	August 2, 2005	Martin	incumbent
Nick Sibbeston	Liberal	Northwest Territories	September 2, 1999	Chrétien	incumbent
David Paul Smith	Liberal	Ontario (Cobourg)	June 25, 2002	Chrétien	incumbent
Mira Spivak	Independent	Manitoba (Manitoba)	November 17, 1986	Mulroney	incumbent
Gerry St. Germain	Conservative	British Columbia (Langley-Pemberton-Whistler)	June 23, 1993	Mulroney	incumbent
Peter Alan Stollery	Liberal	Ontario (Bloor & Yonge/Toronto)	July 2, 1981	Trudeau	incumbent
Terrance Richard Stratton	Conservative	Manitoba (Red River)	March 25, 1993	Mulroney	incumbent
Claudette Tardif	Liberal	Alberta (Edmonton)	March 24, 2005	Martin	incumbent
David Tkachuk	Conservative	Saskatchewan	June 8, 1993	Mulroney	incumbent
Marilyn Trenholme Counsell	Liberal	New Brunswick	September 9, 2003	Chrétien	incumbent
Charlie Watt	Liberal	Québec (Inkerman)	January 16, 1984	Trudeau	incumbent
Rod Zimmer	Liberal	Manitoba (Winnipeg)	August 2, 2005	Martin	incumbent
