State	City	Population	Violent Crime	Murder and Non-Negligent Manslaughter	Forcible Rape	Robbery	Aggravated Assault	Property Crime	Burglary	Larceny-Theft	Motor Vehicle Theft
Kentucky	Lexington	302332	352.6	4.0	33.7	200.4	114.4	4,431.9	944.0	3,188.9	299.0
Nebraska	Lincoln	264175	397.5	1.1	68.9	74.6	252.9	3,850.1	611.7	3,120.7	117.7
California	Long Beach	469893	575.7	6.8	24.5	263.7	280.7	3,007.3	808.5	1,639.1	559.7
California	Los Angeles	3855122	481.1	7.8	24.3	233.0	216.1	2,269.1	425.1	1,452.8	391.3
Kentucky	Louisville Metro	666200	598.8	9.3	27.5	209.2	352.7	4,293.9	1,051.9	2,913.7	328.3
Tennessee	Memphis	657436	1,750.3	20.2	63.9	514.4	1,151.7	6,312.9	1,912.7	3,948.5	451.6
Arizona	Mesa	451391	399.7	3.1	38.1	103.9	254.5	3,132.5	593.9	2,342.1	196.5
Florida	Miami	414327	1,172.0	16.7	15.7	505.9	633.8	5,375.2	1,027.0	3,693.9	654.3
Wisconsin	Milwaukee	599395	1,294.5	15.2	38.4	505.0	735.9	5,043.1	1,164.0	3,077.8	801.3
Minnesota	Minneapolis	390240	992.2	10.0	103.3	440.5	438.4	4,960.8	1,225.4	3,269.8	465.6
Alabama	Mobile	251516	522.4	12.7	17.9	182.9	308.9	4,812.0	1,111.7	3,480.9	219.5
Tennessee	Nashville	620886	1,216.0	10.0	50.1	277.7	878.3	4,195.9	923.8	3,041.6	230.5
Louisiana	New Orleans	362874	815.2	53.2	37.5	293.5	431.0	3,772.4	943.3	2,218.7	610.4
New York	New York	8289415	639.3	5.1	14.0	243.7	376.5	1,722.2	224.8	1,398.6	98.8
New Jersey	Newark	278906	1,154.5	34.4	19.7	708.5	391.9	3,656.8	768.7	1,467.5	1,420.6
California	Oakland	399487	1,993.3	31.8	67.8	1,085.9	807.8	6,594.0	1,544.0	3,303.7	1,746.2
Oklahoma	Oklahoma City	595607	919.1	14.3	65.3	203.0	636.5	5,941.8	1,654.4	3,553.0	734.4
Nebraska	Omaha	417970	594.5	9.8	44.7	195.0	345.0	4,588.4	792.2	3,139.0	657.2
Pennsylvania	Philadelphia	1538957	1,160.1	21.5	57.2	518.8	562.6	3,703.6	780.0	2,507.7	415.9
Arizona	Phoenix	1485509	636.7	8.3	37.4	236.7	354.3	4,091.3	1,205.8	2,401.7	483.8
Pennsylvania	Pittsburgh	312112	752.0	13.1	15.1	363.3	360.4	3,425.4	812.8	2,438.2	174.3
Texas	Plano	273816	130.7	0.4	20.1	40.2	70.1	2,356.7	399.9	1,841.7	115.0
Oregon	Portland	598037	517.2	3.3	38.6	158.9	316.4	5,092.3	747.6	3,745.3	599.5
North Carolina	Raleigh	420594	423.2	4.0	26.9	158.1	234.2	3,276.1	721.8	2,332.9	221.4
California	Riverside	313532	443.0	5.1	24.2	164.9	248.8	3,450.4	716.7	2,262.9	470.8
California	Sacramento	476557	738.6	7.1	26.2	254.1	451.2	4,189.8	938.8	2,548.9	702.1
Texas	San Antonio	1380123	503.1	6.4	39.8	135.1	321.8	5,989.9	1,135.3	4,393.3	461.3
California	San Diego	1338477	413.1	3.5	22.7	113.3	273.5	2,368.4	440.9	1,433.6	493.8
California	San Francisco	820363	704.2	8.4	13.2	424.7	257.9	4,741.6	648.1	3,442.6	650.8
California	San Jose	976459	363.3	4.6	28.7	123.7	206.3	2,914.9	533.2	1,484.8	897.0
California	Santa Ana	332482	401.2	3.3	16.5	162.7	218.7	2,222.4	310.4	1,437.4	474.6
Washington	Seattle	626865	597.6	3.7	19.0	226.7	348.2	5,093.8	1,040.6	3,485.9	567.3
Missouri	St. Louis	318667	1,776.5	35.5	62.4	557.9	1,120.6	6,902.2	1,564.6	4,242.7	1,094.9
Minnesota	St. Paul	290700	722.7	4.5	57.8	226.4	434.1	4,091.2	1,083.6	2,386.7	620.9
California	Stockton	299105	1,548.0	23.7	30.1	520.2	973.9	5,101.2	1,476.4	2,788.0	836.8
Florida	Tampa	350758	616.4	6.6	12.3	163.4	434.2	2,835.9	705.9	1,956.9	173.1
Ohio	Toledo	286020	1,171.9	13.6	60.1	393.7	704.5	N/A	2,352.6	N/A	466.4
Arizona	Tucson	531535	724.5	8.1	44.0	237.0	435.3	N/A	944.6	N/A	470.1
Oklahoma	Tulsa	398904	990.0	10.5	79.2	266.2	634.0	5,216.0	1,563.0	3,048.9	604.2
Virginia	Virginia Beach	447588	169.4	4.7	13.0	72.8	78.9	2,617.8	351.4	2,158.7	107.7
District of Columbia	Washington	632323	1,177.9	13.9	37.3	589.1	537.5	4,628.0	556.5	3,510.2	561.3
