Rank	Nation	Sport	Years	Games	Gold	Silver	Bronze	Total
78	Hungary	Gymnastics	1952–1956	Summer	2	2	4	8
78	Soviet Union	Gymnastics	1956–1960	Summer	2	2	4	8
78	Russia	Diving	1992–2008	Summer	2	2	4	8
78	United States	Short track speed skating	2002–2010	Winter	2	2	4	8
82	Great Britain	Cycling	2000–2012	Summer	6	1	0	7
83	Hungary	Fencing	1936–1960	Summer	6	0	1	7
84	Japan	Gymnastics	1960–1968	Summer	5	2	0	7
84	United States	Swimming	2000–2008	Summer	5	2	0	7
86	United States	Shooting	1920	Summer	5	1	1	7
86	Finland	Speed skating	1924–1928	Winter	5	1	1	7
86	Germany	Equestrian	1956–1976	Summer	5	1	1	7
86	United States	Swimming	1984–1992	Summer	5	1	1	7
86	Hungary	Swimming	1988–1996	Summer	5	1	1	7
86	Russia	Cross-country skiing	1992–1998	Winter	5	1	1	7
92	France	Fencing	1920–1928	Summer	4	3	0	7
92	Romania	Canoeing	1968–1984	Summer	4	3	0	7
94	Norway	Shooting	1908–1924	Summer	4	2	1	7
94	Norway	Speed skating	1928–1936	Winter	4	2	1	7
96	United States	Swimming	1904–1908	Summer	4	1	2	7
96	United States	Shooting	1920	Summer	4	1	2	7
96	Great Britain	Cycling	2000–2012	Summer	4	1	2	7
96	Japan	Swimming	2004–2012	Summer	4	1	2	7
96	Australia	Swimming	2004–2012	Summer	4	1	2	7
101	Finland	Cross-country skiing	1952–1960	Winter	3	3	1	7
101	Norway	Cross-country skiing	2002–2010	Winter	3	3	1	7
103	Finland	Cross-country skiing	1960–1968	Winter	3	2	2	7
103	Poland	Athletics	1964–1976	Summer	3	2	2	7
103	Sweden	Canoeing	1984–1996	Summer	3	2	2	7
103	Netherlands	Swimming	2000–2004	Summer	3	2	2	7
103	Jamaica	Athletics	2000–2012	Summer	3	2	2	7
108	Australia	Athletics	1948–1956	Summer	3	1	3	7
108	Romania	Gymnastics	1996–2000	Summer	3	1	3	7
110	Finland	Cross-country skiing	1984–1994	Winter	3	0	4	7
110	Russia	Cross-country skiing	1992–1998	Winter	3	0	4	7
112	Italy	Fencing	1928–1936	Summer	2	5	0	7
112	Soviet Union	Gymnastics	1952	Summer	2	5	0	7
114	United States	Swimming	1996–2004	Summer	2	4	1	7
114	Russia	Gymnastics	1996–2004	Summer	2	4	1	7
114	Zimbabwe	Swimming	2004–2008	Summer	2	4	1	7
117	Hungary	Fencing	1960–1976	Summer	2	3	2	7
117	East Germany	Gymnastics	1968–1972	Summer	2	3	2	7
119	United States	Gymnastics	1992–1996	Summer	2	2	3	7
119	Italy	Cross-country skiing	1992–1998	Winter	2	2	3	7
