YEAR	DATE	CHAMPION	BEAT	TIME	COURSE
1874	Apr 16th	Joseph Sadler (GBR)	Robert Bagnall (GBR)	24 mins 15 secs	Thames (Putney to Mortlake)
1875	Nov 15th	Joseph Sadler (GBR)	Robert W Boyd (GBR)	28 mins 5 secs	Thames (Putney to Mortlake)
1876	Jun 27th	Edward Trickett (AUS)	Joseph Sadler (GBR)	24 mins 35 secs	Thames (Putney to Mortlake)
1877	Jun 30th	Edward Trickett (AUS)	Michael Rush (rower) (AUS)	23 mins 27secs	Parramatta, Sydney
1879	Aug 29th	Edward Trickett (AUS)	Elias C. Laycock (AUS)	23 mins 29 secs	Parramatta, Sydney
1880	Nov 15th	Edward Hanlan (CAN)	Edward Trickett (AUS)	26 mins 12 secs	Thames (Putney to Mortlake)
1881	Feb 14th	Edward Hanlan (CAN)	Elias C. Laycock (AUS)	25 mins 49 secs	Thames (Putney to Mortlake)
1882	Apr 3rd	Edward Hanlan (CAN)	Robert W Boyd (GBR)	21 mins 25 secs	Tyne
1882	May 1	Edward Hanlan (CAN)	Edward Trickett (AUS)	28 mins	Thames (Putney to Mortlake)
1883	May 30	Edward Hanlan (CAN)	John A Kennedy (USA)	19 min 4 sec	Point of Pines, Boston USA
1883	July 18	Edward Hanlan (CAN)	Wallace Ross (CAN)	27 min 57.5 secs	Odensberg, New York, USA
1884	May 22	Edward Hanlan (CAN)	Elias C. Laycock (AUS)	22 mins 46 secs	Nepean, Sydney
1884	Aug 16th	Bill Beach (AUS)	Edward Hanlan (Can)	20 mins 28 secs	Parramatta, Sydney
1885	Feb 28th	Bill Beach (AUS)	Thomas Clifford (AUS)	26 mins 1 sec	Parramatta, Sydney
1885	Mar 28th	Bill Beach (AUS)	Edward Hanlan (Can)	22 mins 51 secs	Parramatta, Sydney
1885	Dec 18th	Bill Beach (AUS)	Neil Matterson (AUS)	24 mins 11 sec	Parramatta, Sydney
1886	Sep 18th	Bill Beach (AUS)	Jake Gaudaur Snr. (CAN)	22 mins 29 sec	Thames (Putney to Mortlake)
1886	Sep 25th	Bill Beach (AUS)	Wallace Ross (CAN)	23 min 5 sec	Thames (Putney to Mortlake)
1887	Nov 26th	Bill Beach (AUS)	Edward Hanlan (Can)	19 mins 25 sec	Nepean, Sydney
1888	Feb 11th	Peter Kemp (AUS)	Thomas Clifford (AUS)	23 mins 27secs	Parramatta, Sydney
1888	May 5	Peter Kemp (AUS)	Edward Hanlan (Can)	21 mins 36 sec	Parramatta, Sydney
1888	Sep 28th	Peter Kemp (AUS)	Edward Hanlan (Can)	21 mins 25 secs	Parramatta, Sydney
1888	Oct 27th	Henry Ernest Searle (AUS)	Peter Kemp (AUS)	22 mins 44 secs	Parramatta, Sydney
1889	Sep 9th	Henry Ernest Searle (AUS)	William Joseph O'Connor (CAN)	22 mins 42 sec	Thames (Putney to Mortlake)
1890	Apr 25th	Peter Kemp (AUS)	Neil Matterson (AUS)	21 mins 13 sec	Parramatta, Sydney
1890	May 15	Peter Kemp (AUS)	John McLean (AUS)	21 mins 45 sec	Parramatta, Sydney
1890	Dec 15th	John McLean (AUS)	Peter Kemp (AUS)	22 mins 13 secs	Parramatta, Sydney
1891	Apr 28th	Jim Stanbury * (AUS)	John McLean (AUS)	22 mins 15 secs	Parramatta, Sydney
1891	Jul 7th	Jim Stanbury * (AUS)	John McLean (AUS)	18 mins 25 secs	Parramatta, Sydney (short Course)
1892	May 2	Jim Stanbury * (AUS)	Tom Sullivan (NZL)	17 mins 26 secs	Parramatta, Sydney (short Course)
1896	Jul 13th	Jim Stanbury * (AUS)	Charles R. Harding (GBR)	21 mins 51 secs	Thames (Putney to Mortlake)
1896	Sep 7th	Jake Gaudaur Snr. (CAN)	Jim Stanbury (AUS)	23 mins 1 sec	Thames (Putney to Mortlake)
1898	Jly 4th	Jake Gaudaur Snr. (CAN)	Robert Johnston (CAN)	20 mins 25 sec	Vancouver Harbour
1901	Sep 7th	George Towns (AUS)	Jake Gaudaur Snr. (CAN)	20 mins 30 sec	Lake of the Woods, Ontario
1904	Jul 30th	George Towns (AUS)	Richard Tresidder (AUS)	21 mins 28 sec	Parramatta, Sydney
1905	Jul 22nd	Jim Stanbury * (AUS)	George Towns (AUS)	19 mins 4 sec	Parramatta, Sydney
1906	Jul 28th	George Towns (AUS)	Jim Stanbury (AUS)	19 mins 53 sec	Parramatta, Sydney
1907	Mar 2nd	George Towns (AUS)	Edward Durnan (CAN)	22 mins 27 secs	Nepean, Sydney
1907	Aug 3rd	William Webb (NZL)	Charles Towns (AUS)	20 mins 35 secs	Parramatta, Sydney
1908	Feb 25th	William Webb (NZL)	Richard Tresidder (AUS)	20 mins 28 secs	Wanganui, New Zealand
1908	Dec 15th	Richard Arnst (NZL)	William Webb (NZL)	19 mins 51 secs	Wanganui, New Zealand
1909	Jun 21st	Richard Arnst (NZL)	William Webb (NZL)	18 mins 15 secs	Wanganui, New Zealand
1910	Apr 4th	Richard Arnst (NZL)	George Whelch (NZL)	21 mins 51 secs	Akaroa Harbour, New Zealand
1910	Aug 18th	Richard Arnst (NZL)	Ernest Barry (GBR)	20 mins 14 secs	Zambezi River, Northern Rhodesia
1911	Jul 29th	Richard Arnst (NZL)	Harry Pearce (AUS)	19 mins 46 secs	Parramatta, Sydney
1912	Jul 29th	Ernest Barry (GBR)	Richard Arnst (NZL)	23 mins 8 secs	Thames (Putney to Mortlake)
1912	Oct 14th	Ernest Barry (GBR)	Edward Durnan (CAN)	22 mins 31 secs	Thames (Putney to Mortlake)
1913	Jul 21st	Ernest Barry (GBR)	Harry Pearce (AUS)	24 mins 9 secs	Thames (Putney to Mortlake)
1914	Sep 7th	Ernest Barry (GBR)	Jim Paddon (AUS)	21 mins 28 sec	Thames (Putney to Mortlake)
1919	Oct 27th	Alf Felton (AUS)	Ernest Barry (GBR)	25 mins 40 secs	Thames (Putney to Mortlake)
1920	Aug 31st	Ernest Barry (GBR)	Alf Felton (AUS)	24 mins 32 sec	Parramatta, Sydney
1921	Jun 11th	Richard Arnst (NZL)	Pat Hannan (NZL)	22 mins 34 sec	Wairau, New Zealand
1922	Jan 5th	Darcy Hadfield (NZL)	Richard Arnst (NZL)	19 mins 46 secs	Wanganui, New Zealand
1922	Apr 18th	Jim Paddon (AUS)	Darcy Hadfield (NZL)	19 mins 19 secs	Wanganui, New Zealand
1923	Jul 21st	Jim Paddon (AUS)	Darcy Hadfield (NZL)	19 mins 46 secs	Richmond
1924	Aug 12th	Jim Paddon (AUS)	Alf Felton (AUS)	17 mins 55 secs	Brisbane
1924	Sep 20th	Jim Paddon (AUS)	Major Goodsell (AUS)	17 mins 7 secs	Richmond
1925	Mar 21st	Major Goodsell (AUS)	Bill McDevitt (AUS)	22 mins 20 secs	Clarence
1925	Jun 27th	Major Goodsell (AUS)	Pat Hannan (NZL)	21 mins 31 secs	Parramatta, Sydney
1925	Nov 7th	Major Goodsell (AUS)	Jim Paddon (AUS)	22 mins 50 secs	Parramatta, Sydney
1926	May 3	Major Goodsell (AUS)	Tom Saul (AUS)	23 mins 11 sec	Parramatta, Sydney
1927	Sep 5th	Major Goodsell (AUS)	Bert Barry (GBR)	24 mins 13 secs	Burrand Inlet, Vancouver
1927	Dec 6th	Bert Barry (GBR)	Major Goodsell (AUS)	21 mins 40 secs	Burrand Inlet, Vancouver
1930	May 31	Ted Phelps (GBR)	Bert Barry (GBR)	22 mins 45 secs	Thames (Putney to Mortlake)
1930	Oct 11th	Ted Phelps (GBR)	Bert Barry (GBR)	22 mins 48 secs	Thames (Putney to Mortlake)
1932	Sep 5th	Ted Phelps (GBR)	Major Goodsell (USA)	17 mins 2 secs	Long Beach, California
1933	Sep 1st	Henry "Bobby" Pearce (CAN)	Ted Phelps (GBR)	19 mins 26 secs	Lake Ontario,
1934	Sep 5th	Henry "Bobby" Pearce (CAN)	W G Miller (USA)	19 mins 52 secs	Toronto
1938	Sep 9th	Henry "Bobby" Pearce (CAN)	Evans Paddon (AUS)	20 mins 35 secs	Tornoto
1948	Nov 20th	Evans Paddon (AUS)	Max Fisher (AUS)	17 mins 20 secs	Parramatta, Sydney
1949	May 7	George Cook (AUS)	Evans Paddon (AUS)	15mins 09 secs	Evans River
1950	April 22	Evans Paddon (AUS)	George Cook (AUS)	21mins 58 secs	Evans River
1952	April 5	Jim Saul (AUS)	Evans Paddon (AUS)	20 min 33 secs	Richmond River
1952	Sept 13th	Evans Paddon (AUS)	Jim Saul (AUS)	21 min 50 secs	Richmond River
1953	June 13	Evans Fischer (AUS)	Evans Paddon (AUS)	20 min 55 secs	Richmond River
1954	Aug 7th	Evans Fischer (AUS)	Evans Paddon (AUS)	20min 57 secs	Clarence River
1957	May 25	Evans Fischer (AUS)	Evans Paddon (AUS)	20min 46 secs	Clarence River
