Region	Country	Total Population (2011 est)	Hindu % of population	Hindu total
East Africa	Tanzania	39,384,223	0.9%	354,458
Southeast Asia	Thailand	65,068,149	0.1%	2,928
Caribbean	Trinidad and Tobago	1,056,608	22.5%	237,737
East Africa	Uganda	30,262,610	0.2% – 0.8%	60,525 – 242,101
Middle East	United Arab Emirates	4,444,011	21.25%	944,352
Western Europe	United Kingdom	60,776,238	1.7%	832,000
North America	United States	307,006,550	0.4%	1,204,560
Central Asia	Uzbekistan	27,780,059	0.01% (approx)	2,778
Southeast Asia	Vietnam	85,262,356	0.059%	50,305
Middle East	Yemen	22,230,531	0.7%	155,614
Southern Africa	Zambia	11,477,447	0.14%	16,068
Southern Africa	Zimbabwe	12,311,143	0.1%	123,111
Total	Total	7,000,000,000	15.48	1,083,800,358–1,101,518,322
