Date	Result	Score	Venue	Competition
06-Oct-06	D	0–0	Amman , Jordan	2006 LG Cup
11-Oct-06	W	2–0	Taipei , Republic of China	2007 Asian Cup Qualifier
15-Nov-06	W	2–0	Tehran , Iran	2007 Asian Cup Qualifier
12-Jan-07	W	2–0	Abu Dhabi , United Arab Emirates	Friendly
07-Feb-07	D	2–2	Tehran , Iran	Friendly
24-Mar-07	W	1–0	Doha , Qatar	Friendly
02-Jun-07	L	0–4	San Luis Potosí , Mexico	Friendly
16-Jun-07	D	0–0	Amman , Jordan	2007 WAFF Championship
20-Jun-07	W	2–0	Amman , Jordan	2007 WAFF Championship
22-Jun-07	W	1–0	Amman , Jordan	2007 WAFF Championship
24-Jun-07	W	2–1	Amman , Jordan	2007 WAFF Championship
02-Jul-07	W	8–1	Tehran , Iran	Friendly
11-Jul-07	W	2–1	Kuala Lumpur , Malaysia	2007 Asian Cup
15-Jul-07	D	2–2	Kuala Lumpur , Malaysia	2007 Asian Cup
18-Jul-07	W	2–0	Kuala Lumpur , Malaysia	2007 Asian Cup
22-Jul-07	D	0–0	Kuala Lumpur , Malaysia	2007 Asian Cup
10-Jan-08	D	0–0	Doha , Qatar	Friendly
30-Jan-08	D	0–0	Tehran , Iran	Friendly
06-Feb-08	D	0–0	Tehran , Iran	2010 World Cup Qualifier
21-Mar-08	L	0–1	Riffa , Bahrain	Friendly
26-Mar-08	D	2–2	Tehran , Iran	2010 World Cup Qualifier
25-May-08	W	3–2	Tehran , Iran	Friendly
02-Jun-08	D	0–0	Tehran , Iran	2010 World Cup Qualifier
07-Jun-08	W	1–0	Al-Ain , United Arab Emirates	2010 World Cup Qualifier
14-Jun-08	W	2–0	Damascus , Syria	2010 World Cup Qualifier
22-Jun-08	W	2–0	Tehran , Iran	2010 World Cup Qualifier
07-Aug-08	W	3–0	Tehran , Iran	2008 WAFF Championship
11-Aug-08	W	6–1	Tehran , Iran	2008 WAFF Championship
13-Aug-08	W	2–0	Tehran , Iran	2008 WAFF Championship
15-Aug-08	W	2–1	Tehran , Iran	2008 WAFF Championship
27-Aug-08	W	1–0	Tehran , Iran	Friendly
06-Sep-08	D	1–1	Riyadh , Saudi Arabia	2010 World Cup Qualifier
15-Oct-08	W	2–1	Tehran , Iran	2010 World Cup Qualifier
09-Nov-08	W	1–0	Doha , Qatar	Friendly
19-Nov-08	D	1–1	Abu Dhabi , United Arab Emirates	2010 World Cup Qualifier
16-Dec-08	L	0–1	Muscat , Oman	2008 Oman Cup
18-Dec-08	W	2–0	Muscat , Oman	2008 Oman Cup
09-Jan-09	W	3–1	Tehran , Iran	Friendly
14-Jan-09	W	6–0	Tehran , Iran	2011 Asian Cup Qualifier
28-Jan-09	D	0–0	Bangkok , Thailand	2011 Asian Cup Qualifier
11-Feb-09	D	1–1	Tehran , Iran	2010 World Cup Qualifier
14-Mar-09	W	1–0	Tehran , Iran	Friendly
23-Mar-09	W	1–0	Kuwait City , Kuwait	Friendly
28-Mar-09	L	1–2	Tehran , Iran	2010 World Cup Qualifier
01-Apr-09	D	1–1	Tehran , Iran	Friendly
01-Jun-09	L	0–1	Qinhuangdao , China	Friendly
06-Jun-09	D	0–0	Pyongyang , North Korea	2010 World Cup Qualifier
10-Jun-09	W	1–0	Tehran , Iran	2010 World Cup Qualifier
17-Jun-09	D	1–1	Seoul , South Korea	2010 World Cup Qualifier
05-Jul-09	D	1–1	Gaborone , Botswana	Friendly
12-Aug-09	W	3–2	Sarajevo , Bosnia and Herzegovina	Friendly
31-Aug-09	L	2–4	Riffa , Bahrain	Friendly
05-Sep-09	D	0–0	Tashkent , Uzbekistan	Friendly
10-Nov-09	W	1–0	Tehran , Iran	Friendly
14-Nov-09	W	1–0	Tehran , Iran	2011 Asian Cup Qualifier
18-Nov-09	D	1–1	Tehran , Iran	Friendly
22-Nov-09	L	0–1	Amman , Jordan	2011 Asian Cup Qualifier
28-Dec-09	L	2–3	Doha , Qatar	2010 Qatar Friendship Cup
30-Dec-09	L	1–2	Doha , Qatar	2010 Qatar Friendship Cup
